"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"4418","Middlefield","Hampshire County","MA","Middlefield",2000,1.9,6,314,320
"4419","Middlefield","Hampshire County","MA","Middlefield",2001,2.2,7,315,322
"4420","Middlefield","Hampshire County","MA","Middlefield",2002,2.8,9,312,321
"4421","Middlefield","Hampshire County","MA","Middlefield",2003,3.4,11,310,321
"4422","Middlefield","Hampshire County","MA","Middlefield",2004,3.7,12,309,321
"4423","Middlefield","Hampshire County","MA","Middlefield",2005,3.7,12,312,324
"4424","Middlefield","Hampshire County","MA","Middlefield",2006,3.7,12,315,327
"4425","Middlefield","Hampshire County","MA","Middlefield",2007,2.8,9,316,325
"4426","Middlefield","Hampshire County","MA","Middlefield",2008,3.4,11,316,327
"4427","Middlefield","Hampshire County","MA","Middlefield",2009,7.4,24,302,326
"4428","Middlefield","Hampshire County","MA","Middlefield",2010,6.3,19,284,303
"4429","Middlefield","Hampshire County","MA","Middlefield",2011,6.3,19,281,300
"4430","Middlefield","Hampshire County","MA","Middlefield",2012,5.1,15,281,296
"4431",NA,"Middlesex County","MA","Middlesex County",1990,5.2,41332,760223,801555
"4432",NA,"Middlesex County","MA","Middlesex County",1991,7.2,56563,733455,790018
"4433",NA,"Middlesex County","MA","Middlesex County",1992,7.5,58947,727818,786765
"4434",NA,"Middlesex County","MA","Middlesex County",1993,6.1,47421,733455,780876
"4435",NA,"Middlesex County","MA","Middlesex County",1994,5.1,40160,744089,784249
"4436",NA,"Middlesex County","MA","Middlesex County",1995,4.4,34657,752160,786817
"4437",NA,"Middlesex County","MA","Middlesex County",1996,3.5,27516,769545,797061
"4438",NA,"Middlesex County","MA","Middlesex County",1997,3.1,24947,792324,817271
"4439",NA,"Middlesex County","MA","Middlesex County",1998,2.5,20679,805836,826515
"4440",NA,"Middlesex County","MA","Middlesex County",1999,2.5,21279,816516,837795
"4441",NA,"Middlesex County","MA","Middlesex County",2000,2.2,18181,803616,821797
"4442",NA,"Middlesex County","MA","Middlesex County",2001,3.3,27298,803298,830596
"4443",NA,"Middlesex County","MA","Middlesex County",2002,5,41306,786821,828127
"4444",NA,"Middlesex County","MA","Middlesex County",2003,5.3,43489,773934,817423
"4445",NA,"Middlesex County","MA","Middlesex County",2004,4.5,36384,771860,808244
"4446",NA,"Middlesex County","MA","Middlesex County",2005,4.1,32895,777022,809917
"4447",NA,"Middlesex County","MA","Middlesex County",2006,3.9,32051,780347,812398
"4448",NA,"Middlesex County","MA","Middlesex County",2007,3.7,30027,788302,818329
"4449",NA,"Middlesex County","MA","Middlesex County",2008,4.4,36189,791149,827338
"4450",NA,"Middlesex County","MA","Middlesex County",2009,6.9,57234,769491,826725
"4451",NA,"Middlesex County","MA","Middlesex County",2010,6.8,56430,776213,832643
"4452",NA,"Middlesex County","MA","Middlesex County",2011,5.8,48531,786142,834673
"4453",NA,"Middlesex County","MA","Middlesex County",2012,5.3,44620,794517,839137
"4454","Middleton","Essex County","MA","Middleton",1990,5.7,162,2698,2860
"4455","Middleton","Essex County","MA","Middleton",1991,6.8,194,2652,2846
"4456","Middleton","Essex County","MA","Middleton",1992,8.2,242,2700,2942
"4457","Middleton","Essex County","MA","Middleton",1993,7.2,215,2751,2966
"4458","Middleton","Essex County","MA","Middleton",1994,5.9,182,2887,3069
"4459","Middleton","Essex County","MA","Middleton",1995,3.9,119,2954,3073
"4460","Middleton","Essex County","MA","Middleton",1996,3.7,119,3095,3214
"4461","Middleton","Essex County","MA","Middleton",1997,3.7,125,3271,3396
"4462","Middleton","Essex County","MA","Middleton",1998,3.2,113,3420,3533
"4463","Middleton","Essex County","MA","Middleton",1999,2.7,97,3549,3646
"4464","Middleton","Essex County","MA","Middleton",2000,2.4,88,3567,3655
"4465","Middleton","Essex County","MA","Middleton",2001,3.2,128,3873,4001
"4466","Middleton","Essex County","MA","Middleton",2002,4.4,177,3870,4047
"4467","Middleton","Essex County","MA","Middleton",2003,4.8,195,3898,4093
"4468","Middleton","Essex County","MA","Middleton",2004,5,206,3948,4154
"4469","Middleton","Essex County","MA","Middleton",2005,4.4,186,4063,4249
"4470","Middleton","Essex County","MA","Middleton",2006,4.1,164,3827,3991
"4471","Middleton","Essex County","MA","Middleton",2007,4.1,165,3896,4061
"4472","Middleton","Essex County","MA","Middleton",2008,5,207,3963,4170
"4473","Middleton","Essex County","MA","Middleton",2009,7.7,324,3864,4188
"4474","Middleton","Essex County","MA","Middleton",2010,8.4,349,3814,4163
"4475","Middleton","Essex County","MA","Middleton",2011,7,290,3857,4147
"4476","Middleton","Essex County","MA","Middleton",2012,6,250,3899,4149
"4477","Milford","Worcester County","MA","Milford",1990,7.2,1006,12910,13916
"4478","Milford","Worcester County","MA","Milford",1991,9.7,1337,12400,13737
"4479","Milford","Worcester County","MA","Milford",1992,9.1,1231,12243,13474
"4480","Milford","Worcester County","MA","Milford",1993,7,924,12342,13266
"4481","Milford","Worcester County","MA","Milford",1994,6.1,815,12588,13403
"4482","Milford","Worcester County","MA","Milford",1995,6.2,840,12705,13545
"4483","Milford","Worcester County","MA","Milford",1996,4.8,651,12911,13562
"4484","Milford","Worcester County","MA","Milford",1997,4.5,625,13269,13894
"4485","Milford","Worcester County","MA","Milford",1998,3.7,522,13559,14081
"4486","Milford","Worcester County","MA","Milford",1999,3.4,492,13847,14339
"4487","Milford","Worcester County","MA","Milford",2000,2.6,378,14409,14787
"4488","Milford","Worcester County","MA","Milford",2001,3.4,518,14506,15024
"4489","Milford","Worcester County","MA","Milford",2002,5.6,844,14292,15136
"4490","Milford","Worcester County","MA","Milford",2003,6.1,918,14105,15023
"4491","Milford","Worcester County","MA","Milford",2004,5.2,773,14203,14976
"4492","Milford","Worcester County","MA","Milford",2005,4.4,674,14482,15156
"4493","Milford","Worcester County","MA","Milford",2006,4.5,679,14567,15246
"4494","Milford","Worcester County","MA","Milford",2007,4.3,655,14606,15261
"4495","Milford","Worcester County","MA","Milford",2008,5.2,804,14730,15534
"4496","Milford","Worcester County","MA","Milford",2009,7.8,1200,14223,15423
"4497","Milford","Worcester County","MA","Milford",2010,7.7,1190,14288,15478
"4498","Milford","Worcester County","MA","Milford",2011,6.5,991,14328,15319
"4499","Milford","Worcester County","MA","Milford",2012,6,915,14459,15374
"4500","Millbury","Worcester County","MA","Millbury",1990,6.8,461,6315,6776
"4501","Millbury","Worcester County","MA","Millbury",1991,10,680,6110,6790
"4502","Millbury","Worcester County","MA","Millbury",1992,9.7,657,6100,6757
"4503","Millbury","Worcester County","MA","Millbury",1993,7.3,494,6299,6793
"4504","Millbury","Worcester County","MA","Millbury",1994,5.2,347,6358,6705
"4505","Millbury","Worcester County","MA","Millbury",1995,5.1,345,6361,6706
"4506","Millbury","Worcester County","MA","Millbury",1996,4.3,292,6429,6721
"4507","Millbury","Worcester County","MA","Millbury",1997,4,271,6570,6841
"4508","Millbury","Worcester County","MA","Millbury",1998,3.1,216,6653,6869
"4509","Millbury","Worcester County","MA","Millbury",1999,3.3,225,6623,6848
"4510","Millbury","Worcester County","MA","Millbury",2000,2.4,174,7054,7228
"4511","Millbury","Worcester County","MA","Millbury",2001,3.6,262,7108,7370
"4512","Millbury","Worcester County","MA","Millbury",2002,4.9,368,7074,7442
"4513","Millbury","Worcester County","MA","Millbury",2003,5.3,398,7079,7477
"4514","Millbury","Worcester County","MA","Millbury",2004,4.8,359,7104,7463
"4515","Millbury","Worcester County","MA","Millbury",2005,4.7,349,7127,7476
"4516","Millbury","Worcester County","MA","Millbury",2006,4.6,349,7226,7575
"4517","Millbury","Worcester County","MA","Millbury",2007,4.6,346,7217,7563
"4518","Millbury","Worcester County","MA","Millbury",2008,5.6,417,7060,7477
"4519","Millbury","Worcester County","MA","Millbury",2009,8.4,628,6859,7487
"4520","Millbury","Worcester County","MA","Millbury",2010,8.4,619,6722,7341
"4521","Millbury","Worcester County","MA","Millbury",2011,7.7,564,6782,7346
"4522","Millbury","Worcester County","MA","Millbury",2012,6.9,502,6779,7281
"4523","Millis","Norfolk County","MA","Millis",1990,5.4,244,4274,4518
"4524","Millis","Norfolk County","MA","Millis",1991,7,318,4223,4541
"4525","Millis","Norfolk County","MA","Millis",1992,6.6,299,4248,4547
"4526","Millis","Norfolk County","MA","Millis",1993,5.4,244,4301,4545
"4527","Millis","Norfolk County","MA","Millis",1994,4.6,212,4394,4606
"4528","Millis","Norfolk County","MA","Millis",1995,4.2,190,4386,4576
"4529","Millis","Norfolk County","MA","Millis",1996,3.5,163,4509,4672
"4530","Millis","Norfolk County","MA","Millis",1997,2.6,127,4666,4793
"4531","Millis","Norfolk County","MA","Millis",1998,2.5,120,4729,4849
"4532","Millis","Norfolk County","MA","Millis",1999,2.5,124,4762,4886
"4533","Millis","Norfolk County","MA","Millis",2000,2.2,99,4425,4524
"4534","Millis","Norfolk County","MA","Millis",2001,3,137,4438,4575
"4535","Millis","Norfolk County","MA","Millis",2002,4.5,207,4370,4577
"4536","Millis","Norfolk County","MA","Millis",2003,5.3,240,4316,4556
"4537","Millis","Norfolk County","MA","Millis",2004,4.4,197,4306,4503
"4538","Millis","Norfolk County","MA","Millis",2005,4,180,4333,4513
"4539","Millis","Norfolk County","MA","Millis",2006,4.1,184,4273,4457
"4540","Millis","Norfolk County","MA","Millis",2007,4.1,186,4302,4488
"4541","Millis","Norfolk County","MA","Millis",2008,4.8,219,4315,4534
"4542","Millis","Norfolk County","MA","Millis",2009,7.5,336,4168,4504
"4543","Millis","Norfolk County","MA","Millis",2010,7.3,329,4158,4487
"4544","Millis","Norfolk County","MA","Millis",2011,6.4,288,4204,4492
"4545","Millis","Norfolk County","MA","Millis",2012,5.7,259,4250,4509
"4546","Millville","Worcester County","MA","Millville",1990,7,88,1172,1260
"4547","Millville","Worcester County","MA","Millville",1991,9.9,126,1145,1271
"4548","Millville","Worcester County","MA","Millville",1992,9,120,1210,1330
"4549","Millville","Worcester County","MA","Millville",1993,9.1,125,1251,1376
"4550","Millville","Worcester County","MA","Millville",1994,5.1,70,1307,1377
"4551","Millville","Worcester County","MA","Millville",1995,7.1,95,1235,1330
"4552","Millville","Worcester County","MA","Millville",1996,5.8,78,1271,1349
"4553","Millville","Worcester County","MA","Millville",1997,4.8,66,1322,1388
"4554","Millville","Worcester County","MA","Millville",1998,4.1,58,1369,1427
"4555","Millville","Worcester County","MA","Millville",1999,3.6,53,1400,1453
"4556","Millville","Worcester County","MA","Millville",2000,3.2,49,1467,1516
"4557","Millville","Worcester County","MA","Millville",2001,4.4,68,1476,1544
"4558","Millville","Worcester County","MA","Millville",2002,6.7,108,1515,1623
"4559","Millville","Worcester County","MA","Millville",2003,6.2,103,1552,1655
"4560","Millville","Worcester County","MA","Millville",2004,5.2,86,1562,1648
"4561","Millville","Worcester County","MA","Millville",2005,4.8,79,1577,1656
"4562","Millville","Worcester County","MA","Millville",2006,5.5,93,1598,1691
"4563","Millville","Worcester County","MA","Millville",2007,5.2,84,1537,1621
"4564","Millville","Worcester County","MA","Millville",2008,6.5,105,1521,1626
"4565","Millville","Worcester County","MA","Millville",2009,10.7,181,1508,1689
"4566","Millville","Worcester County","MA","Millville",2010,11,200,1621,1821
"4567","Millville","Worcester County","MA","Millville",2011,9.2,166,1635,1801
"4568","Millville","Worcester County","MA","Millville",2012,8.9,161,1638,1799
"4569","Milton","Norfolk County","MA","Milton",1990,3.8,508,12720,13228
"4570","Milton","Norfolk County","MA","Milton",1991,5.4,697,12260,12957
"4571","Milton","Norfolk County","MA","Milton",1992,5.2,670,12247,12917
"4572","Milton","Norfolk County","MA","Milton",1993,5,653,12535,13188
"4573","Milton","Norfolk County","MA","Milton",1994,4.1,529,12501,13030
"4574","Milton","Norfolk County","MA","Milton",1995,3.7,488,12627,13115
"4575","Milton","Norfolk County","MA","Milton",1996,3,402,12832,13234
"4576","Milton","Norfolk County","MA","Milton",1997,2.4,327,13095,13422
"4577","Milton","Norfolk County","MA","Milton",1998,2.1,284,13260,13544
"4578","Milton","Norfolk County","MA","Milton",1999,2,268,13288,13556
"4579","Milton","Norfolk County","MA","Milton",2000,2.2,301,13460,13761
"4580","Milton","Norfolk County","MA","Milton",2001,2.7,370,13384,13754
"4581","Milton","Norfolk County","MA","Milton",2002,4.2,571,13105,13676
"4582","Milton","Norfolk County","MA","Milton",2003,4.5,603,12845,13448
"4583","Milton","Norfolk County","MA","Milton",2004,4.2,562,12862,13424
"4584","Milton","Norfolk County","MA","Milton",2005,3.8,522,13084,13606
"4585","Milton","Norfolk County","MA","Milton",2006,4.1,558,13190,13748
"4586","Milton","Norfolk County","MA","Milton",2007,3.6,492,13144,13636
"4587","Milton","Norfolk County","MA","Milton",2008,4.3,588,13054,13642
"4588","Milton","Norfolk County","MA","Milton",2009,7,950,12559,13509
"4589","Milton","Norfolk County","MA","Milton",2010,6.6,934,13145,14079
"4590","Milton","Norfolk County","MA","Milton",2011,5.5,774,13288,14062
"4591","Milton","Norfolk County","MA","Milton",2012,5,712,13434,14146
"4592","Monroe","Franklin County","MA","Monroe",1990,4.3,3,67,70
"4593","Monroe","Franklin County","MA","Monroe",1991,5.6,4,68,72
"4594","Monroe","Franklin County","MA","Monroe",1992,11.5,9,69,78
"4595","Monroe","Franklin County","MA","Monroe",1993,10.6,7,59,66
"4596","Monroe","Franklin County","MA","Monroe",1994,11.1,6,48,54
"4597","Monroe","Franklin County","MA","Monroe",1995,4.2,3,68,71
"4598","Monroe","Franklin County","MA","Monroe",1996,4.2,3,68,71
"4599","Monroe","Franklin County","MA","Monroe",1997,5.6,4,68,72
"4600","Monroe","Franklin County","MA","Monroe",1998,4.1,3,70,73
"4601","Monroe","Franklin County","MA","Monroe",1999,6.5,5,72,77
"4602","Monroe","Franklin County","MA","Monroe",2000,12,3,22,25
"4603","Monroe","Franklin County","MA","Monroe",2001,11.5,3,23,26
"4604","Monroe","Franklin County","MA","Monroe",2002,11.5,3,23,26
"4605","Monroe","Franklin County","MA","Monroe",2003,14.8,4,23,27
"4606","Monroe","Franklin County","MA","Monroe",2004,11.5,3,23,26
"4607","Monroe","Franklin County","MA","Monroe",2005,7.7,2,24,26
"4608","Monroe","Franklin County","MA","Monroe",2006,7.7,2,24,26
"4609","Monroe","Franklin County","MA","Monroe",2007,11.1,3,24,27
"4610","Monroe","Franklin County","MA","Monroe",2008,7.7,2,24,26
"4611","Monroe","Franklin County","MA","Monroe",2009,15.4,4,22,26
"4612","Monroe","Franklin County","MA","Monroe",2010,15.2,5,28,33
"4613","Monroe","Franklin County","MA","Monroe",2011,9.7,3,28,31
"4614","Monroe","Franklin County","MA","Monroe",2012,17.6,6,28,34
"4615","Monson","Hampden County","MA","Monson",1990,6.3,245,3623,3868
"4616","Monson","Hampden County","MA","Monson",1991,8.3,320,3557,3877
"4617","Monson","Hampden County","MA","Monson",1992,8.3,328,3615,3943
"4618","Monson","Hampden County","MA","Monson",1993,9,363,3673,4036
"4619","Monson","Hampden County","MA","Monson",1994,7.5,300,3692,3992
"4620","Monson","Hampden County","MA","Monson",1995,6.7,258,3569,3827
"4621","Monson","Hampden County","MA","Monson",1996,4.4,168,3629,3797
"4622","Monson","Hampden County","MA","Monson",1997,4.3,166,3727,3893
"4623","Monson","Hampden County","MA","Monson",1998,3.5,137,3777,3914
"4624","Monson","Hampden County","MA","Monson",1999,3.6,144,3819,3963
"4625","Monson","Hampden County","MA","Monson",2000,2.8,123,4338,4461
"4626","Monson","Hampden County","MA","Monson",2001,3.7,170,4375,4545
"4627","Monson","Hampden County","MA","Monson",2002,5.2,242,4388,4630
"4628","Monson","Hampden County","MA","Monson",2003,5.8,268,4377,4645
"4629","Monson","Hampden County","MA","Monson",2004,5.3,247,4408,4655
"4630","Monson","Hampden County","MA","Monson",2005,4.8,223,4466,4689
"4631","Monson","Hampden County","MA","Monson",2006,5.1,241,4511,4752
"4632","Monson","Hampden County","MA","Monson",2007,4.8,226,4521,4747
"4633","Monson","Hampden County","MA","Monson",2008,5.6,270,4565,4835
"4634","Monson","Hampden County","MA","Monson",2009,8.1,389,4408,4797
"4635","Monson","Hampden County","MA","Monson",2010,8.9,410,4176,4586
"4636","Monson","Hampden County","MA","Monson",2011,7.9,357,4135,4492
"4637","Monson","Hampden County","MA","Monson",2012,7.2,323,4137,4460
"4638","Montague","Franklin County","MA","Montague",1990,4.9,206,4018,4224
"4639","Montague","Franklin County","MA","Montague",1991,8,343,3970,4313
"4640","Montague","Franklin County","MA","Montague",1992,9.6,416,3923,4339
"4641","Montague","Franklin County","MA","Montague",1993,7.1,300,3908,4208
"4642","Montague","Franklin County","MA","Montague",1994,6,257,4040,4297
"4643","Montague","Franklin County","MA","Montague",1995,6.5,285,4073,4358
"4644","Montague","Franklin County","MA","Montague",1996,4.9,209,4083,4292
"4645","Montague","Franklin County","MA","Montague",1997,4.4,194,4166,4360
"4646","Montague","Franklin County","MA","Montague",1998,3.7,166,4261,4427
"4647","Montague","Franklin County","MA","Montague",1999,3.3,146,4334,4480
"4648","Montague","Franklin County","MA","Montague",2000,2.9,126,4235,4361
"4649","Montague","Franklin County","MA","Montague",2001,3.5,151,4212,4363
"4650","Montague","Franklin County","MA","Montague",2002,4.6,207,4260,4467
"4651","Montague","Franklin County","MA","Montague",2003,4.9,217,4254,4471
"4652","Montague","Franklin County","MA","Montague",2004,4.7,208,4175,4383
"4653","Montague","Franklin County","MA","Montague",2005,5,217,4150,4367
"4654","Montague","Franklin County","MA","Montague",2006,5,218,4153,4371
"4655","Montague","Franklin County","MA","Montague",2007,5,215,4112,4327
"4656","Montague","Franklin County","MA","Montague",2008,5.7,243,4039,4282
"4657","Montague","Franklin County","MA","Montague",2009,9,381,3857,4238
"4658","Montague","Franklin County","MA","Montague",2010,9,399,4053,4452
"4659","Montague","Franklin County","MA","Montague",2011,8.2,362,4060,4422
"4660","Montague","Franklin County","MA","Montague",2012,7.6,333,4071,4404
"4661","Monterey","Berkshire County","MA","Monterey",1990,3.5,14,390,404
"4662","Monterey","Berkshire County","MA","Monterey",1991,6.6,27,382,409
"4663","Monterey","Berkshire County","MA","Monterey",1992,4.3,17,380,397
"4664","Monterey","Berkshire County","MA","Monterey",1993,4.2,17,392,409
"4665","Monterey","Berkshire County","MA","Monterey",1994,5.5,23,393,416
"4666","Monterey","Berkshire County","MA","Monterey",1995,6.5,29,416,445
"4667","Monterey","Berkshire County","MA","Monterey",1996,3.8,17,425,442
"4668","Monterey","Berkshire County","MA","Monterey",1997,2.7,12,438,450
"4669","Monterey","Berkshire County","MA","Monterey",1998,2.1,9,423,432
"4670","Monterey","Berkshire County","MA","Monterey",1999,1.9,8,422,430
"4671","Monterey","Berkshire County","MA","Monterey",2000,2.4,13,529,542
"4672","Monterey","Berkshire County","MA","Monterey",2001,2.3,13,549,562
"4673","Monterey","Berkshire County","MA","Monterey",2002,2.9,17,569,586
"4674","Monterey","Berkshire County","MA","Monterey",2003,3.2,19,574,593
"4675","Monterey","Berkshire County","MA","Monterey",2004,2.6,15,573,588
"4676","Monterey","Berkshire County","MA","Monterey",2005,3,18,587,605
"4677","Monterey","Berkshire County","MA","Monterey",2006,2.8,17,593,610
"4678","Monterey","Berkshire County","MA","Monterey",2007,2.5,15,584,599
"4679","Monterey","Berkshire County","MA","Monterey",2008,3.3,20,580,600
"4680","Monterey","Berkshire County","MA","Monterey",2009,4.7,28,569,597
"4681","Monterey","Berkshire County","MA","Monterey",2010,3.7,22,574,596
"4682","Monterey","Berkshire County","MA","Monterey",2011,4,24,578,602
"4683","Monterey","Berkshire County","MA","Monterey",2012,3.7,22,574,596
"4684","Montgomery","Hampden County","MA","Montgomery",1990,2.6,11,414,425
"4685","Montgomery","Hampden County","MA","Montgomery",1991,5.5,24,412,436
"4686","Montgomery","Hampden County","MA","Montgomery",1992,4.7,20,407,427
"4687","Montgomery","Hampden County","MA","Montgomery",1993,3.3,14,407,421
"4688","Montgomery","Hampden County","MA","Montgomery",1994,4.6,21,432,453
"4689","Montgomery","Hampden County","MA","Montgomery",1995,4.4,19,408,427
"4690","Montgomery","Hampden County","MA","Montgomery",1996,2.8,12,421,433
"4691","Montgomery","Hampden County","MA","Montgomery",1997,4.8,22,439,461
"4692","Montgomery","Hampden County","MA","Montgomery",1998,7,30,398,428
"4693","Montgomery","Hampden County","MA","Montgomery",1999,3.1,13,411,424
"4694","Montgomery","Hampden County","MA","Montgomery",2000,2.3,9,383,392
"4695","Montgomery","Hampden County","MA","Montgomery",2001,2.9,12,398,410
"4696","Montgomery","Hampden County","MA","Montgomery",2002,3.3,14,409,423
"4697","Montgomery","Hampden County","MA","Montgomery",2003,4.6,20,415,435
"4698","Montgomery","Hampden County","MA","Montgomery",2004,4.1,18,420,438
"4699","Montgomery","Hampden County","MA","Montgomery",2005,4.1,18,426,444
"4700","Montgomery","Hampden County","MA","Montgomery",2006,5,23,434,457
"4701","Montgomery","Hampden County","MA","Montgomery",2007,4,18,436,454
"4702","Montgomery","Hampden County","MA","Montgomery",2008,3.3,14,411,425
"4703","Montgomery","Hampden County","MA","Montgomery",2009,7.2,31,397,428
"4704","Montgomery","Hampden County","MA","Montgomery",2010,7.5,37,459,496
"4705","Montgomery","Hampden County","MA","Montgomery",2011,6,29,454,483
"4706","Montgomery","Hampden County","MA","Montgomery",2012,5.8,28,454,482
"4707","Mount Washington","Berkshire County","MA","Mount Washington",1990,7,5,66,71
"4708","Mount Washington","Berkshire County","MA","Mount Washington",1991,6.3,4,60,64
"4709","Mount Washington","Berkshire County","MA","Mount Washington",1992,1.5,1,64,65
"4710","Mount Washington","Berkshire County","MA","Mount Washington",1993,1.3,1,75,76
"4711","Mount Washington","Berkshire County","MA","Mount Washington",1994,1.2,1,82,83
"4712","Mount Washington","Berkshire County","MA","Mount Washington",1995,4.1,3,71,74
"4713","Mount Washington","Berkshire County","MA","Mount Washington",1996,1.4,1,72,73
"4714","Mount Washington","Berkshire County","MA","Mount Washington",1997,2.7,2,73,75
"4715","Mount Washington","Berkshire County","MA","Mount Washington",1998,1.3,1,74,75
"4716","Mount Washington","Berkshire County","MA","Mount Washington",1999,3.9,3,73,76
"4717","Mount Washington","Berkshire County","MA","Mount Washington",2000,2.3,2,86,88
"4718","Mount Washington","Berkshire County","MA","Mount Washington",2001,2.2,2,89,91
"4719","Mount Washington","Berkshire County","MA","Mount Washington",2002,3.2,3,92,95
"4720","Mount Washington","Berkshire County","MA","Mount Washington",2003,4.1,4,93,97
"4721","Mount Washington","Berkshire County","MA","Mount Washington",2004,2.1,2,94,96
"4722","Mount Washington","Berkshire County","MA","Mount Washington",2005,4,4,97,101
"4723","Mount Washington","Berkshire County","MA","Mount Washington",2006,2,2,100,102
"4724","Mount Washington","Berkshire County","MA","Mount Washington",2007,1,1,98,99
"4725","Mount Washington","Berkshire County","MA","Mount Washington",2008,1,1,98,99
"4726","Mount Washington","Berkshire County","MA","Mount Washington",2009,3.1,3,94,97
"4727","Mount Washington","Berkshire County","MA","Mount Washington",2010,3.3,4,117,121
"4728","Mount Washington","Berkshire County","MA","Mount Washington",2011,3.3,4,117,121
"4729","Mount Washington","Berkshire County","MA","Mount Washington",2012,2.5,3,116,119
"4730","Nahant","Essex County","MA","Nahant",1990,4.4,92,2005,2097
"4731","Nahant","Essex County","MA","Nahant",1991,7.2,149,1921,2070
"4732","Nahant","Essex County","MA","Nahant",1992,7.1,144,1891,2035
"4733","Nahant","Essex County","MA","Nahant",1993,6.8,140,1907,2047
"4734","Nahant","Essex County","MA","Nahant",1994,5.4,110,1924,2034
"4735","Nahant","Essex County","MA","Nahant",1995,4.1,84,1963,2047
"4736","Nahant","Essex County","MA","Nahant",1996,4.5,93,1995,2088
"4737","Nahant","Essex County","MA","Nahant",1997,3.6,76,2040,2116
"4738","Nahant","Essex County","MA","Nahant",1998,2.8,59,2057,2116
"4739","Nahant","Essex County","MA","Nahant",1999,2.9,61,2069,2130
"4740","Nahant","Essex County","MA","Nahant",2000,2.1,43,1993,2036
"4741","Nahant","Essex County","MA","Nahant",2001,3.3,67,1992,2059
"4742","Nahant","Essex County","MA","Nahant",2002,5.2,108,1964,2072
"4743","Nahant","Essex County","MA","Nahant",2003,5.3,108,1937,2045
"4744","Nahant","Essex County","MA","Nahant",2004,4.4,88,1916,2004
"4745","Nahant","Essex County","MA","Nahant",2005,4.1,81,1905,1986
"4746","Nahant","Essex County","MA","Nahant",2006,4.4,88,1908,1996
"4747","Nahant","Essex County","MA","Nahant",2007,4.4,87,1896,1983
"4748","Nahant","Essex County","MA","Nahant",2008,4.7,94,1887,1981
"4749","Nahant","Essex County","MA","Nahant",2009,7,142,1899,2041
"4750","Nahant","Essex County","MA","Nahant",2010,7,135,1788,1923
"4751","Nahant","Essex County","MA","Nahant",2011,7,137,1809,1946
"4752","Nahant","Essex County","MA","Nahant",2012,5.8,112,1823,1935
"4753","Nantucket","Nantucket County","MA","Nantucket",1990,3.2,153,4606,4759
"4754","Nantucket","Nantucket County","MA","Nantucket",1991,5.5,269,4588,4857
"4755","Nantucket","Nantucket County","MA","Nantucket",1992,4.7,235,4721,4956
"4756","Nantucket","Nantucket County","MA","Nantucket",1993,3.9,207,5093,5300
"4757","Nantucket","Nantucket County","MA","Nantucket",1994,2.7,152,5409,5561
"4758","Nantucket","Nantucket County","MA","Nantucket",1995,2.7,151,5540,5691
"4759","Nantucket","Nantucket County","MA","Nantucket",1996,2.4,139,5685,5824
"4760","Nantucket","Nantucket County","MA","Nantucket",1997,2.3,141,5957,6098
"4761","Nantucket","Nantucket County","MA","Nantucket",1998,1.7,113,6355,6468
"4762","Nantucket","Nantucket County","MA","Nantucket",1999,1.7,115,6489,6604
"4763","Nantucket","Nantucket County","MA","Nantucket",2000,1.5,108,7181,7289
"4764","Nantucket","Nantucket County","MA","Nantucket",2001,1.6,116,7002,7118
"4765","Nantucket","Nantucket County","MA","Nantucket",2002,1.9,145,7324,7469
"4766","Nantucket","Nantucket County","MA","Nantucket",2003,2.5,195,7496,7691
"4767","Nantucket","Nantucket County","MA","Nantucket",2004,2.5,197,7643,7840
"4768","Nantucket","Nantucket County","MA","Nantucket",2005,2.4,198,7940,8138
"4769","Nantucket","Nantucket County","MA","Nantucket",2006,2.3,194,8218,8412
"4770","Nantucket","Nantucket County","MA","Nantucket",2007,2.3,199,8343,8542
"4771","Nantucket","Nantucket County","MA","Nantucket",2008,3.3,277,8153,8430
"4772","Nantucket","Nantucket County","MA","Nantucket",2009,6.8,530,7278,7808
"4773","Nantucket","Nantucket County","MA","Nantucket",2010,7.5,586,7228,7814
"4774","Nantucket","Nantucket County","MA","Nantucket",2011,6.7,526,7304,7830
"4775","Nantucket","Nantucket County","MA","Nantucket",2012,6,487,7695,8182
"4776","Natick","Middlesex County","MA","Natick",1990,4.4,819,17659,18478
"4777","Natick","Middlesex County","MA","Natick",1991,6.1,1112,17033,18145
"4778","Natick","Middlesex County","MA","Natick",1992,6.1,1106,16942,18048
"4779","Natick","Middlesex County","MA","Natick",1993,4.7,853,17255,18108
"4780","Natick","Middlesex County","MA","Natick",1994,4,727,17504,18231
"4781","Natick","Middlesex County","MA","Natick",1995,3.6,675,17896,18571
"4782","Natick","Middlesex County","MA","Natick",1996,2.9,537,18250,18787
"4783","Natick","Middlesex County","MA","Natick",1997,2.6,497,18721,19218
"4784","Natick","Middlesex County","MA","Natick",1998,1.9,370,19039,19409
"4785","Natick","Middlesex County","MA","Natick",1999,2,383,19208,19591
"4786","Natick","Middlesex County","MA","Natick",2000,1.9,356,18500,18856
"4787","Natick","Middlesex County","MA","Natick",2001,2.7,515,18491,19006
"4788","Natick","Middlesex County","MA","Natick",2002,4.1,771,18058,18829
"4789","Natick","Middlesex County","MA","Natick",2003,4.5,837,17720,18557
