"Municipal","County","State","Region","Five_Year_Range","Total_Population","Margin_Error_Total_Population","Male_Pct","Margin_Error_Male","Female_Pct","Margin_Error_Female","Age_under_5_Pct","Margin_Error_under_5_Pct","Age_5_9_Pct","Margin_Error_5_9_Pct","Age_10_14_Pct","Margin_Error_10_14_Pct","Age_15_19_Pct","Margin_Error_15_19_Pct","Age_20_24_Pct","Margin_Error_20_24_Pct","Age_25_34_Pct","Margin_Error_25_34_Pct","Age_35_44_Pct","Margin_Error_35_44_Pct","Age_45_54_Pct","Margin_Error_45_54_Pct","Age_55_59_Pct","Margin_Error_55_59_Pct","Age_60_64_Pct","Margin_Error_60_64_Pct","Age_65_74_Pct","Margin_Error_65_74_Pct","Age_75_84_Pct","Margin_Error_75_84_Pct","Age_over_85_Pct","Margin_Error_85._Pct","White_Pct","Margin_Error_White_Pct","Black_Pct","Margin_Error_Black_Pct","American_Indian_and_Alaska_Native_Pct","Margin_Error_American_Indian_and_Alaska_Native_Pct","Asian_Pct","Margin_Error_Asian_Pct","Hawaiian_and_Other_Pacific_Islander_Pct","Margin_Error_Hawaiian_and_Other_Pacific_Islander_Pct","Others_Pct","Margin_Error_Others_Pct","Hispanic_Pct","Margin_Error_Hispanic_Pct","Not_Hispanic_Pct","Margin_Error_Not_Hispanic_Pct","Age_under_20_Pct_plot","Age_20_34_Pct_plot","Age_35_54_Pct_plot","Age_55_64_Pct_plot","Age_65_74_Pct_plot","Age_over_75_Pct_plot"
"Spencer","Worcester County","MA","Spencer","2007-2011",11715,"22",48.8,"2.4",51.2,"2.4",5.6,"1.7",5.2,1.5,5.8,1.4,6.7,1.9,5.8,1.5,14.9,"2.6",13.4,"1.9",14.9,"2.1",7,1.7,6.3,1.7,8.3,"1.7",4.1,1.3,2,0.9,93.6,4.2,1.2,0.7,0.8,0.6,0.4,0.5,0,0.3,5.5,4,7.3,"4.1",92.7,"4.1",23.3,20.7,28.3,13.3,8.3,6.1
"Spencer","Worcester County","MA","Spencer","2008-2012",11713,"20",49.6,"3.1",50.4,"3.1",6.1,"1.8",5.6,1.4,6.7,1.5,5.1,1.5,6,1.7,14.5,"2.6",12.8,"2",16.1,"1.8",7.2,1.7,5.5,1.6,7.7,"1.7",4.5,1.2,2,0.8,96.6,2.5,2.2,1.5,1.6,1.2,0.7,0.6,0,0.3,1.8,2,4.1,"2.2",95.9,"2.2",23.5,20.5,28.9,12.7,7.7,6.5
"Springfield","Hampden County","MA","Springfield","2005-2009",153170,"43",47.7,"0.6",52.3,"0.6",7.5,"0.4",6.9,0.5,7.6,0.5,9.3,0.5,8.3,0.5,13.6,"0.5",13.2,"0.4",12.8,"0.4",5.9,0.4,3.9,0.4,5.5,"0.3",4,0.3,1.5,0.2,54.2,1.3,23.7,0.7,0.6,0.2,2.3,0.4,0,0.1,22.4,1.1,34.5,"0.7",65.5,"0.7",31.3,21.9,26,9.8,5.5,5.5
"Springfield","Hampden County","MA","Springfield","2006-2010",152906,"73",47.5,"0.5",52.5,"0.5",7.6,"0.3",7,0.4,7.5,0.4,9.8,0.5,8.5,0.5,13.1,"0.5",12.6,"0.4",12.7,"0.4",6,0.3,4.1,0.3,5.5,"0.3",4.1,0.2,1.4,0.2,54.2,1.5,24.4,0.7,0.8,0.2,2.9,0.4,0.1,0.1,21.6,1.2,36,"0.7",64,"0.7",31.9,21.6,25.3,10.1,5.5,5.5
"Springfield","Hampden County","MA","Springfield","2007-2011",152992,"63",47.5,"0.5",52.5,"0.5",7.7,"0.4",7.1,0.4,7,0.4,9.8,0.5,8.9,0.5,13.2,"0.4",12.3,"0.4",12.7,"0.5",5.7,0.4,4.7,0.4,5.7,"0.3",3.8,0.3,1.6,0.2,54.5,1.5,24.5,0.8,0.8,0.2,2.8,0.4,0.1,0.1,21.3,1.3,37.4,"0.7",62.6,"0.7",31.6,22.1,25,10.4,5.7,5.4
"Springfield","Hampden County","MA","Springfield","2008-2012",153278,"41",47.5,"0.5",52.5,"0.5",7.5,"0.3",7,0.4,7.6,0.5,9.6,0.4,8.8,0.5,13.5,"0.5",11.8,"0.4",12.7,"0.5",5.8,0.4,4.6,0.3,5.7,"0.3",3.7,0.3,1.7,0.2,54.4,1.3,24.3,0.9,0.9,0.3,2.6,0.4,0.1,0.1,21.6,1.2,39.5,"0.8",60.5,"0.8",31.7,22.3,24.5,10.4,5.7,5.4
"Sterling","Worcester County","MA","Sterling","2005-2009",7789,"24",47,"2.6",53,"2.6",6.1,"1.5",7.8,1.7,6.4,1.3,7.4,1.8,4.3,1.6,7.5,"2.6",15.5,"1.8",20.1,"2.9",7.4,2.2,5.1,1.7,6.1,"1.9",5.4,1.6,0.9,0.8,99.4,0.5,0.4,0.7,0.2,0.3,0.4,0.4,0,0.5,0.1,0.1,0.8,"1",99.2,"1",27.7,11.8,35.6,12.5,6.1,6.3
"Sterling","Worcester County","MA","Sterling","2006-2010",7719,"43",47.9,"2.3",52.1,"2.3",5.5,"1.7",7.9,1.7,6.4,1.7,8.3,1.9,3.4,1.6,8,"2.7",14.1,"1.9",21.8,"2.6",6.9,2.3,5.5,2,5.8,"1.6",4.9,1.5,1.5,0.9,99.5,0.5,0.3,0.5,0.2,0.2,0.4,0.4,0,0.5,0.1,0.2,0.5,"0.8",99.5,"0.8",28.1,11.4,35.9,12.4,5.8,6.4
"Sterling","Worcester County","MA","Sterling","2007-2011",7768,"18",48,"2.4",52,"2.4",5.2,"1.6",8.1,1.9,5.9,1.4,7.8,1.9,3.7,1.6,7.8,"2.6",15.7,"1.7",22.7,"2.3",6.9,1.9,3.7,1.4,7,"1.8",3.8,1.3,1.7,1.1,98.6,1.3,1.1,1.3,0.2,0.2,0.5,0.4,0,0.5,0.2,0.2,0.6,"0.7",99.4,"0.7",27,11.5,38.4,10.6,7,5.5
"Sterling","Worcester County","MA","Sterling","2008-2012",7808,"38",48.6,"2.7",51.4,"2.7",6,"1.7",7.8,2,6.6,1.6,6,1.6,3.5,1.7,9.5,"2.7",13.7,"1.5",23.3,"2.9",6.5,2.3,4.5,1.8,7.4,"1.4",3,1.2,2.1,1.3,97.9,1.5,1.7,1.6,0.4,0.4,0.3,0.4,0,0.4,0.4,0.6,1.6,"1.4",98.4,"1.4",26.4,13,37,11,7.4,5.1
"Stockbridge","Berkshire County","MA","Stockbridge","2005-2009",1533,"340",48.5,"4.3",51.5,"4.3",6.3,"4",5.8,3.3,5.2,3.7,2.7,3.1,4.3,4.3,8.5,"5",22.6,"6.6",10,"4.7",4.9,3.3,6.5,3.9,12.3,"5.3",7,4.5,3.9,3,91.5,7.6,2.6,3.3,0,2.4,3.7,6,0,2.4,2.3,3.3,5,"4.2",95,"4.2",20,12.8,32.6,11.4,12.3,10.9
