"","Municipal","County","State","Region","Five.year.average","Population","Never_Married","Now_Married","Separated","Widowed","Divorced","Never_Married_Pct","Now_Married_Pct","Separated_Pct","Widowed_Pct","Divorced_Pct","Year"
"762","Plainville","Norfolk","MA","N/A","2008-2012",6642,1920,3454,13,498,757,28.906955736224,52.002408912978,0.195724179464017,7.49774164408311,11.3971695272508,"2012"
"763","Plymouth","Plymouth","MA","N/A","2006-2010",45460,12043,25362,653,2774,4628,26.4914210294765,55.7897052353718,1.43642762868456,6.10206775186978,10.1803783545974,"2010"
"764","Plymouth","Plymouth","MA","N/A","2007-2011",45322,12191,25375,573,2770,4413,26.8986364238118,55.9882617713252,1.26428665990027,6.11182207316535,9.73699307179736,"2011"
"765","Plymouth","Plymouth","MA","N/A","2008-2012",46408,12505,25471,654,2719,5059,26.9457852094466,54.8849336321324,1.40923978624375,5.85890363730391,10.9011377348733,"2012"
"766","Plympton","Plymouth","MA","N/A","2006-2010",2228,549,1416,18,100,145,24.640933572711,63.5547576301616,0.807899461400359,4.48833034111311,6.508078994614,"2010"
"767","Plympton","Plymouth","MA","N/A","2007-2011",2326,610,1433,14,90,179,26.2252794496991,61.6079105760963,0.60189165950129,3.86930352536543,7.69561478933792,"2011"
"768","Plympton","Plymouth","MA","N/A","2008-2012",2350,544,1473,24,123,186,23.1489361702128,62.6808510638298,1.02127659574468,5.23404255319149,7.91489361702128,"2012"
"769","Princeton","Worcester","MA","N/A","2006-2010",2693,520,1891,19,100,163,19.309320460453,70.219086520609,0.705532862978091,3.71333085777943,6.05272929818047,"2010"
"770","Princeton","Worcester","MA","N/A","2007-2011",2711,617,1759,23,111,201,22.7591294725194,64.8838067133899,0.848395426042051,4.09443009959425,7.41423828845444,"2011"
"771","Princeton","Worcester","MA","N/A","2008-2012",2692,653,1740,30,82,187,24.2570579494799,64.6359583952452,1.11441307578009,3.04606240713224,6.94650817236256,"2012"
"772","Provincetown","Barnstable","MA","N/A","2006-2010",2998,1531,665,49,221,532,51.0673782521681,22.1814543028686,1.63442294863242,7.37158105403602,17.7451634422949,"2010"
"773","Provincetown","Barnstable","MA","N/A","2007-2011",2969,1752,604,14,199,400,59.009767598518,20.3435500168407,0.471539238800943,6.7025934658134,13.4725496800269,"2011"
"774","Provincetown","Barnstable","MA","N/A","2008-2012",2914,1703,492,22,204,493,58.4420041180508,16.8840082361016,0.754975978037063,7.00068634179822,16.9183253260124,"2012"
"775","Quincy","Norfolk","MA","N/A","2006-2010",78223,30711,34756,1296,5250,6210,39.260831213326,44.431944568733,1.65680170793756,6.71158099280263,7.93884151720082,"2010"
"776","Quincy","Norfolk","MA","N/A","2007-2011",78967,31022,34721,1429,5089,6706,39.2847645218889,43.9689997087391,1.80961667532007,6.44446414324971,8.49215495080223,"2011"
