"Municipal","County","State","F_year","","","","","","","",""
"South Hadley","Hampshire","MA","2007",1405229955,227100,78316345,40666500,16112248,1540552148,91.2,8.8
"South Hadley","Hampshire","MA","2008",1421229395,227100,78538305,40753400,20233072,1560981272,91.1,8.9
"South Hadley","Hampshire","MA","2009",1432874625,227100,77770275,41524100,31020054,1583416154,90.5,9.5
"South Hadley","Hampshire","MA","2010",1322522955,394800,72916470,39220375,28104763,1463159363,90.4,9.6
"South Hadley","Hampshire","MA","2011",1331499955,394800,72928670,39093875,25308939,1469226239,90.7,9.3
"South Hadley","Hampshire","MA","2012",1338967050,394800,73138775,37986675,26844020,1477331320,90.7,9.3
"South Hadley","Hampshire","MA","2013",1344616660,394800,73258675,40364275,27651467,1486285877,90.5,9.5
"Southampton","Hampshire","MA","2003",309159643,905400,16243016,4987845,5799120,337095024,92,8
"Southampton","Hampshire","MA","2004",371912875,0,18281025,5244600,6655786,402094286,92.5,7.5
"Southampton","Hampshire","MA","2005",421481325,0,21037475,5330400,7112397,454961597,92.6,7.4
"Southampton","Hampshire","MA","2006",489700930,0,23103370,6037700,6767566,525609566,93.2,6.8
"Southampton","Hampshire","MA","2007",565567615,0,24071985,5869600,6369418,601878618,94,6
"Southampton","Hampshire","MA","2008",586609390,0,24155410,5576600,7321974,623663374,94.1,5.9
"Southampton","Hampshire","MA","2009",604816890,0,24411410,5576600,9842661,644647561,93.8,6.2
"Southampton","Hampshire","MA","2010",618144180,0,25325620,6217700,10754918,660442418,93.6,6.4
"Southampton","Hampshire","MA","2011",633047355,0,24897745,5731000,10367948,674044048,93.9,6.1
"Southampton","Hampshire","MA","2012",609906085,0,24081815,5425700,10232985,649646585,93.9,6.1
"Southampton","Hampshire","MA","2013",620198610,0,24358790,5305800,10280097,660143297,93.9,6.1
"Ware","Hampshire","MA","2003",392120308,0,46427422,18191230,13180201,469919161,83.4,16.6
"Ware","Hampshire","MA","2004",399575278,0,46263473,18163730,19574610,483577091,82.6,17.4
"Ware","Hampshire","MA","2005",500242202,0,47175774,18787060,13576320,579781356,86.3,13.7
"Ware","Hampshire","MA","2006",592068601,0,50822160,20482750,19266670,682640181,86.7,13.3
"Ware","Hampshire","MA","2007",656487817,0,53556466,21963035,20315590,752322908,87.3,12.7
"Ware","Hampshire","MA","2008",687222274,0,56714340,24699240,21309990,789945844,87,13
"Ware","Hampshire","MA","2009",690782425,0,59992456,25050760,27306290,803131931,86,14
"Ware","Hampshire","MA","2010",668418044,0,60440547,25313960,27147660,781320211,85.5,14.5
"Ware","Hampshire","MA","2011",668084141,0,60313680,25543610,27773360,781714791,85.5,14.5
"Ware","Hampshire","MA","2012",644361023,0,58968431,24857001,23282328,751468783,85.7,14.3
"Ware","Hampshire","MA","2013",616475309,0,59741283,24970001,22590042,723776635,85.2,14.8
"Westhampton","Hampshire","MA","2003",108065680,0,2808220,488600,2702794,114065294,94.7,5.3
"Westhampton","Hampshire","MA","2004",143623900,0,2971231,545000,3893328,151033459,95.1,4.9
"Westhampton","Hampshire","MA","2005",147140070,0,3028259,951100,2745971,153865400,95.6,4.4
"Westhampton","Hampshire","MA","2006",195630600,0,3587445,1018800,2551424,202788269,96.5,3.5
"Westhampton","Hampshire","MA","2007",221744315,0,4837185,1229800,2742426,230553726,96.2,3.8
"Westhampton","Hampshire","MA","2008",224045980,0,4933559,1264800,2792837,233037176,96.1,3.9
"Westhampton","Hampshire","MA","2009",224297635,0,4886538,1267500,4258175,234709848,95.6,4.4
"Westhampton","Hampshire","MA","2010",219515746,0,5610256,1176700,4946462,231249164,94.9,5.1
"Westhampton","Hampshire","MA","2011",213894027,0,5080285,1312004,5220542,225506858,94.9,5.1
"Westhampton","Hampshire","MA","2012",210956557,0,5226352,1295174,5309726,222787809,94.7,5.3
"Westhampton","Hampshire","MA","2013",203047007,0,5548885,1271435,5076098,214943425,94.5,5.5
"Williamsburg","Hampshire","MA","2003",151575772,0,13362378,1053451,3181491,169173092,89.6,10.4
"Williamsburg","Hampshire","MA","2004",198373382,0,15315212,1444062,3275652,218408308,90.8,9.2
"Williamsburg","Hampshire","MA","2005",198634949,0,15250144,1431244,3399344,218715681,90.8,9.2
"Williamsburg","Hampshire","MA","2006",250100000,0,18263096,1786009,3154886,273303991,91.5,8.5
"Williamsburg","Hampshire","MA","2007",282603223,0,19246585,1954065,3039409,306843282,92.1,7.9
"Williamsburg","Hampshire","MA","2008",284562284,0,19375604,1954265,3411811,309303964,92,8
"Williamsburg","Hampshire","MA","2009",287207306,0,19310621,1954265,5363195,313835387,91.5,8.5
"Williamsburg","Hampshire","MA","2010",286173648,0,18619047,1896733,5608183,312297611,91.6,8.4
"Williamsburg","Hampshire","MA","2011",288097933,0,18573260,1753325,6232995,314657513,91.6,8.4
"Williamsburg","Hampshire","MA","2012",281788772,0,18179188,2014002,6629020,308610982,91.3,8.7
"Williamsburg","Hampshire","MA","2013",273775756,0,17184568,1914702,6297283,299172309,91.5,8.5
"Worthington","Hampshire","MA","2003",88928310,0,3183689,313400,2501110,94926509,93.7,6.3
"Worthington","Hampshire","MA","2004",90946210,0,3176684,313400,2700160,97136454,93.6,6.4
"Worthington","Hampshire","MA","2005",118951555,0,3792262,387200,2580160,125711177,94.6,5.4
"Worthington","Hampshire","MA","2006",125782675,0,4370676,402800,2559190,133115341,94.5,5.5
"Worthington","Hampshire","MA","2007",148371530,0,4825616,464700,2847880,156509726,94.8,5.2
"Worthington","Hampshire","MA","2008",161846300,0,5714606,502900,3010630,171074436,94.6,5.4
"Worthington","Hampshire","MA","2009",162724320,0,6126914,520000,4251430,173622664,93.7,6.3
"Worthington","Hampshire","MA","2010",164757890,0,5936439,520000,4278010,175492339,93.9,6.1
"Worthington","Hampshire","MA","2011",168803959,0,6291894,532100,4331082,179959035,93.8,6.2
"Worthington","Hampshire","MA","2012",151143086,0,5439385,605170,4854495,162042136,93.3,6.7
"Worthington","Hampshire","MA","2013",151495216,0,5399047,605170,5180655,162680088,93.1,6.9
"Acton","Middlesex","MA","2003",2700372191,0,265829646,91647125,35937711,3093786673,87.3,12.7
"Acton","Middlesex","MA","2004",2898836685,0,281976596,98700720,49149382,3328663383,87.1,12.9
"Acton","Middlesex","MA","2005",3103206201,0,287139825,98745115,53163636,3542254777,87.6,12.4
"Acton","Middlesex","MA","2006",3318844983,0,310323682,106668445,40528806,3776365916,87.9,12.1
"Acton","Middlesex","MA","2007",3426424133,0,364989988,115243945,41313257,3947971323,86.8,13.2
"Acton","Middlesex","MA","2008",3334950720,0,358212176,111533010,46680230,3851376136,86.6,13.4
"Acton","Middlesex","MA","2009",3252816010,0,336316163,103515920,58607037,3751255130,86.7,13.3
"Acton","Middlesex","MA","2010",3257545318,0,321119694,97872285,64884117,3741421414,87.1,12.9
"Acton","Middlesex","MA","2011",3174679623,0,309194597,90955570,65944035,3640773825,87.2,12.8
"Acton","Middlesex","MA","2012",3185180125,0,299215620,91837570,65316803,3641550118,87.5,12.5
"Acton","Middlesex","MA","2013",3208128927,0,312904977,94158445,63924158,3679116507,87.2,12.8
"Arlington","Middlesex","MA","2003",4185308522,76200,239374357,16932100,58444380,4500135559,93,7
"Arlington","Middlesex","MA","2004",5627884519,0,271051747,18791800,72886600,5990614666,93.9,6.1
"Arlington","Middlesex","MA","2005",5650865334,0,270099532,18791800,67553170,6007309836,94.1,5.9
"Arlington","Middlesex","MA","2006",6122484385,0,269489678,20197900,71584770,6483756733,94.4,5.6
"Arlington","Middlesex","MA","2007",6635259255,0,289620695,21784000,65057570,7011721520,94.6,5.4
"Arlington","Middlesex","MA","2008",6497342842,0,293832142,21739500,70349800,6883264284,94.4,5.6
"Arlington","Middlesex","MA","2009",6382182512,0,304834211,21787300,81968320,6790772343,94,6
"Arlington","Middlesex","MA","2010",6482931507,0,294051850,20969800,94783100,6892736257,94.1,5.9
"Arlington","Middlesex","MA","2011",6510546607,0,296363250,20969800,98709740,6926589397,94,6
"Arlington","Middlesex","MA","2012",6534177068,0,297247489,20969800,102400210,6954794567,94,6
"Arlington","Middlesex","MA","2013",6750291829,0,332259203,16149400,102576650,7201277082,93.7,6.3
"Ashby","Middlesex","MA","2003",217615600,0,7186600,687100,3264500,228753800,95.1,4.9
"Ashby","Middlesex","MA","2004",241746500,0,7428700,880800,3599200,253655200,95.3,4.7
"Ashby","Middlesex","MA","2005",281100400,0,8155700,1071700,3913500,294241300,95.5,4.5
"Ashby","Middlesex","MA","2006",325026200,0,8713000,1154600,4094100,338987900,95.9,4.1
"Ashby","Middlesex","MA","2007",332686900,0,12153700,1171100,3991400,350003100,95.1,4.9
"Ashby","Middlesex","MA","2008",332834200,0,12297300,1102300,4152964,350386764,95,5
"Ashby","Middlesex","MA","2009",332841290,0,12020110,1120400,5821475,351803275,94.6,5.4
"Ashby","Middlesex","MA","2010",303045953,0,8945276,1007700,6194976,319193905,94.9,5.1
"Ashby","Middlesex","MA","2011",285989400,0,7107000,952200,8273155,302321755,94.6,5.4
"Ashby","Middlesex","MA","2012",265657772,0,7949167,714600,8079285,282400824,94.1,5.9
"Ashby","Middlesex","MA","2013",265047200,0,8655200,701700,8516277,282920377,93.7,6.3
"Ashland","Middlesex","MA","2003",1538759110,12036063,78210190,53703937,25897700,1708607000,90.8,9.2
"Ashland","Middlesex","MA","2004",1578668028,9314000,80231519,52010900,29035230,1749259677,90.8,9.2
"Ashland","Middlesex","MA","2005",1773289500,10098400,91312300,54125800,31332570,1960158570,91,9
"Ashland","Middlesex","MA","2006",2110206300,1413300,113727900,41004200,35067300,2301419000,91.8,8.2
"Ashland","Middlesex","MA","2007",2201338000,835100,116920100,43916800,36129000,2399139000,91.8,8.2
"Ashland","Middlesex","MA","2008",2205246600,737200,117497200,44511900,39237640,2407230540,91.6,8.4
"Ashland","Middlesex","MA","2009",2124422300,422300,117004300,44370700,38062060,2324281660,91.4,8.6
"Ashland","Middlesex","MA","2010",2006673000,321300,111666000,42063300,39820250,2200543850,91.2,8.8
"Ashland","Middlesex","MA","2011",1957335900,314900,109497300,40078500,42556260,2149782860,91.1,8.9
"Ashland","Middlesex","MA","2012",1929956300,314900,109069000,38854800,45048440,2123243440,90.9,9.1
"Ashland","Middlesex","MA","2013",1906087400,314900,109120200,38573400,46960170,2101056070,90.7,9.3
"Ayer","Middlesex","MA","2003",420626800,0,70971400,128614400,131559230,751771830,56,44
"Ayer","Middlesex","MA","2004",462798900,0,78677500,131541900,125676590,798694890,57.9,42.1
"Ayer","Middlesex","MA","2005",544647500,0,83473400,135543300,116440030,880104230,61.9,38.1
"Ayer","Middlesex","MA","2006",598705500,0,87754900,134465700,108596580,929522680,64.4,35.6
"Ayer","Middlesex","MA","2007",630638700,0,89070200,132571800,105772880,958053580,65.8,34.2
"Ayer","Middlesex","MA","2008",668655200,0,93624000,144055300,100495560,1006830060,66.4,33.6
"Ayer","Middlesex","MA","2009",650453000,0,93490300,144581000,102238800,990763100,65.7,34.3
"Ayer","Middlesex","MA","2010",627463300,0,93092300,145299000,106888850,972743450,64.5,35.5
"Ayer","Middlesex","MA","2011",624918400,0,98060200,140806100,103580890,967365590,64.6,35.4
"Ayer","Middlesex","MA","2012",624899400,0,97595100,140761800,108373020,971629320,64.3,35.7
"Ayer","Middlesex","MA","2013",621119500,0,98149200,143514100,106480690,969263490,64.1,35.9
"Bedford","Middlesex","MA","2003",1687152932,8330900,321582468,195247600,50403300,2262717200,74.9,25.1
"Bedford","Middlesex","MA","2004",1762799498,7731900,321376702,202126900,65833400,2359868400,75,25
"Bedford","Middlesex","MA","2005",1936149470,5998900,328604530,207834400,61502700,2540090000,76.5,23.5
"Bedford","Middlesex","MA","2006",2059705099,5381800,335913501,194761600,64409670,2660171670,77.6,22.4
"Bedford","Middlesex","MA","2007",2162403691,5381800,354199909,211299100,65929100,2799213600,77.4,22.6
"Bedford","Middlesex","MA","2008",2212195000,5296600,395663665,220907300,59236100,2893298665,76.6,23.4
"Bedford","Middlesex","MA","2009",2148598800,4909400,384622657,220050600,72515300,2830696757,76.1,23.9
"Bedford","Middlesex","MA","2010",2115408335,4837900,271250635,293984600,70454100,2755935570,76.9,23.1
"Bedford","Middlesex","MA","2011",2144152098,4100100,245573546,267001600,91248060,2752075404,78.1,21.9
"Bedford","Middlesex","MA","2012",2175568303,2389400,238704348,254422200,84509094,2755593345,79,21
"Bedford","Middlesex","MA","2013",2175812786,2285600,241737565,265814100,86205320,2771855371,78.6,21.4
"Belmont","Middlesex","MA","2003",4138059250,0,202556750,14692000,19811400,4375119400,94.6,5.4
"Belmont","Middlesex","MA","2004",4509578650,0,220926600,15103000,20750100,4766358350,94.6,5.4
"Belmont","Middlesex","MA","2005",4732665050,0,219980200,15107000,19200600,4986952850,94.9,5.1
"Belmont","Middlesex","MA","2006",5039271150,0,229782600,15137000,20368300,5304559050,95,5
"Belmont","Middlesex","MA","2007",5283312300,0,254251700,15363000,22430490,5575357490,94.8,5.2
"Belmont","Middlesex","MA","2008",5027252200,0,251670800,15256000,24999160,5319178160,94.5,5.5
"Belmont","Middlesex","MA","2009",4953235800,0,254486500,15350000,34584870,5257657170,94.2,5.8
"Belmont","Middlesex","MA","2010",4978131700,0,258278600,15023000,39696440,5291129740,94.1,5.9
"Belmont","Middlesex","MA","2011",4798063350,0,255584750,15061000,41983850,5110692950,93.9,6.1
"Belmont","Middlesex","MA","2012",4917670640,0,256796660,14920000,44123190,5233510490,94,6
"Belmont","Middlesex","MA","2013",5099153850,0,247718551,14905000,43888150,5405665551,94.3,5.7
"Billerica","Middlesex","MA","2003",3180590770,0,224077582,822790604,95571300,4323030256,73.6,26.4
"Billerica","Middlesex","MA","2004",3541410084,0,232304884,827813321,157593400,4759121689,74.4,25.6
"Billerica","Middlesex","MA","2005",3860877489,0,230654514,845807004,122456900,5059795907,76.3,23.7
"Billerica","Middlesex","MA","2006",4327960099,0,257472157,850417964,116241700,5552091920,78,22
"Billerica","Middlesex","MA","2007",4395344104,0,263444027,860182264,154054900,5673025295,77.5,22.5
"Billerica","Middlesex","MA","2008",4479757648,0,275084134,883712487,160118800,5798673069,77.3,22.7
"Billerica","Middlesex","MA","2009",4378959144,0,295651732,875847750,165368600,5715827226,76.6,23.4
"Billerica","Middlesex","MA","2010",4173919992,0,285073046,836441405,157851000,5453285443,76.5,23.5
"Billerica","Middlesex","MA","2011",4055865760,0,285018359,778716505,198334700,5317935324,76.3,23.7
"Billerica","Middlesex","MA","2012",4028188156,0,267021783,783082034,222198700,5300490673,76,24
"Billerica","Middlesex","MA","2013",4006737103,0,268594743,782113174,224326400,5281771420,75.9,24.1
"Boxborough","Middlesex","MA","2003",656587806,0,75740920,118246490,7374610,857949826,76.5,23.5
"Boxborough","Middlesex","MA","2004",668458861,0,81433421,123734762,8577870,882204914,75.8,24.2
"Boxborough","Middlesex","MA","2005",708686571,0,80829539,128815714,8866140,927197964,76.4,23.6
"Boxborough","Middlesex","MA","2006",782105788,0,84876375,142770314,10044100,1019796577,76.7,23.3
"Boxborough","Middlesex","MA","2007",796389798,0,80697358,141013607,9994460,1028095223,77.5,22.5
"Boxborough","Middlesex","MA","2008",811347716,0,85080563,141119639,14647710,1052195628,77.1,22.9
"Boxborough","Middlesex","MA","2009",784289120,0,90390037,145949404,18360190,1038988751,75.5,24.5
"Boxborough","Middlesex","MA","2010",722063119,0,81176198,138354394,19737030,961330741,75.1,24.9
"Boxborough","Middlesex","MA","2011",716783627,0,74329816,129915715,22556930,943586088,76,24
"Boxborough","Middlesex","MA","2012",711519586,0,75754031,128070575,28972060,944316252,75.3,24.7
"Boxborough","Middlesex","MA","2013",711136122,0,77494492,126975375,29343438,944949427,75.3,24.7
"Burlington","Middlesex","MA","2003",2286662934,0,1153652451,178026500,120924890,3739266775,61.2,38.8
"Burlington","Middlesex","MA","2004",2505182556,0,1049436629,242097600,149268592,3945985377,63.5,36.5
"Burlington","Middlesex","MA","2005",2705838231,0,948607334,236666200,129753280,4020865045,67.3,32.7
"Burlington","Middlesex","MA","2006",3006687085,0,937510580,224742100,110817230,4279756995,70.3,29.7
"Burlington","Middlesex","MA","2007",3153355610,0,1021337855,230982000,109074580,4514750045,69.8,30.2
"Burlington","Middlesex","MA","2008",3100676555,0,1204863610,190844300,115680810,4612065275,67.2,32.8
"Burlington","Middlesex","MA","2009",3101128425,0,1383575440,202918400,132268300,4819890565,64.3,35.7
"Burlington","Middlesex","MA","2010",2938363015,0,1267650950,176476500,136843360,4519333825,65,35
"Burlington","Middlesex","MA","2011",2880926535,0,1276438427,173181200,138221020,4468767182,64.5,35.5
"Burlington","Middlesex","MA","2012",2948417550,0,1340593248,178475200,131561270,4599047268,64.1,35.9
"Burlington","Middlesex","MA","2013",2981261150,0,1366644948,177084100,138298620,4663288818,63.9,36.1
"Cambridge","Middlesex","MA","2003",10819610842,0,5098026024,1465171700,367927030,17750735596,61,39
"Cambridge","Middlesex","MA","2004",12157499831,0,4817575569,1807628600,443868680,19226572680,63.2,36.8
"Cambridge","Middlesex","MA","2005",13871143472,0,4979978681,2029558921,467319450,21348000524,65,35
"Cambridge","Middlesex","MA","2006",13961700133,0,4929916582,2350438485,604842810,21846898010,63.9,36.1
"Cambridge","Middlesex","MA","2007",14135494855,0,4929254804,2443044985,659340690,22167135334,63.8,36.2
"Cambridge","Middlesex","MA","2008",14426863938,0,5541379658,2836456180,736495790,23541195566,61.3,38.7
"Cambridge","Middlesex","MA","2009",14650543720,0,5606217089,2851077812,768220000,23876058621,61.4,38.6
"Cambridge","Middlesex","MA","2010",14894312603,0,5560488691,2905823212,911076100,24271700606,61.4,38.6
"Cambridge","Middlesex","MA","2011",14823583710,0,5528883160,2849991288,959619440,24162077598,61.4,38.6
"Cambridge","Middlesex","MA","2012",15018134067,0,5492364037,2985476645,950980250,24446954999,61.4,38.6
"Cambridge","Middlesex","MA","2013",15566609253,0,5405660055,3171456253,1070246940,25213972501,61.7,38.3
"Carlisle","Middlesex","MA","2003",966679484,498200,5928324,2331082,8305020,983742110,98.3,1.7
"Carlisle","Middlesex","MA","2004",1235963436,496000,6998594,2902515,8971246,1255331791,98.5,1.5
"Carlisle","Middlesex","MA","2005",1252115427,496000,6629053,2902515,9716515,1271859510,98.5,1.5
"Carlisle","Middlesex","MA","2006",1269329227,496000,6592963,2902515,10291339,1289612044,98.5,1.5
"Carlisle","Middlesex","MA","2007",1427279293,545100,9937638,1402200,10750209,1449914440,98.5,1.5
"Carlisle","Middlesex","MA","2008",1439944918,545100,10003267,1402200,11303040,1463198525,98.4,1.6
"Carlisle","Middlesex","MA","2009",1365217612,440000,8743302,1402200,12545573,1388348687,98.4,1.6
"Carlisle","Middlesex","MA","2010",1361355522,0,9859060,1320700,13206208,1385741490,98.2,1.8
"Carlisle","Middlesex","MA","2011",1275454713,0,9191648,1251400,15387468,1301285229,98,2
"Carlisle","Middlesex","MA","2012",1232106185,0,8696439,1206800,15698222,1257707646,98,2
"Carlisle","Middlesex","MA","2013",1203875095,0,6840594,1167200,15964822,1227847711,98,2
"Chelmsford","Middlesex","MA","2003",3060333700,0,298637000,282636700,150274863,3791882263,80.7,19.3
"Chelmsford","Middlesex","MA","2004",3526913445,0,324606255,293886400,135887852,4281293952,82.4,17.6
"Chelmsford","Middlesex","MA","2005",3673220370,0,342545130,297579500,137551140,4450896140,82.5,17.5
"Chelmsford","Middlesex","MA","2006",3990418615,0,359650485,310658100,147499890,4808227090,83,17
"Chelmsford","Middlesex","MA","2007",4422816500,0,404853100,394778300,142045490,5364493390,82.4,17.6
"Chelmsford","Middlesex","MA","2008",4278795190,0,426018710,407575500,135819800,5248209200,81.5,18.5
"Chelmsford","Middlesex","MA","2009",4082445805,0,424149480,408552600,155871260,5071019145,80.5,19.5
"Chelmsford","Middlesex","MA","2010",3913682175,0,399855510,391746900,150144440,4855429025,80.6,19.4
"Chelmsford","Middlesex","MA","2011",3655491245,0,378158075,365978600,167426070,4567053990,80,20
"Chelmsford","Middlesex","MA","2012",3632053345,0,361409675,345789000,175669300,4514921320,80.4,19.6
"Chelmsford","Middlesex","MA","2013",3603918180,0,353189440,334358600,187203250,4478669470,80.5,19.5
"Concord","Middlesex","MA","2003",3937054189,0,323454548,84527400,63265670,4408301807,89.3,10.7
"Concord","Middlesex","MA","2004",3945294989,0,324157176,84630400,57769955,4411852520,89.4,10.6
"Concord","Middlesex","MA","2005",4674203725,0,365089287,34673600,43133903,5117100515,91.3,8.7
"Concord","Middlesex","MA","2006",4736977577,0,390964250,34715100,44878444,5207535371,91,9
"Concord","Middlesex","MA","2007",4841849032,0,392997584,32067100,42340115,5309253831,91.2,8.8
"Concord","Middlesex","MA","2008",5004372457,0,417221422,33111600,44030837,5498736316,91,9
"Concord","Middlesex","MA","2009",4774845032,0,407338498,32638200,49769972,5264591702,90.7,9.3
"Concord","Middlesex","MA","2010",4554723932,0,389617284,31051000,51160013,5026552229,90.6,9.4
"Concord","Middlesex","MA","2011",4569997261,0,389745023,29897900,55499846,5045140030,90.6,9.4
"Concord","Middlesex","MA","2012",4615451797,0,392887960,28958300,52760572,5090058629,90.7,9.3
"Concord","Middlesex","MA","2013",4584014351,0,391496583,28240400,51218760,5054970094,90.7,9.3
"Dracut","Middlesex","MA","2003",1983913840,0,96885560,31573800,40240910,2152614110,92.2,7.8
"Dracut","Middlesex","MA","2004",2009008910,0,97991410,35699880,41436024,2184136224,92,8
"Dracut","Middlesex","MA","2005",2583743420,0,123724720,45888760,49443072,2802799972,92.2,7.8
"Dracut","Middlesex","MA","2006",2916431645,0,129898595,49128360,50325844,3145784444,92.7,7.3
"Dracut","Middlesex","MA","2007",2956755185,0,126265055,49801160,54592227,3187413627,92.8,7.2
"Dracut","Middlesex","MA","2008",2847640830,0,128125220,48027550,62110979,3085904579,92.3,7.7
"Dracut","Middlesex","MA","2009",2828077490,0,148341090,51157220,76957007,3104532807,91.1,8.9
"Dracut","Middlesex","MA","2010",2674178755,0,146432445,50201200,82065174,2952877574,90.6,9.4
"Dracut","Middlesex","MA","2011",2564307045,0,141999075,49561380,81306698,2837174198,90.4,9.6
"Dracut","Middlesex","MA","2012",2599243865,0,143470035,49723500,81498686,2873936086,90.4,9.6
"Dracut","Middlesex","MA","2013",2517610845,0,142641165,49471890,82816425,2792540325,90.2,9.8
"Dunstable","Middlesex","MA","2003",317945990,0,4163385,1497000,7983600,331589975,95.9,4.1
"Dunstable","Middlesex","MA","2004",355796030,0,3836842,1621500,7716400,368970772,96.4,3.6
"Dunstable","Middlesex","MA","2005",410158770,0,4479912,3252800,7758590,425650072,96.4,3.6
"Dunstable","Middlesex","MA","2006",455266885,0,5014897,3805600,7471670,471559052,96.5,3.5
"Dunstable","Middlesex","MA","2007",500487320,0,5298882,4256500,7522050,517564752,96.7,3.3
"Dunstable","Middlesex","MA","2008",516252860,0,5289872,4463000,9157040,535162772,96.5,3.5
"Dunstable","Middlesex","MA","2009",491065990,0,5118455,4257800,10425321,510867566,96.1,3.9
"Dunstable","Middlesex","MA","2010",472882340,0,5011659,4072800,11889100,493855899,95.8,4.2
"Dunstable","Middlesex","MA","2011",465983070,0,4560811,3651400,10590140,484785421,96.1,3.9
"Dunstable","Middlesex","MA","2012",442662900,0,4326531,3103100,9382910,459475441,96.3,3.7
"Dunstable","Middlesex","MA","2013",443558300,0,4271791,3103100,8962380,459895571,96.4,3.6
"Everett","Middlesex","MA","2003",2054466576,0,257860424,914204140,150317900,3376849040,60.8,39.2
"Everett","Middlesex","MA","2004",2132162085,0,269182740,753510820,151894100,3306749745,64.5,35.5
"Everett","Middlesex","MA","2005",2668223143,0,299152507,808048781,151218200,3926642631,68,32
"Everett","Middlesex","MA","2006",3096499500,0,343071595,934921471,186133800,4560626366,67.9,32.1
"Everett","Middlesex","MA","2007",3256839000,0,353528995,965056994,191549000,4766973989,68.3,31.7
"Everett","Middlesex","MA","2008",3280413000,0,391596195,959875707,203966200,4835851102,67.8,32.2
"Everett","Middlesex","MA","2009",2866802631,0,479870815,883114957,208591600,4438380003,64.6,35.4
"Everett","Middlesex","MA","2010",2331177875,0,417812915,736864600,221547200,3707402590,62.9,37.1
"Everett","Middlesex","MA","2011",2083037260,0,391577840,565481528,236601200,3276697828,63.6,36.4
"Everett","Middlesex","MA","2012",2279045425,0,389212235,620877328,246297300,3535432288,64.5,35.5
"Everett","Middlesex","MA","2013",2260825559,0,407665811,616972410,262526300,3547990080,63.7,36.3
"Framingham","Middlesex","MA","2003",5077859838,0,1288688262,247551300,192657550,6806756950,74.6,25.4
"Framingham","Middlesex","MA","2004",5085649349,0,1298842051,246963400,237857790,6869312590,74,26
"Framingham","Middlesex","MA","2005",6010659665,0,1308410835,241211000,202287467,7762568967,77.4,22.6
"Framingham","Middlesex","MA","2006",6670369564,0,1433783036,260586300,226551214,8591290114,77.6,22.4
"Framingham","Middlesex","MA","2007",6801720097,0,1435991403,268539300,235186805,8741437605,77.8,22.2
"Framingham","Middlesex","MA","2008",6809303945,0,1464404355,276993200,250691229,8801392729,77.4,22.6
"Framingham","Middlesex","MA","2009",6632001517,0,1563465663,286796500,252186907,8734450587,75.9,24.1
"Framingham","Middlesex","MA","2010",5981560227,0,1433528853,249292200,270100034,7934481314,75.4,24.6
"Framingham","Middlesex","MA","2011",5628822015,0,1313175863,251056800,266559086,7459613764,75.5,24.5
"Framingham","Middlesex","MA","2012",5816343243,0,1215435396,249626900,248330938,7529736477,77.2,22.8
"Framingham","Middlesex","MA","2013",5581503793,0,1204498235,239864800,242767540,7268634368,76.8,23.2
"Groton","Middlesex","MA","2003",1171860538,0,31023393,12075840,13835880,1228795651,95.4,4.6
"Groton","Middlesex","MA","2004",1208101298,0,31126605,11931940,14402190,1265562033,95.5,4.5
"Groton","Middlesex","MA","2005",1428680586,0,41239352,13502260,15329440,1498751638,95.3,4.7
"Groton","Middlesex","MA","2006",1437807751,0,50565830,13843060,14068980,1516285621,94.8,5.2
"Groton","Middlesex","MA","2007",1516386120,0,64881840,14879230,15941300,1612088490,94.1,5.9
"Groton","Middlesex","MA","2008",1563805420,0,65108800,14156970,20093135,1663164325,94,6
"Groton","Middlesex","MA","2009",1529400400,0,64146170,14162470,25863138,1633572178,93.6,6.4
"Groton","Middlesex","MA","2010",1428578130,0,64851210,14162470,26950635,1534542445,93.1,6.9
"Groton","Middlesex","MA","2011",1405104476,0,61330360,12618270,26419219,1505472325,93.3,6.7
"Groton","Middlesex","MA","2012",1421221654,0,60555300,12739470,26021326,1520537750,93.5,6.5
"Groton","Middlesex","MA","2013",1413786124,0,58689365,12050370,25275839,1509801698,93.6,6.4
"Holliston","Middlesex","MA","2003",1327123176,0,45087665,89483200,22565518,1484259559,89.4,10.6
"Holliston","Middlesex","MA","2004",1555940400,0,51468100,99001400,26374545,1732784445,89.8,10.2
"Holliston","Middlesex","MA","2005",1648852560,0,51569857,103346300,28375498,1832144215,90,10
"Holliston","Middlesex","MA","2006",1785545803,0,53094996,103352100,29278754,1971271653,90.6,9.4
"Holliston","Middlesex","MA","2007",1991067650,0,58297468,118054200,31589430,2199008748,90.5,9.5
"Holliston","Middlesex","MA","2008",1908100520,0,60306551,119011200,32952328,2120370599,90,10
"Holliston","Middlesex","MA","2009",1840462569,0,60430940,125447100,44481254,2070821863,88.9,11.1
"Holliston","Middlesex","MA","2010",1816610457,0,63448622,133793700,47312684,2061165463,88.1,11.9
"Holliston","Middlesex","MA","2011",1736961400,0,62999100,134028500,49881700,1983870700,87.6,12.4
"Holliston","Middlesex","MA","2012",1751073157,0,62712418,135986200,48487225,1998259000,87.6,12.4
"Holliston","Middlesex","MA","2013",1772694140,0,63780981,144167200,52586689,2033229010,87.2,12.8
"Hopkinton","Middlesex","MA","2003",1690590249,220700,62237721,283196121,50938840,2087183631,81,19
