"","Municipal","County","State","Region","Year","No.Unemployed.Avg","No.Employed.Avg","No.Labor.Avg"
"1700","Boxborough","Middlesex County County","MA","Boxborough",1996,66,2382,2448
"1701","Boxborough","Middlesex County County","MA","Boxborough",1997,58,2482,2540
"1702","Boxborough","Middlesex County County","MA","Boxborough",1998,52,2515,2567
"1703","Boxborough","Middlesex County County","MA","Boxborough",1999,47,2579,2626
"1704","Boxborough","Middlesex County County","MA","Boxborough",2000,47,2829,2876
"1705","Boxborough","Middlesex County County","MA","Boxborough",2001,87,2838,2925
"1706","Boxborough","Middlesex County County","MA","Boxborough",2002,152,2791,2943
"1707","Boxborough","Middlesex County County","MA","Boxborough",2003,148,2794,2942
"1708","Boxborough","Middlesex County County","MA","Boxborough",2004,112,2817,2929
"1709","Boxborough","Middlesex County County","MA","Boxborough",2005,107,2857,2964
"1710","Boxborough","Middlesex County County","MA","Boxborough",2006,99,2831,2930
"1711","Boxborough","Middlesex County County","MA","Boxborough",2007,93,2860,2953
"1712","Boxborough","Middlesex County County","MA","Boxborough",2008,105,2859,2964
"1713","Boxborough","Middlesex County County","MA","Boxborough",2009,180,2789,2969
"1714","Boxborough","Middlesex County County","MA","Boxborough",2010,183,2731,2914
"1715","Boxborough","Middlesex County County","MA","Boxborough",2011,158,2772,2930
"1716","Boxborough","Middlesex County County","MA","Boxborough",2012,147,2802,2949
"1717","Boxford","Essex County County","MA","Boxford",1990,120,3311,3431
"1718","Boxford","Essex County County","MA","Boxford",1991,170,3305,3475
"1719","Boxford","Essex County County","MA","Boxford",1992,156,3400,3556
"1720","Boxford","Essex County County","MA","Boxford",1993,162,3548,3710
"1721","Boxford","Essex County County","MA","Boxford",1994,149,3767,3916
"1722","Boxford","Essex County County","MA","Boxford",1995,136,4504,4640
"1723","Boxford","Essex County County","MA","Boxford",1996,101,4711,4812
"1724","Boxford","Essex County County","MA","Boxford",1997,96,4856,4952
"1725","Boxford","Essex County County","MA","Boxford",1998,84,5027,5111
"1726","Boxford","Essex County County","MA","Boxford",1999,94,5209,5303
"1727","Boxford","Essex County County","MA","Boxford",2000,77,4025,4102
"1728","Boxford","Essex County County","MA","Boxford",2001,117,4086,4203
"1729","Boxford","Essex County County","MA","Boxford",2002,175,4051,4226
"1730","Boxford","Essex County County","MA","Boxford",2003,182,4006,4188
"1731","Boxford","Essex County County","MA","Boxford",2004,164,3999,4163
"1732","Boxford","Essex County County","MA","Boxford",2005,142,4022,4164
"1733","Boxford","Essex County County","MA","Boxford",2006,146,3955,4101
"1734","Boxford","Essex County County","MA","Boxford",2007,142,3985,4127
"1735","Boxford","Essex County County","MA","Boxford",2008,160,3988,4148
"1736","Boxford","Essex County County","MA","Boxford",2009,241,3876,4117
"1737","Boxford","Essex County County","MA","Boxford",2010,250,3796,4046
"1738","Boxford","Essex County County","MA","Boxford",2011,221,3841,4062
"1739","Boxford","Essex County County","MA","Boxford",2012,191,3883,4074
"1740","Boylston","Worcester County County","MA","Boylston",1990,127,1828,1955
"1741","Boylston","Worcester County County","MA","Boylston",1991,203,1778,1981
"1742","Boylston","Worcester County County","MA","Boylston",1992,173,1782,1955
"1743","Boylston","Worcester County County","MA","Boylston",1993,137,1823,1960
"1744","Boylston","Worcester County County","MA","Boylston",1994,121,1835,1956
"1745","Boylston","Worcester County County","MA","Boylston",1995,102,1932,2034
"1746","Boylston","Worcester County County","MA","Boylston",1996,81,1978,2059
"1747","Boylston","Worcester County County","MA","Boylston",1997,77,2043,2120
"1748","Boylston","Worcester County County","MA","Boylston",1998,70,2096,2166
"1749","Boylston","Worcester County County","MA","Boylston",1999,73,2105,2178
"1750","Boylston","Worcester County County","MA","Boylston",2000,48,2147,2195
"1751","Boylston","Worcester County County","MA","Boylston",2001,70,2155,2225
"1752","Boylston","Worcester County County","MA","Boylston",2002,115,2147,2262
"1753","Boylston","Worcester County County","MA","Boylston",2003,129,2154,2283
"1754","Boylston","Worcester County County","MA","Boylston",2004,113,2159,2272
"1755","Boylston","Worcester County County","MA","Boylston",2005,112,2193,2305
"1756","Boylston","Worcester County County","MA","Boylston",2006,98,2230,2328
"1757","Boylston","Worcester County County","MA","Boylston",2007,90,2257,2347
"1758","Boylston","Worcester County County","MA","Boylston",2008,108,2214,2322
"1759","Boylston","Worcester County County","MA","Boylston",2009,173,2160,2333
"1760","Boylston","Worcester County County","MA","Boylston",2010,189,2146,2335
"1761","Boylston","Worcester County County","MA","Boylston",2011,158,2166,2324
"1762","Boylston","Worcester County County","MA","Boylston",2012,152,2165,2317
"1763","Braintree","Norfolk County County","MA","Braintree",1990,1018,17114,18132
"1764","Braintree","Norfolk County County","MA","Braintree",1991,1494,16569,18063
"1765","Braintree","Norfolk County County","MA","Braintree",1992,1483,16509,17992
"1766","Braintree","Norfolk County County","MA","Braintree",1993,1206,16529,17735
"1767","Braintree","Norfolk County County","MA","Braintree",1994,1047,16751,17798
"1768","Braintree","Norfolk County County","MA","Braintree",1995,930,17299,18229
"1769","Braintree","Norfolk County County","MA","Braintree",1996,747,17654,18401
"1770","Braintree","Norfolk County County","MA","Braintree",1997,673,18116,18789
"1771","Braintree","Norfolk County County","MA","Braintree",1998,534,18378,18912
"1772","Braintree","Norfolk County County","MA","Braintree",1999,457,18475,18932
"1773","Braintree","Norfolk County County","MA","Braintree",2000,434,17744,18178
"1774","Braintree","Norfolk County County","MA","Braintree",2001,584,17669,18253
"1775","Braintree","Norfolk County County","MA","Braintree",2002,844,17350,18194
"1776","Braintree","Norfolk County County","MA","Braintree",2003,1004,17019,18023
"1777","Braintree","Norfolk County County","MA","Braintree",2004,919,17112,18031
"1778","Braintree","Norfolk County County","MA","Braintree",2005,815,17190,18005
"1779","Braintree","Norfolk County County","MA","Braintree",2006,817,17133,17950
"1780","Braintree","Norfolk County County","MA","Braintree",2007,783,17422,18205
"1781","Braintree","Norfolk County County","MA","Braintree",2008,958,17881,18839
"1782","Braintree","Norfolk County County","MA","Braintree",2009,1428,17284,18712
"1783","Braintree","Norfolk County County","MA","Braintree",2010,1494,17670,19164
"1784","Braintree","Norfolk County County","MA","Braintree",2011,1251,17868,19119
"1785","Braintree","Norfolk County County","MA","Braintree",2012,1160,18063,19223
"1786","Brewster","Barnstable County County","MA","Brewster",1990,261,4174,4435
"1787","Brewster","Barnstable County County","MA","Brewster",1991,340,4102,4442
"1788","Brewster","Barnstable County County","MA","Brewster",1992,341,4083,4424
"1789","Brewster","Barnstable County County","MA","Brewster",1993,297,4268,4565
"1790","Brewster","Barnstable County County","MA","Brewster",1994,262,4372,4634
"1791","Brewster","Barnstable County County","MA","Brewster",1995,210,4376,4586
"1792","Brewster","Barnstable County County","MA","Brewster",1996,193,4521,4714
"1793","Brewster","Barnstable County County","MA","Brewster",1997,181,4616,4797
"1794","Brewster","Barnstable County County","MA","Brewster",1998,170,4719,4889
"1795","Brewster","Barnstable County County","MA","Brewster",1999,128,4947,5075
"1796","Brewster","Barnstable County County","MA","Brewster",2000,148,5145,5293
"1797","Brewster","Barnstable County County","MA","Brewster",2001,166,5206,5372
"1798","Brewster","Barnstable County County","MA","Brewster",2002,199,5306,5505
"1799","Brewster","Barnstable County County","MA","Brewster",2003,235,5413,5648
"1800","Brewster","Barnstable County County","MA","Brewster",2004,235,5460,5695
"1801","Brewster","Barnstable County County","MA","Brewster",2005,225,5425,5650
"1802","Brewster","Barnstable County County","MA","Brewster",2006,227,5424,5651
"1803","Brewster","Barnstable County County","MA","Brewster",2007,223,5392,5615
"1804","Brewster","Barnstable County County","MA","Brewster",2008,280,5338,5618
"1805","Brewster","Barnstable County County","MA","Brewster",2009,419,5210,5629
"1806","Brewster","Barnstable County County","MA","Brewster",2010,457,5202,5659
"1807","Brewster","Barnstable County County","MA","Brewster",2011,412,5193,5605
"1808","Brewster","Barnstable County County","MA","Brewster",2012,361,5280,5641
"1809","Bridgewater","Plymouth County County","MA","Bridgewater",1990,693,10103,10796
"1810","Bridgewater","Plymouth County County","MA","Bridgewater",1991,997,9687,10684
"1811","Bridgewater","Plymouth County County","MA","Bridgewater",1992,1006,9533,10539
"1812","Bridgewater","Plymouth County County","MA","Bridgewater",1993,784,10251,11035
"1813","Bridgewater","Plymouth County County","MA","Bridgewater",1994,694,11061,11755
"1814","Bridgewater","Plymouth County County","MA","Bridgewater",1995,611,11264,11875
"1815","Bridgewater","Plymouth County County","MA","Bridgewater",1996,489,11467,11956
"1816","Bridgewater","Plymouth County County","MA","Bridgewater",1997,431,11945,12376
"1817","Bridgewater","Plymouth County County","MA","Bridgewater",1998,361,12077,12438
"1818","Bridgewater","Plymouth County County","MA","Bridgewater",1999,365,12391,12756
"1819","Bridgewater","Plymouth County County","MA","Bridgewater",2000,305,12846,13151
"1820","Bridgewater","Plymouth County County","MA","Bridgewater",2001,399,12726,13125
"1821","Bridgewater","Plymouth County County","MA","Bridgewater",2002,579,12607,13186
"1822","Bridgewater","Plymouth County County","MA","Bridgewater",2003,660,12354,13014
"1823","Bridgewater","Plymouth County County","MA","Bridgewater",2004,657,12380,13037
"1824","Bridgewater","Plymouth County County","MA","Bridgewater",2005,612,12415,13027
"1825","Bridgewater","Plymouth County County","MA","Bridgewater",2006,596,12564,13160
"1826","Bridgewater","Plymouth County County","MA","Bridgewater",2007,591,12647,13238
"1827","Bridgewater","Plymouth County County","MA","Bridgewater",2008,699,12686,13385
"1828","Bridgewater","Plymouth County County","MA","Bridgewater",2009,1064,12967,14031
"1829","Bridgewater","Plymouth County County","MA","Bridgewater",2010,1097,12619,13716
"1830","Bridgewater","Plymouth County County","MA","Bridgewater",2011,1006,12728,13734
"1831","Bridgewater","Plymouth County County","MA","Bridgewater",2012,923,12841,13764
"1832","Brimfield","Hampden County County","MA","Brimfield",1990,87,1374,1461
"1833","Brimfield","Hampden County County","MA","Brimfield",1991,136,1352,1488
"1834","Brimfield","Hampden County County","MA","Brimfield",1992,153,1296,1449
"1835","Brimfield","Hampden County County","MA","Brimfield",1993,130,1304,1434
"1836","Brimfield","Hampden County County","MA","Brimfield",1994,107,1318,1425
"1837","Brimfield","Hampden County County","MA","Brimfield",1995,100,1535,1635
"1838","Brimfield","Hampden County County","MA","Brimfield",1996,82,1620,1702
"1839","Brimfield","Hampden County County","MA","Brimfield",1997,83,1614,1697
"1840","Brimfield","Hampden County County","MA","Brimfield",1998,77,1565,1642
"1841","Brimfield","Hampden County County","MA","Brimfield",1999,71,1536,1607
"1842","Brimfield","Hampden County County","MA","Brimfield",2000,45,1786,1831
"1843","Brimfield","Hampden County County","MA","Brimfield",2001,66,1821,1887
"1844","Brimfield","Hampden County County","MA","Brimfield",2002,97,1842,1939
"1845","Brimfield","Hampden County County","MA","Brimfield",2003,113,1853,1966
"1846","Brimfield","Hampden County County","MA","Brimfield",2004,110,1878,1988
"1847","Brimfield","Hampden County County","MA","Brimfield",2005,99,1905,2004
"1848","Brimfield","Hampden County County","MA","Brimfield",2006,108,1947,2055
"1849","Brimfield","Hampden County County","MA","Brimfield",2007,106,1953,2059
"1850","Brimfield","Hampden County County","MA","Brimfield",2008,114,1942,2056
"1851","Brimfield","Hampden County County","MA","Brimfield",2009,173,1903,2076
"1852","Brimfield","Hampden County County","MA","Brimfield",2010,162,1809,1971
"1853","Brimfield","Hampden County County","MA","Brimfield",2011,164,1791,1955
"1854","Brimfield","Hampden County County","MA","Brimfield",2012,132,1792,1924
"1855",NA,"Bristol County County","MA","Bristol County County",1990,24323,240931,265254
"1856",NA,"Bristol County County","MA","Bristol County County",1991,33258,232353,265611
"1857",NA,"Bristol County County","MA","Bristol County County",1992,31979,232860,264839
"1858",NA,"Bristol County County","MA","Bristol County County",1993,27713,238197,265910
"1859",NA,"Bristol County County","MA","Bristol County County",1994,24052,242955,267007
"1860",NA,"Bristol County County","MA","Bristol County County",1995,21989,243960,265949
"1861",NA,"Bristol County County","MA","Bristol County County",1996,19622,245280,264902
"1862",NA,"Bristol County County","MA","Bristol County County",1997,17101,251177,268278
"1863",NA,"Bristol County County","MA","Bristol County County",1998,13475,254513,267988
"1864",NA,"Bristol County County","MA","Bristol County County",1999,12534,257366,269900
"1865",NA,"Bristol County County","MA","Bristol County County",2000,10441,267626,278067
"1866",NA,"Bristol County County","MA","Bristol County County",2001,13208,266374,279582
"1867",NA,"Bristol County County","MA","Bristol County County",2002,17497,268084,285581
"1868",NA,"Bristol County County","MA","Bristol County County",2003,18909,267471,286380
"1869",NA,"Bristol County County","MA","Bristol County County",2004,17858,268272,286130
"1870",NA,"Bristol County County","MA","Bristol County County",2005,17171,270583,287754
"1871",NA,"Bristol County County","MA","Bristol County County",2006,17347,273260,290607
"1872",NA,"Bristol County County","MA","Bristol County County",2007,16861,273636,290497
"1873",NA,"Bristol County County","MA","Bristol County County",2008,20586,270811,291397
"1874",NA,"Bristol County County","MA","Bristol County County",2009,31383,261345,292728
"1875",NA,"Bristol County County","MA","Bristol County County",2010,31838,260053,291891
"1876",NA,"Bristol County County","MA","Bristol County County",2011,29053,262273,291326
"1877",NA,"Bristol County County","MA","Bristol County County",2012,27116,263376,290492
"1878","Brockton","Plymouth County County","MA","Brockton",1990,4385,41953,46338
"1879","Brockton","Plymouth County County","MA","Brockton",1991,5856,39354,45210
"1880","Brockton","Plymouth County County","MA","Brockton",1992,5567,38229,43796
"1881","Brockton","Plymouth County County","MA","Brockton",1993,4317,38668,42985
"1882","Brockton","Plymouth County County","MA","Brockton",1994,3557,40358,43915
"1883","Brockton","Plymouth County County","MA","Brockton",1995,3222,42855,46077
"1884","Brockton","Plymouth County County","MA","Brockton",1996,2994,42976,45970
"1885","Brockton","Plymouth County County","MA","Brockton",1997,2594,44258,46852
"1886","Brockton","Plymouth County County","MA","Brockton",1998,2120,44540,46660
"1887","Brockton","Plymouth County County","MA","Brockton",1999,2036,45028,47064
"1888","Brockton","Plymouth County County","MA","Brockton",2000,1540,43817,45357
"1889","Brockton","Plymouth County County","MA","Brockton",2001,2157,43526,45683
"1890","Brockton","Plymouth County County","MA","Brockton",2002,2935,43023,45958
"1891","Brockton","Plymouth County County","MA","Brockton",2003,3280,41894,45174
"1892","Brockton","Plymouth County County","MA","Brockton",2004,3072,41719,44791
"1893","Brockton","Plymouth County County","MA","Brockton",2005,2724,41684,44408
"1894","Brockton","Plymouth County County","MA","Brockton",2006,2721,42029,44750
"1895","Brockton","Plymouth County County","MA","Brockton",2007,2617,42109,44726
"1896","Brockton","Plymouth County County","MA","Brockton",2008,3097,41776,44873
"1897","Brockton","Plymouth County County","MA","Brockton",2009,4694,40593,45287
"1898","Brockton","Plymouth County County","MA","Brockton",2010,5166,40673,45839
"1899","Brockton","Plymouth County County","MA","Brockton",2011,4569,41052,45621
"1900","Brockton","Plymouth County County","MA","Brockton",2012,4115,41416,45531
"1901","Brookfield","Worcester County County","MA","Brookfield",1990,103,1404,1507
"1902","Brookfield","Worcester County County","MA","Brookfield",1991,177,1415,1592
"1903","Brookfield","Worcester County County","MA","Brookfield",1992,178,1391,1569
"1904","Brookfield","Worcester County County","MA","Brookfield",1993,123,1440,1563
"1905","Brookfield","Worcester County County","MA","Brookfield",1994,94,1451,1545
"1906","Brookfield","Worcester County County","MA","Brookfield",1995,68,1362,1430
"1907","Brookfield","Worcester County County","MA","Brookfield",1996,83,1381,1464
"1908","Brookfield","Worcester County County","MA","Brookfield",1997,74,1413,1487
"1909","Brookfield","Worcester County County","MA","Brookfield",1998,62,1436,1498
"1910","Brookfield","Worcester County County","MA","Brookfield",1999,54,1433,1487
"1911","Brookfield","Worcester County County","MA","Brookfield",2000,42,1642,1684
"1912","Brookfield","Worcester County County","MA","Brookfield",2001,54,1644,1698
"1913","Brookfield","Worcester County County","MA","Brookfield",2002,99,1631,1730
"1914","Brookfield","Worcester County County","MA","Brookfield",2003,109,1620,1729
"1915","Brookfield","Worcester County County","MA","Brookfield",2004,98,1610,1708
"1916","Brookfield","Worcester County County","MA","Brookfield",2005,98,1602,1700
"1917","Brookfield","Worcester County County","MA","Brookfield",2006,107,1759,1866
"1918","Brookfield","Worcester County County","MA","Brookfield",2007,110,1765,1875
"1919","Brookfield","Worcester County County","MA","Brookfield",2008,107,1735,1842
"1920","Brookfield","Worcester County County","MA","Brookfield",2009,169,1683,1852
"1921","Brookfield","Worcester County County","MA","Brookfield",2010,177,1679,1856
"1922","Brookfield","Worcester County County","MA","Brookfield",2011,156,1694,1850
"1923","Brookfield","Worcester County County","MA","Brookfield",2012,143,1693,1836
"1924","Brookline","Norfolk County County","MA","Brookline",1990,812,30784,31596
"1925","Brookline","Norfolk County County","MA","Brookline",1991,1240,29218,30458
"1926","Brookline","Norfolk County County","MA","Brookline",1992,1462,28683,30145
"1927","Brookline","Norfolk County County","MA","Brookline",1993,1172,28873,30045
"1928","Brookline","Norfolk County County","MA","Brookline",1994,1102,29189,30291
"1929","Brookline","Norfolk County County","MA","Brookline",1995,887,30233,31120
"1930","Brookline","Norfolk County County","MA","Brookline",1996,698,30763,31461
"1931","Brookline","Norfolk County County","MA","Brookline",1997,612,31428,32040
"1932","Brookline","Norfolk County County","MA","Brookline",1998,488,31717,32205
"1933","Brookline","Norfolk County County","MA","Brookline",1999,474,31770,32244
"1934","Brookline","Norfolk County County","MA","Brookline",2000,561,33760,34321
"1935","Brookline","Norfolk County County","MA","Brookline",2001,881,33571,34452
"1936","Brookline","Norfolk County County","MA","Brookline",2002,1266,32911,34177
"1937","Brookline","Norfolk County County","MA","Brookline",2003,1199,32253,33452
"1938","Brookline","Norfolk County County","MA","Brookline",2004,1021,32001,33022
"1939","Brookline","Norfolk County County","MA","Brookline",2005,924,31989,32913
"1940","Brookline","Norfolk County County","MA","Brookline",2006,872,31907,32779
"1941","Brookline","Norfolk County County","MA","Brookline",2007,841,32167,33008
"1942","Brookline","Norfolk County County","MA","Brookline",2008,1046,32100,33146
"1943","Brookline","Norfolk County County","MA","Brookline",2009,1686,30980,32666
"1944","Brookline","Norfolk County County","MA","Brookline",2010,1554,32735,34289
"1945","Brookline","Norfolk County County","MA","Brookline",2011,1310,33100,34410
"1946","Brookline","Norfolk County County","MA","Brookline",2012,1189,33462,34651
"1947","Buckland","Franklin County County","MA","Buckland",1990,15,1035,1050
"1948","Buckland","Franklin County County","MA","Buckland",1991,19,1047,1066
"1949","Buckland","Franklin County County","MA","Buckland",1992,20,1037,1057
"1950","Buckland","Franklin County County","MA","Buckland",1993,16,1065,1081
"1951","Buckland","Franklin County County","MA","Buckland",1994,16,1152,1168
"1952","Buckland","Franklin County County","MA","Buckland",1995,18,1046,1064
"1953","Buckland","Franklin County County","MA","Buckland",1996,11,1052,1063
"1954","Buckland","Franklin County County","MA","Buckland",1997,12,1074,1086
"1955","Buckland","Franklin County County","MA","Buckland",1998,12,1094,1106
"1956","Buckland","Franklin County County","MA","Buckland",1999,14,1114,1128
"1957","Buckland","Franklin County County","MA","Buckland",2000,15,1128,1143
"1958","Buckland","Franklin County County","MA","Buckland",2001,18,1120,1138
"1959","Buckland","Franklin County County","MA","Buckland",2002,19,1132,1151
"1960","Buckland","Franklin County County","MA","Buckland",2003,25,1136,1161
"1961","Buckland","Franklin County County","MA","Buckland",2004,29,1112,1141
"1962","Buckland","Franklin County County","MA","Buckland",2005,27,1115,1142
"1963","Buckland","Franklin County County","MA","Buckland",2006,29,1125,1154
"1964","Buckland","Franklin County County","MA","Buckland",2007,34,1111,1145
"1965","Buckland","Franklin County County","MA","Buckland",2008,32,1094,1126
"1966","Buckland","Franklin County County","MA","Buckland",2009,43,1063,1106
"1967","Buckland","Franklin County County","MA","Buckland",2010,44,1034,1078
"1968","Buckland","Franklin County County","MA","Buckland",2011,39,1037,1076
"1969","Buckland","Franklin County County","MA","Buckland",2012,40,1040,1080
"1970","Burlington","Middlesex County County","MA","Burlington",1990,732,13821,14553
"1971","Burlington","Middlesex County County","MA","Burlington",1991,1000,13337,14337
"1972","Burlington","Middlesex County County","MA","Burlington",1992,1120,13201,14321
"1973","Burlington","Middlesex County County","MA","Burlington",1993,793,13268,14061
"1974","Burlington","Middlesex County County","MA","Burlington",1994,689,13423,14112
"1975","Burlington","Middlesex County County","MA","Burlington",1995,569,13655,14224
"1976","Burlington","Middlesex County County","MA","Burlington",1996,444,13962,14406
"1977","Burlington","Middlesex County County","MA","Burlington",1997,429,14340,14769
"1978","Burlington","Middlesex County County","MA","Burlington",1998,300,14481,14781
"1979","Burlington","Middlesex County County","MA","Burlington",1999,332,14653,14985
"1980","Burlington","Middlesex County County","MA","Burlington",2000,290,12850,13140
"1981","Burlington","Middlesex County County","MA","Burlington",2001,431,12800,13231
"1982","Burlington","Middlesex County County","MA","Burlington",2002,654,12524,13178
"1983","Burlington","Middlesex County County","MA","Burlington",2003,680,12303,12983
"1984","Burlington","Middlesex County County","MA","Burlington",2004,564,12555,13119
"1985","Burlington","Middlesex County County","MA","Burlington",2005,512,12729,13241
"1986","Burlington","Middlesex County County","MA","Burlington",2006,503,13542,14045
"1987","Burlington","Middlesex County County","MA","Burlington",2007,477,13733,14210
"1988","Burlington","Middlesex County County","MA","Burlington",2008,584,13754,14338
"1989","Burlington","Middlesex County County","MA","Burlington",2009,945,13423,14368
"1990","Burlington","Middlesex County County","MA","Burlington",2010,880,12963,13843
"1991","Burlington","Middlesex County County","MA","Burlington",2011,746,13156,13902
"1992","Burlington","Middlesex County County","MA","Burlington",2012,707,13300,14007
"1993","Cambridge","Middlesex County County","MA","Cambridge",1990,2256,53753,56009
"1994","Cambridge","Middlesex County County","MA","Cambridge",1991,3098,52551,55649
"1995","Cambridge","Middlesex County County","MA","Cambridge",1992,3141,52660,55801
"1996","Cambridge","Middlesex County County","MA","Cambridge",1993,2660,53871,56531
"1997","Cambridge","Middlesex County County","MA","Cambridge",1994,2240,55065,57305
"1998","Cambridge","Middlesex County County","MA","Cambridge",1995,1917,52219,54136
"1999","Cambridge","Middlesex County County","MA","Cambridge",1996,1539,53013,54552
"2000","Cambridge","Middlesex County County","MA","Cambridge",1997,1354,54192,55546
"2001","Cambridge","Middlesex County County","MA","Cambridge",1998,1078,54649,55727
"2002","Cambridge","Middlesex County County","MA","Cambridge",1999,1105,54841,55946
"2003","Cambridge","Middlesex County County","MA","Cambridge",2000,1146,58159,59305
"2004","Cambridge","Middlesex County County","MA","Cambridge",2001,1658,58309,59967
"2005","Cambridge","Middlesex County County","MA","Cambridge",2002,2402,57199,59601
"2006","Cambridge","Middlesex County County","MA","Cambridge",2003,2484,56071,58555
"2007","Cambridge","Middlesex County County","MA","Cambridge",2004,2107,55675,57782
"2008","Cambridge","Middlesex County County","MA","Cambridge",2005,1954,55816,57770
"2009","Cambridge","Middlesex County County","MA","Cambridge",2006,1925,57683,59608
"2010","Cambridge","Middlesex County County","MA","Cambridge",2007,1803,58948,60751
"2011","Cambridge","Middlesex County County","MA","Cambridge",2008,2168,59561,61729
"2012","Cambridge","Middlesex County County","MA","Cambridge",2009,3293,57857,61150
"2013","Cambridge","Middlesex County County","MA","Cambridge",2010,3199,56777,59976
"2014","Cambridge","Middlesex County County","MA","Cambridge",2011,2778,57496,60274
"2015","Cambridge","Middlesex County County","MA","Cambridge",2012,2540,58126,60666
"2016","Canton","Norfolk County County","MA","Canton",1990,550,9987,10537
"2017","Canton","Norfolk County County","MA","Canton",1991,782,9832,10614
"2018","Canton","Norfolk County County","MA","Canton",1992,814,9897,10711
"2019","Canton","Norfolk County County","MA","Canton",1993,618,10183,10801
"2020","Canton","Norfolk County County","MA","Canton",1994,579,10557,11136
"2021","Canton","Norfolk County County","MA","Canton",1995,501,10665,11166
"2022","Canton","Norfolk County County","MA","Canton",1996,408,10984,11392
"2023","Canton","Norfolk County County","MA","Canton",1997,360,11344,11704
"2024","Canton","Norfolk County County","MA","Canton",1998,278,11625,11903
"2025","Canton","Norfolk County County","MA","Canton",1999,264,11779,12043
"2026","Canton","Norfolk County County","MA","Canton",2000,260,10941,11201
"2027","Canton","Norfolk County County","MA","Canton",2001,344,11013,11357
"2028","Canton","Norfolk County County","MA","Canton",2002,500,10936,11436
"2029","Canton","Norfolk County County","MA","Canton",2003,565,10828,11393
"2030","Canton","Norfolk County County","MA","Canton",2004,503,10877,11380
"2031","Canton","Norfolk County County","MA","Canton",2005,449,11023,11472
"2032","Canton","Norfolk County County","MA","Canton",2006,468,10959,11427
"2033","Canton","Norfolk County County","MA","Canton",2007,429,11151,11580
"2034","Canton","Norfolk County County","MA","Canton",2008,539,11162,11701
"2035","Canton","Norfolk County County","MA","Canton",2009,844,10908,11752
"2036","Canton","Norfolk County County","MA","Canton",2010,809,10672,11481
"2037","Canton","Norfolk County County","MA","Canton",2011,706,10792,11498
"2038","Canton","Norfolk County County","MA","Canton",2012,667,10910,11577
"2039","Carlisle","Middlesex County County","MA","Carlisle",1990,59,2404,2463
"2040","Carlisle","Middlesex County County","MA","Carlisle",1991,93,2334,2427
"2041","Carlisle","Middlesex County County","MA","Carlisle",1992,94,2361,2455
"2042","Carlisle","Middlesex County County","MA","Carlisle",1993,67,2444,2511
"2043","Carlisle","Middlesex County County","MA","Carlisle",1994,71,2503,2574
"2044","Carlisle","Middlesex County County","MA","Carlisle",1995,63,2489,2552
"2045","Carlisle","Middlesex County County","MA","Carlisle",1996,52,2560,2612
"2046","Carlisle","Middlesex County County","MA","Carlisle",1997,41,2656,2697
"2047","Carlisle","Middlesex County County","MA","Carlisle",1998,37,2734,2771
"2048","Carlisle","Middlesex County County","MA","Carlisle",1999,47,2791,2838
"2049","Carlisle","Middlesex County County","MA","Carlisle",2000,42,2454,2496
"2050","Carlisle","Middlesex County County","MA","Carlisle",2001,70,2472,2542
"2051","Carlisle","Middlesex County County","MA","Carlisle",2002,128,2449,2577
"2052","Carlisle","Middlesex County County","MA","Carlisle",2003,117,2420,2537
"2053","Carlisle","Middlesex County County","MA","Carlisle",2004,101,2412,2513
"2054","Carlisle","Middlesex County County","MA","Carlisle",2005,92,2436,2528
"2055","Carlisle","Middlesex County County","MA","Carlisle",2006,81,2394,2475
"2056","Carlisle","Middlesex County County","MA","Carlisle",2007,76,2413,2489
"2057","Carlisle","Middlesex County County","MA","Carlisle",2008,90,2410,2500
"2058","Carlisle","Middlesex County County","MA","Carlisle",2009,160,2348,2508
"2059","Carlisle","Middlesex County County","MA","Carlisle",2010,152,2371,2523
"2060","Carlisle","Middlesex County County","MA","Carlisle",2011,109,2406,2515
"2061","Carlisle","Middlesex County County","MA","Carlisle",2012,113,2432,2545
"2062","Carver","Plymouth County County","MA","Carver",1990,391,4744,5135
"2063","Carver","Plymouth County County","MA","Carver",1991,557,4652,5209
"2064","Carver","Plymouth County County","MA","Carver",1992,557,4668,5225
"2065","Carver","Plymouth County County","MA","Carver",1993,494,4810,5304
"2066","Carver","Plymouth County County","MA","Carver",1994,380,4887,5267
"2067","Carver","Plymouth County County","MA","Carver",1995,371,4917,5288
"2068","Carver","Plymouth County County","MA","Carver",1996,303,5063,5366
"2069","Carver","Plymouth County County","MA","Carver",1997,306,5248,5554
"2070","Carver","Plymouth County County","MA","Carver",1998,227,5409,5636
"2071","Carver","Plymouth County County","MA","Carver",1999,217,5557,5774
"2072","Carver","Plymouth County County","MA","Carver",2000,175,5856,6031
"2073","Carver","Plymouth County County","MA","Carver",2001,232,5875,6107
"2074","Carver","Plymouth County County","MA","Carver",2002,302,5824,6126
"2075","Carver","Plymouth County County","MA","Carver",2003,381,5769,6150
"2076","Carver","Plymouth County County","MA","Carver",2004,332,5791,6123
"2077","Carver","Plymouth County County","MA","Carver",2005,327,5888,6215
"2078","Carver","Plymouth County County","MA","Carver",2006,318,5874,6192
"2079","Carver","Plymouth County County","MA","Carver",2007,324,5986,6310
"2080","Carver","Plymouth County County","MA","Carver",2008,377,6019,6396
"2081","Carver","Plymouth County County","MA","Carver",2009,571,5851,6422
