"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"351","Southborough","Worcester County","MA","Southborough","2005-2009",9681,233,"2.4","1.8"
"352","Southbridge","Worcester County","MA","Southbridge","2005-2009",17089,2500,"14.6","3.4"
"353","Spencer","Worcester County","MA","Spencer","2005-2009",12020,679,"5.6","2.1"
"354","Sterling","Worcester County","MA","Sterling","2005-2009",7780,253,"3.3","2"
"355","Sturbridge","Worcester County","MA","Sturbridge","2005-2009",8775,580,"6.6","2.1"
"356","Sutton","Worcester County","MA","Sutton","2005-2009",9094,119,"1.3","1"
"357","Templeton","Worcester County","MA","Templeton","2005-2009",7595,535,"7","3"
"358","Upton","Worcester County","MA","Upton","2005-2009",6521,235,"3.6","2.4"
"359","Uxbridge","Worcester County","MA","Uxbridge","2005-2009",12690,841,"6.6","2.6"
"360","Warren","Worcester County","MA","Warren","2005-2009",5213,298,"5.7","2.6"
"361","Webster","Worcester County","MA","Webster","2005-2009",16446,2358,"14.3","3.7"
"362","Westborough","Worcester County","MA","Westborough","2005-2009",18037,782,"4.3","2"
"363","West Boylston","Worcester County","MA","West Boylston","2005-2009",6092,126,"2.1","1.7"
"364","West Brookfield","Worcester County","MA","West Brookfield","2005-2009",3689,271,"7.3","3.7"
"365","Westminster","Worcester County","MA","Westminster","2005-2009",7363,313,"4.3","2.4"
"366","Winchendon","Worcester County","MA","Winchendon","2005-2009",10163,741,"7.3","2.6"
"367","Worcester","Worcester County","MA","Worcester","2005-2009",166213,29783,"17.9","1.2"
"368",NA,"NA County",NA,"United States","2006-2010",296141149,40917513,"13.8","0.1"
"369",NA,"NA County","MA","MA","2006-2010",6253462,658391,"10.5","0.2"
"370",NA,"Barnstable County","MA","Barnstable County","2006-2010",213500,15284,"7.2","0.6"
"371",NA,"Berkshire County","MA","Berkshire County","2006-2010",126219,14598,"11.6","1.1"
"372",NA,"Bristol County","MA","Bristol County","2006-2010",531848,60215,"11.3","0.6"
"373",NA,"Dukes County","MA","Dukes County","2006-2010",16145,1395,"8.6","3"
"374",NA,"Essex County","MA","Essex County","2006-2010",722167,72705,"10.1","0.4"
"375",NA,"Franklin County","MA","Franklin County","2006-2010",70464,7951,"11.3","1.2"
"376",NA,"Hampden County","MA","Hampden County","2006-2010",446866,76875,"17.2","0.7"
"377",NA,"Hampshire County","MA","Hampshire County","2006-2010",134316,15751,"11.7","0.8"
"378",NA,"Middlesex County","MA","Middlesex County","2006-2010",1428271,108660,"7.6","0.3"
"379",NA,"Nantucket County","MA","Nantucket County","2006-2010",9967,714,"7.2","3.1"
"380",NA,"Norfolk County","MA","Norfolk County","2006-2010",644183,39902,"6.2","0.4"
"381",NA,"Plymouth County","MA","Plymouth County","2006-2010",477030,33604,"7","0.4"
"382",NA,"Suffolk County","MA","Suffolk County","2006-2010",667668,137697,"20.6","0.5"
"383",NA,"Worcester County","MA","Worcester County","2006-2010",764818,73040,"9.5","0.4"
"384","Barnstable","Barnstable County","MA","Barnstable","2006-2010",45389,3211,"7.1","1.5"
"385","Bourne","Barnstable County","MA","Bourne","2006-2010",17994,1479,"8.2","2.3"
"386","Brewster","Barnstable County","MA","Brewster","2006-2010",9602,938,"9.8","2.8"
"387","Chatham","Barnstable County","MA","Chatham","2006-2010",5905,416,"7","2.6"
"388","Dennis","Barnstable County","MA","Dennis","2006-2010",14538,1730,"11.9","3.5"
"389","Eastham","Barnstable County","MA","Eastham","2006-2010",5060,291,"5.8","2.4"
"390","Falmouth","Barnstable County","MA","Falmouth","2006-2010",31175,2011,"6.5","1.3"
"391","Harwich","Barnstable County","MA","Harwich","2006-2010",12214,971,"7.9","2.8"
"392","Mashpee","Barnstable County","MA","Mashpee","2006-2010",13785,1046,"7.6","2.7"
"393","Orleans","Barnstable County","MA","Orleans","2006-2010",5950,296,"5","4.3"
"394","Provincetown","Barnstable County","MA","Provincetown","2006-2010",2981,262,"8.8","4"
"395","Sandwich","Barnstable County","MA","Sandwich","2006-2010",20314,461,"2.3","0.9"
"396","Truro","Barnstable County","MA","Truro","2006-2010",1831,154,"8.4","7.9"
"397","Wellfleet","Barnstable County","MA","Wellfleet","2006-2010",2946,125,"4.2","3.7"
"398","Yarmouth","Barnstable County","MA","Yarmouth","2006-2010",23816,1893,"7.9","2"
"399","Adams","Berkshire County","MA","Adams","2006-2010",8517,876,"10.3","3"
"400","Alford","Berkshire County","MA","Alford","2006-2010",432,16,"3.7","1.8"
"401","Becket","Berkshire County","MA","Becket","2006-2010",1593,219,"13.7","7.2"
"402","Cheshire","Berkshire County","MA","Cheshire","2006-2010",3255,394,"12.1","6.2"
"403","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010",1886,60,"3.2","1.3"
"404","Dalton","Berkshire County","MA","Dalton","2006-2010",6608,438,"6.6","2.9"
"405","Egremont","Berkshire County","MA","Egremont","2006-2010",1210,57,"4.7","2.5"
"406","Florida","Berkshire County","MA","Florida","2006-2010",763,39,"5.1","2.9"
"407","Great Barrington","Berkshire County","MA","Great Barrington","2006-2010",6746,575,"8.5","3"
"408","Hancock","Berkshire County","MA","Hancock","2006-2010",713,59,"8.3","7.4"
"409","Hinsdale","Berkshire County","MA","Hinsdale","2006-2010",2228,96,"4.3","3.1"
"410","Lanesborough","Berkshire County","MA","Lanesborough","2006-2010",3061,64,"2.1","1.6"
"411","Lee","Berkshire County","MA","Lee","2006-2010",5934,581,"9.8","8.3"
"412","Lenox","Berkshire County","MA","Lenox","2006-2010",4882,374,"7.7","4.3"
"413","Monterey","Berkshire County","MA","Monterey","2006-2010",773,148,"19.1","18."
"414","Mount Washington","Berkshire County","MA","Mount Washington","2006-2010",133,4,"3","4.5"
"415","New Ashford","Berkshire County","MA","New Ashford","2006-2010",234,13,"5.6","7.2"
"416","New Marlborough","Berkshire County","MA","New Marlborough","2006-2010",1557,54,"3.5","1.9"
"417","North Adams","Berkshire County","MA","North Adams","2006-2010",12230,1964,"16.1","3"
"418","Otis","Berkshire County","MA","Otis","2006-2010",1166,136,"11.7","5.1"
"419","Peru","Berkshire County","MA","Peru","2006-2010",798,63,"7.9","4.4"
"420","Pittsfield","Berkshire County","MA","Pittsfield","2006-2010",43517,6949,"16","2.2"
"421","Richmond","Berkshire County","MA","Richmond","2006-2010",1702,55,"3.2","1.7"
"422","Sandisfield","Berkshire County","MA","Sandisfield","2006-2010",831,37,"4.5","2.9"
"423","Savoy","Berkshire County","MA","Savoy","2006-2010",747,36,"4.8","3.1"
"424","Sheffield","Berkshire County","MA","Sheffield","2006-2010",3261,279,"8.6","4.1"
"425","Stockbridge","Berkshire County","MA","Stockbridge","2006-2010",1604,140,"8.7","5.5"
"426","Tyringham","Berkshire County","MA","Tyringham","2006-2010",408,14,"3.4","4.7"
"427","Washington","Berkshire County","MA","Washington","2006-2010",593,19,"3.2","2.7"
"428","West Stockbridge","Berkshire County","MA","West Stockbridge","2006-2010",1511,69,"4.6","2.1"
"429","Williamstown","Berkshire County","MA","Williamstown","2006-2010",6356,747,"11.8","5.8"
"430","Windsor","Berkshire County","MA","Windsor","2006-2010",970,23,"2.4","2.2"
"431","Acushnet","Bristol County","MA","Acushnet","2006-2010",10278,470,"4.6","2.6"
"432","Attleboro","Bristol County","MA","Attleboro","2006-2010",42866,3094,"7.2","1.4"
"433","Berkley","Bristol County","MA","Berkley","2006-2010",6301,392,"6.2","3.4"
"434","Dartmouth","Bristol County","MA","Dartmouth","2006-2010",30102,1394,"4.6","0.9"
"435","Dighton","Bristol County","MA","Dighton","2006-2010",6917,244,"3.5","2.7"
"436","Easton","Bristol County","MA","Easton","2006-2010",20101,561,"2.8","0.8"
"437","Fairhaven","Bristol County","MA","Fairhaven","2006-2010",15499,1576,"10.2","2.9"
"438","Fall River","Bristol County","MA","Fall River","2006-2010",87796,17750,"20.2","1.8"
"439","Freetown","Bristol County","MA","Freetown","2006-2010",8750,423,"4.8","2.4"
"440","Mansfield","Bristol County","MA","Mansfield","2006-2010",23024,1253,"5.4","1.7"
"441","New Bedford","Bristol County","MA","New Bedford","2006-2010",92761,21013,"22.7","1.9"
"442","North Attleborough","Bristol County","MA","North Attleborough","2006-2010",28334,1150,"4.1","1.4"
"443","Norton","Bristol County","MA","Norton","2006-2010",17092,802,"4.7","1.9"
"444","Raynham","Bristol County","MA","Raynham","2006-2010",13074,305,"2.3","1.3"
"445","Rehoboth","Bristol County","MA","Rehoboth","2006-2010",11292,524,"4.6","2.6"
"446","Seekonk","Bristol County","MA","Seekonk","2006-2010",13624,580,"4.3","1.8"
"447","Somerset","Bristol County","MA","Somerset","2006-2010",17650,570,"3.2","1.4"
"448","Swansea","Bristol County","MA","Swansea","2006-2010",15743,707,"4.5","2.4"
"449","Taunton","Bristol County","MA","Taunton","2006-2010",55396,6697,"12.1","1.8"
"450","Westport","Bristol County","MA","Westport","2006-2010",15248,710,"4.7","1.4"
"451","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",404,41,"10.1","6.9"
"452","Chilmark","Dukes County","MA","Chilmark","2006-2010",1014,82,"8.1","5.8"
"453","Edgartown","Dukes County","MA","Edgartown","2006-2010",3984,468,"11.7","6.3"
"454","Gosnold","Dukes County","MA","Gosnold","2006-2010",198,0,"0","17."
"455","Oak Bluffs","Dukes County","MA","Oak Bluffs","2006-2010",4354,409,"9.4","8.8"
"456","Tisbury","Dukes County","MA","Tisbury","2006-2010",3886,169,"4.3","2.7"
"457","West Tisbury","Dukes County","MA","West Tisbury","2006-2010",2305,226,"9.8","5.6"
"458","Amesbury","Essex County","MA","Amesbury","2006-2010",15949,595,"3.7","1.4"
"459","Andover","Essex County","MA","Andover","2006-2010",32239,1193,"3.7","1"
"460","Beverly","Essex County","MA","Beverly","2006-2010",37010,3345,"9","1.7"
"461","Boxford","Essex County","MA","Boxford","2006-2010",7917,167,"2.1","2"
"462","Danvers","Essex County","MA","Danvers","2006-2010",25816,1475,"5.7","1.8"
"463","Essex","Essex County","MA","Essex","2006-2010",3445,19,"0.6","0.7"
"464","Georgetown","Essex County","MA","Georgetown","2006-2010",7949,124,"1.6","1.1"
"465","Gloucester","Essex County","MA","Gloucester","2006-2010",28638,2246,"7.8","1.9"
"466","Groveland","Essex County","MA","Groveland","2006-2010",6309,254,"4","2.3"
"467","Hamilton","Essex County","MA","Hamilton","2006-2010",7366,477,"6.5","4.6"
"468","Haverhill","Essex County","MA","Haverhill","2006-2010",59532,6592,"11.1","1.5"
"469","Ipswich","Essex County","MA","Ipswich","2006-2010",12855,593,"4.6","2"
"470","Lawrence","Essex County","MA","Lawrence","2006-2010",74175,19641,"26.5","2.1"
"471","Lynn","Essex County","MA","Lynn","2006-2010",89195,17258,"19.3","1.7"
"472","Lynnfield","Essex County","MA","Lynnfield","2006-2010",11487,476,"4.1","2.7"
"473","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2006-2010",5129,178,"3.5","1.8"
"474","Marblehead","Essex County","MA","Marblehead","2006-2010",19780,944,"4.8","1.6"
"475","Merrimac","Essex County","MA","Merrimac","2006-2010",6251,238,"3.8","2.8"
"476","Methuen","Essex County","MA","Methuen","2006-2010",45867,3257,"7.1","1.4"
"477","Middleton","Essex County","MA","Middleton","2006-2010",7528,284,"3.8","3.6"
"478","Nahant","Essex County","MA","Nahant","2006-2010",3431,107,"3.1","3.2"
"479","Newbury","Essex County","MA","Newbury","2006-2010",6643,247,"3.7","2"
"480","Newburyport","Essex County","MA","Newburyport","2006-2010",16976,982,"5.8","1.5"
"481","North Andover","Essex County","MA","North Andover","2006-2010",26461,984,"3.7","1.1"
"482","Peabody","Essex County","MA","Peabody","2006-2010",50025,3036,"6.1","1.1"
"483","Rockport","Essex County","MA","Rockport","2006-2010",7053,263,"3.7","1.3"
"484","Rowley","Essex County","MA","Rowley","2006-2010",5757,476,"8.3","7.4"
"485","Salem","Essex County","MA","Salem","2006-2010",39806,4300,"10.8","1.7"
"486","Salisbury","Essex County","MA","Salisbury","2006-2010",8143,525,"6.4","1.8"
"487","Saugus","Essex County","MA","Saugus","2006-2010",26050,1338,"5.1","1.3"
"488","Swampscott","Essex County","MA","Swampscott","2006-2010",13529,686,"5.1","2.7"
"489","Topsfield","Essex County","MA","Topsfield","2006-2010",5946,141,"2.4","1.8"
"490","Wenham","Essex County","MA","Wenham","2006-2010",3721,126,"3.4","1.9"
"491","West Newbury","Essex County","MA","West Newbury","2006-2010",4189,138,"3.3","3.1"
"492","Ashfield","Franklin County","MA","Ashfield","2006-2010",1732,159,"9.2","4.7"
"493","Bernardston","Franklin County","MA","Bernardston","2006-2010",2235,91,"4.1","2.3"
"494","Buckland","Franklin County","MA","Buckland","2006-2010",2068,214,"10.3","5.8"
"495","Charlemont","Franklin County","MA","Charlemont","2006-2010",1199,122,"10.2","4.4"
"496","Colrain","Franklin County","MA","Colrain","2006-2010",1811,143,"7.9","3.4"
"497","Conway","Franklin County","MA","Conway","2006-2010",1911,132,"6.9","2.7"
"498","Deerfield","Franklin County","MA","Deerfield","2006-2010",5032,354,"7","4.5"
"499","Erving","Franklin County","MA","Erving","2006-2010",1804,153,"8.5","3.6"
"500","Gill","Franklin County","MA","Gill","2006-2010",1413,83,"5.9","2.9"
"501","Greenfield","Franklin County","MA","Greenfield","2006-2010",17006,2528,"14.9","3.2"
"502","Hawley","Franklin County","MA","Hawley","2006-2010",354,36,"10.2","8.9"
"503","Heath","Franklin County","MA","Heath","2006-2010",438,56,"12.8","8.7"
"504","Leverett","Franklin County","MA","Leverett","2006-2010",1803,323,"17.9","9.9"
"505","Leyden","Franklin County","MA","Leyden","2006-2010",650,17,"2.6","2"
"506","Monroe","Franklin County","MA","Monroe","2006-2010",110,20,"18.2","19."
"507","Montague","Franklin County","MA","Montague","2006-2010",8366,1405,"16.8","4.2"
"508","New Salem","Franklin County","MA","New Salem","2006-2010",931,60,"6.4","2.9"
"509","Northfield","Franklin County","MA","Northfield","2006-2010",2989,53,"1.8","1.5"
"510","Orange","Franklin County","MA","Orange","2006-2010",7736,911,"11.8","4.8"
"511","Rowe","Franklin County","MA","Rowe","2006-2010",386,47,"12.2","5.4"
"512","Shelburne","Franklin County","MA","Shelburne","2006-2010",1944,152,"7.8","3.8"
"513","Shutesbury","Franklin County","MA","Shutesbury","2006-2010",1890,157,"8.3","3"
"514","Sunderland","Franklin County","MA","Sunderland","2006-2010",3612,581,"16.1","5.1"
"515","Warwick","Franklin County","MA","Warwick","2006-2010",539,29,"5.4","3.5"
"516","Wendell","Franklin County","MA","Wendell","2006-2010",939,59,"6.3","4.4"
"517","Whately","Franklin County","MA","Whately","2006-2010",1566,66,"4.2","3.3"
"518","Agawam","Hampden County","MA","Agawam","2006-2010",27762,2235,"8.1","2.1"
"519","Blandford","Hampden County","MA","Blandford","2006-2010",1184,65,"5.5","2.5"
"520","Brimfield","Hampden County","MA","Brimfield","2006-2010",3544,124,"3.5","2.8"
"521","Chester","Hampden County","MA","Chester","2006-2010",1275,91,"7.1","3.6"
"522","Chicopee","Hampden County","MA","Chicopee","2006-2010",54234,8369,"15.4","2"
"523","East Longmeadow","Hampden County","MA","East Longmeadow","2006-2010",15094,446,"3","1.3"
"524","Granville","Hampden County","MA","Granville","2006-2010",1525,20,"1.3","1"
"525","Hampden","Hampden County","MA","Hampden","2006-2010",5047,129,"2.6","2.1"
"526","Holland","Hampden County","MA","Holland","2006-2010",2644,187,"7.1","4"
"527","Holyoke","Hampden County","MA","Holyoke","2006-2010",38998,12344,"31.7","2.6"
"528","Longmeadow","Hampden County","MA","Longmeadow","2006-2010",15065,357,"2.4","1.3"
"529","Ludlow","Hampden County","MA","Ludlow","2006-2010",19484,1063,"5.5","1.7"
"530","Monson","Hampden County","MA","Monson","2006-2010",8450,711,"8.4","3.8"
"531","Montgomery","Hampden County","MA","Montgomery","2006-2010",732,24,"3.3","3.6"
"532","Palmer","Hampden County","MA","Palmer","2006-2010",12093,1422,"11.8","3.3"
"533","Russell","Hampden County","MA","Russell","2006-2010",1658,104,"6.3","3.4"
"534","Southwick","Hampden County","MA","Southwick","2006-2010",9360,375,"4","2.6"
"535","Springfield","Hampden County","MA","Springfield","2006-2010",146156,40319,"27.6","1.4"
"536","Tolland","Hampden County","MA","Tolland","2006-2010",494,17,"3.4","3.7"
"537","Wales","Hampden County","MA","Wales","2006-2010",1901,85,"4.5","2"
"538","Westfield","Hampden County","MA","Westfield","2006-2010",38369,4543,"11.8","2.1"
"539","West Springfield","Hampden County","MA","West Springfield","2006-2010",27929,3414,"12.2","2.6"
"540","Wilbraham","Hampden County","MA","Wilbraham","2006-2010",13868,431,"3.1","1.2"
"541","Amherst","Hampshire County","MA","Amherst","2006-2010",21415,6113,"28.5","3.3"
"542","Belchertown","Hampshire County","MA","Belchertown","2006-2010",14196,814,"5.7","2.2"
"543","Chesterfield","Hampshire County","MA","Chesterfield","2006-2010",1013,44,"4.3","2.4"
"544","Cummington","Hampshire County","MA","Cummington","2006-2010",917,124,"13.5","5.5"
"545","Easthampton","Hampshire County","MA","Easthampton","2006-2010",15959,987,"6.2","1.9"
"546","Goshen","Hampshire County","MA","Goshen","2006-2010",1080,6,"0.6","0.6"
"547","Granby","Hampshire County","MA","Granby","2006-2010",6218,354,"5.7","3.1"
"548","Hadley","Hampshire County","MA","Hadley","2006-2010",4733,338,"7.1","3.2"
"549","Hatfield","Hampshire County","MA","Hatfield","2006-2010",3268,367,"11.2","6.5"
"550","Huntington","Hampshire County","MA","Huntington","2006-2010",2191,234,"10.7","5.4"
"551","Middlefield","Hampshire County","MA","Middlefield","2006-2010",418,3,"0.7","1"
"552","Northampton","Hampshire County","MA","Northampton","2006-2010",24856,3244,"13.1","2.1"
"553","Pelham","Hampshire County","MA","Pelham","2006-2010",1246,58,"4.7","2.6"
"554","Plainfield","Hampshire County","MA","Plainfield","2006-2010",611,32,"5.2","3.1"
"555","Southampton","Hampshire County","MA","Southampton","2006-2010",5689,282,"5","3.4"
"556","South Hadley","Hampshire County","MA","South Hadley","2006-2010",15306,1055,"6.9","2.7"
"557","Ware","Hampshire County","MA","Ware","2006-2010",9826,1349,"13.7","3.9"
"558","Westhampton","Hampshire County","MA","Westhampton","2006-2010",1577,82,"5.2","2.3"
"559","Williamsburg","Hampshire County","MA","Williamsburg","2006-2010",2633,177,"6.7","2.9"
"560","Worthington","Hampshire County","MA","Worthington","2006-2010",1164,88,"7.6","5.1"
"561","Acton","Middlesex County","MA","Acton","2006-2010",21243,800,"3.8","1.6"
"562","Arlington","Middlesex County","MA","Arlington","2006-2010",42195,2052,"4.9","1.1"
"563","Ashby","Middlesex County","MA","Ashby","2006-2010",2951,123,"4.2","2"
"564","Ashland","Middlesex County","MA","Ashland","2006-2010",16021,496,"3.1","1.4"
"565","Ayer","Middlesex County","MA","Ayer","2006-2010",7073,1215,"17.2","8.8"
"566","Bedford","Middlesex County","MA","Bedford","2006-2010",12581,580,"4.6","2.5"
"567","Belmont","Middlesex County","MA","Belmont","2006-2010",24106,1174,"4.9","1.5"
"568","Billerica","Middlesex County","MA","Billerica","2006-2010",38797,1284,"3.3","1.1"
"569","Boxborough","Middlesex County","MA","Boxborough","2006-2010",4908,312,"6.4","3.5"
"570","Burlington","Middlesex County","MA","Burlington","2006-2010",23899,662,"2.8","0.9"
"571","Cambridge","Middlesex County","MA","Cambridge","2006-2010",94746,14202,"15","1.3"
"572","Carlisle","Middlesex County","MA","Carlisle","2006-2010",4766,287,"6","3.9"
"573","Chelmsford","Middlesex County","MA","Chelmsford","2006-2010",33212,1281,"3.9","1.7"
"574","Concord","Middlesex County","MA","Concord","2006-2010",15631,678,"4.3","1.7"
"575","Dracut","Middlesex County","MA","Dracut","2006-2010",28908,1035,"3.6","1.1"
"576","Dunstable","Middlesex County","MA","Dunstable","2006-2010",3076,140,"4.6","4.1"
"577","Everett","Middlesex County","MA","Everett","2006-2010",40261,4774,"11.9","2.3"
"578","Framingham","Middlesex County","MA","Framingham","2006-2010",63568,5569,"8.8","1.3"
"579","Groton","Middlesex County","MA","Groton","2006-2010",10228,231,"2.3","1.2"
"580","Holliston","Middlesex County","MA","Holliston","2006-2010",13301,237,"1.8","0.8"
"581","Hopkinton","Middlesex County","MA","Hopkinton","2006-2010",14474,254,"1.8","1.2"
"582","Hudson","Middlesex County","MA","Hudson","2006-2010",18632,1325,"7.1","2.1"
"583","Lexington","Middlesex County","MA","Lexington","2006-2010",30265,959,"3.2","0.7"
"584","Lincoln","Middlesex County","MA","Lincoln","2006-2010",6546,112,"1.7","1.5"
"585","Littleton","Middlesex County","MA","Littleton","2006-2010",8557,302,"3.5","2"
"586","Lowell","Middlesex County","MA","Lowell","2006-2010",101443,17802,"17.5","1.6"
"587","Malden","Middlesex County","MA","Malden","2006-2010",58063,7436,"12.8","2.2"
"588","Marlborough","Middlesex County","MA","Marlborough","2006-2010",37511,2994,"8","1.9"
"589","Maynard","Middlesex County","MA","Maynard","2006-2010",10036,357,"3.6","2"
"590","Medford","Middlesex County","MA","Medford","2006-2010",53257,4436,"8.3","1.2"
"591","Melrose","Middlesex County","MA","Melrose","2006-2010",26300,1244,"4.7","1.4"
"592","Natick","Middlesex County","MA","Natick","2006-2010",31821,1114,"3.5","0.8"
"593","Newton","Middlesex County","MA","Newton","2006-2010",74098,4365,"5.9","0.9"
"594","North Reading","Middlesex County","MA","North Reading","2006-2010",14361,656,"4.6","1.9"
"595","Pepperell","Middlesex County","MA","Pepperell","2006-2010",11277,299,"2.7","1.1"
"596","Reading","Middlesex County","MA","Reading","2006-2010",24112,419,"1.7","0.7"
"597","Sherborn","Middlesex County","MA","Sherborn","2006-2010",4089,121,"3","2.4"
"598","Shirley","Middlesex County","MA","Shirley","2006-2010",5846,459,"7.9","5"
"599","Somerville","Middlesex County","MA","Somerville","2006-2010",72350,10648,"14.7","1.8"
"600","Stoneham","Middlesex County","MA","Stoneham","2006-2010",21038,1370,"6.5","1.8"
"601","Stow","Middlesex County","MA","Stow","2006-2010",6395,191,"3","2.1"
"602","Sudbury","Middlesex County","MA","Sudbury","2006-2010",17058,370,"2.2","0.8"
"603","Tewksbury","Middlesex County","MA","Tewksbury","2006-2010",28019,801,"2.9","1.1"
"604","Townsend","Middlesex County","MA","Townsend","2006-2010",8764,459,"5.2","2.2"
"605","Tyngsborough","Middlesex County","MA","Tyngsborough","2006-2010",11124,456,"4.1","2.2"
"606","Wakefield","Middlesex County","MA","Wakefield","2006-2010",24437,591,"2.4","0.9"
"607","Waltham","Middlesex County","MA","Waltham","2006-2010",51324,5901,"11.5","1.7"
"608","Watertown","Middlesex County","MA","Watertown","2006-2010",31200,1998,"6.4","1.9"
"609","Wayland","Middlesex County","MA","Wayland","2006-2010",12864,241,"1.9","0.8"
"610","Westford","Middlesex County","MA","Westford","2006-2010",21300,242,"1.1","0.6"
"611","Weston","Middlesex County","MA","Weston","2006-2010",10562,433,"4.1","2"
"612","Wilmington","Middlesex County","MA","Wilmington","2006-2010",21717,467,"2.2","1.2"
"613","Winchester","Middlesex County","MA","Winchester","2006-2010",20681,524,"2.5","1"
"614","Woburn","Middlesex County","MA","Woburn","2006-2010",37279,2182,"5.9","1.5"
"615","Nantucket","Nantucket County","MA","Nantucket","2006-2010",9967,714,"7.2","3.1"
"616","Avon","Norfolk County","MA","Avon","2006-2010",4335,135,"3.1","2"
"617","Bellingham","Norfolk County","MA","Bellingham","2006-2010",15977,780,"4.9","1.9"
"618","Braintree","Norfolk County","MA","Braintree","2006-2010",34720,1822,"5.2","1.5"
"619","Brookline","Norfolk County","MA","Brookline","2006-2010",56440,7405,"13.1","1.9"
"620","Canton","Norfolk County","MA","Canton","2006-2010",20411,885,"4.3","1.4"
"621","Cohasset","Norfolk County","MA","Cohasset","2006-2010",7290,87,"1.2","1.1"
"622","Dedham","Norfolk County","MA","Dedham","2006-2010",23323,1140,"4.9","1.3"
"623","Dover","Norfolk County","MA","Dover","2006-2010",5528,109,"2","1.9"
"624","Foxborough","Norfolk County","MA","Foxborough","2006-2010",16621,288,"1.7","0.9"
"625","Franklin","Norfolk County","MA","Franklin","2006-2010",30339,1326,"4.4","1.3"
"626","Holbrook","Norfolk County","MA","Holbrook","2006-2010",10539,400,"3.8","1.7"
"627","Medfield","Norfolk County","MA","Medfield","2006-2010",11896,189,"1.6","0.9"
"628","Medway","Norfolk County","MA","Medway","2006-2010",12422,343,"2.8","1.5"
"629","Millis","Norfolk County","MA","Millis","2006-2010",7808,184,"2.4","1.4"
"630","Milton","Norfolk County","MA","Milton","2006-2010",25893,990,"3.8","1.5"
"631","Needham","Norfolk County","MA","Needham","2006-2010",27680,1049,"3.8","1.5"
"632","Norfolk","Norfolk County","MA","Norfolk","2006-2010",8571,327,"3.8","1.8"
"633","Norwood","Norfolk County","MA","Norwood","2006-2010",27788,1683,"6.1","1.4"
"634","Plainville","Norfolk County","MA","Plainville","2006-2010",8091,340,"4.2","2.2"
"635","Quincy","Norfolk County","MA","Quincy","2006-2010",89653,8776,"9.8","1.1"
"636","Randolph","Norfolk County","MA","Randolph","2006-2010",31447,2234,"7.1","2.1"
"637","Sharon","Norfolk County","MA","Sharon","2006-2010",17368,768,"4.4","1.7"
"638","Stoughton","Norfolk County","MA","Stoughton","2006-2010",26040,2040,"7.8","2"
"639","Walpole","Norfolk County","MA","Walpole","2006-2010",22994,1064,"4.6","1.8"
"640","Wellesley","Norfolk County","MA","Wellesley","2006-2010",23045,968,"4.2","1.3"
"641","Westwood","Norfolk County","MA","Westwood","2006-2010",14359,562,"3.9","1.5"
"642","Weymouth","Norfolk County","MA","Weymouth","2006-2010",52882,3688,"7","1.1"
"643","Wrentham","Norfolk County","MA","Wrentham","2006-2010",10723,320,"3","1.8"
"644","Abington","Plymouth County","MA","Abington","2006-2010",15521,685,"4.4","1.6"
"645","Bridgewater","Plymouth County","MA","Bridgewater","2006-2010",21169,1265,"6","2.2"
"646","Brockton","Plymouth County","MA","Brockton","2006-2010",92468,13513,"14.6","1.2"
"647","Carver","Plymouth County","MA","Carver","2006-2010",11411,643,"5.6","2.7"
"648","Duxbury","Plymouth County","MA","Duxbury","2006-2010",14784,385,"2.6","1.6"
"649","East Bridgewater","Plymouth County","MA","East Bridgewater","2006-2010",13279,820,"6.2","3.8"
"650","Halifax","Plymouth County","MA","Halifax","2006-2010",7462,421,"5.6","2.9"
"651","Hanover","Plymouth County","MA","Hanover","2006-2010",13743,469,"3.4","1.4"
"652","Hanson","Plymouth County","MA","Hanson","2006-2010",10087,471,"4.7","3.1"
"653","Hingham","Plymouth County","MA","Hingham","2006-2010",21375,661,"3.1","1.3"
"654","Hull","Plymouth County","MA","Hull","2006-2010",10400,1024,"9.8","3.7"
"655","Kingston","Plymouth County","MA","Kingston","2006-2010",12139,773,"6.4","2.4"
"656","Lakeville","Plymouth County","MA","Lakeville","2006-2010",10285,247,"2.4","1.4"
"657","Marion","Plymouth County","MA","Marion","2006-2010",4775,105,"2.2","1.6"
"658","Marshfield","Plymouth County","MA","Marshfield","2006-2010",24841,1084,"4.4","1.3"
"659","Mattapoisett","Plymouth County","MA","Mattapoisett","2006-2010",6069,306,"5","2.7"
"660","Middleborough","Plymouth County","MA","Middleborough","2006-2010",20502,1470,"7.2","2"
"661","Norwell","Plymouth County","MA","Norwell","2006-2010",10060,171,"1.7","0.8"
"662","Pembroke","Plymouth County","MA","Pembroke","2006-2010",17629,608,"3.4","1.4"
"663","Plymouth","Plymouth County","MA","Plymouth","2006-2010",53447,3459,"6.5","1.2"
"664","Plympton","Plymouth County","MA","Plympton","2006-2010",2777,73,"2.6","1.6"
