"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"1358","Foxborough","Norfolk County","MA","Foxborough","2008-2012",16819,670,"4","1.6"
"1359","Franklin","Norfolk County","MA","Franklin","2008-2012",30831,1104,"3.6","1.2"
"1360","Holbrook","Norfolk County","MA","Holbrook","2008-2012",10581,824,"7.8","2.6"
"1361","Medfield","Norfolk County","MA","Medfield","2008-2012",11982,472,"3.9","1.7"
"1362","Medway","Norfolk County","MA","Medway","2008-2012",12631,298,"2.4","0.9"
"1363","Millis","Norfolk County","MA","Millis","2008-2012",7859,290,"3.7","2.4"
"1364","Milton","Norfolk County","MA","Milton","2008-2012",25315,1211,"4.8","1.7"
"1365","Needham","Norfolk County","MA","Needham","2008-2012",28082,1176,"4.2","1.4"
"1366","Norfolk","Norfolk County","MA","Norfolk","2008-2012",9091,465,"5.1","2.5"
"1367","Norwood","Norfolk County","MA","Norwood","2008-2012",28142,1972,"7","1.9"
"1368","Plainville","Norfolk County","MA","Plainville","2008-2012",8278,390,"4.7","1.9"
"1369","Quincy","Norfolk County","MA","Quincy","2008-2012",91061,9078,"10","1"
"1370","Randolph","Norfolk County","MA","Randolph","2008-2012",32008,3043,"9.5","2.4"
"1371","Sharon","Norfolk County","MA","Sharon","2008-2012",17546,611,"3.5","1"
"1372","Stoughton","Norfolk County","MA","Stoughton","2008-2012",26838,2006,"7.5","2.1"
"1373","Walpole","Norfolk County","MA","Walpole","2008-2012",23196,970,"4.2","1.6"
"1374","Wellesley","Norfolk County","MA","Wellesley","2008-2012",23445,803,"3.4","1.3"
"1375","Westwood","Norfolk County","MA","Westwood","2008-2012",14584,476,"3.3","1.3"
"1376","Weymouth","Norfolk County","MA","Weymouth","2008-2012",53439,3918,"7.3","1.5"
"1377","Wrentham","Norfolk County","MA","Wrentham","2008-2012",10773,384,"3.6","1.7"
"1378","Abington","Plymouth County","MA","Abington","2008-2012",15780,599,"3.8","1.5"
"1379","Bridgewater","Plymouth County","MA","Bridgewater","2008-2012",21996,1228,"5.6","2.2"
"1380","Brockton","Plymouth County","MA","Brockton","2008-2012",92495,15790,"17.1","1.4"
"1381","Carver","Plymouth County","MA","Carver","2008-2012",11476,770,"6.7","3.1"
