"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"311","Barre","Worcester County","MA","Barre","2006-2010",3886,"188",11.4,3.9,91.3,3.3,29.3,6,2010
"678","Barre","Worcester County","MA","Barre","2007-2011",3808,"174",12.4,3.9,92.8,2.9,31.5,5.5,2011
"1045","Barre","Worcester County","MA","Barre","2008-2012",3649,"218",9.8,3.6,93.5,2.5,27.3,5.7,2012
"34","Becket","Berkshire County","MA","Becket","2006-2010",1249,"153",16.1,4.8,89.5,6,32.7,6.6,2010
"401","Becket","Berkshire County","MA","Becket","2007-2011",1382,"159",15.9,4.3,90.9,3.5,30.8,6,2011
"768","Becket","Berkshire County","MA","Becket","2008-2012",1470,"137",17.6,4.8,92.4,3.1,34.6,6.2,2012
"199","Bedford","Middlesex County","MA","Bedford","2006-2010",9182,"239",32.9,3.6,97.4,1.4,63.8,3.7,2010
"566","Bedford","Middlesex County","MA","Bedford","2007-2011",9077,"278",32.2,4,97.1,1.7,63.8,4.3,2011
"933","Bedford","Middlesex County","MA","Bedford","2008-2012",9205,"267",32.8,3.2,97.5,1.4,62.9,3.4,2012
"175","Belchertown","Hampshire County","MA","Belchertown","2006-2010",9795,"222",15.1,2.3,93.1,1.6,39.5,3.6,2010
"542","Belchertown","Hampshire County","MA","Belchertown","2007-2011",9874,"263",15.5,2.5,93.8,1.8,40,3.7,2011
"909","Belchertown","Hampshire County","MA","Belchertown","2008-2012",9955,"285",16.4,2.4,94.3,1.7,41,3.9,2012
"250","Bellingham","Norfolk County","MA","Bellingham","2006-2010",10901,"337",10.3,2.1,89.8,2.3,31.6,3.4,2010
"617","Bellingham","Norfolk County","MA","Bellingham","2007-2011",10953,"322",9.3,1.7,90.5,2.1,31.6,3.6,2011
"984","Bellingham","Norfolk County","MA","Bellingham","2008-2012",11428,"271",9.4,1.8,91.9,2.3,32.5,3.5,2012
"200","Belmont","Middlesex County","MA","Belmont","2006-2010",17412,"300",41,2.3,96.5,0.9,68.1,2.3,2010
"567","Belmont","Middlesex County","MA","Belmont","2007-2011",17284,"313",41.6,2.6,96.5,0.9,69.8,2.4,2011
"934","Belmont","Middlesex County","MA","Belmont","2008-2012",17406,"298",43.1,2.5,96.7,0.8,70.4,2.6,2012
"66","Berkley","Bristol County","MA","Berkley","2006-2010",4127,"154",4.2,2.2,88.5,3.5,22.9,5,2010
"433","Berkley","Bristol County","MA","Berkley","2007-2011",3974,"161",5.4,2.5,87.6,3.7,23.9,4.4,2011
"800","Berkley","Bristol County","MA","Berkley","2008-2012",4062,"223",5.7,3,87,4.3,24.4,5.5,2012
"4",NA,"Berkshire County","MA","Berkshire County","2006-2010",93038,"194",12.6,0.8,90.2,0.7,29.6,1.2,2010
"371",NA,"Berkshire County","MA","Berkshire County","2007-2011",93241,"203",12.8,0.7,90.7,0.8,30.2,1.1,2011
"738",NA,"Berkshire County","MA","Berkshire County","2008-2012",93083,"200",12.6,0.8,91,0.6,29.8,1,2012
"312","Berlin","Worcester County","MA","Berlin","2006-2010",2079,"80",10.7,3.5,93,2.2,36,5,2010
"679","Berlin","Worcester County","MA","Berlin","2007-2011",2077,"81",13.5,3.7,93.7,2.3,38.7,5.4,2011
"1046","Berlin","Worcester County","MA","Berlin","2008-2012",2100,"74",18,4.3,94.4,1.8,45,6.4,2012
"126","Bernardston","Franklin County","MA","Bernardston","2006-2010",1614,"117",8.5,3.3,91.7,2.2,24,4.5,2010
"493","Bernardston","Franklin County","MA","Bernardston","2007-2011",1623,"152",9.4,3.4,90.4,2.7,23.5,5.2,2011
"860","Bernardston","Franklin County","MA","Bernardston","2008-2012",1571,"121",7.4,2.7,92,2.4,25,5.6,2012
"93","Beverly","Essex County","MA","Beverly","2006-2010",27623,"665",16.5,1.7,93.5,1.3,40.5,2.9,2010
"460","Beverly","Essex County","MA","Beverly","2007-2011",27019,"618",17.4,1.4,93.4,1.1,42.3,1.9,2011
"827","Beverly","Essex County","MA","Beverly","2008-2012",27209,"491",17.2,1.6,94,0.9,41.8,2.2,2012
"201","Billerica","Middlesex County","MA","Billerica","2006-2010",27229,"461",10.7,1.3,92,1.2,29.6,2,2010
"568","Billerica","Middlesex County","MA","Billerica","2007-2011",27465,"421",10.8,1.4,92.2,1.3,29.7,2.3,2011
"935","Billerica","Middlesex County","MA","Billerica","2008-2012",27886,"523",10.5,1.3,92.2,1.3,29.2,2.1,2012
"313","Blackstone","Worcester County","MA","Blackstone","2006-2010",6002,"287",7,2.9,88.6,3.2,22.1,4.6,2010
"680","Blackstone","Worcester County","MA","Blackstone","2007-2011",6151,"289",8.2,2.8,88.1,3.2,24.3,4.5,2011
"1047","Blackstone","Worcester County","MA","Blackstone","2008-2012",6017,"236",8.9,3.1,90.1,3.1,27,4.2,2012
"152","Blandford","Hampden County","MA","Blandford","2006-2010",841,"84",9.3,3,92.5,2.7,24.6,5.1,2010
"519","Blandford","Hampden County","MA","Blandford","2007-2011",865,"97",9.4,2.8,94.6,2.4,27.1,5.4,2011
"886","Blandford","Hampden County","MA","Blandford","2008-2012",844,"93",9.2,3.2,95.3,2.2,26.7,5.8,2012
"314","Bolton","Worcester County","MA","Bolton","2006-2010",3159,"109",30.6,5,97.4,2.4,65.5,5.5,2010
"681","Bolton","Worcester County","MA","Bolton","2007-2011",3161,"129",28,3.9,98.7,1.4,63.9,4.3,2011
"1048","Bolton","Worcester County","MA","Bolton","2008-2012",3233,"152",31.2,5.3,97.8,1.7,64.3,5.1,2012
"304","Boston","Suffolk County","MA","Boston","2006-2010",385036,"1067",19.1,0.5,84.3,0.5,42.5,0.5,2010
"671","Boston","Suffolk County","MA","Boston","2007-2011",389917,"1011",19.4,0.4,84.2,0.4,42.8,0.5,2011
"1038","Boston","Suffolk County","MA","Boston","2008-2012",398348,"1094",19.5,0.4,84.5,0.5,43.4,0.5,2012
"18","Bourne","Barnstable County","MA","Bourne","2006-2010",12942,"523",12.9,1.9,95.9,1.2,36.2,2.8,2010
"385","Bourne","Barnstable County","MA","Bourne","2007-2011",13518,"385",14.1,2.1,95.9,1.2,36.3,3.3,2011
"752","Bourne","Barnstable County","MA","Bourne","2008-2012",13734,"394",14.2,2.3,96.4,0.9,35.2,3.1,2012
"202","Boxborough","Middlesex County","MA","Boxborough","2006-2010",3263,"118",35.4,5,97.8,1.4,69.7,5.3,2010
"569","Boxborough","Middlesex County","MA","Boxborough","2007-2011",3317,"146",37.3,5,97.9,1.4,71.2,6,2011
"936","Boxborough","Middlesex County","MA","Boxborough","2008-2012",3408,"163",40.1,4.7,98.4,1.2,74.6,4.9,2012
"94","Boxford","Essex County","MA","Boxford","2006-2010",5041,"209",29,4.4,98.8,1.2,63.3,5.3,2010
"461","Boxford","Essex County","MA","Boxford","2007-2011",5282,"187",25.3,4.5,98.8,1.2,60.4,4.7,2011
"828","Boxford","Essex County","MA","Boxford","2008-2012",5433,"191",26.8,4.3,98.7,0.9,63,5,2012
"315","Boylston","Worcester County","MA","Boylston","2006-2010",3021,"84",21.8,4.9,95.9,2.3,46.8,5.2,2010
"682","Boylston","Worcester County","MA","Boylston","2007-2011",3031,"110",22.3,4.4,96.6,1.8,49.2,5.1,2011
"1049","Boylston","Worcester County","MA","Boylston","2008-2012",3024,"131",22.7,3.5,95.1,2.5,50.5,5,2012
"251","Braintree","Norfolk County","MA","Braintree","2006-2010",24761,"364",11.8,1.4,93.3,1.2,36.4,2,2010
