"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Ashburnham","MA",2007,"Total, All Industries",1089,697,127,39459479
"Ashby","MA",2007,"Total, All Industries",308,589,78,9432599
"Ashfield","MA",2007,"Total, All Industries",245,443,40,5647795
"Ashland","MA",2007,"Total, All Industries",4994,778,469,201983125
"Athol","MA",2007,"Total, All Industries",3382,624,249,109661122
"Attleboro","MA",2007,"Total, All Industries",18664,792,1088,768573473
"Auburn","MA",2007,"Total, All Industries",10696,768,624,427256608
"Avon","MA",2007,"Total, All Industries",5420,1016,261,286417003
"Ayer","MA",2007,"Total, All Industries",7433,882,328,340804665
"Barnstable","MA",2007,"Total, All Industries",27565,756,2275,1084037711
"Barre","MA",2007,"Total, All Industries",1242,684,133,44187494
"Becket","MA",2007,"Total, All Industries",417,486,38,10527730
"Bedford","MA",2007,"Total, All Industries",18135,1693,627,1596883592
"Belchertown","MA",2007,"Total, All Industries",2433,567,303,71762806
"Bellingham","MA",2007,"Total, All Industries",5636,621,424,182033164
"Belmont","MA",2007,"Total, All Industries",6394,845,645,280965079
"Berkley","MA",2007,"Total, All Industries",619,640,111,20595182
"Berlin","MA",2007,"Total, All Industries",477,670,87,16606657
"Bernardston","MA",2007,"Total, All Industries",376,556,57,10867019
"Beverly","MA",2007,"Total, All Industries",21129,1139,1311,1251462540
"Billerica","MA",2007,"Total, All Industries",22867,1330,1189,1581202955
"Blackstone","MA",2007,"Total, All Industries",1208,691,148,43404420
"Blandford","MA",2007,"Total, All Industries",235,296,17,3618775
"Bolton","MA",2007,"Total, All Industries",1527,1056,164,83814977
"Boston","MA",2007,"Total, All Industries",562720,1476,20021,43177859589
"Bourne","MA",2007,"Total, All Industries",7362,759,742,290715215
"Boxborough","MA",2007,"Total, All Industries",3834,3262,169,650290025
"Boxford","MA",2007,"Total, All Industries",947,840,175,41373079
"Boylston","MA",2007,"Total, All Industries",1665,796,164,68902675
"Braintree","MA",2007,"Total, All Industries",28204,864,1476,1267011537
"Brewster","MA",2007,"Total, All Industries",2612,626,305,85039102
"Bridgewater","MA",2007,"Total, All Industries",7757,858,544,346238435
"Brimfield","MA",2007,"Total, All Industries",561,665,83,19408482
"Brockton","MA",2007,"Total, All Industries",38026,780,2200,1542763146
"Brookfield","MA",2007,"Total, All Industries",463,751,71,18092086
"Brookline","MA",2007,"Total, All Industries",14279,807,1582,598971993
"Buckland","MA",2007,"Total, All Industries",401,502,38,10468645
"Burlington","MA",2007,"Total, All Industries",38146,1491,1571,2956950810
"Cambridge","MA",2007,"Total, All Industries",107730,1422,4033,7967005834
"Canton","MA",2007,"Total, All Industries",23451,1194,1030,1455955209
"Carlisle","MA",2007,"Total, All Industries",768,1012,137,40404436
"Carver","MA",2007,"Total, All Industries",2777,627,248,90502103
"Charlemont","MA",2007,"Total, All Industries",391,374,44,7611551
"Charlton","MA",2007,"Total, All Industries",3674,737,300,140827747
"Chatham","MA",2007,"Total, All Industries",3337,655,407,113722056
"Chelmsford","MA",2007,"Total, All Industries",21229,1181,1127,1303886693
"Chelsea","MA",2007,"Total, All Industries",13348,846,717,587480210
"Cheshire","MA",2007,"Total, All Industries",443,666,55,15333409
"Chester","MA",2007,"Total, All Industries",112,487,25,2837782
"Chesterfield","MA",2007,"Total, All Industries",124,491,24,3163807
"Chicopee","MA",2007,"Total, All Industries",20002,730,1233,759666240
"Chilmark","MA",2007,"Total, All Industries",276,678,66,9730188
"Clarksburg","MA",2007,"Total, All Industries",172,514,21,4598631
"Clinton","MA",2007,"Total, All Industries",4327,872,331,196150560
"Cohasset","MA",2007,"Total, All Industries",2499,717,286,93121310
"Colrain","MA",2007,"Total, All Industries",191,617,40,6132983
"Concord","MA",2007,"Total, All Industries",12808,1193,925,794492599
"Conway","MA",2007,"Total, All Industries",217,477,41,5383523
"Cummington","MA",2007,"Total, All Industries",230,526,24,6293408
"Dalton","MA",2007,"Total, All Industries",2102,896,162,97979710
"Danvers","MA",2007,"Total, All Industries",25289,884,1205,1162670713
"Dartmouth","MA",2007,"Total, All Industries",15813,673,995,553777212
"Dedham","MA",2007,"Total, All Industries",14869,889,872,687378297
"Deerfield","MA",2007,"Total, All Industries",4452,956,204,221267315
"Dennis","MA",2007,"Total, All Industries",4735,636,586,156592392
"Dighton","MA",2007,"Total, All Industries",1788,694,164,64555608
"Douglas","MA",2007,"Total, All Industries",917,706,156,33652832
"Dover","MA",2007,"Total, All Industries",812,963,155,40668724
"Dracut","MA",2007,"Total, All Industries",5109,738,590,196132904
"Dudley","MA",2007,"Total, All Industries",2661,693,190,95826324
"Dunstable","MA",2007,"Total, All Industries",290,626,57,9443228
"Duxbury","MA",2007,"Total, All Industries",2871,798,396,119095524
"East Bridgewater","MA",2007,"Total, All Industries",2720,589,285,83244958
"East Brookfield","MA",2007,"Total, All Industries",434,554,51,12501714
"East Longmeadow","MA",2007,"Total, All Industries",8339,774,545,335641082
"Eastham","MA",2007,"Total, All Industries",1258,575,207,37590352
"Easthampton","MA",2007,"Total, All Industries",4691,657,401,160256969
"Easton","MA",2007,"Total, All Industries",9669,784,811,394405585
"Edgartown","MA",2007,"Total, All Industries",2359,763,345,93621399
"Egremont","MA",2007,"Total, All Industries",302,466,56,7316508
"Erving","MA",2007,"Total, All Industries",320,693,27,11535782
"Essex","MA",2007,"Total, All Industries",1282,705,170,46977502
"Everett","MA",2007,"Total, All Industries",12761,977,784,648244014
"Fairhaven","MA",2007,"Total, All Industries",6249,744,496,241607287
"Fall River","MA",2007,"Total, All Industries",36206,712,2422,1341016816
"Falmouth","MA",2007,"Total, All Industries",14525,812,1202,613195964
"Fitchburg","MA",2007,"Total, All Industries",13013,734,965,497011312
"Florida","MA",2007,"Total, All Industries",71,512,19,1891849
"Foxborough","MA",2007,"Total, All Industries",10333,1231,611,661567835
"Framingham","MA",2007,"Total, All Industries",45646,1268,2210,3009788545
"Franklin","MA",2007,"Total, All Industries",16227,1077,888,908730731
"Freetown","MA",2007,"Total, All Industries",3861,839,257,168472287
"Gardner","MA",2007,"Total, All Industries",8671,710,489,319916878
"Georgetown","MA",2007,"Total, All Industries",2351,818,221,100056206
"Gill","MA",2007,"Total, All Industries",293,445,33,6784320
"Gloucester","MA",2007,"Total, All Industries",10838,996,1041,561338111
"Goshen","MA",2007,"Total, All Industries",149,478,23,3704493
"Gosnold","MA",2007,"Total, All Industries",46,386,12,922826
"Grafton","MA",2007,"Total, All Industries",4325,991,346,222931374
"Granby","MA",2007,"Total, All Industries",794,592,143,24430767
"Granville","MA",2007,"Total, All Industries",162,459,26,3863179
"Great Barrington","MA",2007,"Total, All Industries",5223,635,509,172546072
"Greenfield","MA",2007,"Total, All Industries",10125,650,708,342198071
"Groton","MA",2007,"Total, All Industries",3417,850,262,151019737
"Groveland","MA",2007,"Total, All Industries",1175,838,137,51179659
"Hadley","MA",2007,"Total, All Industries",4956,565,332,145647688
"Halifax","MA",2007,"Total, All Industries",1326,515,131,35476318
"Hamilton","MA",2007,"Total, All Industries",1468,710,227,54204887
"Hampden","MA",2007,"Total, All Industries",884,651,131,29908815
"Hancock","MA",2007,"Total, All Industries",537,468,24,13070803
"Hanover","MA",2007,"Total, All Industries",7063,750,687,275615560
"Hanson","MA",2007,"Total, All Industries",1624,739,218,62403915
"Hardwick","MA",2007,"Total, All Industries",401,669,66,13959840
"Harvard","MA",2007,"Total, All Industries",1064,963,184,53281211
"Harwich","MA",2007,"Total, All Industries",3846,650,443,129921409
"Hatfield","MA",2007,"Total, All Industries",2409,800,113,100230547
"Haverhill","MA",2007,"Total, All Industries",18207,760,1344,719919904
"Hawley","MA",2007,"Total, All Industries",20,420,9,436808
"Heath","MA",2007,"Total, All Industries",83,414,12,1786676
"Hingham","MA",2007,"Total, All Industries",11955,966,903,600421566
"Hinsdale","MA",2007,"Total, All Industries",292,481,49,7296223
"Holbrook","MA",2007,"Total, All Industries",2741,836,306,119163220
"Holden","MA",2007,"Total, All Industries",3599,817,328,152986027
"Holland","MA",2007,"Total, All Industries",147,592,25,4527203
"Holliston","MA",2007,"Total, All Industries",5337,1034,454,286933974
"Holyoke","MA",2007,"Total, All Industries",21972,679,1538,776095415
"Hopedale","MA",2007,"Total, All Industries",1668,911,180,79040375
"Hopkinton","MA",2007,"Total, All Industries",8934,1684,460,782188264
"Hubbardston","MA",2007,"Total, All Industries",569,550,74,16261904
"Hudson","MA",2007,"Total, All Industries",10405,1119,558,605217412
"Hull","MA",2007,"Total, All Industries",1338,595,205,41390214
"Huntington","MA",2007,"Total, All Industries",448,555,44,12929666
"Ipswich","MA",2007,"Total, All Industries",4233,914,439,201077253
"Kingston","MA",2007,"Total, All Industries",5761,567,464,169828700
"Lakeville","MA",2007,"Total, All Industries",3341,737,312,128049743
"Lancaster","MA",2007,"Total, All Industries",2047,633,180,67406847
"Lanesborough","MA",2007,"Total, All Industries",1835,418,138,39867598
"Lawrence","MA",2007,"Total, All Industries",23274,769,1562,930497632
"Lee","MA",2007,"Total, All Industries",3897,719,350,145679993
"Leicester","MA",2007,"Total, All Industries",2310,623,232,74849189
"Lenox","MA",2007,"Total, All Industries",4419,568,308,130625610
"Leominster","MA",2007,"Total, All Industries",18822,677,1242,662551983
"Leverett","MA",2007,"Total, All Industries",219,530,47,6036978
"Lexington","MA",2007,"Total, All Industries",19161,1533,1214,1527174453
"Leyden","MA",2007,"Total, All Industries",70,250,7,910468
"Lincoln","MA",2007,"Total, All Industries",1759,1243,192,113690521
"Littleton","MA",2007,"Total, All Industries",5018,1210,352,315689899
"Longmeadow","MA",2007,"Total, All Industries",3351,645,298,112336579
"Lowell","MA",2007,"Total, All Industries",33353,914,1950,1584831442
"Ludlow","MA",2007,"Total, All Industries",6467,744,494,250181934
"Lunenburg","MA",2007,"Total, All Industries",2450,724,235,92215268
"Lynn","MA",2007,"Total, All Industries",23024,948,1333,1134582120
"Lynnfield","MA",2007,"Total, All Industries",5757,808,376,241788256
"Malden","MA",2007,"Total, All Industries",15261,833,1076,661316998
"Manchester-by-the-Sea","MA",2007,"Total, All Industries",1680,862,228,75344905
"Mansfield","MA",2007,"Total, All Industries",11193,1150,631,669474101
"Marblehead","MA",2007,"Total, All Industries",5027,791,676,206673621
"Marion","MA",2007,"Total, All Industries",2121,886,213,97743013
"Marlborough","MA",2007,"Total, All Industries",30387,1425,1443,2251884631
"Marshfield","MA",2007,"Total, All Industries",5518,720,604,206558950
"Mashpee","MA",2007,"Total, All Industries",4500,632,452,147848492
"Mattapoisett","MA",2007,"Total, All Industries",1811,640,231,60265223
"Maynard","MA",2007,"Total, All Industries",5130,1486,330,396398407
"Medfield","MA",2007,"Total, All Industries",2896,838,361,126234249
"Medford","MA",2007,"Total, All Industries",18123,902,1226,849998020
"Medway","MA",2007,"Total, All Industries",3429,768,341,136917930
"Melrose","MA",2007,"Total, All Industries",6278,801,560,261397219
"Mendon","MA",2007,"Total, All Industries",1243,597,175,38609321
"Merrimac","MA",2007,"Total, All Industries",688,622,120,22256494
"Methuen","MA",2007,"Total, All Industries",15214,752,1009,594541367
"Middleborough","MA",2007,"Total, All Industries",8895,870,635,402411194
"Middlefield","MA",2007,"Total, All Industries",47,476,9,1163612
"Middleton","MA",2007,"Total, All Industries",4601,859,335,205462764
"Milford","MA",2007,"Total, All Industries",15264,1179,868,935996197
"Millbury","MA",2007,"Total, All Industries",5565,664,319,192069513
"Millis","MA",2007,"Total, All Industries",2216,650,244,74900004
"Millville","MA",2007,"Total, All Industries",277,432,45,6225014
"Milton","MA",2007,"Total, All Industries",5402,815,503,229021791
"Monroe","MA",2007,"Total, All Industries",17,204,4,180212
"Monson","MA",2007,"Total, All Industries",1427,670,209,49717598
"Montague","MA",2007,"Total, All Industries",2855,685,223,101714291
"Monterey","MA",2007,"Total, All Industries",132,614,34,4217636
"Montgomery","MA",2007,"Total, All Industries",29,522,13,787628
"Mount Washington","MA",2007,"Total, All Industries",12,505,6,315177
"Nahant","MA",2007,"Total, All Industries",508,594,72,15691976
"Nantucket","MA",2007,"Total, All Industries",6563,869,1014,296731782
"Natick","MA",2007,"Total, All Industries",23588,1099,1493,1348470037
"Needham","MA",2007,"Total, All Industries",19831,1499,1338,1545575813
"New Ashford","MA",2007,"Total, All Industries",40,571,5,1187919
"New Bedford","MA",2007,"Total, All Industries",36984,747,2730,1437056864
"New Marlborough","MA",2007,"Total, All Industries",438,621,51,14135692
"New Salem","MA",2007,"Total, All Industries",147,541,29,4133928
"Newbury","MA",2007,"Total, All Industries",1520,725,180,57268200
"Newburyport","MA",2007,"Total, All Industries",10638,813,862,449819798
"Newton","MA",2007,"Total, All Industries",47480,1083,3588,2672888450
"Norfolk","MA",2007,"Total, All Industries",2859,945,267,140423261
"North Adams","MA",2007,"Total, All Industries",5994,671,423,209276615
"North Andover","MA",2007,"Total, All Industries",13718,953,934,679799671
"North Attleborough","MA",2007,"Total, All Industries",12177,557,902,352991759
"North Brookfield","MA",2007,"Total, All Industries",1002,726,88,37844747
"North Reading","MA",2007,"Total, All Industries",7825,1090,476,443555931
"Northampton","MA",2007,"Total, All Industries",18374,769,1123,734749553
"Northborough","MA",2007,"Total, All Industries",6791,965,535,340834532
"Northbridge","MA",2007,"Total, All Industries",5257,654,300,178752140
"Northfield","MA",2007,"Total, All Industries",981,604,57,30833375
"Norton","MA",2007,"Total, All Industries",6211,781,432,252330565
"Norwell","MA",2007,"Total, All Industries",8433,984,542,431443846
"Norwood","MA",2007,"Total, All Industries",24803,1082,1292,1395103203
"Oak Bluffs","MA",2007,"Total, All Industries",1649,689,217,59090302
"Oakham","MA",2007,"Total, All Industries",213,640,33,7091410
"Orange","MA",2007,"Total, All Industries",2044,606,187,64420710
"Orleans","MA",2007,"Total, All Industries",4273,686,451,152397198
"Otis","MA",2007,"Total, All Industries",326,597,56,10113779
"Oxford","MA",2007,"Total, All Industries",4018,845,330,176618385
"Palmer","MA",2007,"Total, All Industries",5101,694,414,184049252
"Paxton","MA",2007,"Total, All Industries",754,620,82,24314015
"Peabody","MA",2007,"Total, All Industries",24665,862,1486,1106000914
"Pelham","MA",2007,"Total, All Industries",150,553,33,4315604
"Pembroke","MA",2007,"Total, All Industries",6235,782,585,253491566
"Pepperell","MA",2007,"Total, All Industries",1485,674,232,52026989
"Peru","MA",2007,"Total, All Industries",40,283,9,588863
"Petersham","MA",2007,"Total, All Industries",139,403,38,2909655
"Phillipston","MA",2007,"Total, All Industries",151,528,21,4145177
"Pittsfield","MA",2007,"Total, All Industries",26429,836,1550,1148805384
"Plainfield","MA",2007,"Total, All Industries",47,559,18,1366034
"Plainville","MA",2007,"Total, All Industries",4116,719,336,153782192
"Plymouth","MA",2007,"Total, All Industries",23042,790,1582,946197055
"Plympton","MA",2007,"Total, All Industries",342,662,74,11779230
"Princeton","MA",2007,"Total, All Industries",710,498,75,18385705
"Provincetown","MA",2007,"Total, All Industries",2506,566,443,73802306
"Quincy","MA",2007,"Total, All Industries",46826,1004,3300,2444393468
"Randolph","MA",2007,"Total, All Industries",8008,792,639,329849664
"Raynham","MA",2007,"Total, All Industries",8623,821,538,368340418
"Reading","MA",2007,"Total, All Industries",6063,711,572,224074238
"Rehoboth","MA",2007,"Total, All Industries",1733,706,304,63581605
"Revere","MA",2007,"Total, All Industries",9384,609,764,297008684
"Richmond","MA",2007,"Total, All Industries",236,524,40,6436562
"Rochester","MA",2007,"Total, All Industries",816,754,127,32009174
"Rockland","MA",2007,"Total, All Industries",8073,1084,548,454921930
"Rockport","MA",2007,"Total, All Industries",1389,589,229,42519078
"Rowe","MA",2007,"Total, All Industries",128,678,20,4510597
"Rowley","MA",2007,"Total, All Industries",2721,772,239,109187514
"Royalston","MA",2007,"Total, All Industries",110,397,16,2269412
"Russell","MA",2007,"Total, All Industries",195,795,32,8063362
"Rutland","MA",2007,"Total, All Industries",1105,602,137,34607863
"Salem","MA",2007,"Total, All Industries",18426,819,1282,784872973
"Salisbury","MA",2007,"Total, All Industries",2772,706,336,101786807
"Sandisfield","MA",2007,"Total, All Industries",126,637,23,4171235
"Sandwich","MA",2007,"Total, All Industries",5423,713,625,201153488
"Saugus","MA",2007,"Total, All Industries",10584,529,785,290934656
"Savoy","MA",2007,"Total, All Industries",54,411,8,1154361
"Scituate","MA",2007,"Total, All Industries",3307,698,428,119978737
"Seekonk","MA",2007,"Total, All Industries",8685,565,612,255160402
"Sharon","MA",2007,"Total, All Industries",3665,850,430,161907434
"Sheffield","MA",2007,"Total, All Industries",1471,723,143,55282033
"Shelburne","MA",2007,"Total, All Industries",804,463,132,19362217
"Sherborn","MA",2007,"Total, All Industries",655,896,130,30534501
"Shirley","MA",2007,"Total, All Industries",2328,1052,153,127408146
"Shrewsbury","MA",2007,"Total, All Industries",12817,832,841,554830489
"Shutesbury","MA",2007,"Total, All Industries",149,435,27,3367020
"Somerset","MA",2007,"Total, All Industries",4608,751,404,179977052
"Somerville","MA",2007,"Total, All Industries",21451,837,1485,934015665
"South Hadley","MA",2007,"Total, All Industries",4578,723,308,172127456
"Southampton","MA",2007,"Total, All Industries",1144,540,131,32109581
"Southborough","MA",2007,"Total, All Industries",7105,1311,392,484425733
"Southbridge","MA",2007,"Total, All Industries",6107,711,445,225869108
"Southwick","MA",2007,"Total, All Industries",2685,628,268,87659728
"Spencer","MA",2007,"Total, All Industries",3411,716,262,126954955
"Springfield","MA",2007,"Total, All Industries",75896,887,5462,3501566768
"Sterling","MA",2007,"Total, All Industries",2470,742,239,95359439
"Stockbridge","MA",2007,"Total, All Industries",1339,616,91,42865884
"Stoneham","MA",2007,"Total, All Industries",7771,866,658,349935178
"Stoughton","MA",2007,"Total, All Industries",13628,937,993,663852189
"Stow","MA",2007,"Total, All Industries",2336,1026,183,124629079
"Sturbridge","MA",2007,"Total, All Industries",4737,569,335,140110996
"Sudbury","MA",2007,"Total, All Industries",8141,1141,604,483008019
"Sunderland","MA",2007,"Total, All Industries",823,772,76,33029741
"Sutton","MA",2007,"Total, All Industries",1987,754,204,77859320
"Swampscott","MA",2007,"Total, All Industries",3505,727,372,132462559
"Swansea","MA",2007,"Total, All Industries",5746,539,527,160936543
"Taunton","MA",2007,"Total, All Industries",25887,851,1424,1144938771
"Templeton","MA",2007,"Total, All Industries",1858,708,116,68358456
"Tewksbury","MA",2007,"Total, All Industries",15628,1182,842,960454058
"Tisbury","MA",2007,"Total, All Industries",2565,839,355,111850513
"Tolland","MA",2007,"Total, All Industries",45,406,9,948987
"Topsfield","MA",2007,"Total, All Industries",2248,941,290,109992016
"Townsend","MA",2007,"Total, All Industries",2149,701,186,78373817
"Truro","MA",2007,"Total, All Industries",569,666,114,19699321
"Tyngsborough","MA",2007,"Total, All Industries",4560,737,375,174737056
"Tyringham","MA",2007,"Total, All Industries",17,631,7,558130
"Upton","MA",2007,"Total, All Industries",1025,911,176,48581913
"Uxbridge","MA",2007,"Total, All Industries",3338,717,342,124456139
"Wakefield","MA",2007,"Total, All Industries",14599,1196,997,908305084
"Wales","MA",2007,"Total, All Industries",165,507,47,4348509
"Walpole","MA",2007,"Total, All Industries",10533,895,806,490377331
"Waltham","MA",2007,"Total, All Industries",54404,1601,2563,4528706629
"Ware","MA",2007,"Total, All Industries",2701,696,234,97731583
"Wareham","MA",2007,"Total, All Industries",8462,702,645,309009231
"Warren","MA",2007,"Total, All Industries",782,771,82,31356513
"Warwick","MA",2007,"Total, All Industries",79,490,8,2011470
"Washington","MA",2007,"Total, All Industries",81,520,21,2188590
"Watertown","MA",2007,"Total, All Industries",19079,1107,1096,1098336974
"Wayland","MA",2007,"Total, All Industries",3248,889,397,150226968
"Webster","MA",2007,"Total, All Industries",7306,792,446,300714035
"Wellesley","MA",2007,"Total, All Industries",17645,1464,1452,1342853143
"Wellfleet","MA",2007,"Total, All Industries",1104,633,179,36349746
"Wendell","MA",2007,"Total, All Industries",193,502,18,5036472
"Wenham","MA",2007,"Total, All Industries",1410,995,92,72955566
"West Boylston","MA",2007,"Total, All Industries",3870,775,253,155875511
"West Bridgewater","MA",2007,"Total, All Industries",5956,948,388,293483297
"West Brookfield","MA",2007,"Total, All Industries",849,602,90,26588482
"West Newbury","MA",2007,"Total, All Industries",753,745,92,29172357
"West Springfield","MA",2007,"Total, All Industries",17805,712,1103,659024838
"West Stockbridge","MA",2007,"Total, All Industries",276,553,72,7939555
"West Tisbury","MA",2007,"Total, All Industries",776,872,132,35189291
"Westborough","MA",2007,"Total, All Industries",24811,1240,990,1599352519
"Westfield","MA",2007,"Total, All Industries",16789,748,1049,653131336
"Westford","MA",2007,"Total, All Industries",11879,1510,656,932636542
"Westhampton","MA",2007,"Total, All Industries",280,644,29,9382747
"Westminster","MA",2007,"Total, All Industries",2542,969,189,128066063
"Weston","MA",2007,"Total, All Industries",3667,1038,423,197853024
"Westport","MA",2007,"Total, All Industries",3342,634,494,110181758
"Westwood","MA",2007,"Total, All Industries",9436,1394,511,683833036
"Weymouth","MA",2007,"Total, All Industries",18592,906,1369,875731082
"Whately","MA",2007,"Total, All Industries",1274,470,58,31122396
"Whitman","MA",2007,"Total, All Industries",3192,707,291,117327902
"Wilbraham","MA",2007,"Total, All Industries",4320,747,357,167869379
"Williamsburg","MA",2007,"Total, All Industries",579,541,82,16278726
"Williamstown","MA",2007,"Total, All Industries",4186,771,258,167818644
"Wilmington","MA",2007,"Total, All Industries",19289,1299,828,1303416238
"Winchendon","MA",2007,"Total, All Industries",1705,562,191,49865012
"Winchester","MA",2007,"Total, All Industries",8518,905,685,400891936
"Windsor","MA",2007,"Total, All Industries",58,717,18,2163886
"Winthrop","MA",2007,"Total, All Industries",1985,625,281,64485602
"Woburn","MA",2007,"Total, All Industries",38837,1130,2136,2282657287
"Worcester","MA",2007,"Total, All Industries",98710,871,4660,4471693863
"Worthington","MA",2007,"Total, All Industries",195,656,31,6652552
"Wrentham","MA",2007,"Total, All Industries",6337,617,457,203241146
"Yarmouth","MA",2007,"Total, All Industries",9088,736,773,347812687
"Abington","MA",2008,"Total, All Industries",3977,721,333,149042578
"Acton","MA",2008,"Total, All Industries",10095,1003,792,526710871
"Acushnet","MA",2008,"Total, All Industries",1340,665,201,46336756
"Adams","MA",2008,"Total, All Industries",1824,688,207,65232780
"Agawam","MA",2008,"Total, All Industries",12091,729,760,458526302
"Alford","MA",2008,"Total, All Industries",28,1007,12,1466091
"Amesbury","MA",2008,"Total, All Industries",4657,766,453,185474432
"Amherst","MA",2008,"Total, All Industries",14651,858,1010,653396530
"Andover","MA",2008,"Total, All Industries",32769,1369,1123,2332833133
"Aquinnah","MA",2008,"Total, All Industries",73,653,6,2479730
"Arlington","MA",2008,"Total, All Industries",7972,814,967,337423595
"Ashburnham","MA",2008,"Total, All Industries",1069,732,126,40687024
"Ashby","MA",2008,"Total, All Industries",279,640,76,9282774
"Ashfield","MA",2008,"Total, All Industries",240,468,41,5838652
"Ashland","MA",2008,"Total, All Industries",5164,781,446,209705611
"Athol","MA",2008,"Total, All Industries",3461,661,243,118927676
"Attleboro","MA",2008,"Total, All Industries",17872,819,1057,760760914
"Auburn","MA",2008,"Total, All Industries",10672,773,615,429199456
"Avon","MA",2008,"Total, All Industries",5483,1047,261,298380524
"Ayer","MA",2008,"Total, All Industries",7713,978,337,392363177
"Barnstable","MA",2008,"Total, All Industries",27093,783,2244,1103069124
"Barre","MA",2008,"Total, All Industries",1251,715,132,46533070
"Becket","MA",2008,"Total, All Industries",430,542,35,12114078
"Bedford","MA",2008,"Total, All Industries",18677,1607,630,1560988366
"Belchertown","MA",2008,"Total, All Industries",2619,585,308,79731362
"Bellingham","MA",2008,"Total, All Industries",5472,650,417,184821867
"Belmont","MA",2008,"Total, All Industries",6283,904,631,295382433
"Berkley","MA",2008,"Total, All Industries",573,650,110,19376082
"Berlin","MA",2008,"Total, All Industries",463,686,90,16505568
"Bernardston","MA",2008,"Total, All Industries",353,615,55,11291312
"Beverly","MA",2008,"Total, All Industries",21417,1097,1329,1222064057
"Billerica","MA",2008,"Total, All Industries",22377,1264,1186,1471162413
"Blackstone","MA",2008,"Total, All Industries",1063,681,150,37656126
"Blandford","MA",2008,"Total, All Industries",221,320,19,3674806
"Bolton","MA",2008,"Total, All Industries",1535,1068,149,85231555
"Boston","MA",2008,"Total, All Industries",568204,1508,19955,44557789513
"Bourne","MA",2008,"Total, All Industries",7282,788,730,298283773
"Boxborough","MA",2008,"Total, All Industries",3966,2057,168,424285861
"Boxford","MA",2008,"Total, All Industries",990,792,166,40789275
"Boylston","MA",2008,"Total, All Industries",1658,841,167,72469035
"Braintree","MA",2008,"Total, All Industries",27052,888,1486,1248987243
"Brewster","MA",2008,"Total, All Industries",2682,673,307,93868409
"Bridgewater","MA",2008,"Total, All Industries",7514,887,525,346763696
"Brimfield","MA",2008,"Total, All Industries",564,707,81,20724839
"Brockton","MA",2008,"Total, All Industries",37584,812,2098,1587087782
"Brookfield","MA",2008,"Total, All Industries",466,552,74,13369217
"Brookline","MA",2008,"Total, All Industries",14682,852,1599,650227638
"Buckland","MA",2008,"Total, All Industries",348,559,36,10120583
"Burlington","MA",2008,"Total, All Industries",38567,1507,1574,3022659952
"Cambridge","MA",2008,"Total, All Industries",108544,1549,4101,8745349894
"Canton","MA",2008,"Total, All Industries",23497,1251,1018,1528025294
"Carlisle","MA",2008,"Total, All Industries",687,1054,135,37664403
"Carver","MA",2008,"Total, All Industries",2844,647,250,95717363
"Charlemont","MA",2008,"Total, All Industries",409,364,47,7746261
"Charlton","MA",2008,"Total, All Industries",3737,774,285,150428549
"Chatham","MA",2008,"Total, All Industries",3121,688,394,111594994
"Chelmsford","MA",2008,"Total, All Industries",21387,1137,1120,1264715545
"Chelsea","MA",2008,"Total, All Industries",13328,846,699,586087992
"Cheshire","MA",2008,"Total, All Industries",455,681,55,16109942
"Chester","MA",2008,"Total, All Industries",110,487,28,2783582
"Chesterfield","MA",2008,"Total, All Industries",117,447,25,2719115
"Chicopee","MA",2008,"Total, All Industries",19727,761,1256,780396942
"Chilmark","MA",2008,"Total, All Industries",271,755,67,10643501
"Clarksburg","MA",2008,"Total, All Industries",175,521,22,4738781
"Clinton","MA",2008,"Total, All Industries",4396,856,330,195728039
"Cohasset","MA",2008,"Total, All Industries",2732,785,285,111542910
"Colrain","MA",2008,"Total, All Industries",190,636,38,6281479
"Concord","MA",2008,"Total, All Industries",12565,1234,926,806526128
"Conway","MA",2008,"Total, All Industries",212,481,41,5300694
"Cummington","MA",2008,"Total, All Industries",212,550,22,6065492
"Dalton","MA",2008,"Total, All Industries",2031,911,160,96166566
"Danvers","MA",2008,"Total, All Industries",25463,903,1267,1195878177
"Dartmouth","MA",2008,"Total, All Industries",15616,703,978,571019228
"Dedham","MA",2008,"Total, All Industries",14771,938,859,720371256
"Deerfield","MA",2008,"Total, All Industries",4642,873,204,210817312
"Dennis","MA",2008,"Total, All Industries",4768,655,584,162519997
"Dighton","MA",2008,"Total, All Industries",1860,712,163,68912074
"Douglas","MA",2008,"Total, All Industries",854,740,148,32854770
"Dover","MA",2008,"Total, All Industries",804,968,153,40490616
"Dracut","MA",2008,"Total, All Industries",5052,763,579,200349921
"Dudley","MA",2008,"Total, All Industries",2742,710,186,101243888
"Dunstable","MA",2008,"Total, All Industries",282,622,61,9115022
"Duxbury","MA",2008,"Total, All Industries",2937,797,386,121796537
"East Bridgewater","MA",2008,"Total, All Industries",2620,612,272,83437519
"East Brookfield","MA",2008,"Total, All Industries",434,499,51,11269004
"East Longmeadow","MA",2008,"Total, All Industries",8409,799,566,349455511
"Eastham","MA",2008,"Total, All Industries",1214,595,203,37562037
"Easthampton","MA",2008,"Total, All Industries",4634,677,406,163142106
