"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Methuen","MA",2001,"Total, All Industries",14586,638,891,483847928
"Middleborough","MA",2001,"Total, All Industries",7698,695,504,278186585
"Middlefield","MA",2001,"Total, All Industries",47,429,10,1037612
"Middleton","MA",2001,"Total, All Industries",4867,800,293,202414552
"Milford","MA",2001,"Total, All Industries",14653,870,760,663061911
"Millbury","MA",2001,"Total, All Industries",3814,672,245,133187975
"Millis","MA",2001,"Total, All Industries",2146,604,237,67461103
"Millville","MA",2001,"Total, All Industries",213,461,40,5110213
"Milton","MA",2001,"Total, All Industries",6067,637,481,200965038
"Monroe","MA",2001,"Total, All Industries",37,1335,4,2579973
"Monson","MA",2001,"Total, All Industries",1374,559,164,39923850
"Montague","MA",2001,"Total, All Industries",2713,577,194,81404524
"Monterey","MA",2001,"Total, All Industries",175,461,31,4200498
"Montgomery","MA",2001,"Total, All Industries",66,371,12,1267274
"Nahant","MA",2001,"Total, All Industries",407,496,64,10488929
"Nantucket","MA",2001,"Total, All Industries",5591,691,821,200938033
"Natick","MA",2001,"Total, All Industries",23872,910,1445,1129987603
"Needham","MA",2001,"Total, All Industries",20006,1074,1368,1116989089
"New Ashford","MA",2001,"Total, All Industries",111,307,10,1771070
"New Bedford","MA",2001,"Total, All Industries",36293,627,2314,1182743730
"New Braintree","MA",2001,"Total, All Industries",141,789,17,5788261
"New Marlborough","MA",2001,"Total, All Industries",382,538,49,10689186
"New Salem","MA",2001,"Total, All Industries",160,353,20,2938421
"Newbury","MA",2001,"Total, All Industries",1256,582,162,38039748
"Newburyport","MA",2001,"Total, All Industries",10180,693,809,367037930
"Newton","MA",2001,"Total, All Industries",48050,925,3583,2311521786
"Norfolk","MA",2001,"Total, All Industries",3190,714,260,118338554
"North Adams","MA",2001,"Total, All Industries",6158,552,426,176827315
"North Andover","MA",2001,"Total, All Industries",18328,874,861,832837353
"North Attleborough","MA",2001,"Total, All Industries",12233,512,798,325783597
"North Brookfield","MA",2001,"Total, All Industries",1171,625,82,38071883
"North Reading","MA",2001,"Total, All Industries",6794,906,463,320047988
"Northampton","MA",2001,"Total, All Industries",17729,582,1073,536891256
"Northborough","MA",2001,"Total, All Industries",6606,803,534,275883169
"Northbridge","MA",2001,"Total, All Industries",4401,581,273,132864573
"Northfield","MA",2001,"Total, All Industries",1183,543,49,33410196
"Norton","MA",2001,"Total, All Industries",6058,640,358,201719589
"Norwell","MA",2001,"Total, All Industries",8615,834,517,373812107
"Norwood","MA",2001,"Total, All Industries",25059,1019,1291,1327792773
"Oak Bluffs","MA",2001,"Total, All Industries",1873,577,205,56218321
"Oakham","MA",2001,"Total, All Industries",150,465,25,3630805
"Orange","MA",2001,"Total, All Industries",2071,500,172,53822875
"Orleans","MA",2001,"Total, All Industries",4362,558,467,126464343
"Otis","MA",2001,"Total, All Industries",294,454,46,6944832
"Oxford","MA",2001,"Total, All Industries",3287,605,278,103365730
"Palmer","MA",2001,"Total, All Industries",5429,608,376,171756254
"Paxton","MA",2001,"Total, All Industries",707,600,76,22058021
"Peabody","MA",2001,"Total, All Industries",26877,731,1432,1021433377
"Pelham","MA",2001,"Total, All Industries",151,433,25,3390443
"Pembroke","MA",2001,"Total, All Industries",5223,606,484,164698356
"Pepperell","MA",2001,"Total, All Industries",1582,611,209,50286909
"Petersham","MA",2001,"Total, All Industries",140,309,30,2251727
"Phillipston","MA",2001,"Total, All Industries",178,244,22,2264687
"Pittsfield","MA",2001,"Total, All Industries",26652,690,1524,956146662
"Plainfield","MA",2001,"Total, All Industries",125,357,25,2325455
"Plainville","MA",2001,"Total, All Industries",2961,673,268,103713663
"Plymouth","MA",2001,"Total, All Industries",19170,662,1277,660041987
"Plympton","MA",2001,"Total, All Industries",271,571,55,8037281
"Princeton","MA",2001,"Total, All Industries",741,514,74,19800803
"Provincetown","MA",2001,"Total, All Industries",2392,476,460,59172057
"Quincy","MA",2001,"Total, All Industries",47299,882,2158,2170066722
"Randolph","MA",2001,"Total, All Industries",10530,750,632,410673211
"Raynham","MA",2001,"Total, All Industries",7153,592,480,220232608
"Reading","MA",2001,"Total, All Industries",7312,814,597,309616270
"Rehoboth","MA",2001,"Total, All Industries",1557,601,253,48694895
"Revere","MA",2001,"Total, All Industries",8604,528,729,236148316
"Richmond","MA",2001,"Total, All Industries",207,433,36,4652710
"Rochester","MA",2001,"Total, All Industries",1014,709,104,37409114
"Rockland","MA",2001,"Total, All Industries",8313,820,500,354609724
"Rockport","MA",2001,"Total, All Industries",1492,460,227,35694363
"Rowe","MA",2001,"Total, All Industries",119,594,18,3676268
"Rowley","MA",2001,"Total, All Industries",2362,603,218,74000531
"Royalston","MA",2001,"Total, All Industries",152,320,22,2533989
"Russell","MA",2001,"Total, All Industries",233,805,30,9742012
"Rutland","MA",2001,"Total, All Industries",974,572,102,28952083
"Salem","MA",2001,"Total, All Industries",18579,717,1249,692583446
"Salisbury","MA",2001,"Total, All Industries",2722,614,312,86839476
"Sandisfield","MA",2001,"Total, All Industries",207,500,20,5391563
"Sandwich","MA",2001,"Total, All Industries",5049,576,523,151181030
"Saugus","MA",2001,"Total, All Industries",11040,495,815,284373641
"Savoy","MA",2001,"Total, All Industries",65,289,10,979230
"Scituate","MA",2001,"Total, All Industries",3117,553,412,89674816
"Seekonk","MA",2001,"Total, All Industries",8215,477,565,203933374
