"","Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"111","Fitchburg city, MA",NA,"MA","Fitchburg city, MA",2013,10.175,1868.75,16453.375,18322.125,NA
"112","Florida town, MA",NA,"MA","Florida",2013,8.125,35,395.25,430.25,NA
"113","Foxborough town, MA",NA,"MA","Foxborough",2013,5.675,541.875,9003.375,9545.25,NA
"114","Framingham town, MA",NA,"MA","Framingham",2013,5.3375,2071.125,36604.25,38675.375,NA
"115","Framingham, MA NECTA Division",NA,"MA","Framingham, MA NECTA Division",2013,5.4875,8225.625,141838.5,150064.125,NA
"116","Franklin County, MA",NA,"MA","Franklin County, MA",2013,6.5625,2485.5,35419.75,37905.25,NA
"117","Franklin Town city, MA",NA,"MA","Franklin",2013,5.95,1015,16068.25,17083.25,NA
"118","Freetown town, MA",NA,"MA","Freetown",2013,7.65,417.75,5038.25,5456,NA
"119","Gardner city, MA",NA,"MA","Gardner city, MA",2013,9.5625,901.625,8524.125,9425.75,NA
"120","Georgetown town, MA",NA,"MA","Georgetown",2013,5.25,232.375,4179.375,4411.75,NA
"121","Gill town, MA",NA,"MA","Gill",2013,6.6375,57.375,804.625,862,NA
"122","Gloucester city, MA",NA,"MA","Gloucester city, MA",2013,8.3375,1325.75,14583.875,15909.625,NA
"123","Goshen town, MA",NA,"MA","Goshen",2013,5.0625,31.375,588.125,619.5,NA
"124","Gosnold town, MA",NA,"MA","Gosnold",2013,6.5,2.125,29.625,31.75,NA
"125","Grafton town, MA",NA,"MA","Grafton",2013,6.5375,628.75,9011.375,9640.125,NA
"126","Granby town, MA",NA,"MA","Granby",2013,6.7375,226.125,3141.75,3367.875,NA
"127","Granville town, MA",NA,"MA","Granville",2013,7.875,68.5,798.875,867.375,NA
"128","Great Barrington town, MA",NA,"MA","Great Barrington",2013,6.0125,251.625,3938.5,4190.125,NA
"129","Great Barrington, MA LMA",NA,"MA","Great Barrington, MA LMA",2013,5.4,880.75,15446,16326.75,NA
"130","Greenfield Town city, MA",NA,"MA","Greenfield",2013,6.85,601.75,8185.25,8787,NA
"131","Greenfield, MA Micropolitan NECTA",NA,"MA","Greenfield, MA Micropolitan NECTA",2013,6.675,1438.5,20175,21613.5,NA
"132","Groton town, MA",NA,"MA","Groton",2013,5.3125,305.25,5442.25,5747.5,NA
"133","Groveland town, MA",NA,"MA","Groveland",2013,6.1625,217.875,3315.875,3533.75,NA
"134","Hadley town, MA",NA,"MA","Hadley",2013,6.0375,162.75,2533,2695.75,NA
"135","Halifax town, MA",NA,"MA","Halifax",2013,7.4,310.125,3872.125,4182.25,NA
"136","Hamilton town, MA",NA,"MA","Hamilton",2013,5.225,196.125,3549.125,3745.25,NA
"137","Hampden County, MA",NA,"MA","Hampden County, MA",2013,8.9625,19458.625,197336,216794.625,NA
"138","Hampden town, MA",NA,"MA","Hampden",2013,6.2,165.25,2502,2667.25,NA
"139","Hampshire County, MA",NA,"MA","Hampshire County, MA",2013,6.1625,5253.125,80206.125,85459.25,NA
"140","Hancock town, MA",NA,"MA","Hancock",2013,4.175,16.5,377.25,393.75,NA
"141","Hanover town, MA",NA,"MA","Hanover",2013,5.5375,420.625,7175.25,7595.875,NA
"142","Hanson town, MA",NA,"MA","Hanson",2013,6.875,393.875,5331,5724.875,NA
"143","Hardwick town, MA",NA,"MA","Hardwick",2013,7.2,105.125,1354,1459.125,NA
"144","Harvard town, MA",NA,"MA","Harvard",2013,4.625,146.375,3020.625,3167,NA
"145","Harwich town, MA",NA,"MA","Harwich",2013,8.325,542.625,6067.5,6610.125,NA
"146","Hatfield town, MA",NA,"MA","Hatfield",2013,5.95,115.375,1821.75,1937.125,NA
"147","Haverhill-North Andover-Amesbury, MA-NH NECTA Division",NA,"MA","Haverhill-North Andover-Amesbury, MA-NH NECTA Division",2013,6.5,8245.875,118699.125,126945,NA
"148","Haverhill-North Andover-Amesbury, MA-NH NECTA Division, MA part",NA,"MA","Haverhill-North Andover-Amesbury, MA-NH NECTA Division, MA part",2013,6.4875,4781.5,68929.625,73711.125,NA
"149","Haverhill city, MA",NA,"MA","Haverhill city, MA",2013,7.1,2282.5,29891.125,32173.625,NA
"150","Hawley town, MA",NA,"MA","Hawley",2013,5.725,9.625,158,167.625,NA
"151","Heath town, MA",NA,"MA","Heath",2013,5.6875,23.125,382.125,405.25,NA
"152","Hingham town, MA",NA,"MA","Hingham",2013,4.925,556.375,10726.5,11282.875,NA
"153","Hinsdale town, MA",NA,"MA","Hinsdale",2013,8.3375,96.5,1059.75,1156.25,NA
"154","Holbrook town, MA",NA,"MA","Holbrook",2013,7.2625,429.75,5484.875,5914.625,NA
"155","Holden town, MA",NA,"MA","Holden",2013,6.075,543.5,8400,8943.5,NA
"156","Holland town, MA",NA,"MA","Holland",2013,8.3125,116.875,1286.25,1403.125,NA
"157","Holliston town, MA",NA,"MA","Holliston",2013,5.3875,398.875,6998.25,7397.125,NA
"158","Holyoke city, MA",NA,"MA","Holyoke city, MA",2013,10.65,1669,13994.5,15663.5,NA
"159","Hopedale town, MA",NA,"MA","Hopedale",2013,5.65,182.25,3039.375,3221.625,NA
"160","Hopkinton town, MA",NA,"MA","Hopkinton",2013,5.05,394,7438.5,7832.5,NA
"161","Hubbardston town, MA",NA,"MA","Hubbardston",2013,7.425,180.25,2247,2427.25,NA
"162","Hudson town, MA",NA,"MA","Hudson",2013,6,675.625,10619.125,11294.75,NA
"163","Hull town, MA",NA,"MA","Hull",2013,6.675,391.75,5472,5863.75,NA
"164","Huntington town, MA",NA,"MA","Huntington",2013,8.5,103.625,1114.125,1217.75,NA
"165","Ipswich town, MA",NA,"MA","Ipswich",2013,5.5125,409,7007.25,7416.25,NA
"166","Kingston town, MA",NA,"MA","Kingston",2013,6.4125,423.875,6165.75,6589.625,NA
"167","Lakeville town, MA",NA,"MA","Lakeville",2013,7.0875,424.25,5561,5985.25,NA
"168","Lancaster town, MA",NA,"MA","Lancaster",2013,6.5875,230.875,3269.625,3500.5,NA
"169","Lanesborough town, MA",NA,"MA","Lanesborough",2013,6.425,117.75,1714.75,1832.5,NA
"170","Lawrence-Methuen-Salem, MA-NH NECTA Division",NA,"MA","Lawrence-Methuen-Salem, MA-NH NECTA Division",2013,11.1375,8390.625,66954.25,75344.875,NA
"171","Lawrence-Methuen-Salem, MA-NH NECTA Division, MA part",NA,"MA","Lawrence-Methuen-Salem, MA-NH NECTA Division, MA part",2013,12.175,7011,50622.5,57633.5,NA
"172","Lawrence city, MA",NA,"MA","Lawrence city, MA",2013,14.7875,4816.5,27784.875,32601.375,NA
"173","Lee town, MA",NA,"MA","Lee",2013,5.5625,208.625,3547.875,3756.5,NA
"174","Leicester town, MA",NA,"MA","Leicester",2013,7.275,434.75,5545.25,5980,NA
"175","Lenox town, MA",NA,"MA","Lenox",2013,5.6125,142.625,2395.25,2537.875,NA
"176","Leominster-Fitchburg-Gardner, MA Metropolitan NECTA",NA,"MA","Leominster-Fitchburg-Gardner, MA Metropolitan NECTA",2013,9.3125,6630.75,64535.75,71166.5,NA
"177","Leominster city, MA",NA,"MA","Leominster city, MA",2013,9.3375,1870.125,18161.375,20031.5,NA
"178","Leverett town, MA",NA,"MA","Leverett",2013,4.8,48,962.75,1010.75,NA
"179","Lexington town, MA",NA,"MA","Lexington",2013,4.525,720.875,15196.75,15917.625,NA
"180","Leyden town, MA",NA,"MA","Leyden",2013,4.9625,20.875,400.25,421.125,NA
"181","Lincoln town, MA",NA,"MA","Lincoln",2013,4.275,114.875,2565.625,2680.5,NA
"182","Littleton town, MA",NA,"MA","Littleton",2013,5.275,262.625,4704,4966.625,NA
"183","Longmeadow town, MA",NA,"MA","Longmeadow",2013,5.3,401.625,7172.75,7574.375,NA
"184","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",NA,"MA","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",2013,6.9875,10925.625,145169,156094.625,NA
"185","Lowell-Billerica-Chelmsford, MA-NH NECTA Division, MA part",NA,"MA","Lowell-Billerica-Chelmsford, MA-NH NECTA Division, MA part",2013,6.975,10368.75,138148.5,148517.25,NA
"186","Lowell city, MA",NA,"MA","Lowell city, MA",2013,8.625,4550.875,48164,52714.875,NA
"187","Ludlow town, MA",NA,"MA","Ludlow",2013,9.7875,1029.125,9439.375,10468.5,NA
"188","Lunenburg town, MA",NA,"MA","Lunenburg",2013,7.9375,419,4855.25,5274.25,NA
"189","Lynn city, MA",NA,"MA","Lynn city, MA",2013,7.85,3436.25,40234.25,43670.5,NA
"190","Lynnfield town, MA",NA,"MA","Lynnfield",2013,5.45,317.75,5518.875,5836.625,NA
"191","Malden city, MA",NA,"MA","Malden city, MA",2013,6.125,2069.125,31680.625,33749.75,NA
"192","Manchester-by-the-Sea town, MA",NA,"MA","Manchester-by-the-Sea",2013,5.475,150.125,2580.5,2730.625,NA
"193","Mansfield town, MA",NA,"MA","Mansfield",2013,5.8625,744.5,11901.875,12646.375,NA
"194","Marblehead town, MA",NA,"MA","Marblehead",2013,4.775,531.125,10537.875,11069,NA
"195","Marion town, MA",NA,"MA","Marion",2013,6,186.75,2907.75,3094.5,NA
"196","Marlborough city, MA",NA,"MA","Marlborough city, MA",2013,5.625,1289.125,21662.5,22951.625,NA
"197","Marshfield town, MA",NA,"MA","Marshfield",2013,6.0875,858.5,13263.25,14121.75,NA
"198","Mashpee town, MA",NA,"MA","Mashpee",2013,7.0125,574.375,7713.125,8287.5,NA
"199",NA,NA,"MA","Massachusetts",2013,6.8375,238432.125,3245292.625,3483724.75,NA
"200","Mattapoisett town, MA",NA,"MA","Mattapoisett",2013,7.3375,238.75,3011.75,3250.5,NA
"201","Maynard town, MA",NA,"MA","Maynard",2013,5.8,353.875,5767.25,6121.125,NA
"202","Medfield town, MA",NA,"MA","Medfield",2013,5.4,322.375,5644.875,5967.25,NA
"203","Medford city, MA",NA,"MA","Medford city, MA",2013,5.6,1746.5,29342.5,31089,NA
"204","Medway town, MA",NA,"MA","Medway",2013,5.3,382.375,6814.375,7196.75,NA
"205","Melrose city, MA",NA,"MA","Melrose city, MA",2013,5.175,801.75,14676.125,15477.875,NA
"206","Mendon town, MA",NA,"MA","Mendon",2013,6.05,204.75,3181.625,3386.375,NA
"207","Merrimac town, MA",NA,"MA","Merrimac",2013,6.0375,216.875,3378.875,3595.75,NA
"208","Methuen Town city, MA",NA,"MA","Methuen",2013,8.75,2194.5,22837.625,25032.125,NA
"209","Middleborough town, MA",NA,"MA","Middleborough",2013,7.725,986.125,11777.875,12764,NA
"210","Middlefield town, MA",NA,"MA","Middlefield",2013,7.2625,21.625,275.625,297.25,NA
"211","Middlesex County, MA",NA,"MA","Middlesex County, MA",2013,5.4375,46042.625,797790.875,843833.5,NA
"212","Middleton town, MA",NA,"MA","Middleton",2013,6.225,260,3922,4182,NA
"213","Milford town, MA",NA,"MA","Milford",2013,6.5,1009.125,14505.125,15514.25,NA
"214","Millbury town, MA",NA,"MA","Millbury",2013,6.875,500.75,6763.25,7264,NA
"215","Millis town, MA",NA,"MA","Millis",2013,6.0625,276,4274.625,4550.625,NA
"216","Millville town, MA",NA,"MA","Millville",2013,9.075,162.375,1628.25,1790.625,NA
"217","Milton town, MA",NA,"MA","Milton",2013,5.525,791.25,13512.625,14303.875,NA
"218","Monroe town, MA",NA,"MA","Monroe",2013,6.8625,2,27,29,NA
"219","Monson town, MA",NA,"MA","Monson",2013,7.55,332,4062,4394,NA
"220","Montague town, MA",NA,"MA","Montague",2013,7.3875,319,4002.875,4321.875,NA
"221","Monterey town, MA",NA,"MA","Monterey",2013,4.1,24.25,568,592.25,NA
"222","Montgomery town, MA",NA,"MA","Montgomery",2013,7.0375,33.75,446.125,479.875,NA
"223","Mount Washington town, MA",NA,"MA","Mount Washington",2013,2.6875,3.25,115,118.25,NA
"224","Nahant town, MA",NA,"MA","Nahant",2013,6.2125,120.75,1829.25,1950,NA
"225","Nantucket County/town, MA",NA,"MA","Nantucket County/town, MA",2013,7.1625,498.875,7661.75,8160.625,NA
"226","Nashua, NH-MA NECTA Division, MA part",NA,"MA","Nashua, NH-MA NECTA Division, MA part",2013,6.1,702.5,10816.375,11518.875,NA
"227","Natick town, MA",NA,"MA","Natick",2013,4.85,938.375,18387.25,19325.625,NA
"228","Needham town, MA",NA,"MA","Needham",2013,4.45,647.375,13866.625,14514,NA
"229","New Ashford town, MA",NA,"MA","New Ashford",2013,5.1,7.125,132.875,140,NA
"230","New Bedford city, MA",NA,"MA","New Bedford city, MA",2013,13.525,6007.25,38409,44416.25,NA
"231","New Bedford, MA Metropolitan NECTA",NA,"MA","New Bedford, MA Metropolitan NECTA",2013,11.0625,9684.125,77851.25,87535.375,NA
"232","New Braintree town, MA",NA,"MA","New Braintree",2013,7.975,45.375,522.25,567.625,NA
"233","New Marlborough town, MA",NA,"MA","New Marlborough",2013,6.3,57.125,849.375,906.5,NA
"234","New Salem town, MA",NA,"MA","New Salem",2013,6.9,37.75,509,546.75,NA
"235","Newbury town, MA",NA,"MA","Newbury",2013,5.7875,216,3525.5,3741.5,NA
