"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"South Hadley","MA",2010,4447,737,343,170489015,776,0.90810700428834,90.810700428834,1.14715719063545,114.715719063545,0.940606060606061,94.0606060606061
"South Hadley","MA",2011,4398,765,353,174923989,781,0.898100878088626,89.8100878088626,1.18060200668896,118.060200668896,0.946666666666667,94.6666666666667
"South Hadley","MA",2012,4473,784,344,182410667,784,0.913416377373902,91.3416377373902,1.1505016722408,115.05016722408,0.95030303030303,95.030303030303
"Southampton","MA",2001,1061,400,131,22098434,519,1,100,1,100,1,100
"Southampton","MA",2002,1141,403,134,23920020,514,1.07540056550424,107.540056550424,1.02290076335878,102.290076335878,0.990366088631985,99.0366088631985
"Southampton","MA",2003,1066,439,134,24324967,548,1.00471253534402,100.471253534402,1.02290076335878,102.290076335878,1.05587668593449,105.587668593449
"Southampton","MA",2004,1081,455,130,25566361,553,1.01885014137606,101.885014137606,0.99236641221374,99.236641221374,1.0655105973025,106.55105973025
"Southampton","MA",2005,1117,488,131,28325312,574,1.05278039585297,105.278039585297,1,100,1.10597302504817,110.597302504817
"Southampton","MA",2006,1125,510,128,29825067,581,1.06032045240339,106.032045240339,0.977099236641221,97.7099236641221,1.11946050096339,111.946050096339
"Southampton","MA",2007,1144,540,131,32109581,598,1.07822808671065,107.822808671065,1,100,1.15221579961464,115.221579961464
"Southampton","MA",2008,1113,557,121,32227684,594,1.04901036757776,104.901036757776,0.923664122137405,92.3664122137405,1.14450867052023,114.450867052023
"Southampton","MA",2009,1075,557,125,31158038,596,1.01319509896324,101.319509896324,0.954198473282443,95.4198473282443,1.14836223506744,114.836223506744
"Southampton","MA",2010,1039,557,124,30093113,586,0.979264844486334,97.9264844486334,0.946564885496183,94.6564885496183,1.12909441233141,112.909441233141
"Southampton","MA",2011,1042,580,126,31402738,592,0.982092365692743,98.2092365692743,0.961832061068702,96.1832061068702,1.14065510597302,114.065510597303
"Southampton","MA",2012,1086,603,129,34071293,603,1.02356267672008,102.356267672008,0.984732824427481,98.4732824427481,1.16184971098266,116.184971098266
"Southborough","MA",2001,6018,1063,351,332788694,1378,1,100,1,100,1,100
"Southborough","MA",2002,6284,1064,373,347513761,1358,1.04420073113991,104.420073113991,1.06267806267806,106.267806267806,0.985486211901306,98.5486211901306
"Southborough","MA",2003,6259,1042,386,339044545,1300,1.04004652708541,104.004652708541,1.0997150997151,109.97150997151,0.943396226415094,94.3396226415094
"Southborough","MA",2004,6511,1141,413,386394354,1387,1.0819209039548,108.19209039548,1.17663817663818,117.663817663818,1.00653120464441,100.653120464441
"Southborough","MA",2005,6797,1209,405,427230768,1421,1.12944499833832,112.944499833832,1.15384615384615,115.384615384615,1.03120464441219,103.120464441219
"Southborough","MA",2006,6678,1207,383,419281719,1375,1.10967098703888,110.967098703888,1.09116809116809,109.116809116809,0.997822931785196,99.7822931785196
"Southborough","MA",2007,7105,1311,392,484425733,1452,1.1806247922898,118.06247922898,1.11680911680912,111.680911680912,1.05370101596517,105.370101596517
"Southborough","MA",2008,7640,1291,404,513052537,1377,1.26952475905616,126.952475905616,1.15099715099715,115.099715099715,0.999274310595065,99.9274310595065
"Southborough","MA",2009,7112,1317,398,486940929,1409,1.18178796942506,118.178796942506,1.13390313390313,113.390313390313,1.02249637155298,102.249637155298
"Southborough","MA",2010,7256,1356,419,511625862,1428,1.205716184779,120.5716184779,1.19373219373219,119.373219373219,1.03628447024673,103.628447024673
"Southborough","MA",2011,7387,1392,424,534721327,1421,1.22748421402459,122.748421402459,1.20797720797721,120.797720797721,1.03120464441219,103.120464441219
"Southborough","MA",2012,7406,1458,428,561322982,1458,1.23064140910602,123.064140910602,1.21937321937322,121.937321937322,1.05805515239477,105.805515239478
"Southbridge","MA",2001,6177,616,416,197831014,799,1,100,1,100,1,100
"Southbridge","MA",2002,6140,627,424,200287744,800,0.994010037234904,99.4010037234904,1.01923076923077,101.923076923077,1.00125156445557,100.125156445557
"Southbridge","MA",2003,5844,636,442,193227778,794,0.946090335114133,94.6090335114133,1.0625,106.25,0.993742177722153,99.3742177722153
"Southbridge","MA",2004,5834,656,444,198954321,797,0.944471426258702,94.4471426258702,1.06730769230769,106.730769230769,0.997496871088861,99.7496871088861
"Southbridge","MA",2005,6099,682,434,216271013,802,0.987372510927635,98.7372510927635,1.04326923076923,104.326923076923,1.00375469336671,100.375469336671
"Southbridge","MA",2006,6072,716,444,226083450,815,0.98300145701797,98.300145701797,1.06730769230769,106.730769230769,1.02002503128911,102.002503128911
"Southbridge","MA",2007,6107,711,445,225869108,787,0.98866763801198,98.866763801198,1.06971153846154,106.971153846154,0.984981226533166,98.4981226533166
"Southbridge","MA",2008,6011,753,444,235308123,803,0.973126112999838,97.3126112999838,1.06730769230769,106.730769230769,1.00500625782228,100.500625782228
"Southbridge","MA",2009,5812,786,452,237641521,841,0.940909826776753,94.0909826776753,1.08653846153846,108.653846153846,1.05256570713392,105.256570713392
"Southbridge","MA",2010,5706,823,462,244171653,867,0.923749392909179,92.3749392909179,1.11057692307692,111.057692307692,1.08510638297872,108.510638297872
"Southbridge","MA",2011,5592,818,486,237717137,835,0.905293831957261,90.5293831957261,1.16826923076923,116.826923076923,1.0450563204005,104.50563204005
"Southbridge","MA",2012,5736,813,516,242557742,813,0.928606119475474,92.8606119475474,1.24038461538462,124.038461538462,1.01752190237797,101.752190237797
"Southwick","MA",2001,2593,500,251,67401415,648,1,100,1,100,1,100
"Southwick","MA",2002,2785,534,261,77312023,682,1.07404550713459,107.404550713459,1.0398406374502,103.98406374502,1.05246913580247,105.246913580247
"Southwick","MA",2003,2728,555,261,78784982,693,1.05206324720401,105.206324720401,1.0398406374502,103.98406374502,1.06944444444444,106.944444444444
"Southwick","MA",2004,2787,578,274,83805157,703,1.07481681450058,107.481681450058,1.09163346613546,109.163346613546,1.08487654320988,108.487654320988
"Southwick","MA",2005,2694,587,260,82222737,690,1.03895102198226,103.895102198226,1.03585657370518,103.585657370518,1.06481481481481,106.481481481481
"Southwick","MA",2006,2700,606,262,85116192,690,1.04126494408022,104.126494408022,1.04382470119522,104.382470119522,1.06481481481481,106.481481481481
"Southwick","MA",2007,2685,628,268,87659728,695,1.03548013883533,103.548013883533,1.06772908366534,106.772908366534,1.07253086419753,107.253086419753
"Southwick","MA",2008,2641,639,272,87805713,681,1.01851137678365,101.851137678365,1.08366533864542,108.366533864542,1.05092592592593,105.092592592593
"Southwick","MA",2009,2511,642,274,83816977,687,0.968376397994601,96.8376397994601,1.09163346613546,109.163346613546,1.06018518518519,106.018518518519
"Southwick","MA",2010,2539,645,276,85143335,679,0.979174701118396,97.9174701118396,1.0996015936255,109.96015936255,1.04783950617284,104.783950617284
"Southwick","MA",2011,2558,649,284,86393617,662,0.986502121095256,98.6502121095257,1.13147410358566,113.147410358566,1.02160493827161,102.160493827161
"Southwick","MA",2012,2586,667,271,89726010,667,0.997300424219051,99.7300424219051,1.0796812749004,107.96812749004,1.02932098765432,102.932098765432
"Spencer","MA",2001,3555,654,250,120952561,848,1,100,1,100,1,100
"Spencer","MA",2002,3451,617,247,110664188,787,0.970745428973277,97.0745428973277,0.988,98.8,0.928066037735849,92.8066037735849
"Spencer","MA",2003,3530,635,267,116577456,792,0.992967651195499,99.2967651195499,1.068,106.8,0.933962264150943,93.3962264150943
"Spencer","MA",2004,3449,651,279,116705202,791,0.970182841068917,97.0182841068917,1.116,111.6,0.932783018867924,93.2783018867924
"Spencer","MA",2005,3495,671,275,121868820,789,0.983122362869198,98.3122362869198,1.1,110,0.930424528301887,93.0424528301887
"Spencer","MA",2006,3463,709,269,127711308,807,0.974120956399437,97.4120956399437,1.076,107.6,0.951650943396226,95.1650943396226
"Spencer","MA",2007,3411,716,262,126954955,793,0.959493670886076,95.9493670886076,1.048,104.8,0.935141509433962,93.5141509433962
"Spencer","MA",2008,3327,733,268,126733456,782,0.935864978902954,93.5864978902954,1.072,107.2,0.922169811320755,92.2169811320755
"Spencer","MA",2009,3082,721,262,115519710,772,0.866947960618847,86.6947960618847,1.048,104.8,0.910377358490566,91.0377358490566
"Spencer","MA",2010,3012,755,271,118316545,795,0.847257383966245,84.7257383966245,1.084,108.4,0.9375,93.75
"Spencer","MA",2011,2999,758,269,118259830,774,0.843600562587904,84.3600562587904,1.076,107.6,0.912735849056604,91.2735849056604
"Spencer","MA",2012,3110,786,248,127115481,786,0.874824191279888,87.4824191279887,0.992,99.2,0.92688679245283,92.688679245283
"Springfield","MA",2001,79927,714,4316,2966429396,926,1,100,1,100,1,100
"Springfield","MA",2002,78755,736,4764,3015400588,939,0.985336619665445,98.5336619665445,1.10379981464319,110.379981464319,1.01403887688985,101.403887688985
"Springfield","MA",2003,77902,762,5235,3088673412,951,0.974664381247889,97.4664381247889,1.21292863762743,121.292863762743,1.02699784017279,102.699784017279
