"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"157","Longmeadow","MA",2001,"Longmeadow","Total, All Industries",3261
"158","Lowell","MA",2001,"Lowell","Total, All Industries",34556
"159","Ludlow","MA",2001,"Ludlow","Total, All Industries",5937
"160","Lunenburg","MA",2001,"Lunenburg","Total, All Industries",2464
"161","Lynn","MA",2001,"Lynn","Total, All Industries",25258
"162","Lynnfield","MA",2001,"Lynnfield","Total, All Industries",5168
"163","Malden","MA",2001,"Malden","Total, All Industries",17482
"164","Manchester-by-the-Sea","MA",2001,"Manchester","Total, All Industries",1496
"165","Mansfield","MA",2001,"Mansfield","Total, All Industries",11711
"166","Marblehead","MA",2001,"Marblehead","Total, All Industries",4931
"167","Marion","MA",2001,"Marion","Total, All Industries",2042
"168","Marlborough","MA",2001,"Marlborough","Total, All Industries",30368
"169","Marshfield","MA",2001,"Marshfield","Total, All Industries",4988
"170","Mashpee","MA",2001,"Mashpee","Total, All Industries",3524
"171","Mattapoisett","MA",2001,"Mattapoisett","Total, All Industries",1705
"172","Maynard","MA",2001,"Maynard","Total, All Industries",5617
"173","Medfield","MA",2001,"Medfield","Total, All Industries",3604
"174","Medford","MA",2001,"Medford","Total, All Industries",18931
"175","Medway","MA",2001,"Medway","Total, All Industries",2730
"176","Melrose","MA",2001,"Melrose","Total, All Industries",6549
"177","Mendon","MA",2001,"Mendon","Total, All Industries",1355
"178","Merrimac","MA",2001,"Merrimac","Total, All Industries",924
"179","Methuen","MA",2001,"Methuen","Total, All Industries",14586
"180","Middleborough","MA",2001,"Middleborough","Total, All Industries",7698
"181","Middlefield","MA",2001,"Middlefield","Total, All Industries",47
"182","Middleton","MA",2001,"Middleton","Total, All Industries",4867
"183","Milford","MA",2001,"Milford","Total, All Industries",14653
"184","Millbury","MA",2001,"Millbury","Total, All Industries",3814
"185","Millis","MA",2001,"Millis","Total, All Industries",2146
"186","Millville","MA",2001,"Millville","Total, All Industries",213
"187","Milton","MA",2001,"Milton","Total, All Industries",6067
"188","Monroe","MA",2001,"Monroe","Total, All Industries",37
"189","Monson","MA",2001,"Monson","Total, All Industries",1374
"190","Montague","MA",2001,"Montague","Total, All Industries",2713
"191","Monterey","MA",2001,"Monterey","Total, All Industries",175
"192","Montgomery","MA",2001,"Montgomery","Total, All Industries",66
"193","Nahant","MA",2001,"Nahant","Total, All Industries",407
"194","Nantucket","MA",2001,"Nantucket","Total, All Industries",5591
"195","Natick","MA",2001,"Natick","Total, All Industries",23872
"196","Needham","MA",2001,"Needham","Total, All Industries",20006
"197","New Ashford","MA",2001,"New Ashford","Total, All Industries",111
"198","New Bedford","MA",2001,"New Bedford","Total, All Industries",36293
"199","New Braintree","MA",2001,"New Braintree","Total, All Industries",141
"200","New Marlborough","MA",2001,"New Marlborough","Total, All Industries",382
"201","New Salem","MA",2001,"New Salem","Total, All Industries",160
"202","Newbury","MA",2001,"Newbury","Total, All Industries",1256
"203","Newburyport","MA",2001,"Newburyport","Total, All Industries",10180
"204","Newton","MA",2001,"Newton","Total, All Industries",48050
"205","Norfolk","MA",2001,"Norfolk","Total, All Industries",3190
"206","North Adams","MA",2001,"North Adams","Total, All Industries",6158
"207","North Andover","MA",2001,"North Andover","Total, All Industries",18328
"208","North Attleborough","MA",2001,"North Attleborough","Total, All Industries",12233
"209","North Brookfield","MA",2001,"North Brookfield","Total, All Industries",1171
"210","North Reading","MA",2001,"North Reading","Total, All Industries",6794
"211","Northampton","MA",2001,"Northampton","Total, All Industries",17729
"212","Northborough","MA",2001,"Northborough","Total, All Industries",6606
"213","Northbridge","MA",2001,"Northbridge","Total, All Industries",4401
"214","Northfield","MA",2001,"Northfield","Total, All Industries",1183
