"","Municipal","Year","Average_Monthly_Employment"
"1","Abington",2001,4119
"2","Abington",2002,4166
"3","Abington",2003,3980
"4","Abington",2004,3985
"5","Abington",2005,4041
"6","Abington",2006,4078
"7","Abington",2007,4023
"8","Abington",2008,3977
"9","Abington",2009,3812
"10","Abington",2010,3732
"11","Abington",2011,3823
"12","Abington",2012,3903
"13","Acton",2001,10405
"14","Acton",2002,9775
"15","Acton",2003,9340
"16","Acton",2004,9302
"17","Acton",2005,9491
"18","Acton",2006,9784
"19","Acton",2007,10089
"20","Acton",2008,10095
"21","Acton",2009,9451
"22","Acton",2010,9286
"23","Acton",2011,9489
"24","Acton",2012,9837
"25","Acushnet",2001,2035
"26","Acushnet",2002,2255
"27","Acushnet",2003,2116
"28","Acushnet",2004,1442
"29","Acushnet",2005,1271
"30","Acushnet",2006,1490
"31","Acushnet",2007,1436
"32","Acushnet",2008,1340
"33","Acushnet",2009,1102
"34","Acushnet",2010,1130
"35","Acushnet",2011,1130
"36","Acushnet",2012,1177
"37","Adams",2001,2182
"38","Adams",2002,2131
"39","Adams",2003,2061
"40","Adams",2004,1912
"41","Adams",2005,1894
"42","Adams",2006,1920
"43","Adams",2007,1833
"44","Adams",2008,1824
"45","Adams",2009,1719
"46","Adams",2010,1756
"47","Adams",2011,1759
"48","Adams",2012,1813
"49","Agawam",2001,11862
"50","Agawam",2002,11518
"51","Agawam",2003,11301
"52","Agawam",2004,11823
"53","Agawam",2005,12125
"54","Agawam",2006,12130
"55","Agawam",2007,12020
"56","Agawam",2008,12091
"57","Agawam",2009,11562
"58","Agawam",2010,11637
"59","Agawam",2011,11823
"60","Agawam",2012,11953
"61","Alford",2001,30
"62","Alford",2002,38
"63","Alford",2003,41
"64","Alford",2004,38
"65","Alford",2005,35
"66","Alford",2006,37
"67","Alford",2007,38
"68","Alford",2008,28
"69","Alford",2009,34
"70","Alford",2010,24
"71","Amesbury",2001,4970
"72","Amesbury",2002,4652
"73","Amesbury",2003,4551
"74","Amesbury",2004,4700
"75","Amesbury",2005,4727
"76","Amesbury",2006,4715
"77","Amesbury",2007,4709
"78","Amesbury",2008,4657
"79","Amesbury",2009,4587
"80","Amesbury",2010,4707
"81","Amesbury",2011,4730
"82","Amesbury",2012,4778
"83","Amherst",2001,13039
"84","Amherst",2002,12585
"85","Amherst",2003,12545
"86","Amherst",2004,14156
"87","Amherst",2005,13986
"88","Amherst",2006,14266
"89","Amherst",2007,14617
"90","Amherst",2008,14651
"91","Amherst",2009,14606
"92","Amherst",2010,14820
"93","Amherst",2011,15207
"94","Amherst",2012,15595
"95","Andover",2001,34528
"96","Andover",2002,32846
"97","Andover",2003,31769
"98","Andover",2004,31600
"99","Andover",2005,31907
"100","Andover",2006,31843
"101","Andover",2007,32440
"102","Andover",2008,32769
"103","Andover",2009,31840
"104","Andover",2010,31613
"105","Andover",2011,32326
"106","Andover",2012,33916
"107","Aquinnah",2001,72
"108","Aquinnah",2002,73
"109","Aquinnah",2003,71
"110","Aquinnah",2004,87
"111","Aquinnah",2005,89
"112","Aquinnah",2006,78
"113","Aquinnah",2007,73
"114","Aquinnah",2008,73
"115","Aquinnah",2009,82
"116","Aquinnah",2010,88
"117","Aquinnah",2011,92
"118","Aquinnah",2012,81
"119","Arlington",2001,8735
"120","Arlington",2002,8334
"121","Arlington",2003,7861
"122","Arlington",2004,7913
"123","Arlington",2005,8084
"124","Arlington",2006,7956
"125","Arlington",2007,7997
"126","Arlington",2008,7972
"127","Arlington",2009,8123
"128","Arlington",2010,8009
"129","Arlington",2011,8166
"130","Arlington",2012,8432
"131","Ashburnham",2001,1064
"132","Ashburnham",2002,1088
"133","Ashburnham",2003,1088
"134","Ashburnham",2004,1125
"135","Ashburnham",2005,1135
"136","Ashburnham",2006,1136
"137","Ashburnham",2007,1089
"138","Ashburnham",2008,1069
"139","Ashburnham",2009,1012
"140","Ashburnham",2010,1006
"141","Ashburnham",2011,984
"142","Ashburnham",2012,982
"143","Ashby",2001,238
"144","Ashby",2002,259
"145","Ashby",2003,251
"146","Ashby",2004,270
"147","Ashby",2005,268
"148","Ashby",2006,300
"149","Ashby",2007,308
"150","Ashby",2008,279
"151","Ashby",2009,285
"152","Ashby",2010,278
"153","Ashby",2011,280
"154","Ashby",2012,312
"155","Ashfield",2001,234
"156","Ashfield",2002,248
"157","Ashfield",2003,241
"158","Ashfield",2004,230
"159","Ashfield",2005,228
"160","Ashfield",2006,241
"161","Ashfield",2007,245
"162","Ashfield",2008,240
"163","Ashfield",2009,245
"164","Ashfield",2010,247
"165","Ashfield",2011,224
"166","Ashfield",2012,245
"167","Ashland",2001,4565
"168","Ashland",2002,4543
"169","Ashland",2003,4502
"170","Ashland",2004,4832
"171","Ashland",2005,4936
"172","Ashland",2006,4906
"173","Ashland",2007,4994
"174","Ashland",2008,5164
"175","Ashland",2009,4998
"176","Ashland",2010,4688
"177","Ashland",2011,4678
"178","Ashland",2012,4739
"179","Athol",2001,3628
"180","Athol",2002,3595
"181","Athol",2003,3534
"182","Athol",2004,3339
"183","Athol",2005,3375
"184","Athol",2006,3311
"185","Athol",2007,3382
"186","Athol",2008,3461
"187","Athol",2009,3474
"188","Athol",2010,3352
"189","Athol",2011,3409
"190","Athol",2012,3433
"191","Attleboro",2001,21649
"192","Attleboro",2002,20418
"193","Attleboro",2003,19744
"194","Attleboro",2004,19710
"195","Attleboro",2005,19089
"196","Attleboro",2006,18639
"197","Attleboro",2007,18664
"198","Attleboro",2008,17872
"199","Attleboro",2009,16506
"200","Attleboro",2010,16340
"201","Attleboro",2011,16169
"202","Attleboro",2012,16405
"203","Auburn",2001,11564
"204","Auburn",2002,10807
"205","Auburn",2003,10776
"206","Auburn",2004,10681
"207","Auburn",2005,10432
"208","Auburn",2006,10748
"209","Auburn",2007,10696
"210","Auburn",2008,10672
"211","Auburn",2009,9896
"212","Auburn",2010,9913
"213","Auburn",2011,10327
"214","Auburn",2012,10332
"215","Avon",2001,6853
"216","Avon",2002,6292
"217","Avon",2003,6163
"218","Avon",2004,6135
"219","Avon",2005,5702
"220","Avon",2006,5566
"221","Avon",2007,5420
"222","Avon",2008,5483
"223","Avon",2009,5077
"224","Avon",2010,5160
"225","Avon",2011,5312
"226","Avon",2012,5254
"227","Ayer",2001,6314
"228","Ayer",2002,6393
"229","Ayer",2003,6234
"230","Ayer",2004,6608
"231","Ayer",2005,7406
"232","Ayer",2006,7315
"233","Ayer",2007,7433
"234","Ayer",2008,7713
"235","Ayer",2009,8366
"236","Ayer",2010,8512
"237","Ayer",2011,7628
"238","Ayer",2012,7160
"239","Barnstable",2001,28045
"240","Barnstable",2002,28213
"241","Barnstable",2003,28323
"242","Barnstable",2004,28930
"243","Barnstable",2005,28282
"244","Barnstable",2006,27986
"245","Barnstable",2007,27565
"246","Barnstable",2008,27093
"247","Barnstable",2009,25944
"248","Barnstable",2010,26075
"249","Barnstable",2011,26013
"250","Barnstable",2012,26836
"251","Barre",2001,1134
"252","Barre",2002,1183
"253","Barre",2003,1238
"254","Barre",2004,1293
"255","Barre",2005,1281
"256","Barre",2006,1293
"257","Barre",2007,1242
"258","Barre",2008,1251
"259","Barre",2009,1224
"260","Barre",2010,1204
"261","Barre",2011,1217
"262","Barre",2012,1244
"263","Becket",2001,354
"264","Becket",2002,350
"265","Becket",2003,330
"266","Becket",2004,333
"267","Becket",2005,346
"268","Becket",2006,375
"269","Becket",2007,417
"270","Becket",2008,430
"271","Becket",2009,368
"272","Becket",2010,400
"273","Becket",2011,434
"274","Becket",2012,406
"275","Bedford",2001,21786
"276","Bedford",2002,20250
"277","Bedford",2003,18799
"278","Bedford",2004,18653
"279","Bedford",2005,18436
"280","Bedford",2006,18116
"281","Bedford",2007,18135
"282","Bedford",2008,18677
"283","Bedford",2009,18805
"284","Bedford",2010,19473
"285","Bedford",2011,19818
"286","Bedford",2012,20614
"287","Belchertown",2001,2006
"288","Belchertown",2002,2104
"289","Belchertown",2003,2316
"290","Belchertown",2004,2339
"291","Belchertown",2005,2343
"292","Belchertown",2006,2433
"293","Belchertown",2007,2433
"294","Belchertown",2008,2619
"295","Belchertown",2009,2589
"296","Belchertown",2010,2620
"297","Belchertown",2011,2640
"298","Belchertown",2012,2649
"299","Bellingham",2001,5124
"300","Bellingham",2002,5038
"301","Bellingham",2003,5144
"302","Bellingham",2004,5337
"303","Bellingham",2005,5548
"304","Bellingham",2006,5815
"305","Bellingham",2007,5636
"306","Bellingham",2008,5472
"307","Bellingham",2009,5261
"308","Bellingham",2010,5485
"309","Bellingham",2011,5633
"310","Bellingham",2012,5812
"311","Belmont",2001,6359
"312","Belmont",2002,6482
"313","Belmont",2003,6342
"314","Belmont",2004,6435
"315","Belmont",2005,6524
"316","Belmont",2006,6548
"317","Belmont",2007,6394
"318","Belmont",2008,6283
"319","Belmont",2009,6257
"320","Belmont",2010,6480
"321","Belmont",2011,6716
"322","Belmont",2012,6903
"323","Berkley",2001,541
"324","Berkley",2002,562
"325","Berkley",2003,626
"326","Berkley",2004,642
"327","Berkley",2005,657
"328","Berkley",2006,643
"329","Berkley",2007,619
"330","Berkley",2008,573
"331","Berkley",2009,524
"332","Berkley",2010,524
"333","Berkley",2011,549
"334","Berkley",2012,587
"335","Berlin",2001,699
"336","Berlin",2002,659
"337","Berlin",2003,600
"338","Berlin",2004,608
"339","Berlin",2005,604
"340","Berlin",2006,500
"341","Berlin",2007,477
"342","Berlin",2008,463
"343","Berlin",2009,467
"344","Berlin",2010,454
"345","Berlin",2011,471
"346","Berlin",2012,477
"347","Bernardston",2001,466
"348","Bernardston",2002,418
"349","Bernardston",2003,429
"350","Bernardston",2004,453
"351","Bernardston",2005,415
"352","Bernardston",2006,386
"353","Bernardston",2007,376
"354","Bernardston",2008,353
"355","Bernardston",2009,338
"356","Bernardston",2010,342
"357","Bernardston",2011,371
"358","Bernardston",2012,532
"359","Beverly",2001,19467
"360","Beverly",2002,19412
"361","Beverly",2003,19785
"362","Beverly",2004,20006
"363","Beverly",2005,19910
"364","Beverly",2006,20801
"365","Beverly",2007,21129
"366","Beverly",2008,21417
"367","Beverly",2009,20702
"368","Beverly",2010,20875
"369","Beverly",2011,21365
"370","Beverly",2012,22082
"371","Billerica",2001,25615
"372","Billerica",2002,23695
"373","Billerica",2003,22805
"374","Billerica",2004,22674
"375","Billerica",2005,22825
"376","Billerica",2006,22871
"377","Billerica",2007,22867
"378","Billerica",2008,22377
"379","Billerica",2009,20453
"380","Billerica",2010,19926
"381","Billerica",2011,20304
"382","Billerica",2012,20892
"383","Blackstone",2001,1331
"384","Blackstone",2002,1192
"385","Blackstone",2003,1062
"386","Blackstone",2004,1172
"387","Blackstone",2005,1195
"388","Blackstone",2006,1287
"389","Blackstone",2007,1208
"390","Blackstone",2008,1063
"391","Blackstone",2009,1027
"392","Blackstone",2010,1072
"393","Blackstone",2011,1097
"394","Blackstone",2012,1112
"395","Blandford",2001,166
"396","Blandford",2002,212
"397","Blandford",2003,188
"398","Blandford",2004,215
"399","Blandford",2005,216
"400","Blandford",2006,223
"401","Blandford",2007,235
"402","Blandford",2008,221
"403","Blandford",2009,219
"404","Blandford",2010,246
"405","Blandford",2011,219
"406","Blandford",2012,213
"407","Bolton",2001,2286
"408","Bolton",2002,1990
"409","Bolton",2003,1918
"410","Bolton",2004,1896
"411","Bolton",2005,1646
"412","Bolton",2006,1487
"413","Bolton",2007,1527
"414","Bolton",2008,1535
"415","Bolton",2009,1318
"416","Bolton",2010,1217
"417","Bolton",2011,1289
"418","Bolton",2012,1312
"419","Boston",2001,578460
"420","Boston",2002,558693
"421","Boston",2003,537895
"422","Boston",2004,533884
"423","Boston",2005,538785
"424","Boston",2006,548831
"425","Boston",2007,562720
"426","Boston",2008,568204
"427","Boston",2009,550653
"428","Boston",2010,552369
"429","Boston",2011,561126
"430","Boston",2012,570888
"431","Bourne",2001,7117
"432","Bourne",2002,6961
"433","Bourne",2003,7082
"434","Bourne",2004,7021
"435","Bourne",2005,7508
"436","Bourne",2006,7370
"437","Bourne",2007,7362
"438","Bourne",2008,7282
"439","Bourne",2009,7262
"440","Bourne",2010,7273
"441","Bourne",2011,7169
"442","Bourne",2012,7578
"443","Boxborough",2001,2332
"444","Boxborough",2002,1861
"445","Boxborough",2003,3161
"446","Boxborough",2004,3040
"447","Boxborough",2005,3096
"448","Boxborough",2006,3577
"449","Boxborough",2007,3834
"450","Boxborough",2008,3966
"451","Boxborough",2009,3970
"452","Boxborough",2010,3841
"453","Boxborough",2011,4160
"454","Boxborough",2012,4248
"455","Boxford",2001,929
"456","Boxford",2002,974
"457","Boxford",2003,971
"458","Boxford",2004,982
"459","Boxford",2005,971
"460","Boxford",2006,1004
"461","Boxford",2007,947
"462","Boxford",2008,990
"463","Boxford",2009,1013
"464","Boxford",2010,804
"465","Boxford",2011,785
"466","Boxford",2012,799
"467","Boylston",2001,1458
"468","Boylston",2002,1480
"469","Boylston",2003,1597
"470","Boylston",2004,1593
"471","Boylston",2005,1705
"472","Boylston",2006,1697
"473","Boylston",2007,1665
"474","Boylston",2008,1658
"475","Boylston",2009,1785
"476","Boylston",2010,1658
"477","Boylston",2011,1693
"478","Boylston",2012,1687
"479","Braintree",2001,30999
"480","Braintree",2002,29465
"481","Braintree",2003,29173
"482","Braintree",2004,29043
"483","Braintree",2005,29589
"484","Braintree",2006,28851
"485","Braintree",2007,28204
"486","Braintree",2008,27052
"487","Braintree",2009,25754
"488","Braintree",2010,26295
"489","Braintree",2011,26325
"490","Braintree",2012,26966
"491","Brewster",2001,2494
"492","Brewster",2002,2571
"493","Brewster",2003,2582
"494","Brewster",2004,2661
"495","Brewster",2005,2638
"496","Brewster",2006,2625
"497","Brewster",2007,2612
"498","Brewster",2008,2682
"499","Brewster",2009,2629
"500","Brewster",2010,2579
"501","Brewster",2011,2549
"502","Brewster",2012,2640
"503","Bridgewater",2001,7334
"504","Bridgewater",2002,7345
"505","Bridgewater",2003,6991
"506","Bridgewater",2004,7251
"507","Bridgewater",2005,7320
"508","Bridgewater",2006,7731
"509","Bridgewater",2007,7757
"510","Bridgewater",2008,7514
"511","Bridgewater",2009,7774
"512","Bridgewater",2010,7712
"513","Bridgewater",2011,7862
"514","Bridgewater",2012,8135
"515","Brimfield",2001,494
"516","Brimfield",2002,501
"517","Brimfield",2003,540
"518","Brimfield",2004,544
"519","Brimfield",2005,578
"520","Brimfield",2006,569
"521","Brimfield",2007,561
"522","Brimfield",2008,564
"523","Brimfield",2009,535
"524","Brimfield",2010,508
"525","Brimfield",2011,498
"526","Brimfield",2012,491
"527","Brockton",2001,37604
"528","Brockton",2002,38182
"529","Brockton",2003,38575
"530","Brockton",2004,38707
"531","Brockton",2005,39104
"532","Brockton",2006,39155
"533","Brockton",2007,38026
"534","Brockton",2008,37584
"535","Brockton",2009,36769
"536","Brockton",2010,36857
"537","Brockton",2011,37051
"538","Brockton",2012,37785
"539","Brookfield",2001,475
"540","Brookfield",2002,523
"541","Brookfield",2003,512
"542","Brookfield",2004,530
"543","Brookfield",2005,511
"544","Brookfield",2006,513
"545","Brookfield",2007,463
"546","Brookfield",2008,466
"547","Brookfield",2009,460
"548","Brookfield",2010,494
"549","Brookfield",2011,521
"550","Brookfield",2012,479
"551","Brookline",2001,15442
"552","Brookline",2002,14845
"553","Brookline",2003,14301
"554","Brookline",2004,14498
"555","Brookline",2005,14166
"556","Brookline",2006,14133
"557","Brookline",2007,14279
"558","Brookline",2008,14682
"559","Brookline",2009,14520
"560","Brookline",2010,15368
"561","Brookline",2011,15924
"562","Brookline",2012,16230
"563","Buckland",2001,500
"564","Buckland",2002,503
"565","Buckland",2003,493
"566","Buckland",2004,456
"567","Buckland",2005,442
"568","Buckland",2006,411
"569","Buckland",2007,401
"570","Buckland",2008,348
"571","Buckland",2009,367
"572","Buckland",2010,351
"573","Buckland",2011,361
"574","Buckland",2012,369
"575","Burlington",2001,39125
"576","Burlington",2002,35894
"577","Burlington",2003,32962
"578","Burlington",2004,32805
"579","Burlington",2005,34001
"580","Burlington",2006,36609
"581","Burlington",2007,38146
"582","Burlington",2008,38567
"583","Burlington",2009,37715
"584","Burlington",2010,39419
"585","Burlington",2011,40027
"586","Burlington",2012,39773
"587","Cambridge",2001,113465
"588","Cambridge",2002,105662
"589","Cambridge",2003,103177
"590","Cambridge",2004,99591
"591","Cambridge",2005,102272
"592","Cambridge",2006,105311
"593","Cambridge",2007,107730
"594","Cambridge",2008,108544
"595","Cambridge",2009,106405
"596","Cambridge",2010,105861
"597","Cambridge",2011,105628
"598","Cambridge",2012,108330
"599","Canton",2001,21097
"600","Canton",2002,20469
"601","Canton",2003,20198
"602","Canton",2004,20591
"603","Canton",2005,21350
"604","Canton",2006,21991
"605","Canton",2007,23451
"606","Canton",2008,23497
"607","Canton",2009,21123
"608","Canton",2010,20492
"609","Canton",2011,20274
"610","Canton",2012,21052
"611","Carlisle",2001,808
"612","Carlisle",2002,831
"613","Carlisle",2003,960
"614","Carlisle",2004,912
"615","Carlisle",2005,878
"616","Carlisle",2006,892
"617","Carlisle",2007,768
"618","Carlisle",2008,687
"619","Carlisle",2009,681
"620","Carlisle",2010,730
"621","Carlisle",2011,697
"622","Carlisle",2012,697
"623","Carver",2001,1857
"624","Carver",2002,2592
"625","Carver",2003,2600
"626","Carver",2004,2592
"627","Carver",2005,2724
"628","Carver",2006,2851
"629","Carver",2007,2777
"630","Carver",2008,2844
"631","Carver",2009,2650
"632","Carver",2010,2748
"633","Carver",2011,2793
"634","Carver",2012,2863
"635","Charlemont",2001,321
"636","Charlemont",2002,325
"637","Charlemont",2003,363
"638","Charlemont",2004,320
"639","Charlemont",2005,334
"640","Charlemont",2006,379
"641","Charlemont",2007,391
"642","Charlemont",2008,409
"643","Charlemont",2009,405
"644","Charlemont",2010,416
"645","Charlemont",2011,405
"646","Charlemont",2012,446
"647","Charlton",2001,2804
"648","Charlton",2002,2962
"649","Charlton",2003,3084
"650","Charlton",2004,3146
"651","Charlton",2005,3287
"652","Charlton",2006,3456
"653","Charlton",2007,3674
"654","Charlton",2008,3737
"655","Charlton",2009,3703
"656","Charlton",2010,3681
"657","Charlton",2011,3844
"658","Charlton",2012,3865
"659","Chatham",2001,3020
"660","Chatham",2002,3061
"661","Chatham",2003,3042
"662","Chatham",2004,3040
"663","Chatham",2005,3125
"664","Chatham",2006,3205
"665","Chatham",2007,3337
"666","Chatham",2008,3121
"667","Chatham",2009,2907
"668","Chatham",2010,2822
"669","Chatham",2011,2848
"670","Chatham",2012,2943
"671","Chelmsford",2001,23735
"672","Chelmsford",2002,22210
"673","Chelmsford",2003,21113
"674","Chelmsford",2004,20383
"675","Chelmsford",2005,20948
"676","Chelmsford",2006,21424
"677","Chelmsford",2007,21229
"678","Chelmsford",2008,21387
"679","Chelmsford",2009,20620
"680","Chelmsford",2010,21414
"681","Chelmsford",2011,21549
"682","Chelmsford",2012,22118
"683","Chelsea",2001,13610
"684","Chelsea",2002,13665
"685","Chelsea",2003,13210
"686","Chelsea",2004,13124
"687","Chelsea",2005,13094
"688","Chelsea",2006,13237
"689","Chelsea",2007,13348
"690","Chelsea",2008,13328
"691","Chelsea",2009,13336
"692","Chelsea",2010,13544
"693","Chelsea",2011,13889
"694","Chelsea",2012,14143
"695","Cheshire",2001,312
"696","Cheshire",2002,307
"697","Cheshire",2003,340
"698","Cheshire",2004,432
"699","Cheshire",2005,418
"700","Cheshire",2006,405
"701","Cheshire",2007,443
"702","Cheshire",2008,455
"703","Cheshire",2009,534
"704","Cheshire",2010,587
"705","Cheshire",2011,569
"706","Cheshire",2012,586
"707","Chester",2001,126
"708","Chester",2002,128
"709","Chester",2003,136
"710","Chester",2004,132
"711","Chester",2005,114
"712","Chester",2006,115
"713","Chester",2007,112
"714","Chester",2008,110
"715","Chester",2009,108
"716","Chester",2010,111
"717","Chester",2011,106
"718","Chester",2012,98
"719","Chesterfield",2001,126
"720","Chesterfield",2002,124
"721","Chesterfield",2003,118
"722","Chesterfield",2004,126
"723","Chesterfield",2005,120
"724","Chesterfield",2006,118
"725","Chesterfield",2007,124
"726","Chesterfield",2008,117
"727","Chesterfield",2009,122
"728","Chesterfield",2010,159
"729","Chesterfield",2011,150
"730","Chesterfield",2012,159
"731","Chicopee",2001,20560
"732","Chicopee",2002,20226
"733","Chicopee",2003,19384
"734","Chicopee",2004,19738
"735","Chicopee",2005,20378
"736","Chicopee",2006,20344
"737","Chicopee",2007,20002
"738","Chicopee",2008,19727
"739","Chicopee",2009,18803
"740","Chicopee",2010,18779
"741","Chicopee",2011,18861
"742","Chicopee",2012,18730
"743","Chilmark",2001,275
"744","Chilmark",2002,300
"745","Chilmark",2003,265
"746","Chilmark",2004,250
"747","Chilmark",2005,258
"748","Chilmark",2006,260
"749","Chilmark",2007,276
"750","Chilmark",2008,271
"751","Chilmark",2009,291
"752","Chilmark",2010,286
"753","Chilmark",2011,253
"754","Chilmark",2012,299
"755","Clarksburg",2001,241
"756","Clarksburg",2002,229
"757","Clarksburg",2003,208
"758","Clarksburg",2004,221
"759","Clarksburg",2005,233
"760","Clarksburg",2006,195
"761","Clarksburg",2007,172
"762","Clarksburg",2008,175
"763","Clarksburg",2009,180
"764","Clarksburg",2010,177
"765","Clarksburg",2011,180
"766","Clarksburg",2012,196
"767","Clinton",2001,4865
"768","Clinton",2002,4693
"769","Clinton",2003,4731
"770","Clinton",2004,4736
"771","Clinton",2005,4255
"772","Clinton",2006,4149
"773","Clinton",2007,4327
"774","Clinton",2008,4396
"775","Clinton",2009,4337
"776","Clinton",2010,4446
"777","Clinton",2011,4434
"778","Clinton",2012,4398
"779","Cohasset",2001,2496
"780","Cohasset",2002,2469
"781","Cohasset",2003,2509
"782","Cohasset",2004,2459
"783","Cohasset",2005,2506
"784","Cohasset",2006,2563
"785","Cohasset",2007,2499
"786","Cohasset",2008,2732
"787","Cohasset",2009,2493
"788","Cohasset",2010,2454
"789","Cohasset",2011,2573
"790","Cohasset",2012,2625
"791","Colrain",2001,258
"792","Colrain",2002,253
"793","Colrain",2003,237
"794","Colrain",2004,227
"795","Colrain",2005,221
"796","Colrain",2006,191
"797","Colrain",2007,191
"798","Colrain",2008,190
"799","Colrain",2009,191
"800","Colrain",2010,187
"801","Colrain",2011,174
"802","Colrain",2012,182
"803","Concord",2001,12812
"804","Concord",2002,12505
"805","Concord",2003,12294
"806","Concord",2004,12204
"807","Concord",2005,12565
"808","Concord",2006,12723
"809","Concord",2007,12808
"810","Concord",2008,12565
"811","Concord",2009,12057
"812","Concord",2010,11916
"813","Concord",2011,11738
"814","Concord",2012,11578
"815","Conway",2001,186
"816","Conway",2002,184
"817","Conway",2003,180
"818","Conway",2004,170
"819","Conway",2005,184
"820","Conway",2006,204
"821","Conway",2007,217
"822","Conway",2008,212
"823","Conway",2009,208
"824","Conway",2010,204
"825","Conway",2011,202
"826","Conway",2012,200
"827","Cummington",2001,245
"828","Cummington",2002,284
"829","Cummington",2003,244
"830","Cummington",2004,225
"831","Cummington",2005,192
"832","Cummington",2006,202
"833","Cummington",2007,230
"834","Cummington",2008,212
"835","Cummington",2009,206
"836","Cummington",2010,212
"837","Cummington",2011,197
"838","Cummington",2012,201
"839","Dalton",2001,2180
"840","Dalton",2002,2192
"841","Dalton",2003,2227
"842","Dalton",2004,2157
"843","Dalton",2005,2149
"844","Dalton",2006,2173
"845","Dalton",2007,2102
"846","Dalton",2008,2031
"847","Dalton",2009,1968
"848","Dalton",2010,1950
"849","Dalton",2011,1847
"850","Dalton",2012,2118
"851","Danvers",2001,23026
"852","Danvers",2002,23836
"853","Danvers",2003,23684
"854","Danvers",2004,23929
"855","Danvers",2005,24140
"856","Danvers",2006,24836
"857","Danvers",2007,25289
"858","Danvers",2008,25463
"859","Danvers",2009,24422
"860","Danvers",2010,24560
"861","Danvers",2011,25121
"862","Danvers",2012,25675
"863","Dartmouth",2001,13912
"864","Dartmouth",2002,14122
"865","Dartmouth",2003,14152
"866","Dartmouth",2004,15105
"867","Dartmouth",2005,15510
"868","Dartmouth",2006,15618
"869","Dartmouth",2007,15813
"870","Dartmouth",2008,15616
"871","Dartmouth",2009,15144
"872","Dartmouth",2010,15445
"873","Dartmouth",2011,15407
"874","Dartmouth",2012,15682
"875","Dedham",2001,14809
"876","Dedham",2002,14493
"877","Dedham",2003,14414
"878","Dedham",2004,14232
"879","Dedham",2005,14395
"880","Dedham",2006,14731
"881","Dedham",2007,14869
"882","Dedham",2008,14771
"883","Dedham",2009,14787
"884","Dedham",2010,16081
"885","Dedham",2011,15825
"886","Dedham",2012,16147
"887","Deerfield",2001,3891
"888","Deerfield",2002,3872
"889","Deerfield",2003,3836
"890","Deerfield",2004,3764
"891","Deerfield",2005,4494
"892","Deerfield",2006,4378
"893","Deerfield",2007,4452
"894","Deerfield",2008,4642
"895","Deerfield",2009,4416
"896","Deerfield",2010,4471
"897","Deerfield",2011,4524
"898","Deerfield",2012,4540
"899","Dennis",2001,4762
"900","Dennis",2002,4953
"901","Dennis",2003,5092
"902","Dennis",2004,4710
"903","Dennis",2005,4644
"904","Dennis",2006,4760
"905","Dennis",2007,4735
"906","Dennis",2008,4768
"907","Dennis",2009,4556
"908","Dennis",2010,4612
"909","Dennis",2011,4695
"910","Dennis",2012,4697
"911","Dighton",2001,2034
"912","Dighton",2002,1875
"913","Dighton",2003,1973
"914","Dighton",2004,1858
"915","Dighton",2005,1863
"916","Dighton",2006,1845
"917","Dighton",2007,1788
"918","Dighton",2008,1860
"919","Dighton",2009,1736
"920","Dighton",2010,1773
"921","Dighton",2011,1757
"922","Dighton",2012,1782
"923","Douglas",2001,851
"924","Douglas",2002,862
"925","Douglas",2003,820
"926","Douglas",2004,968
"927","Douglas",2005,978
"928","Douglas",2006,927
"929","Douglas",2007,917
"930","Douglas",2008,854
"931","Douglas",2009,824
"932","Douglas",2010,832
"933","Douglas",2011,850
"934","Douglas",2012,875
"935","Dover",2001,844
"936","Dover",2002,812
"937","Dover",2003,852
"938","Dover",2004,907
"939","Dover",2005,942
"940","Dover",2006,848
"941","Dover",2007,812
"942","Dover",2008,804
"943","Dover",2009,827
"944","Dover",2010,821
"945","Dover",2011,783
"946","Dover",2012,782
"947","Dracut",2001,4893
"948","Dracut",2002,4848
"949","Dracut",2003,4947
"950","Dracut",2004,5021
"951","Dracut",2005,5122
"952","Dracut",2006,5078
"953","Dracut",2007,5109
"954","Dracut",2008,5052
"955","Dracut",2009,4809
"956","Dracut",2010,4910
"957","Dracut",2011,5124
"958","Dracut",2012,5245
"959","Dudley",2001,2781
"960","Dudley",2002,2790
"961","Dudley",2003,2728
"962","Dudley",2004,2585
"963","Dudley",2005,2630
"964","Dudley",2006,2707
"965","Dudley",2007,2661
"966","Dudley",2008,2742
"967","Dudley",2009,2707
"968","Dudley",2010,2774
"969","Dudley",2011,2811
"970","Dudley",2012,2926
"971","Dunstable",2001,272
"972","Dunstable",2002,302
"973","Dunstable",2003,287
"974","Dunstable",2004,296
"975","Dunstable",2005,306
"976","Dunstable",2006,294
"977","Dunstable",2007,290
"978","Dunstable",2008,282
"979","Dunstable",2009,253
"980","Dunstable",2010,241
"981","Dunstable",2011,218
"982","Dunstable",2012,234
"983","Duxbury",2001,2548
"984","Duxbury",2002,2649
"985","Duxbury",2003,2726
"986","Duxbury",2004,2644
"987","Duxbury",2005,2950
"988","Duxbury",2006,2846
"989","Duxbury",2007,2871
"990","Duxbury",2008,2937
"991","Duxbury",2009,2768
"992","Duxbury",2010,2760
"993","Duxbury",2011,2735
"994","Duxbury",2012,2779
"995","East Bridgewater",2001,3008
"996","East Bridgewater",2002,2827
"997","East Bridgewater",2003,2755
"998","East Bridgewater",2004,2628
"999","East Bridgewater",2005,2653
"1000","East Bridgewater",2006,2646
