"","Org.Name","Org.Code","Address.1","Address.2","Town","Zip","query","lon","lat","loc"
"1001","Medway: Burke/Memorial Elementary School","01770015","16 Cassidy Lane","","Medway","02053","16 Cassidy Lane, , Medway, 02053, Massachusetts",-71.4072488,42.1418529,"-71.4072488 42.1418529"
"1002","Medway: John D Mc Govern Elementary","01770013","9 Lovering Street","","Medway","02053","9 Lovering Street, , Medway, 02053, Massachusetts",-71.411859,42.155099,"-71.411859 42.155099"
"1003","Medway: Medway High","01770505","88 Summer Street","","Medway","02053","88 Summer Street, , Medway, 02053, Massachusetts",-71.4431602,42.1538138,"-71.4431602 42.1538138"
"1004","Medway: Medway Middle","01770305","45 Holliston Street","","Medway","02053","45 Holliston Street, , Medway, 02053, Massachusetts",-71.4072237,42.1466824,"-71.4072237 42.1466824"
"1005","Melrose: Early Childhood Center","01780003","16 Franklin St","","Melrose","02176","16 Franklin St, , Melrose, 02176, Massachusetts",-71.062013,42.4670438,"-71.062013 42.4670438"
"1006","Melrose: Herbert Clark Hoover","01780017","37 Glendower Rd","","Melrose","02176","37 Glendower Rd, , Melrose, 02176, Massachusetts",-71.0505564,42.4484985,"-71.0505564 42.4484985"
"1007","Melrose: Horace Mann","01780025","40 Damon Avenue","","Melrose","02176","40 Damon Avenue, , Melrose, 02176, Massachusetts",-71.057292,42.468417,"-71.057292 42.468417"
"1008","Melrose: Lincoln","01780020","80 West Wyoming Avenue","","Melrose","02176","80 West Wyoming Avenue, , Melrose, 02176, Massachusetts",-71.0709771,42.452502,"-71.0709771 42.452502"
"1009","Melrose: Melrose High","01780505","360 Lynn Fells Pkwy","","Melrose","02176","360 Lynn Fells Pkwy, , Melrose, 02176, Massachusetts",-71.0660204,42.4643104,"-71.0660204 42.4643104"
"1010","Melrose: Melrose Middle","01780305","350 Lynn Fells Pkwy","","Melrose","02176","350 Lynn Fells Pkwy, , Melrose, 02176, Massachusetts",-71.0652524,42.4632334,"-71.0652524 42.4632334"
"1011","Melrose: Roosevelt","01780035","253 Vinton Street","","Melrose","02176","253 Vinton Street, , Melrose, 02176, Massachusetts",-71.0718465,42.4657445,"-71.0718465 42.4657445"
"1012","Melrose: Winthrop","01780050","162 First Street","","Melrose","02176","162 First Street, , Melrose, 02176, Massachusetts",-71.052635,42.457115,"-71.052635 42.457115"
"1013","Mendon-Upton: Henry P Clough","07100179","10 North Avenue","","Mendon","01756","10 North Avenue, , Mendon, 01756, Massachusetts",-71.5560203,42.1091813,"-71.5560203 42.1091813"
"1014","Mendon-Upton: Memorial School","07100001","69 Main Street","","Upton","01568","69 Main Street, , Upton, 01568, Massachusetts",-71.6134347,42.1704413,"-71.6134347 42.1704413"
"1015","Mendon-Upton: Miscoe Hill School","07100015","148 North Avenue","","Mendon","01756","148 North Avenue, , Mendon, 01756, Massachusetts",-71.5730617,42.1305005,"-71.5730617 42.1305005"
"1016","Mendon-Upton: Nipmuc Regional High","07100510","90 Pleasant Street","","Upton","01568","90 Pleasant Street, , Upton, 01568, Massachusetts",-71.616201,42.1610418,"-71.616201 42.1610418"
"1017","Methuen: Comprehensive Grammar School","01810050","100 Howe Street","","Methuen","01844","100 Howe Street, , Methuen, 01844, Massachusetts",-71.173412,42.74807,"-71.173412 42.74807"
"1018","Methuen: Donald P Timony Grammar","01810060","45 Pleasant View Street","","Methuen","01844","45 Pleasant View Street, , Methuen, 01844, Massachusetts",-71.1720657,42.7307663,"-71.1720657 42.7307663"
"1019","Methuen: Marsh Grammar School","01810030","309 Pelham Street","","Methuen","01844","309 Pelham Street, , Methuen, 01844, Massachusetts",-71.2325269,42.7290485,"-71.2325269 42.7290485"
"1020","Methuen: Methuen High","01810505","1 Ranger Rd","","Methuen","01844","1 Ranger Rd, , Methuen, 01844, Massachusetts",-71.1717315,42.7328911,"-71.1717315 42.7328911"
"1021","Methuen: Tenney Grammar School","01810055","75 Pleasant Street","","Methuen","01844","75 Pleasant Street, , Methuen, 01844, Massachusetts",-71.1774321,42.7321041,"-71.1774321 42.7321041"
"1022","Middleborough: Henry B. Burkland Elementary School","01820008","41 Mayflower Avenue","","Middleborough","02346","41 Mayflower Avenue, , Middleborough, 02346, Massachusetts",-70.9114185,41.8862026,"-70.9114185 41.8862026"
