"","school","org.code","lon","lat"
"128","Roger E Wellington School Belmont MA","00260035",-71.081175,42.409006
"129","Winn Brook School Belmont MA","00260005",-71.27663,41.943962
"130","Winthrop L Chenery Middle School Belmont MA","00260305",-70.967741,42.369938
"131","Benjamin Banneker Charter Public School School Cambridge MA","04200205",-71.09665,42.36389
"132","Benjamin Franklin Classical Charter Public School School Franklin MA","04470205",-71.42094,42.090889
"133","Berkley Community School School Berkley MA","00270010",-71.091766,41.8726
"134","Berkley Middle School School Berkley MA","00270305",-71.034331,41.842205
"135","Berkshire Arts and Technology Charter Public School School Adams MA","04140305",-73.373887,42.193194
"136","Monument Mt Regional High School Great Barrington MA","06180505",-73.311152,42.186695
"137","Monument Valley Regional Middle School School Great Barrington MA","06180310",-73.311152,42.186695
"138","Muddy Brook Regional Elementary School School Great Barrington MA","06180035",-73.328581,42.243641
"139","Tahanto Regional High School Boylston MA","06200505",-71.735039,42.352381
"140","Berlin Memorial School Berlin MA","00280005",-71.746177,42.193338
"141","Ayers/Ryal Side School School Beverly MA","00300055",-72.179872,42.673427
"142","Beverly High School Beverly MA","00300505",-70.908431,42.557418
"143","Briscoe Middle School Beverly MA","00300305",-70.877494,42.549245
"144","Centerville Elementary School Beverly MA","00300010",-70.327038,41.638463
"145","Cove Elementary School Beverly MA","00300015",-70.895225,42.545082
"146","Hannah Elementary School Beverly MA","00300033",-70.883477,42.542991
"147","North Beverly Elementary School Beverly MA","00300040",-70.883477,42.542991
"148","Billerica Memorial High School School Billerica MA","00310505",-71.258883,42.511587
"149","Eugene C Vining School Billerica MA","00310030",-71.231459,42.528186
"150","Frederick J Dutile School Billerica MA","00310007",-71.247374,42.534777
"151","Hajjar Elementary School Billerica MA","00310026",-71.278943,42.648894
"152","John F Kennedy School Billerica MA","00310012",-71.225324,42.523302
"153","Locke Middle School Billerica MA","00310310",-71.255006,42.546081
"154","Marshall Middle School School Billerica MA","00310305",-71.267826,42.533099
"155","Parker School Billerica MA","00310015",-71.276097,42.558194
"156","Thomas Ditson School Billerica MA","00310005",-71.328662,42.641542
"157","Blackstone Valley School Upton MA","08050605",-71.60601,42.172363
"158","A F Maloney School Blackstone MA","06220015",-71.54117,42.01788
"159","Blackstone Millville RHS School Blackstone MA","06220505",-71.6094,42.044131
"160","Frederick W. Hartnett Middle School School Blackstone MA","06220405",-71.54117,42.01788
"161","John F Kennedy Elementary School Blackstone MA","06220008",-71.54117,42.01788
"162","Millville Elementary School Millville MA","06220010",-71.622481,42.063357
"163","Blue Hills Regional Vocational Technical School Canton MA","08060605",-71.093735,42.267021
"164","Boston Collegiate Charter School School Boston MA","04490305",-71.05286,42.365828
"165","Boston Day and Evening Academy Charter School School Boston MA","04240505",-71.097313,42.320615
"166","Boston Green Academy Horace Mann Charter School School Boston MA","04110305",-71.097331,42.321067
"167","Boston Preparatory Charter Public School School Boston MA","04160305",-71.058216,42.358951
"168","Boston Renaissance Charter Public School School Boston MA","04810550",-71.058216,42.358951
"169","Another Course To College School Boston MA","00350541",-71.070961,42.281281
"170","Baldwin Early Learning Center School Boston MA","00350003",-72.073488,42.587348
"171","Beethoven School Boston MA","00350021",-71.098965,42.315123
"172","Blackstone School Boston MA","00350390",-71.056658,42.362019
"173","Boston Adult Academy School Boston MA","00350548",-71.097876,42.32102
"174","Boston Arts Academy School Boston MA","00350546",-71.097876,42.32102
"175","Boston Community Leadership Academy School Boston MA","00350558",-71.097876,42.32102
"176","Boston International High School School Boston MA","00350507",-71.096248,42.312491
"177","Boston Latin School Boston MA","00350560",-71.058216,42.358951
"178","Boston Latin Academy School Boston MA","00350545",-71.097876,42.32102
"179","Boston Middle School Academy School Boston MA","00350413",-71.07551,42.334691
"180","Boston Teachers Union School School Boston MA","00350012",-71.096248,42.312491
"181","Brighton High School Boston MA","00350505",-71.17352,42.353176
"182","Carter Developmental Center School Boston MA","00350036",-71.096699,42.325866
"183","Charles H Taylor School Boston MA","00350054",-71.067251,42.351815
"184","Charles Sumner School Boston MA","00350052",-71.067251,42.351815
"185","Charlestown High School Boston MA","00350515",-71.058525,42.366952
"186","Clarence R Edwards Middle School Boston MA","00350430",-71.074235,42.324152
"187","Community Academy School Boston MA","00350518",-71.097876,42.32102
"188","Community Academy of Science and Health School Boston MA","00350581",-71.097876,42.32102
"189","Curley K-8 School School Boston MA","00350020",-71.096248,42.312491
"190","Curtis Guild School Boston MA","00350062",-71.020477,42.381837
"191","David A Ellis School Boston MA","00350072",-71.091506,42.323021
"192","Dearborn School Boston MA","00350074",-71.078907,42.329507
"193","Dennis C Haley School Boston MA","00350077",-71.07464,42.323238
"194","Donald Mckay School Boston MA","00350080",-71.089473,42.290425
"195","Dorchester Academy School Boston MA","00350651",-71.062343,42.292728
"196","Dr. Catherine Ellison-Rosa Parks Early Ed School School Boston MA","00350008",-71.096248,42.312491
"197","Dr. William Henderson School Boston MA","00350266",-71.040951,42.333267
"198","ELC - West Zone School Boston MA","00350006",-71.096248,42.312491
"199","Early Childhood Center at Fifield (ECC-Fifield) School Boston MA","00350002",-71.062606,42.30961
"200","East Boston Early Childhood Center School Boston MA","00350009",-71.058216,42.358951
"201","East Boston High School Boston MA","00350530",-71.058216,42.358951
"202","Edison K-8 School Boston MA","00350375",-71.078198,42.287713
"203","Edward Everett School Boston MA","00350088",-71.063069,42.411977
"204","Elihu Greenwood Leadership Academy School Boston MA","00350094",-71.062373,42.478727
"205","Eliot Elementary School Boston MA","00350096",-71.092434,42.329853
"206","Ellis Mendell School Boston MA","00350100",-71.091506,42.323021
"207","Excel High School School Boston MA","00350522",-71.096248,42.312491
"208","Fenway High School School Boston MA","00350540",-71.096248,42.312491
"209","Franklin D Roosevelt School Boston MA","00350116",-71.42094,42.090889
"210","Gardner Pilot Academy School Boston MA","00350326",-71.053536,42.340542
"211","George H Conley School Boston MA","00350122",-71.075139,42.327722
"212","Greater Egleston Community High School School Boston MA","00350543",-71.096248,42.312491
"213","Harbor School School Boston MA","00350426",-71.036805,42.344809
"214","Harvard-Kent School Boston MA","00350200",-71.058737,42.356988
"215","Haynes Early Education Center School Boston MA","00350010",-72.008224,42.067091
"216","Henry Grew School Boston MA","00350135",-71.039529,42.369401
"217","Higginson/Lewis K-8 School Boston MA","00350377",-71.051647,42.363109
"218","Horace Mann School for the Deaf School Boston MA","00350750",-71.020119,42.381149
"219","Hugh Roe O'Donnell School Boston MA","00350141",-71.096248,42.312491
"220","Jackson Mann School Boston MA","00350013",-71.061157,42.355801
"221","James Condon Elementary School Boston MA","00350146",-71.070364,42.338782
"222","James J Chittick School Boston MA","00350154",-71.104545,42.335532
"223","James Otis School Boston MA","00350156",-71.073004,42.33836
"224","James P Timilty Middle School Boston MA","00350485",-71.054467,42.330812
"225","James W Hennigan School Boston MA","00350153",-71.073004,42.33836
