"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"741",NA,"Essex County","MA","Essex County","2008-2012","572677","44748","7.8","0.2"
"742",NA,"Franklin County","MA","Franklin County","2008-2012","57444","6134","10.7","0.5"
"743",NA,"Hampden County","MA","Hampden County","2008-2012","354185","34026","9.6","0.3"
"744",NA,"Hampshire County","MA","Hampshire County","2008-2012","132281","10339","7.8","0.5"
"745",NA,"Middlesex County","MA","Middlesex County","2008-2012","1185792","78649","6.6","0.1"
"746",NA,"Nantucket County","MA","Nantucket County","2008-2012","7966","565","7.1","2"
"747",NA,"Norfolk County","MA","Norfolk County","2008-2012","520538","39656","7.6","0.2"
"748",NA,"Plymouth County","MA","Plymouth County","2008-2012","376259","36845","9.8","0.2"
"749",NA,"Suffolk County","MA","Suffolk County","2008-2012","595949","24215","4.1","0.1"
"750",NA,"Worcester County","MA","Worcester County","2008-2012","611954","55594","9.1","0.2"
"751","Barnstable","Barnstable County","MA","Barnstable","2008-2012","36801","4124","11.2","1"
"752","Bourne","Barnstable County","MA","Bourne","2008-2012","15673","2017","12.9","1.6"
"753","Brewster","Barnstable County","MA","Brewster","2008-2012","8245","1055","12.8","2.1"
"754","Chatham","Barnstable County","MA","Chatham","2008-2012","5350","825","15.4","2.5"
"755","Dennis","Barnstable County","MA","Dennis","2008-2012","11730","1541","13.1","1.6"
"756","Eastham","Barnstable County","MA","Eastham","2008-2012","4412","576","13.1","3.3"
"757","Falmouth","Barnstable County","MA","Falmouth","2008-2012","26163","3655","14","1.3"
"758","Harwich","Barnstable County","MA","Harwich","2008-2012","10309","1394","13.5","1.8"
"759","Mashpee","Barnstable County","MA","Mashpee","2008-2012","11107","1472","13.3","1.8"
"760","Orleans","Barnstable County","MA","Orleans","2008-2012","5357","859","16","2.8"
"761","Provincetown","Barnstable County","MA","Provincetown","2008-2012","2807","249","8.9","3.4"
"762","Sandwich","Barnstable County","MA","Sandwich","2008-2012","15428","1816","11.8","1.4"
"763","Truro","Barnstable County","MA","Truro","2008-2012","1512","189","12.5","5.3"
"764","Wellfleet","Barnstable County","MA","Wellfleet","2008-2012","2783","307","11","4.2"
"765","Yarmouth","Barnstable County","MA","Yarmouth","2008-2012","20280","2569","12.7","1.5"
"766","Adams","Berkshire County","MA","Adams","2008-2012","6615","712","10.8","2.3"
"767","Alford","Berkshire County","MA","Alford","2008-2012","400","57","14.3","4.1"
"768","Becket","Berkshire County","MA","Becket","2008-2012","1603","135","8.4","3.7"
"769","Cheshire","Berkshire County","MA","Cheshire","2008-2012","2627","330","12.6","3.4"
"770","Clarksburg","Berkshire County","MA","Clarksburg","2008-2012","1405","181","12.9","3"
"771","Dalton","Berkshire County","MA","Dalton","2008-2012","5366","535","10","2.6"
"772","Egremont","Berkshire County","MA","Egremont","2008-2012","908","100","11","3"
"773","Florida","Berkshire County","MA","Florida","2008-2012","563","68","12.1","4.8"
"774","Great Barrington","Berkshire County","MA","Great Barrington","2008-2012","6011","389","6.5","2.2"
"775","Hancock","Berkshire County","MA","Hancock","2008-2012","509","65","12.8","4.5"
"776","Hinsdale","Berkshire County","MA","Hinsdale","2008-2012","1758","248","14.1","3.8"
"777","Lanesborough","Berkshire County","MA","Lanesborough","2008-2012","2389","298","12.5","4.7"
"778","Lee","Berkshire County","MA","Lee","2008-2012","4828","560","11.6","3.1"
"779","Lenox","Berkshire County","MA","Lenox","2008-2012","3735","392","10.5","2.8"
"780","Monterey","Berkshire County","MA","Monterey","2008-2012","641","177","27.6","24.4"
"781","Mount Washington","Berkshire County","MA","Mount Washington","2008-2012","135","8","5.9","4"
"782","New Ashford","Berkshire County","MA","New Ashford","2008-2012","190","18","9.5","4.8"
"783","New Marlborough","Berkshire County","MA","New Marlborough","2008-2012","1227","125","10.2","3.8"
"784","North Adams","Berkshire County","MA","North Adams","2008-2012","11435","1078","9.4","1.5"
"785","Otis","Berkshire County","MA","Otis","2008-2012","1088","139","12.8","3.6"
"786","Peru","Berkshire County","MA","Peru","2008-2012","713","40","5.6","1.9"
"787","Pittsfield","Berkshire County","MA","Pittsfield","2008-2012","35180","3389","9.6","0.9"
"788","Richmond","Berkshire County","MA","Richmond","2008-2012","1343","181","13.5","2.9"
"789","Sandisfield","Berkshire County","MA","Sandisfield","2008-2012","736","72","9.8","4.7"
"790","Savoy","Berkshire County","MA","Savoy","2008-2012","535","78","14.6","4.3"
"791","Sheffield","Berkshire County","MA","Sheffield","2008-2012","2642","300","11.4","3.8"
"792","Stockbridge","Berkshire County","MA","Stockbridge","2008-2012","1598","212","13.3","4.1"
"793","Tyringham","Berkshire County","MA","Tyringham","2008-2012","330","39","11.8","5.3"
"794","Washington","Berkshire County","MA","Washington","2008-2012","459","62","13.5","5.2"
"795","West Stockbridge","Berkshire County","MA","West Stockbridge","2008-2012","1266","99","7.8","2.9"
"796","Williamstown","Berkshire County","MA","Williamstown","2008-2012","6509","708","10.9","2.1"
"797","Windsor","Berkshire County","MA","Windsor","2008-2012","685","85","12.4","3.8"
"798","Acushnet","Bristol County","MA","Acushnet","2008-2012","8361","813","9.7","2.1"
"799","Attleboro","Bristol County","MA","Attleboro","2008-2012","33516","2948","8.8","1.2"
"800","Berkley","Bristol County","MA","Berkley","2008-2012","4629","423","9.1","2.2"
"801","Dartmouth","Bristol County","MA","Dartmouth","2008-2012","28203","2238","7.9","1"
"802","Dighton","Bristol County","MA","Dighton","2008-2012","5318","547","10.3","2.9"
"803","Easton","Bristol County","MA","Easton","2008-2012","18086","1293","7.1","1.2"
"804","Fairhaven","Bristol County","MA","Fairhaven","2008-2012","13151","1375","10.5","1.4"
"805","Fall River","Bristol County","MA","Fall River","2008-2012","69687","5219","7.5","0.6"
"806","Freetown","Bristol County","MA","Freetown","2008-2012","6812","734","10.8","1.8"
"807","Mansfield","Bristol County","MA","Mansfield","2008-2012","16507","1096","6.6","1.3"
"808","New Bedford","Bristol County","MA","New Bedford","2008-2012","72822","4966","6.8","0.5"
"809","North Attleborough","Bristol County","MA","North Attleborough","2008-2012","20590","2230","10.8","1.5"
"810","Norton","Bristol County","MA","Norton","2008-2012","14801","912","6.2","1.3"
"811","Raynham","Bristol County","MA","Raynham","2008-2012","10024","1077","10.7","2.1"
"812","Rehoboth","Bristol County","MA","Rehoboth","2008-2012","9034","799","8.8","1.8"
"813","Seekonk","Bristol County","MA","Seekonk","2008-2012","10719","945","8.8","1.5"
"814","Somerset","Bristol County","MA","Somerset","2008-2012","14720","1430","9.7","1.8"
"815","Swansea","Bristol County","MA","Swansea","2008-2012","12978","1383","10.7","1.5"
"816","Taunton","Bristol County","MA","Taunton","2008-2012","43766","3617","8.3","0.8"
"817","Westport","Bristol County","MA","Westport","2008-2012","12639","1318","10.4","1.7"
"818","Aquinnah","Dukes County","MA","Aquinnah","2008-2012","318","5","1.6","1.6"
"819","Chilmark","Dukes County","MA","Chilmark","2008-2012","677","77","11.4","4.1"
"820","Edgartown","Dukes County","MA","Edgartown","2008-2012","3608","231","6.4","3"
"821","Gosnold","Dukes County","MA","Gosnold","2008-2012","165","13","7.9","8.5"
"822","Oak Bluffs","Dukes County","MA","Oak Bluffs","2008-2012","3543","448","12.6","3.2"
"823","Tisbury","Dukes County","MA","Tisbury","2008-2012","3107","302","9.7","4.2"
"824","West Tisbury","Dukes County","MA","West Tisbury","2008-2012","1996","136","6.8","3.1"
"825","Amesbury","Essex County","MA","Amesbury","2008-2012","12839","1126","8.8","1.6"
"826","Andover","Essex County","MA","Andover","2008-2012","24640","1543","6.3","0.9"
"827","Beverly","Essex County","MA","Beverly","2008-2012","32389","2817","8.7","0.8"
"828","Boxford","Essex County","MA","Boxford","2008-2012","5843","597","10.2","2.4"
"829","Danvers","Essex County","MA","Danvers","2008-2012","20966","2112","10.1","1.3"
"830","Essex","Essex County","MA","Essex","2008-2012","2762","230","8.3","2.8"
"831","Georgetown","Essex County","MA","Georgetown","2008-2012","5921","487","8.2","1.6"
"832","Gloucester","Essex County","MA","Gloucester","2008-2012","23567","2156","9.1","1"
"833","Groveland","Essex County","MA","Groveland","2008-2012","4951","452","9.1","2.4"
"834","Hamilton","Essex County","MA","Hamilton","2008-2012","5614","481","8.6","2.1"
"835","Haverhill","Essex County","MA","Haverhill","2008-2012","46781","3757","8","0.8"
"836","Ipswich","Essex County","MA","Ipswich","2008-2012","10487","976","9.3","1.4"
"837","Lawrence","Essex County","MA","Lawrence","2008-2012","54274","1964","3.6","0.5"
"838","Lynn","Essex County","MA","Lynn","2008-2012","67830","4223","6.2","0.5"
"839","Lynnfield","Essex County","MA","Lynnfield","2008-2012","8873","665","7.5","1.8"
"840","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2008-2012","3877","290","7.5","2.4"
"841","Marblehead","Essex County","MA","Marblehead","2008-2012","14706","1239","8.4","1.1"
"842","Merrimac","Essex County","MA","Merrimac","2008-2012","4763","415","8.7","2.8"
"843","Methuen","Essex County","MA","Methuen","2008-2012","36074","3043","8.4","0.8"
"844","Middleton","Essex County","MA","Middleton","2008-2012","7103","469","6.6","1.8"
"845","Nahant","Essex County","MA","Nahant","2008-2012","2868","239","8.3","2.3"
"846","Newbury","Essex County","MA","Newbury","2008-2012","5151","455","8.8","2.2"
"847","Newburyport","Essex County","MA","Newburyport","2008-2012","13997","1301","9.3","1.5"
"848","North Andover","Essex County","MA","North Andover","2008-2012","21049","1570","7.5","1.2"
"849","Peabody","Essex County","MA","Peabody","2008-2012","40957","3862","9.4","0.9"
"850","Rockport","Essex County","MA","Rockport","2008-2012","5882","696","11.8","2.7"
"851","Rowley","Essex County","MA","Rowley","2008-2012","4433","509","11.5","3.5"
"852","Salem","Essex County","MA","Salem","2008-2012","33599","2694","8","0.9"
"853","Salisbury","Essex County","MA","Salisbury","2008-2012","6788","844","12.4","2.2"
"854","Saugus","Essex County","MA","Saugus","2008-2012","21457","1905","8.9","1.3"
"855","Swampscott","Essex County","MA","Swampscott","2008-2012","10738","880","8.2","1.8"
"856","Topsfield","Essex County","MA","Topsfield","2008-2012","4497","303","6.7","2.3"
"857","Wenham","Essex County","MA","Wenham","2008-2012","3955","227","5.7","2"
"858","West Newbury","Essex County","MA","West Newbury","2008-2012","3046","221","7.3","2.2"
"859","Ashfield","Franklin County","MA","Ashfield","2008-2012","1327","111","8.4","2.8"
"860","Bernardston","Franklin County","MA","Bernardston","2008-2012","1703","227","13.3","3.3"
"861","Buckland","Franklin County","MA","Buckland","2008-2012","1685","161","9.6","3.2"
"862","Charlemont","Franklin County","MA","Charlemont","2008-2012","1059","155","14.6","3.5"
"863","Colrain","Franklin County","MA","Colrain","2008-2012","1352","167","12.4","2.9"
"864","Conway","Franklin County","MA","Conway","2008-2012","1514","140","9.2","2.1"
"865","Deerfield","Franklin County","MA","Deerfield","2008-2012","4065","341","8.4","2.6"
"866","Erving","Franklin County","MA","Erving","2008-2012","1298","156","12","2.4"
"867","Gill","Franklin County","MA","Gill","2008-2012","1316","132","10","3.1"
"868","Greenfield","Franklin County","MA","Greenfield","2008-2012","14081","1373","9.8","1.4"
"869","Hawley","Franklin County","MA","Hawley","2008-2012","323","53","16.4","4.9"
"870","Heath","Franklin County","MA","Heath","2008-2012","459","50","10.9","4.4"
"871","Leverett","Franklin County","MA","Leverett","2008-2012","1461","130","8.9","1.9"
"872","Leyden","Franklin County","MA","Leyden","2008-2012","588","74","12.6","4.2"
"873","Monroe","Franklin County","MA","Monroe","2008-2012","90","8","8.9","9.2"
"874","Montague","Franklin County","MA","Montague","2008-2012","6762","684","10.1","1.8"
"875","New Salem","Franklin County","MA","New Salem","2008-2012","776","89","11.5","3.6"
"876","Northfield","Franklin County","MA","Northfield","2008-2012","2437","247","10.1","2.3"
"877","Orange","Franklin County","MA","Orange","2008-2012","5915","968","16.4","3.1"
"878","Rowe","Franklin County","MA","Rowe","2008-2012","360","73","20.3","5.8"
"879","Shelburne","Franklin County","MA","Shelburne","2008-2012","1632","191","11.7","3.6"
"880","Shutesbury","Franklin County","MA","Shutesbury","2008-2012","1399","105","7.5","2.3"
"881","Sunderland","Franklin County","MA","Sunderland","2008-2012","3117","192","6.2","2.6"
"882","Warwick","Franklin County","MA","Warwick","2008-2012","541","86","15.9","4.3"
"883","Wendell","Franklin County","MA","Wendell","2008-2012","885","96","10.8","3.4"
"884","Whately","Franklin County","MA","Whately","2008-2012","1299","125","9.6","2.9"
"885","Agawam","Hampden County","MA","Agawam","2008-2012","22551","2483","11","1.4"
"886","Blandford","Hampden County","MA","Blandford","2008-2012","908","118","13","2.9"
"887","Brimfield","Hampden County","MA","Brimfield","2008-2012","2789","463","16.6","4.8"
"888","Chester","Hampden County","MA","Chester","2008-2012","1070","159","14.9","3.1"
"889","Chicopee","Hampden County","MA","Chicopee","2008-2012","43507","5124","11.8","0.8"
