"","X","Municipal","State","Year","Six_Digit_Code","Region","NAICS_Code","Industry_Title","Average_Monthly_Employment"
"235",18878,"Plymouth","MA",2001,128,"Plymouth",10,"Total, All Industries",19170
"236",19046,"Plympton","MA",2001,129,"Plympton",10,"Total, All Industries",271
"237",19075,"Princeton","MA",2001,175,"Princeton",10,"Total, All Industries",741
"238",19104,"Provincetown","MA",2001,42,"Provincetown",10,"Total, All Industries",2392
"239",19186,"Quincy","MA",2001,401,"Quincy",10,"Total, All Industries",47299
"240",19360,"Randolph","MA",2001,130,"Randolph",10,"Total, All Industries",10530
"241",19485,"Raynham","MA",2001,464,"Raynham",10,"Total, All Industries",7153
"242",19604,"Reading","MA",2001,494,"Reading",10,"Total, All Industries",7312
"243",19708,"Rehoboth","MA",2001,465,"Rehoboth",10,"Total, All Industries",1557
"244",19777,"Revere","MA",2001,142,"Revere",10,"Total, All Industries",8604
"245",19903,"Richmond","MA",2001,389,"Richmond",10,"Total, All Industries",207
"246",19912,"Rochester","MA",2001,315,"Rochester",10,"Total, All Industries",1014
"247",19945,"Rockland","MA",2001,132,"Rockland",10,"Total, All Industries",8313
"248",20057,"Rockport","MA",2001,422,"Rockport",10,"Total, All Industries",1492
"249",20121,"Rowe","MA",2001,198,"Rowe",10,"Total, All Industries",119
"250",20125,"Rowley","MA",2001,325,"Rowley",10,"Total, All Industries",2362
"251",20192,"Royalston","MA",2001,9,"Royalston",10,"Total, All Industries",152
"252",20200,"Russell","MA",2001,446,"Russell",10,"Total, All Industries",233
"253",20208,"Rutland","MA",2001,515,"Rutland",10,"Total, All Industries",974
"254",20246,"Salem","MA",2001,411,"Salem",10,"Total, All Industries",18579
"255",20404,"Salisbury","MA",2001,326,"Salisbury",10,"Total, All Industries",2722
"256",20487,"Sandisfield","MA",2001,390,"Sandisfield",10,"Total, All Industries",207
"257",20491,"Sandwich","MA",2001,43,"Sandwich",10,"Total, All Industries",5049
"258",20597,"Saugus","MA",2001,254,"Saugus",10,"Total, All Industries",11040
"259",20715,"Savoy","MA",2001,337,"Savoy",10,"Total, All Industries",65
"260",20718,"Scituate","MA",2001,408,"Scituate",10,"Total, All Industries",3117
"261",20809,"Seekonk","MA",2001,466,"Seekonk",10,"Total, All Industries",8215
"262",20929,"Sharon","MA",2001,368,"Sharon",10,"Total, All Industries",4049
"263",21010,"Sheffield","MA",2001,392,"Sheffield",10,"Total, All Industries",1296
"264",21052,"Shelburne","MA",2001,199,"Shelburne",10,"Total, All Industries",773
"265",21098,"Sherborn","MA",2001,270,"Sherborn",10,"Total, All Industries",546
"266",21139,"Shirley","MA",2001,176,"Shirley",10,"Total, All Industries",2171
"267",21175,"Shrewsbury","MA",2001,516,"Shrewsbury",10,"Total, All Industries",13423
"268",21311,"Shutesbury","MA",2001,200,"Shutesbury",10,"Total, All Industries",143
"269",21321,"Somerset","MA",2001,153,"Somerset",10,"Total, All Industries",4143
"270",21396,"Somerville","MA",2001,101,"Somerville",10,"Total, All Industries",22948
"271",21557,"South Hadley","MA",2001,223,"South Hadley",10,"Total, All Industries",4897
"272",21644,"Southampton","MA",2001,357,"Southampton",10,"Total, All Industries",1061
"273",21690,"Southborough","MA",2001,272,"Southborough",10,"Total, All Industries",6018
"274",21771,"Southbridge","MA",2001,486,"Southbridge",10,"Total, All Industries",6177
"275",21874,"Southwick","MA",2001,447,"Southwick",10,"Total, All Industries",2593
"276",21947,"Spencer","MA",2001,517,"Spencer",10,"Total, All Industries",3555
"277",22009,"Springfield","MA",2001,431,"Springfield",10,"Total, All Industries",79927
"278",22250,"Sterling","MA",2001,177,"Sterling",10,"Total, All Industries",2163
"279",22311,"Stockbridge","MA",2001,393,"Stockbridge",10,"Total, All Industries",1487
"280",22345,"Stoneham","MA",2001,495,"Stoneham",10,"Total, All Industries",8574
"281",22462,"Stoughton","MA",2001,133,"Stoughton",10,"Total, All Industries",12490
"282",22619,"Stow","MA",2001,273,"Stow",10,"Total, All Industries",2146
"283",22674,"Sturbridge","MA",2001,487,"Sturbridge",10,"Total, All Industries",5307
"284",22757,"Sudbury","MA",2001,274,"Sudbury",10,"Total, All Industries",7195
"285",22858,"Sunderland","MA",2001,202,"Sunderland",10,"Total, All Industries",599
"286",22880,"Sutton","MA",2001,488,"Sutton",10,"Total, All Industries",1529
"287",22935,"Swampscott","MA",2001,255,"Swampscott",10,"Total, All Industries",3351
"288",23009,"Swansea","MA",2001,154,"Swansea",10,"Total, All Industries",5611
"289",23112,"Taunton","MA",2001,461,"Taunton",10,"Total, All Industries",24018
"290",23288,"Templeton","MA",2001,10,"Templeton",10,"Total, All Industries",1667
"291",23322,"Tewksbury","MA",2001,247,"Tewksbury",10,"Total, All Industries",16108
"292",23448,"Tisbury","MA",2001,316,"Tisbury",10,"Total, All Industries",2330
"293",23547,"Tolland","MA",2001,448,"Tolland",10,"Total, All Industries",48
"294",23549,"Topsfield","MA",2001,423,"Topsfield",10,"Total, All Industries",2449
"295",23622,"Townsend","MA",2001,178,"Townsend",10,"Total, All Industries",2229
"296",23675,"Truro","MA",2001,44,"Truro",10,"Total, All Industries",505
"297",23705,"Tyngsborough","MA",2001,248,"Tyngsborough",10,"Total, All Industries",4081
"298",23784,"Tyringham","MA",2001,394,"Tyringham",10,"Total, All Industries",30
"299",23787,"Upton","MA",2001,293,"Upton",10,"Total, All Industries",1031
"300",23836,"Uxbridge","MA",2001,294,"Uxbridge",10,"Total, All Industries",2861
"301",23912,"Wakefield","MA",2001,74,"Wakefield",10,"Total, All Industries",14920
"302",24070,"Wales","MA",2001,449,"Wales",10,"Total, All Industries",124
"303",24078,"Walpole","MA",2001,369,"Walpole",10,"Total, All Industries",9677
"304",24211,"Waltham","MA",2001,471,"Waltham",10,"Total, All Industries",60780
"305",24417,"Ware","MA",2001,450,"Ware",10,"Total, All Industries",2691
"306",24481,"Wareham","MA",2001,317,"Wareham",10,"Total, All Industries",6794
"307",24606,"Warren","MA",2001,452,"Warren",10,"Total, All Industries",1209
"308",24632,"Warwick","MA",2001,12,"Warwick",10,"Total, All Industries",112
"309",24633,"Washington","MA",2001,395,"Washington",10,"Total, All Industries",145
"310",24636,"Watertown","MA",2001,93,"Watertown",10,"Total, All Industries",20381
"311",24792,"Wayland","MA",2001,478,"Wayland",10,"Total, All Industries",4030
"312",24866,"Webster","MA",2001,481,"Webster",10,"Total, All Industries",6629
"313",24958,"Wellesley","MA",2001,94,"Wellesley",10,"Total, All Industries",19678
"314",25091,"Wellfleet","MA",2001,45,"Wellfleet",10,"Total, All Industries",952
"315",25129,"Wendell","MA",2001,203,"Wendell",10,"Total, All Industries",228
"316",25134,"Wenham","MA",2001,424,"Wenham",10,"Total, All Industries",1294
"317",25163,"West Boylston","MA",2001,519,"West Boylston",10,"Total, All Industries",3531
"318",25232,"West Bridgewater","MA",2001,134,"West Bridgewater",10,"Total, All Industries",6775
"319",25313,"West Brookfield","MA",2001,520,"West Brookfield",10,"Total, All Industries",933
"320",25338,"West Newbury","MA",2001,327,"West Newbury",10,"Total, All Industries",701
"321",25371,"West Springfield","MA",2001,454,"West Springfield",10,"Total, All Industries",18085
"322",25532,"West Stockbridge","MA",2001,396,"West Stockbridge",10,"Total, All Industries",262
"323",25557,"West Tisbury","MA",2001,318,"West Tisbury",10,"Total, All Industries",627
"324",25589,"Westborough","MA",2001,518,"Westborough",10,"Total, All Industries",24549
"325",25730,"Westfield","MA",2001,453,"Westfield",10,"Total, All Industries",16290
"326",25884,"Westford","MA",2001,249,"Westford",10,"Total, All Industries",12333
"327",25988,"Westhampton","MA",2001,358,"Westhampton",10,"Total, All Industries",253
"328",25997,"Westminster","MA",2001,179,"Westminster",10,"Total, All Industries",3266
"329",26050,"Weston","MA",2001,479,"Weston",10,"Total, All Industries",3503
"330",26121,"Westport","MA",2001,155,"Westport",10,"Total, All Industries",3075
"331",26212,"Westwood","MA",2001,370,"Westwood",10,"Total, All Industries",9273
"332",26313,"Weymouth","MA",2001,409,"Weymouth",10,"Total, All Industries",16991
"333",26472,"Whately","MA",2001,204,"Whately",10,"Total, All Industries",2052
