"","Region","Year","Number_of_Months_Reported","Single_Family_Buildings","Single_Family_Units","Single_Family_Valuation","I2_Family_Buildings","I2_Family_Units","I2_Family_Valuation","I3-4_Family_Buildings","I3-4_Family_Units","I3-4_Family_Valuation","I5_Family_Buildings","I5_Family_Units","I5_Family_Valuation","Total_Buildings","Total_Units","Total_Valuation","Average_Valuation_PerUnits","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Permits_Per_1000_Population"
"22","Acton",2003,12,30,30,4225000,0,0,0,0,0,0,0,0,0,30,30,4225000,140833.333333333,-76.19,-0.285714285714286,-28.57,100,0,0,0,5628434.7826087,0,0,0,5628434.7826087,187614.492753623,1.45292522278187
"23","Acton",2004,12,30,30,6596500,6,12,1872000,0,0,0,0,0,0,36,42,8468500,201630.952380952,-66.67,0.4,40,71.43,28.57,0,0,8559735.73319216,2429140.49761779,0,0,10988876.23081,261639.910257379,1.74055988009476
"24","Acton",2005,12,58,58,10658000,0,0,0,0,0,0,0,0,0,58,58,10658000,183758.620689655,-53.97,0.380952380952381,38.1,100,0,0,0,13376799.5903738,0,0,0,13376799.5903738,230634.475696099,2.79909270788089
"25","Acton",2006,12,71,71,13257720,0,0,0,0,0,0,0,0,0,71,71,13257720,186728.450704225,-43.65,0.224137931034483,22.41,100,0,0,0,16119704,0,0,0,16119704,227038.084507042,3.40707327606891
"26","Acton",2007,12,70,70,16162420,0,0,0,0,0,0,0,0,0,70,70,16162420,230891.714285714,-44.44,-0.0140845070422535,-1.41,100,0,0,0,19107235.3425741,0,0,0,19107235.3425741,272960.504893915,3.32636380916176
"27","Acton",2008,12,49,49,16070551,0,0,0,0,0,0,0,0,0,49,49,16070551,327970.428571429,-61.11,-0.3,-30,100,0,0,0,18296138.2847429,0,0,0,18296138.2847429,373390.577239651,2.29454460313744
"28","Acton",2009,12,32,32,8144275,0,0,0,1,3,774000,0,0,0,33,35,8918275,254807.857142857,-72.22,-0.285714285714286,-28.57,91.43,0,8.57,0,9305269.8975002,0,884336.408172017,0,10189606.3056722,291131.608733492,1.51961687235218
"29","Acton",2010,12,48,48,9336000,0,0,0,0,0,0,0,0,0,48,48,9336000,194500,-61.9,0.371428571428571,37.14,100,0,0,0,10494736.7648677,0,0,0,10494736.7648677,218640.349268078,0.0615643501369807
"30","Acton",2011,12,62,62,14035981,0,0,0,0,0,0,0,0,0,62,62,14035981,226386.790322581,-50.79,0.291666666666667,29.17,100,0,0,0,15295256.3260262,0,0,0,15295256.3260262,246697.682677842,0.0784223448028121
"31","Acton",2012,12,59,59,14504212,0,0,0,0,0,0,0,0,0,59,59,14504212,245834.101694915,-53.1746031746032,-0.0483870967741935,-4.83870967741935,100,0,0,0,15485040.7477547,0,0,0,15485040.7477547,262458.317758555,0.0737154458847415
