"","Region","Five_Year_Range","Population","Never_Married","Never_Married_Pct","Now_Married","Now_Married_Pct","Separated","Separated_Pct","Widowed","Widowed_Pct","Divorced","Divorced_Pct","Gender"
"1065","Leicester",2012,4391,1476,33.6,2368,53.9,80,1.8,78,1.8,389,8.9,"Male"
"1066","Leominster",2012,16555,5803,35.1,8229,49.7,286,1.7,483,2.9,1754,10.6,"Male"
"1067","Lunenburg",2012,4084,1192,29.2,2486,60.9,10,0.2,80,2,316,7.7,"Male"
"1068","Mendon",2012,2197,539,24.5,1473,67,21,1,64,2.9,100,4.6,"Male"
"1069","Milford",2012,10976,3402,31,6237,56.8,131,1.2,275,2.5,931,8.5,"Male"
"1070","Millbury",2012,5274,1627,30.8,2960,56.1,73,1.4,112,2.1,502,9.5,"Male"
"1071","Millville",2012,1165,404,34.7,625,53.6,0,0,6,0.5,130,11.2,"Male"
"1072","New Braintree",2012,431,100,23.2,244,56.6,6,1.4,26,6,55,12.8,"Male"
"1073","Northborough",2012,5546,1526,27.5,3604,65,2,0,137,2.5,277,5,"Male"
"1074","Northbridge",2012,6016,1843,30.6,3354,55.8,87,1.4,162,2.7,570,9.5,"Male"
"1075","North Brookfield",2012,1814,467,25.7,1089,60,51,2.8,35,1.9,172,9.5,"Male"
"1076","Oakham",2012,732,211,28.8,446,60.9,10,1.4,10,1.4,55,7.5,"Male"
"1077","Oxford",2012,5382,1669,31,2960,55,58,1.1,167,3.1,528,9.8,"Male"
"1078","Paxton",2012,1988,665,33.5,1137,57.2,0,0,22,1.1,164,8.2,"Male"
"1079","Petersham",2012,507,160,31.6,295,58.2,0,0,10,2,42,8.3,"Male"
"1080","Phillipston",2012,797,263,33,437,54.8,6,0.8,9,1.1,82,10.3,"Male"
"1081","Princeton",2012,1356,389,28.7,874,64.5,7,0.5,22,1.6,64,4.7,"Male"
"1082","Royalston",2012,480,158,32.9,261,54.4,3,0.6,15,3.1,43,9,"Male"
"1083","Rutland",2012,3362,1061,31.6,1936,57.6,32,1,79,2.3,254,7.6,"Male"
"1084","Shrewsbury",2012,13770,4075,29.6,8520,61.9,78,0.6,270,2,827,6,"Male"
"1085","Southborough",2012,3598,789,21.9,2522,70.1,46,1.3,94,2.6,147,4.1,"Male"
"1086","Southbridge",2012,6205,2450,39.5,2799,45.1,80,1.3,187,3,689,11.1,"Male"
"1087","Spencer",2012,4760,1665,35,2397,50.4,83,1.7,115,2.4,500,10.5,"Male"
"1088","Sterling",2012,2986,755,25.3,1992,66.7,0,0,67,2.2,172,5.8,"Male"
"1089","Sturbridge",2012,3363,887,26.4,2241,66.6,23,0.7,53,1.6,159,4.7,"Male"
"1090","Sutton",2012,3474,841,24.2,2309,66.5,44,1.3,47,1.4,233,6.7,"Male"
"1091","Templeton",2012,3094,997,32.2,1786,57.7,38,1.2,41,1.3,232,7.5,"Male"
"1092","Upton",2012,2786,702,25.2,1875,67.3,0,0,48,1.7,161,5.8,"Male"
"1093","Uxbridge",2012,5350,1518,28.4,2994,56,134,2.5,147,2.7,557,10.4,"Male"
"1094","Warren",2012,2098,718,34.2,958,45.7,55,2.6,70,3.3,297,14.2,"Male"
"1095","Webster",2012,6546,2309,35.3,3107,47.5,64,1,234,3.6,832,12.7,"Male"
"1096","Westborough",2012,7082,2003,28.3,4445,62.8,135,1.9,169,2.4,330,4.7,"Male"
"1097","West Boylston",2012,4261,2062,48.4,1585,37.2,149,3.5,107,2.5,358,8.4,"Male"
"1098","West Brookfield",2012,1498,358,23.9,891,59.5,16,1.1,103,6.9,130,8.7,"Male"
"1099","Westminster",2012,3032,952,31.4,1678,55.3,28,0.9,46,1.5,328,10.8,"Male"
"1100","Winchendon",2012,4212,1209,28.7,2431,57.7,72,1.7,148,3.5,352,8.4,"Male"
"1101","Worcester",2012,68924,31604,45.9,26960,39.1,1729,2.5,2071,3,6560,9.5,"Male"
"1102","United States",2010,124809173,34856779,27.9,60343650,48.3,3124997,2.5,11925452,9.6,14558295,11.7,"Female"
"1103","MA",2010,2774635,889066,32,1269432,45.8,63333,2.3,262934,9.5,289870,10.4,"Female"
"1104","Barnstable County",2010,98649,20014,20.3,52846,53.6,1444,1.5,12103,12.3,12242,12.4,"Female"
"1105","Berkshire County",2010,58112,16293,28,25578,44,1235,2.1,7197,12.4,7809,13.4,"Female"
"1106","Bristol County",2010,232362,67795,29.2,106835,46,5948,2.6,25402,10.9,26382,11.4,"Female"
"1107","Dukes County",2010,6958,2003,28.8,3297,47.4,117,1.7,678,9.7,863,12.4,"Female"
"1108","Essex County",2010,313559,91940,29.3,146417,46.7,8284,2.6,31223,10,35695,11.4,"Female"
"1109","Franklin County",2010,30974,8331,26.9,14574,47.1,740,2.4,2960,9.6,4369,14.1,"Female"
"1110","Hampden County",2010,196193,64193,32.7,81514,41.5,6527,3.3,20593,10.5,23366,11.9,"Female"
"1111","Hampshire County",2010,72930,30436,41.7,28110,38.5,1028,1.4,5880,8.1,7476,10.3,"Female"
"1112","Middlesex County",2010,631738,196386,31.1,310107,49.1,11483,1.8,55554,8.8,58208,9.2,"Female"
"1113","Nantucket County",2010,3957,1159,29.3,1954,49.4,35,0.9,446,11.3,363,9.2,"Female"
"1114","Norfolk County",2010,284102,83567,29.4,143637,50.6,4296,1.5,27125,9.5,25477,9,"Female"
"1115","Plymouth County",2010,203833,54239,26.6,102753,50.4,4093,2,19584,9.6,23164,11.4,"Female"
"1116","Suffolk County",2010,314063,161430,51.4,90164,28.7,11352,3.6,23287,7.4,27830,8.9,"Female"
"1117","Worcester County",2010,327205,91280,27.9,161646,49.4,6751,2.1,30902,9.4,36626,11.2,"Female"
"1118","Barnstable",2010,20354,4517,22.2,10846,53.3,459,2.3,2180,10.7,2352,11.6,"Female"
"1119","Bourne",2010,8402,2093,24.9,4465,53.1,98,1.2,1006,12,740,8.8,"Female"
"1120","Brewster",2010,4586,907,19.8,2470,53.9,71,1.5,517,11.3,621,13.5,"Female"
"1121","Chatham",2010,2867,426,14.9,1675,58.4,15,0.5,420,14.6,331,11.5,"Female"
"1122","Dennis",2010,6632,1180,17.8,3556,53.6,158,2.4,925,13.9,813,12.3,"Female"
"1123","Eastham",2010,2461,297,12.1,1373,55.8,30,1.2,355,14.4,406,16.5,"Female"
"1124","Falmouth",2010,14971,3162,21.1,7945,53.1,117,0.8,1704,11.4,2043,13.6,"Female"
"1125","Harwich",2010,5907,1005,17,3171,53.7,66,1.1,925,15.7,740,12.5,"Female"
"1126","Mashpee",2010,6217,1222,19.7,3546,57,43,0.7,625,10.1,781,12.6,"Female"
"1127","Orleans",2010,3031,597,19.7,1579,52.1,0,0,510,16.8,345,11.4,"Female"
