,,,"Population of Massachusetts Cities, Towns & Counties: Census Counts, 1930-2014",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS Codes,,,,Land Area,Decennial Census Count (as of April 1),,,,,,,,,,,,,Census Estimate (as of July 1),,,,,,,,,,
005,46575,2500546575,North Attleborough town,18.6," 10,197 "," 10,359 "," 12,146 "," 14,777 "," 18,665 "," 21,095 "," 25,038 ","27,143"," 28,712 ","1,540.1",0.4%,,,"28,719","28,709","28,759","28,809","28,908",,,,,,
005,49970,2500549970,Norton town,28.7," 2,737 "," 3,107 "," 4,401 "," 6,818 "," 9,487 "," 12,690 "," 14,265 ","18,036"," 19,031 ",663.0,0.3%,,,"19,154","19,228","19,308","19,353","19,396",,,,,,
005,56060,2500556060,Raynham town,20.5," 2,136 "," 2,141 "," 2,426 "," 4,150 "," 6,705 "," 9,085 "," 9,867 ","11,739"," 13,383 ",652.9,0.2%,,,"13,390","13,429","13,484","13,552","13,691",,,,,,
005,56375,2500556375,Rehoboth town,46.5," 2,610 "," 2,736 "," 3,700 "," 4,953 "," 6,512 "," 7,570 "," 8,656 ","10,172"," 11,608 ",249.7,0.2%,,,"11,625","11,666","11,729","11,822","11,926",,,,,,
005,60645,2500560645,Seekonk town,18.3," 4,762 "," 4,912 "," 6,104 "," 8,399 "," 11,116 "," 12,269 "," 13,046 ","13,425"," 13,722 ",749.2,0.2%,,,"13,744","13,854","13,974","14,354","14,683",,,,,,
005,62430,2500562430,Somerset town,8.1," 5,398 "," 5,873 "," 8,566 "," 12,196 "," 18,088 "," 18,813 "," 17,655 ","18,234"," 18,165 ","2,240.1",0.3%,,,"18,209","18,242","18,280","18,295","18,278",,,,,,
005,68750,2500568750,Swansea town,23.1," 3,941 "," 4,684 "," 6,121 "," 9,916 "," 12,640 "," 15,461 "," 15,411 ","15,901"," 15,865 ",687.9,0.2%,,,"15,876","15,928","16,002","16,067","16,150",,,,,,
005,69170,2500569170,Taunton city,46.6," 37,355 "," 37,395 "," 40,109 "," 41,132 "," 43,756 "," 45,001 "," 49,832 ","55,976"," 55,874 ","1,198.9",0.9%,,,"55,881","55,902","55,978","56,051","56,544",,,,,,
005,77570,2500577570,Westport town,50.0," 4,408 "," 4,134 "," 4,989 "," 6,641 "," 9,791 "," 13,763 "," 13,852 ","14,183"," 15,532 ",310.3,0.2%,,,"15,542","15,577","15,636","15,689","15,742",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,,25007,Dukes County,103.8," 4,953 "," 5,669 "," 5,633 "," 5,829 "," 6,117 "," 8,942 "," 11,639 "," 14,987 "," 16,535 ",159.3,0.3%,,,"16,553","16,679","16,796","17,190","17,356",,,,,,
007,01585,2500701585,Aquinnah town,5.4, 161 , 127 , 88 , 103 , 118 , 220 , 201 ,344, 311 ,58.0,0.0%,,,312,313,314,321,323,,,,,,
007,13800,2500713800,Chilmark town,19.1, 252 , 226 , 183 , 238 , 340 , 489 , 650 ,843, 866 ,45.2,0.0%,,,868,878,886,910,921,,,,,,
007,21150,2500721150,Edgartown town,27.0," 1,276 "," 1,370 "," 1,508 "," 1,474 "," 1,481 "," 2,204 "," 3,062 ","3,779"," 4,067 ",150.7,0.1%,,,"4,073","4,117","4,156","4,258","4,308",,,,,,
007,26325,2500726325,Gosnold town,13.3, 120 , 136 , 56 , 66 , 83 , 63 , 98 ,86, 75 ,5.6,0.0%,,,75,75,76,77,77,,,,,,
007,50390,2500750390,Oak Bluffs town,7.4," 1,333 "," 1,584 "," 1,521 "," 1,419 "," 1,385 "," 1,984 "," 2,804 ","3,713"," 4,527 ",614.6,0.1%,,,"4,529","4,551","4,572","4,665","4,698",,,,,,
007,69940,2500769940,Tisbury town,6.6," 1,541 "," 1,966 "," 1,930 "," 2,169 "," 2,257 "," 2,972 "," 3,120 ","3,755"," 3,949 ",602.0,0.1%,,,"3,953","3,981","4,007","4,096","4,128",,,,,,
007,78235,2500778235,West Tisbury town,25.0, 270 , 260 , 347 , 360 , 453 ," 1,010 "," 1,704 ","2,467"," 2,740 ",109.5,0.0%,,,"2,743","2,764","2,785","2,863","2,901",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,,25009,Essex County,500.7," 498,040 "," 496,313 "," 522,384 "," 568,831 "," 637,905 "," 633,632 "," 670,080 "," 723,421 "," 743,159 ","1,484.3",11.4%,,,"745,478","751,550","756,763","764,093","769,091",,,,,,
009,01260,2500901260,Amesbury Town city,12.4," 11,899 "," 10,862 "," 10,851 "," 10,787 "," 11,388 "," 13,971 "," 14,997 ","16,452"," 16,283 ","1,312.8",0.2%,,,"16,314","16,441","16,538","16,679","16,794",,,,,,
009,01465,2500901465,Andover town,31.0," 9,969 "," 11,122 "," 12,437 "," 15,878 "," 23,695 "," 26,370 "," 29,151 ","31,974"," 33,201 ","1,070.8",0.5%,,,"33,287","33,880","34,192","34,781","35,085",,,,,,
009,05595,2500905595,Beverly city,16.6," 25,086 "," 25,537 "," 28,884 "," 36,108 "," 38,348 "," 37,655 "," 38,195 ","39,862"," 39,502 ","2,379.7",0.6%,,,"39,718","40,070","40,343","40,784","40,952",,,,,,
009,07420,2500907420,Boxford town,24.0, 652 , 778 , 926 ," 2,010 "," 4,032 "," 5,374 "," 6,266 ","7,921"," 7,965 ",332.2,0.1%,,,"7,982","8,042","8,092","8,163","8,213",,,,,,
009,16250,2500916250,Danvers town,13.3," 12,957 "," 14,179 "," 15,720 "," 21,926 "," 26,151 "," 24,100 "," 24,174 ","24,996"," 26,493 ","1,994.9",0.4%,,,"26,526","26,928","27,172","27,317","27,460",,,,,,
009,21850,2500921850,Essex town,14.2," 1,465 "," 1,384 "," 1,794 "," 2,238 "," 2,670 "," 2,998 "," 3,260 ","3,267"," 3,504 ",247.5,0.1%,,,"3,514","3,563","3,586","3,612","3,637",,,,,,
009,25625,2500925625,Georgetown town,12.9," 1,853 "," 1,803 "," 2,411 "," 3,755 "," 5,290 "," 5,687 "," 6,384 ","7,377"," 8,183 ",632.6,0.1%,,,"8,208","8,302","8,381","8,473","8,530",,,,,,
009,26150,2500926150,Gloucester city,26.0," 24,204 "," 24,046 "," 25,167 "," 25,789 "," 27,941 "," 27,768 "," 28,716 ","30,273"," 28,789 ","1,108.8",0.4%,,,"28,859","29,030","29,222","29,444","29,626",,,,,,
009,27620,2500927620,Groveland town,8.9," 2,336 "," 2,122 "," 2,340 "," 3,297 "," 5,400 "," 5,040 "," 5,214 ","6,038"," 6,459 ",722.3,0.1%,,,"6,491","6,634","6,798","7,022","7,059",,,,,,
009,27900,2500927900,Hamilton town,14.6," 2,044 "," 2,037 "," 2,764 "," 5,488 "," 6,373 "," 6,960 "," 7,280 ","8,315"," 7,764 ",531.9,0.1%,,,"7,989","8,036","8,090","8,132","8,188",,,,,,
009,29405,2500929405,Haverhill city,33.3," 48,710 "," 46,752 "," 47,280 "," 46,346 "," 46,120 "," 46,865 "," 51,418 ","58,969"," 60,879 ","1,826.7",0.9%,,,"60,969","61,463","61,768","62,159","62,488",,,,,,
009,32310,2500932310,Ipswich town,32.6," 5,599 "," 6,348 "," 6,895 "," 8,544 "," 10,750 "," 11,158 "," 11,873 ","12,987"," 13,175 ",404.3,0.2%,,,"13,211","13,439","13,515","13,599","13,661",,,,,,
009,34550,2500934550,Lawrence city,7.0," 85,068 "," 84,323 "," 80,536 "," 70,933 "," 66,915 "," 63,175 "," 70,207 ","72,043"," 76,377 ","10,974.1",1.2%,,,"76,521","76,986","77,353","77,765","78,197",,,,,,
009,37490,2500937490,Lynn city,10.8," 102,320 "," 98,123 "," 99,738 "," 94,478 "," 90,294 "," 78,471 "," 81,245 ","89,050"," 90,329 ","8,351.9",1.4%,,,"90,492","90,778","91,275","91,785","92,137",,,,,,
009,37560,2500937560,Lynnfield town,10.1," 1,594 "," 2,287 "," 3,927 "," 8,398 "," 10,826 "," 11,267 "," 11,274 ","11,542"," 11,596 ","1,143.0",0.2%,,,"11,621","11,728","11,820","12,410","12,668",,,,,,
009,37995,2500937995,Manchester-by-the-Sea town,9.3," 2,636 "," 2,472 "," 2,868 "," 3,932 "," 5,151 "," 5,424 "," 5,286 ","5,228"," 5,136 ",552.8,0.1%,,,"5,145","5,203","5,243","5,293","5,336",,,,,,
009,38400,2500938400,Marblehead town,4.5," 8,668 "," 10,856 "," 13,765 "," 18,521 "," 21,295 "," 20,126 "," 19,971 ","20,377"," 19,808 ","4,373.3",0.3%,,,"19,844","20,007","20,168","20,331","20,454",,,,,,
009,40430,2500940430,Merrimac town,8.5," 2,392 "," 2,320 "," 2,804 "," 3,261 "," 4,245 "," 4,451 "," 5,166 ","6,138"," 6,338 ",743.1,0.1%,,,"6,369","6,429","6,499","6,619","6,724",,,,,,
009,40710,2500940710,Methuen Town city,22.4," 21,069 "," 21,880 "," 24,477 "," 28,114 "," 35,456 "," 36,701 "," 39,990 ","43,789"," 47,255 ","2,109.4",0.7%,,,"47,354","47,712","48,027","48,609","49,112",,,,,,
009,41095,2500941095,Middleton town,14.0," 1,712 "," 2,348 "," 2,916 "," 3,718 "," 4,044 "," 4,135 "," 4,921 ","7,744"," 8,987 ",643.4,0.1%,,,"8,984","9,124","9,265","9,451","9,578",,,,,,
009,43580,2500943580,Nahant town,1.2," 1,654 "," 1,835 "," 2,679 "," 3,960 "," 4,119 "," 3,947 "," 3,828 ","3,632"," 3,410 ","2,740.3",0.1%,,,"3,417","3,430","3,441","3,467","3,479",,,,,,
009,45175,2500945175,Newbury town,24.2," 1,530 "," 1,599 "," 1,994 "," 2,519 "," 3,804 "," 4,529 "," 5,623 ","6,717"," 6,666 ",274.9,0.1%,,,"6,682","6,735","6,781","6,866","6,926",,,,,,
009,45245,2500945245,Newburyport city,8.4," 15,084 "," 13,916 "," 14,111 "," 14,004 "," 15,807 "," 15,900 "," 16,317 ","17,189"," 17,416 ","2,077.4",0.3%,,,"17,446","17,556","17,635","17,796","17,926",,,,,,
009,46365,2500946365,North Andover town,26.7," 6,961 "," 7,524 "," 8,485 "," 10,908 "," 16,284 "," 20,129 "," 22,792 ","26,475"," 28,352 ","1,063.8",0.4%,,,"28,431","28,690","28,943","29,228","29,478",,,,,,
009,52490,2500952490,Peabody city,16.4," 21,345 "," 21,711 "," 22,645 "," 32,202 "," 48,080 "," 45,976 "," 47,039 ","48,129"," 51,251 ","3,125.9",0.8%,,,"51,365","51,608","51,856","52,162","52,376",,,,,,
009,57880,2500957880,Rockport town,7.1," 3,630 "," 3,556 "," 4,231 "," 4,616 "," 5,636 "," 6,345 "," 7,482 ","7,767"," 6,952 ",983.6,0.1%,,,"6,970","7,022","7,079","7,134","7,175",,,,,,
009,58405,2500958405,Rowley town,18.7," 1,356 "," 1,533 "," 1,768 "," 2,783 "," 3,040 "," 3,867 "," 4,452 ","5,500"," 5,856 ",312.8,0.1%,,,"5,871","5,914","5,972","6,035","6,202",,,,,,
