"Municipal","County","State","Region","Year","Unemployment Rate Avg","No Unemployed Avg","No Employed Avg","No Labor Avg"
NA,"NA County",NA,"United States",2003,6,7498,116514,124012
NA,"NA County",NA,"United States",2004,5.7,7043,116526,123569
NA,"NA County",NA,"United States",2005,5.3,6545,116934,123479
NA,"NA County",NA,"United States",2006,5.3,6592,118348,124940
NA,"NA County",NA,"United States",2007,5.1,6388,119127,125515
NA,"NA County",NA,"United States",2008,6,7621,118751,126372
NA,"NA County",NA,"United States",2009,9.1,11586,115827,127413
NA,"NA County",NA,"United States",2010,9.5,12219,116020,128239
NA,"NA County",NA,"United States",2011,8.5,10823,117048,127871
NA,"NA County",NA,"United States",2012,7.6,9752,118085,127837
NA,"NA County","MA","United States",1990,7.1,69,907,976
NA,"NA County","MA","United States",1991,8.7,84,884,968
NA,"NA County","MA","United States",1992,9.9,97,881,978
NA,"NA County","MA","United States",1993,9.3,90,879,969
NA,"NA County","MA","United States",1994,8,77,885,962
NA,"NA County","MA","United States",1995,5.8,57,927,984
NA,"NA County","MA","United States",1996,5.5,54,929,983
NA,"NA County","MA","United States",1997,5.4,54,948,1002
NA,"NA County","MA","United States",1998,4.7,47,963,1010
NA,"NA County","MA","United States",1999,4.3,44,980,1024
NA,"NA County","MA","United States",2000,3,34,1106,1140
NA,"NA County","MA","United States",2001,3.1,36,1113,1149
NA,"NA County","MA","United States",2002,4.5,53,1126,1179
NA,"NA County","MA","United States",2003,5.4,64,1129,1193
NA,"NA County","MA","United States",2004,4.7,55,1115,1170
NA,"NA County","MA","United States",2005,4.2,49,1108,1157
NA,"NA County","MA","United States",2006,4.1,47,1109,1156
NA,"NA County","MA","United States",2007,4.8,55,1092,1147
NA,"NA County","MA","United States",2008,4.8,54,1081,1135
NA,"NA County","MA","United States",2009,7.3,83,1054,1137
NA,"NA County","MA","United States",2010,7.4,82,1030,1112
NA,"NA County","MA","United States",2011,6.7,74,1034,1108
NA,"NA County","MA","United States",2012,6.2,69,1036,1105
NA,"NA County",NA,"United States",1990,5.5,7320,126251,133571
NA,"NA County",NA,"United States",1991,7.4,9843,122331,132174
NA,"NA County",NA,"United States",1992,7.6,9975,121582,131557
NA,"NA County",NA,"United States",1993,5.9,7807,123705,131512
NA,"NA County",NA,"United States",1994,5,6720,126494,133214
NA,"NA County",NA,"United States",1995,4.5,6074,127713,133787
NA,"NA County",NA,"United States",1996,3.6,4847,130712,135559
NA,"NA County",NA,"United States",1997,3.1,4318,134593,138911
NA,"NA County",NA,"United States",1998,2.5,3539,137559,141098
NA,"NA County",NA,"United States",1999,2.6,3716,139680,143396
NA,"NA County",NA,"United States",2000,2.2,3159,139373,142532
NA,"NA County",NA,"United States",2001,3.1,4510,140650,145160
NA,"NA County",NA,"United States",2002,4.9,7103,137990,145093
NA,"NA County",NA,"United States",2003,5.2,7409,135776,143185
NA,"NA County",NA,"United States",2004,4.3,6163,136645,142808
NA,"NA County",NA,"United States",2005,3.9,5549,138549,144098
NA,"NA County",NA,"United States",2006,3.8,5543,139974,145517
NA,"NA County",NA,"United States",2007,3.5,5208,141797,147005
NA,"NA County",NA,"United States",2008,4.2,6294,143161,149455
NA,"NA County",NA,"United States",2009,6.6,9853,138950,148803
NA,"NA County",NA,"United States",2010,6.5,9689,138980,148669
NA,"NA County",NA,"United States",2011,5.5,8216,140107,148323
NA,"NA County",NA,"United States",2012,5.1,7648,141387,149035
NA,"NA County","MA","United States",1990,5.3,715,12843,13558
NA,"NA County","MA","United States",1991,7.8,1047,12422,13469
NA,"NA County","MA","United States",1992,8.4,1136,12371,13507
NA,"NA County","MA","United States",1993,6.9,945,12758,13703
NA,"NA County","MA","United States",1994,6,819,12789,13608
NA,"NA County","MA","United States",1995,5.2,731,13278,14009
NA,"NA County","MA","United States",1996,4.1,578,13549,14127
NA,"NA County","MA","United States",1997,3.7,525,13792,14317
NA,"NA County","MA","United States",1998,2.9,416,13762,14178
NA,"NA County","MA","United States",1999,2.8,392,13733,14125
NA,"NA County","MA","United States",2000,2.3,362,15094,15456
NA,"NA County","MA","United States",2001,2.6,417,15617,16034
NA,"NA County","MA","United States",2002,3.4,572,16065,16637
NA,"NA County","MA","United States",2003,4,664,16082,16746
NA,"NA County","MA","United States",2004,3.7,618,16003,16621
NA,"NA County","MA","United States",2005,3.3,566,16349,16915
NA,"NA County","MA","United States",2006,3.5,606,16481,17087
NA,"NA County","MA","United States",2007,3.5,593,16128,16721
NA,"NA County","MA","United States",2008,4.3,726,16100,16826
NA,"NA County","MA","United States",2009,6.3,1054,15604,16658
NA,"NA County","MA","United States",2010,6.4,1078,15639,16717
NA,"NA County","MA","United States",2011,5.5,918,15727,16645
NA,"NA County","MA","United States",2012,5.1,843,15597,16440
NA,"NA County",NA,"United States",1990,5,1081,20464,21545
NA,"NA County",NA,"United States",1991,7.8,1711,20292,22003
NA,"NA County",NA,"United States",1992,8.1,1737,19690,21427
NA,"NA County",NA,"United States",1993,6.4,1342,19685,21027
NA,"NA County",NA,"United States",1994,5.2,1124,20299,21423
NA,"NA County",NA,"United States",1995,5.1,1103,20724,21827
NA,"NA County",NA,"United States",1996,4.2,903,20795,21698
NA,"NA County",NA,"United States",1997,4,878,21231,22109
NA,"NA County",NA,"United States",1998,3.4,769,21585,22354
NA,"NA County",NA,"United States",1999,3.1,703,21956,22659
NA,"NA County",NA,"United States",2000,2.6,580,21662,22242
NA,"NA County",NA,"United States",2001,3.3,726,21577,22303
NA,"NA County",NA,"United States",2002,4.2,964,21852,22816
NA,"NA County",NA,"United States",2003,4.6,1066,21891,22957
NA,"NA County",NA,"United States",2004,4.5,1007,21532,22539
NA,"NA County",NA,"United States",2005,4.5,1021,21485,22506
NA,"NA County",NA,"United States",2006,4.6,1028,21539,22567
NA,"NA County",NA,"United States",2007,4.4,976,21187,22163
NA,"NA County",NA,"United States",2008,5.3,1174,20960,22134
NA,"NA County",NA,"United States",2009,8,1774,20334,22108
NA,"NA County",NA,"United States",2010,8.1,1800,20430,22230
NA,"NA County",NA,"United States",2011,7,1535,20461,21996
NA,"NA County",NA,"United States",2012,6.5,1431,20517,21948
NA,"NA County",NA,"United States",1990,6.9,7077,95707,102784
NA,"NA County",NA,"United States",1991,8.9,9207,94018,103225
NA,"NA County",NA,"United States",1992,9.1,9571,95315,104886
NA,"NA County",NA,"United States",1993,7.9,8404,97859,106263
NA,"NA County",NA,"United States",1994,6.4,6863,100387,107250
NA,"NA County",NA,"United States",1995,5.4,5768,101152,106920
NA,"NA County",NA,"United States",1996,4.7,5163,104898,110061
