"Municipal","County","State","Region","Year","Unemployment Rate Avg","No Unemployed Avg","No Employed Avg","No Labor Avg"
NA,"NA County",NA,"United States",2003,7.7,6442,77159,83601
NA,"NA County",NA,"United States",2004,7,5867,77694,83561
NA,"NA County",NA,"United States",2005,6.8,5723,78621,84344
NA,"NA County",NA,"United States",2006,6.5,5584,79778,85362
NA,"NA County",NA,"United States",2007,6.4,5454,79402,84856
NA,"NA County",NA,"United States",2008,7.8,6660,78413,85073
NA,"NA County",NA,"United States",2009,11.4,9808,76418,86226
NA,"NA County",NA,"United States",2010,11.9,10320,76251,86571
NA,"NA County",NA,"United States",2011,10.8,9322,77064,86386
NA,"NA County",NA,"United States",2012,10.3,8923,77972,86895
NA,"NA County",NA,"United States",1990,9.3,1738,16904,18642
NA,"NA County",NA,"United States",1991,12.9,2399,16210,18609
NA,"NA County",NA,"United States",1992,11.9,2146,15869,18015
NA,"NA County",NA,"United States",1993,9.4,1687,16293,17980
NA,"NA County",NA,"United States",1994,8,1414,16216,17630
NA,"NA County",NA,"United States",1995,6.5,1102,15982,17084
NA,"NA County",NA,"United States",1996,5.9,1023,16173,17196
NA,"NA County",NA,"United States",1997,5.4,921,16270,17191
NA,"NA County",NA,"United States",1998,4.2,719,16421,17140
NA,"NA County",NA,"United States",1999,4.1,702,16505,17207
NA,"NA County",NA,"United States",2000,3.4,587,16761,17348
NA,"NA County",NA,"United States",2001,4.3,749,16808,17557
NA,"NA County",NA,"United States",2002,5.6,987,16704,17691
NA,"NA County",NA,"United States",2003,6.3,1099,16477,17576
NA,"NA County",NA,"United States",2004,5.9,1019,16335,17354
NA,"NA County",NA,"United States",2005,5.4,926,16357,17283
NA,"NA County",NA,"United States",2006,5.3,926,16458,17384
NA,"NA County",NA,"United States",2007,5.6,968,16442,17410
NA,"NA County",NA,"United States",2008,6.1,1073,16471,17544
NA,"NA County",NA,"United States",2009,9,1592,16182,17774
NA,"NA County",NA,"United States",2010,9.2,1617,15954,17571
NA,"NA County",NA,"United States",2011,8.3,1446,15937,17383
NA,"NA County",NA,"United States",2012,7.6,1296,15727,17023
NA,"NA County",NA,"United States",1990,9.4,1715,16486,18201
NA,"NA County",NA,"United States",1991,13.1,2378,15786,18164
NA,"NA County",NA,"United States",1992,12,2112,15450,17562
NA,"NA County",NA,"United States",1993,9.4,1652,15869,17521
NA,"NA County",NA,"United States",1994,8.1,1397,15790,17187
NA,"NA County",NA,"United States",1995,6.5,1082,15547,16629
NA,"NA County",NA,"United States",1996,5.9,992,15730,16722
NA,"NA County",NA,"United States",1997,5.4,901,15830,16731
NA,"NA County",NA,"United States",1998,4.2,706,15973,16679
NA,"NA County",NA,"United States",1999,4.1,683,16054,16737
NA,"NA County",NA,"United States",2000,3.4,573,16347,16920
NA,"NA County",NA,"United States",2001,4.3,728,16390,17118
NA,"NA County",NA,"United States",2002,5.6,966,16282,17248
NA,"NA County",NA,"United States",2003,6.2,1068,16060,17128
NA,"NA County",NA,"United States",2004,5.9,994,15918,16912
NA,"NA County",NA,"United States",2005,5.4,901,15937,16838
NA,"NA County",NA,"United States",2006,5.3,899,16030,16929
NA,"NA County",NA,"United States",2007,5.5,938,16016,16954
NA,"NA County",NA,"United States",2008,6.1,1043,16046,17089
NA,"NA County",NA,"United States",2009,8.9,1545,15763,17308
NA,"NA County",NA,"United States",2010,9.2,1576,15519,17095
NA,"NA County",NA,"United States",2011,8.4,1415,15503,16918
NA,"NA County",NA,"United States",2012,7.6,1258,15300,16558
NA,"NA County",NA,"United States",1990,6.3,7613,113904,121517
NA,"NA County",NA,"United States",1991,8.6,10375,110059,120434
NA,"NA County",NA,"United States",1992,9.1,10895,108719,119614
NA,"NA County",NA,"United States",1993,6.8,8018,109681,117699
NA,"NA County",NA,"United States",1994,5.9,6915,111149,118064
NA,"NA County",NA,"United States",1995,5.1,6013,112802,118815
NA,"NA County",NA,"United States",1996,4.2,5049,115027,120076
NA,"NA County",NA,"United States",1997,3.8,4690,118302,122992
NA,"NA County",NA,"United States",1998,3.3,4123,120431,124554
NA,"NA County",NA,"United States",1999,3.2,4007,121500,125507
NA,"NA County",NA,"United States",2000,2.6,3310,122413,125723
NA,"NA County",NA,"United States",2001,3.7,4700,123088,127788
NA,"NA County",NA,"United States",2002,5.3,6870,122402,129272
NA,"NA County",NA,"United States",2003,6,7773,121068,128841
NA,"NA County",NA,"United States",2004,5.5,7006,120301,127307
NA,"NA County",NA,"United States",2005,5,6416,120747,127163
NA,"NA County",NA,"United States",2006,4.9,6300,121636,127936
NA,"NA County",NA,"United States",2007,4.5,5783,121596,127379
NA,"NA County",NA,"United States",2008,5.3,6873,121738,128611
NA,"NA County",NA,"United States",2009,8.2,10629,118984,129613
NA,"NA County",NA,"United States",2010,8.1,10503,119486,129989
NA,"NA County",NA,"United States",2011,7,9157,120863,130020
NA,"NA County",NA,"United States",2012,6.7,8752,121793,130545
NA,"NA County",NA,"United States",1990,6.6,2531,35681,38212
NA,"NA County",NA,"United States",1991,10.9,4157,33980,38137
NA,"NA County",NA,"United States",1992,10.9,4081,33496,37577
NA,"NA County",NA,"United States",1993,8.8,3226,33559,36785
NA,"NA County",NA,"United States",1994,8.1,2950,33312,36262
NA,"NA County",NA,"United States",1995,6.7,2374,33141,35515
NA,"NA County",NA,"United States",1996,5.3,1886,33505,35391
NA,"NA County",NA,"United States",1997,5.2,1854,33742,35596
NA,"NA County",NA,"United States",1998,4.3,1512,33822,35334
NA,"NA County",NA,"United States",1999,4.1,1469,34103,35572
NA,"NA County",NA,"United States",2000,3,1135,36673,37808
NA,"NA County",NA,"United States",2001,3.6,1350,36606,37956
NA,"NA County",NA,"United States",2002,4.6,1776,37071,38847
NA,"NA County",NA,"United States",2003,5.1,1968,36838,38806
NA,"NA County",NA,"United States",2004,4.7,1809,36808,38617
NA,"NA County",NA,"United States",2005,4.4,1696,37223,38919
NA,"NA County",NA,"United States",2006,4.2,1672,37806,39478
NA,"NA County",NA,"United States",2007,4.3,1687,37596,39283
NA,"NA County",NA,"United States",2008,5.1,2003,37169,39172
NA,"NA County",NA,"United States",2009,7.8,3066,36081,39147
NA,"NA County",NA,"United States",2010,8.3,3230,35778,39008
NA,"NA County",NA,"United States",2011,7.4,2893,36108,39001
NA,"NA County",NA,"United States",2012,7,2722,35945,38667
NA,"NA County",NA,"United States",1990,7.5,4269,52585,56854
NA,"NA County",NA,"United States",1991,11.6,6556,50190,56746
NA,"NA County",NA,"United States",1992,11.2,6227,49365,55592
NA,"NA County",NA,"United States",1993,9,4913,49852,54765
NA,"NA County",NA,"United States",1994,8.1,4364,49528,53892
NA,"NA County",NA,"United States",1995,6.6,3476,49123,52599
NA,"NA County",NA,"United States",1996,5.5,2908,49678,52586
NA,"NA County",NA,"United States",1997,5.3,2775,50012,52787
NA,"NA County",NA,"United States",1998,4.3,2231,50243,52474
NA,"NA County",NA,"United States",1999,4.1,2171,50608,52779
NA,"NA County",NA,"United States",2000,3.1,1722,53434,55156
NA,"NA County",NA,"United States",2001,3.8,2099,53414,55513
NA,"NA County",NA,"United States",2002,4.9,2763,53775,56538
NA,"NA County",NA,"United States",2003,5.4,3067,53315,56382
NA,"NA County",NA,"United States",2004,5.1,2828,53143,55971
NA,"NA County",NA,"United States",2005,4.7,2622,53580,56202
NA,"NA County",NA,"United States",2006,4.6,2598,54264,56862
NA,"NA County",NA,"United States",2007,4.7,2654,54038,56692
NA,"NA County",NA,"United States",2008,5.4,3076,53639,56715
NA,"NA County",NA,"United States",2009,8.2,4658,52263,56921
NA,"NA County",NA,"United States",2010,8.6,4846,51732,56578
NA,"NA County",NA,"United States",2011,7.7,4339,52045,56384
NA,"NA County",NA,"United States",2012,7.2,4018,51672,55690
NA,"NA County",NA,"United States",1990,9,12535,126860,139395
NA,"NA County",NA,"United States",1991,12.8,17836,121902,139738
NA,"NA County",NA,"United States",1992,12.2,17029,122471,139500
NA,"NA County",NA,"United States",1993,10.8,15046,124830,139876
NA,"NA County",NA,"United States",1994,8.7,12059,126829,138888
NA,"NA County",NA,"United States",1995,8,11125,128164,139289
NA,"NA County",NA,"United States",1996,7.2,10067,129123,139190
NA,"NA County",NA,"United States",1997,6.2,8708,131879,140587
NA,"NA County",NA,"United States",1998,4.6,6453,133789,140242
NA,"NA County",NA,"United States",1999,4.3,6103,135188,141291
NA,"NA County",NA,"United States",2000,3.8,5489,137552,143041
NA,"NA County",NA,"United States",2001,4.9,7009,137025,144034
NA,"NA County",NA,"United States",2002,6.2,9181,138368,147549
NA,"NA County",NA,"United States",2003,6.4,9542,139566,149108
NA,"NA County",NA,"United States",2004,6.2,9288,139876,149164
NA,"NA County",NA,"United States",2005,6,8914,140601,149515
NA,"NA County",NA,"United States",2006,6.1,9203,141879,151082
NA,"NA County",NA,"United States",2007,5.9,8966,141889,150855
NA,"NA County",NA,"United States",2008,7.3,10913,139475,150388
NA,"NA County",NA,"United States",2009,11.4,17232,134250,151482
NA,"NA County",NA,"United States",2010,11.4,17194,133117,150311
NA,"NA County",NA,"United States",2011,10.7,16028,134181,150209
NA,"NA County",NA,"United States",2012,10,14867,134394,149261
NA,"NA County",NA,"United States",1990,6,20293,317603,337896
NA,"NA County",NA,"United States",1991,8.8,29812,307508,337320
NA,"NA County",NA,"United States",1992,8.8,29638,305588,335226
NA,"NA County",NA,"United States",1993,8.1,26701,304261,330962
NA,"NA County",NA,"United States",1994,7.2,23474,304756,328230
NA,"NA County",NA,"United States",1995,6.1,19752,303366,323118
NA,"NA County",NA,"United States",1996,4.9,15872,306171,322043
NA,"NA County",NA,"United States",1997,4.5,14762,312005,326767
NA,"NA County",NA,"United States",1998,3.9,12721,313108,325829
NA,"NA County",NA,"United States",1999,3.6,11792,315066,326858
NA,"NA County",NA,"United States",2000,3,9916,325430,335346
NA,"NA County",NA,"United States",2001,3.7,12658,326721,339379
NA,"NA County",NA,"United States",2002,5.1,17640,325844,343484
NA,"NA County",NA,"United States",2003,6,20568,323712,344280
NA,"NA County",NA,"United States",2004,5.6,19363,324271,343634
NA,"NA County",NA,"United States",2005,5.3,18310,325593,343903
NA,"NA County",NA,"United States",2006,5.3,18350,327858,346208
NA,"NA County",NA,"United States",2007,5.1,17583,327423,345006
NA,"NA County",NA,"United States",2008,5.9,20562,326653,347215
NA,"NA County",NA,"United States",2009,8.7,30205,317825,348030
NA,"NA County",NA,"United States",2010,9.2,32031,316078,348109
NA,"NA County",NA,"United States",2011,8.5,29066,312390,341456
NA,"NA County",NA,"United States",2012,7.9,26806,312100,338906
NA,"NA County",NA,"United States",1990,6.4,18331,269615,287946
NA,"NA County",NA,"United States",1991,9.3,26596,259938,286534
NA,"NA County",NA,"United States",1992,9.1,25849,258987,284836
NA,"NA County",NA,"United States",1993,8.3,23377,258290,281667
NA,"NA County",NA,"United States",1994,7.4,20567,259251,279818
NA,"NA County",NA,"United States",1995,6.2,17170,259609,276779
NA,"NA County",NA,"United States",1996,4.9,13617,262606,276223
NA,"NA County",NA,"United States",1997,4.5,12571,268412,280983
NA,"NA County",NA,"United States",1998,4,11324,269584,280908
NA,"NA County",NA,"United States",1999,3.8,10649,271157,281806
NA,"NA County",NA,"United States",2000,3.1,8906,280715,289621
NA,"NA County",NA,"United States",2001,3.9,11290,281361,292651
NA,"NA County",NA,"United States",2002,5.2,15546,280573,296119
NA,"NA County",NA,"United States",2003,6,17928,278565,296493
NA,"NA County",NA,"United States",2004,5.7,16978,278918,295896
NA,"NA County",NA,"United States",2005,5.4,16005,279804,295809
NA,"NA County",NA,"United States",2006,5.4,16149,281319,297468
NA,"NA County",NA,"United States",2007,5.2,15317,280579,295896
NA,"NA County",NA,"United States",2008,6,17817,279734,297551
NA,"NA County",NA,"United States",2009,8.8,26116,271535,297651
NA,"NA County",NA,"United States",2010,9.2,27383,269339,296722
NA,"NA County",NA,"United States",2011,8.5,24753,266510,291263
NA,"NA County",NA,"United States",2012,7.9,22815,266670,289485
NA,"NA County",NA,"United States",1990,5.8,22280,360011,382291
NA,"NA County",NA,"United States",1991,8.5,32523,348538,381061
NA,"NA County",NA,"United States",1992,8.5,32181,346103,378284
NA,"NA County",NA,"United States",1993,7.7,28703,345261,373964
NA,"NA County",NA,"United States",1994,6.8,25179,346699,371878
NA,"NA County",NA,"United States",1995,5.8,21378,345879,367257
NA,"NA County",NA,"United States",1996,4.7,17225,349074,366299
NA,"NA County",NA,"United States",1997,4.3,16056,355837,371893
NA,"NA County",NA,"United States",1998,3.7,13892,358013,371905
NA,"NA County",NA,"United States",1999,3.4,12876,360522,373398
NA,"NA County",NA,"United States",2000,2.9,10948,369976,380924
NA,"NA County",NA,"United States",2001,3.6,13897,371258,385155
NA,"NA County",NA,"United States",2002,4.9,19252,370667,389919
NA,"NA County",NA,"United States",2003,5.7,22430,368849,391279
NA,"NA County",NA,"United States",2004,5.4,21161,369160,390321
NA,"NA County",NA,"United States",2005,5.2,20148,370377,390525
NA,"NA County",NA,"United States",2006,5.1,20176,372959,393135
NA,"NA County",NA,"United States",2007,4.9,19319,372345,391664
NA,"NA County",NA,"United States",2008,5.8,22662,371195,393857
NA,"NA County",NA,"United States",2009,8.4,33216,361462,394678
NA,"NA County",NA,"United States",2010,8.9,35178,359869,395047
NA,"NA County",NA,"United States",2011,8.2,31797,356367,388164
NA,"NA County",NA,"United States",2012,7.6,29353,356344,385697
NA,"NA County",NA,"United States",1990,7.6,3787,46315,50102
NA,"NA County",NA,"United States",1991,9.9,4972,45312,50284
NA,"NA County",NA,"United States",1992,10.1,5114,45634,50748
NA,"NA County",NA,"United States",1993,8,4084,46910,50994
NA,"NA County",NA,"United States",1994,7,3648,48663,52311
NA,"NA County",NA,"United States",1995,6.2,3238,48679,51917
NA,"NA County",NA,"United States",1996,5.3,2809,49713,52522
NA,"NA County",NA,"United States",1997,4.7,2526,51305,53831
NA,"NA County",NA,"United States",1998,3.6,1936,52388,54324
NA,"NA County",NA,"United States",1999,3.4,1861,53374,55235
NA,"NA County",NA,"United States",2000,2.7,1586,57329,58915
NA,"NA County",NA,"United States",2001,3.6,2140,57663,59803
NA,"NA County",NA,"United States",2002,5,3019,57879,60898
NA,"NA County",NA,"United States",2003,5.5,3392,58077,61469
NA,"NA County",NA,"United States",2004,5.2,3217,58234,61451
NA,"NA County",NA,"United States",2005,4.9,3025,59266,62291
NA,"NA County",NA,"United States",2006,5,3130,60077,63207
NA,"NA County",NA,"United States",2007,4.7,3001,60432,63433
NA,"NA County",NA,"United States",2008,5.8,3720,60212,63932
NA,"NA County",NA,"United States",2009,8.9,5647,58153,63800
NA,"NA County",NA,"United States",2010,9,5691,57801,63492
NA,"NA County",NA,"United States",2011,7.8,4975,58422,63397
NA,"NA County",NA,"United States",2012,7.2,4497,58247,62744
NA,"NA County","MA","United States",1990,5.1,382,7060,7442
NA,"NA County","MA","United States",1991,7.2,561,7205,7766
NA,"NA County","MA","United States",1992,8,595,6842,7437
NA,"NA County","MA","United States",1993,7.6,580,7097,7677
NA,"NA County","MA","United States",1994,6.8,564,7684,8248
NA,"NA County","MA","United States",1995,5.7,495,8128,8623
NA,"NA County","MA","United States",1996,5.4,485,8493,8978
NA,"NA County","MA","United States",1997,5.1,467,8726,9193
NA,"NA County","MA","United States",1998,4.1,381,8918,9299
NA,"NA County","MA","United States",1999,3.9,370,9075,9445
NA,"NA County","MA","United States",2000,2.8,279,9759,10038
NA,"NA County","MA","United States",2001,2.9,296,9820,10116
NA,"NA County","MA","United States",2002,3.8,406,10193,10599
NA,"NA County","MA","United States",2003,4.2,468,10573,11041
NA,"NA County","MA","United States",2004,4,449,10652,11101
NA,"NA County","MA","United States",2005,3.9,429,10509,10938
NA,"NA County","MA","United States",2006,3.9,428,10604,11032
NA,"NA County","MA","United States",2007,3.5,391,10718,11109
NA,"NA County","MA","United States",2008,4.2,465,10724,11189
NA,"NA County","MA","United States",2009,6.4,725,10571,11296
NA,"NA County","MA","United States",2010,7.6,873,10641,11514
NA,"NA County","MA","United States",2011,7.3,840,10723,11563
NA,"NA County","MA","United States",2012,6.9,803,10830,11633
NA,"NA County",NA,"United States",1990,6.7,17470,243503,260973
NA,"NA County",NA,"United States",1991,9.5,24700,235193,259893
NA,"NA County",NA,"United States",1992,9,23435,236100,259535
NA,"NA County",NA,"United States",1993,7,18382,242383,260765
NA,"NA County",NA,"United States",1994,5.5,14251,247044,261295
NA,"NA County",NA,"United States",1995,5.1,13145,245578,258723
NA,"NA County",NA,"United States",1996,4.3,11288,249807,261095
NA,"NA County",NA,"United States",1997,3.8,10206,256426,266632
NA,"NA County",NA,"United States",1998,3.3,8952,262026,270978
NA,"NA County",NA,"United States",1999,3.2,8798,262408,271206
NA,"NA County",NA,"United States",2000,2.7,7499,272178,279677
NA,"NA County",NA,"United States",2001,3.7,10520,273235,283755
NA,"NA County",NA,"United States",2002,5.4,15470,272646,288116
NA,"NA County",NA,"United States",2003,6,17406,272836,290242
NA,"NA County",NA,"United States",2004,5.4,15716,273601,289317
NA,"NA County",NA,"United States",2005,5,14548,274465,289013
NA,"NA County",NA,"United States",2006,4.9,14428,277641,292069
NA,"NA County",NA,"United States",2007,4.8,14152,278201,292353
NA,"NA County",NA,"United States",2008,5.7,16764,277224,293988
NA,"NA County",NA,"United States",2009,8.7,25695,269631,295326
NA,"NA County",NA,"United States",2010,8.9,26208,269465,295673
NA,"NA County",NA,"United States",2011,7.8,23136,271632,294768
NA,"NA County",NA,"United States",2012,7.4,21597,271396,292993
NA,"NA County",NA,"United States",1990,6.7,16519,231807,248326
NA,"NA County",NA,"United States",1991,9.5,23579,223510,247089
NA,"NA County",NA,"United States",1992,9,22267,224204,246471
NA,"NA County",NA,"United States",1993,7,17451,230579,248030
NA,"NA County",NA,"United States",1994,5.4,13487,235036,248523
NA,"NA County",NA,"United States",1995,5,12397,233229,245626
NA,"NA County",NA,"United States",1996,4.2,10509,237379,247888
NA,"NA County",NA,"United States",1997,3.7,9472,244206,253678
NA,"NA County",NA,"United States",1998,3.3,8457,249548,258005
NA,"NA County",NA,"United States",1999,3.3,8445,249710,258155
NA,"NA County",NA,"United States",2000,2.7,7186,258708,265894
NA,"NA County",NA,"United States",2001,3.7,10117,259722,269839
NA,"NA County",NA,"United States",2002,5.4,14883,259115,273998
NA,"NA County",NA,"United States",2003,6,16599,259211,275810
NA,"NA County",NA,"United States",2004,5.5,15002,259779,274781
NA,"NA County",NA,"United States",2005,5,13834,260504,274338
NA,"NA County",NA,"United States",2006,5,13721,263415,277136
NA,"NA County",NA,"United States",2007,4.8,13399,263873,277272
NA,"NA County",NA,"United States",2008,5.7,15842,262838,278680
NA,"NA County",NA,"United States",2009,8.7,24356,255449,279805
NA,"NA County",NA,"United States",2010,8.8,24638,255291,279929
NA,"NA County",NA,"United States",2011,7.8,21786,257534,279320
NA,"NA County",NA,"United States",2012,7.3,20328,257448,277776
