"Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"Barnstable","Barnstable County","MA","Barnstable",2012,6.6,1748,24579,26327,-2.3
NA,"Barnstable County","MA","Barnstable County",2003,5.3,6414,115428,121842,-96.4
NA,"Barnstable County","MA","Barnstable County",2004,5.1,6199,116532,122731,-96.4
NA,"Barnstable County","MA","Barnstable County",2005,4.9,6005,116107,122112,-96.4
NA,"Barnstable County","MA","Barnstable County",2006,5,6079,116354,122433,-96.4
NA,"Barnstable County","MA","Barnstable County",2007,4.8,5822,115658,121480,-96.4
NA,"Barnstable County","MA","Barnstable County",2008,5.8,7114,114928,122042,-96.4
NA,"Barnstable County","MA","Barnstable County",2009,8.4,10284,111792,122076,-96.4
NA,"Barnstable County","MA","Barnstable County",2010,9,10896,110726,121622,-96.4
NA,"Barnstable County","MA","Barnstable County",2011,8.2,9843,110543,120386,-96.5
NA,"Barnstable County","MA","Barnstable County",2012,7.4,8953,112398,121351,-96.4
"Barre","Worcester County","MA","Barre",2003,6.3,174,2587,2761,0
"Barre","Worcester County","MA","Barre",2004,6.2,171,2587,2758,-0.1
"Barre","Worcester County","MA","Barre",2005,5.5,152,2590,2742,-0.7
"Barre","Worcester County","MA","Barre",2006,5.3,150,2694,2844,3
"Barre","Worcester County","MA","Barre",2007,5.4,154,2708,2862,3.7
"Barre","Worcester County","MA","Barre",2008,6.5,184,2649,2833,2.6
"Barre","Worcester County","MA","Barre",2009,9.5,271,2578,2849,3.2
"Barre","Worcester County","MA","Barre",2010,10.1,279,2487,2766,0.2
"Barre","Worcester County","MA","Barre",2011,8.7,240,2509,2749,-0.4
"Barre","Worcester County","MA","Barre",2012,8.3,227,2508,2735,-0.9
"Becket","Berkshire County","MA","Becket",2003,4.2,41,928,969,0
"Becket","Berkshire County","MA","Becket",2004,3.9,38,937,975,0.6
"Becket","Berkshire County","MA","Becket",2005,4.1,41,959,1000,3.2
"Becket","Berkshire County","MA","Becket",2006,4.4,46,988,1034,6.7
"Becket","Berkshire County","MA","Becket",2007,4.7,49,990,1039,7.2
"Becket","Berkshire County","MA","Becket",2008,5.8,61,985,1046,7.9
"Becket","Berkshire County","MA","Becket",2009,9.1,96,958,1054,8.8
"Becket","Berkshire County","MA","Becket",2010,9.3,94,912,1006,3.8
"Becket","Berkshire County","MA","Becket",2011,7.8,78,920,998,3
"Becket","Berkshire County","MA","Becket",2012,7.5,74,915,989,2.1
"Bedford","Middlesex County","MA","Bedford",2003,5.4,358,6274,6632,0
"Bedford","Middlesex County","MA","Bedford",2004,4.2,274,6258,6532,-1.5
"Bedford","Middlesex County","MA","Bedford",2005,3.7,241,6300,6541,-1.4
"Bedford","Middlesex County","MA","Bedford",2006,3.9,257,6403,6660,0.4
"Bedford","Middlesex County","MA","Bedford",2007,3.3,221,6571,6792,2.4
"Bedford","Middlesex County","MA","Bedford",2008,4,287,6809,7096,7
"Bedford","Middlesex County","MA","Bedford",2009,6.3,446,6663,7109,7.2
"Bedford","Middlesex County","MA","Bedford",2010,6,417,6522,6939,4.6
"Bedford","Middlesex County","MA","Bedford",2011,5.7,398,6616,7014,5.8
"Bedford","Middlesex County","MA","Bedford",2012,5,350,6689,7039,6.1
"Belchertown","Hampshire County","MA","Belchertown",2003,4.4,349,7670,8019,0
"Belchertown","Hampshire County","MA","Belchertown",2004,4.6,371,7777,8148,1.6
"Belchertown","Hampshire County","MA","Belchertown",2005,5.1,422,7881,8303,3.5
"Belchertown","Hampshire County","MA","Belchertown",2006,4.5,380,8018,8398,4.7
"Belchertown","Hampshire County","MA","Belchertown",2007,3.9,326,7965,8291,3.4
"Belchertown","Hampshire County","MA","Belchertown",2008,4.3,358,8041,8399,4.7
"Belchertown","Hampshire County","MA","Belchertown",2009,6.3,514,7696,8210,2.4
"Belchertown","Hampshire County","MA","Belchertown",2010,6.8,574,7920,8494,5.9
"Belchertown","Hampshire County","MA","Belchertown",2011,5.7,474,7820,8294,3.4
"Belchertown","Hampshire County","MA","Belchertown",2012,5.5,458,7825,8283,3.3
"Bellingham","Norfolk County","MA","Bellingham",2003,5.7,546,9034,9580,0
"Bellingham","Norfolk County","MA","Bellingham",2004,5,478,9103,9581,0
"Bellingham","Norfolk County","MA","Bellingham",2005,4.5,436,9174,9610,0.3
"Bellingham","Norfolk County","MA","Bellingham",2006,4.8,473,9335,9808,2.4
"Bellingham","Norfolk County","MA","Bellingham",2007,4.6,449,9365,9814,2.4
"Bellingham","Norfolk County","MA","Bellingham",2008,5.8,563,9222,9785,2.1
"Bellingham","Norfolk County","MA","Bellingham",2009,9.7,943,8767,9710,1.4
"Bellingham","Norfolk County","MA","Bellingham",2010,9.9,991,9002,9993,4.3
"Bellingham","Norfolk County","MA","Bellingham",2011,8.9,895,9121,10016,4.6
"Bellingham","Norfolk County","MA","Bellingham",2012,8.2,815,9135,9950,3.9
"Belmont","Middlesex County","MA","Belmont",2003,4.5,590,12436,13026,0
"Belmont","Middlesex County","MA","Belmont",2004,3.5,447,12335,12782,-1.9
"Belmont","Middlesex County","MA","Belmont",2005,3.2,409,12342,12751,-2.1
"Belmont","Middlesex County","MA","Belmont",2006,3.2,401,12147,12548,-3.7
"Belmont","Middlesex County","MA","Belmont",2007,2.9,367,12237,12604,-3.2
"Belmont","Middlesex County","MA","Belmont",2008,3.5,450,12248,12698,-2.5
"Belmont","Middlesex County","MA","Belmont",2009,5.8,730,11955,12685,-2.6
"Belmont","Middlesex County","MA","Belmont",2010,5.5,740,12649,13389,2.8
"Belmont","Middlesex County","MA","Belmont",2011,4.7,628,12836,13464,3.4
"Belmont","Middlesex County","MA","Belmont",2012,4.4,599,12977,13576,4.2
"Berkley","Bristol County","MA","Berkley",2003,4.8,174,3466,3640,0
"Berkley","Bristol County","MA","Berkley",2004,4.4,159,3480,3639,0
"Berkley","Bristol County","MA","Berkley",2005,4.2,157,3557,3714,2
"Berkley","Bristol County","MA","Berkley",2006,4.3,161,3610,3771,3.6
"Berkley","Bristol County","MA","Berkley",2007,4,152,3665,3817,4.9
"Berkley","Bristol County","MA","Berkley",2008,5.2,200,3676,3876,6.5
"Berkley","Bristol County","MA","Berkley",2009,7.9,305,3569,3874,6.4
"Berkley","Bristol County","MA","Berkley",2010,8.1,307,3494,3801,4.4
"Berkley","Bristol County","MA","Berkley",2011,7.1,269,3530,3799,4.4
"Berkley","Bristol County","MA","Berkley",2012,6.7,253,3519,3772,3.6
NA,"Berkshire County","MA","Berkshire County",2003,5.1,3696,68958,72654,-97.9
NA,"Berkshire County","MA","Berkshire County",2004,4.7,3420,68705,72125,-97.9
NA,"Berkshire County","MA","Berkshire County",2005,4.4,3161,69485,72646,-97.9
NA,"Berkshire County","MA","Berkshire County",2006,4.3,3175,70292,73467,-97.8
NA,"Berkshire County","MA","Berkshire County",2007,4.4,3212,69717,72929,-97.9
NA,"Berkshire County","MA","Berkshire County",2008,5.2,3767,69288,73055,-97.9
NA,"Berkshire County","MA","Berkshire County",2009,7.8,5667,67425,73092,-97.9
NA,"Berkshire County","MA","Berkshire County",2010,8.1,5881,66909,72790,-97.9
NA,"Berkshire County","MA","Berkshire County",2011,7.2,5223,67309,72532,-97.9
NA,"Berkshire County","MA","Berkshire County",2012,6.7,4817,66814,71631,-97.9
"Berlin","Worcester County","MA","Berlin",2003,6,89,1389,1478,0
"Berlin","Worcester County","MA","Berlin",2004,4.5,66,1405,1471,-0.5
"Berlin","Worcester County","MA","Berlin",2005,4.7,71,1433,1504,1.8
"Berlin","Worcester County","MA","Berlin",2006,4.3,65,1457,1522,3
"Berlin","Worcester County","MA","Berlin",2007,4.4,67,1464,1531,3.6
"Berlin","Worcester County","MA","Berlin",2008,4.4,72,1562,1634,10.6
"Berlin","Worcester County","MA","Berlin",2009,7.4,122,1537,1659,12.2
"Berlin","Worcester County","MA","Berlin",2010,7.8,126,1481,1607,8.7
"Berlin","Worcester County","MA","Berlin",2011,6.3,100,1485,1585,7.2
"Berlin","Worcester County","MA","Berlin",2012,5.6,89,1499,1588,7.4
"Bernardston","Franklin County","MA","Bernardston",2003,4.6,58,1190,1248,0
"Bernardston","Franklin County","MA","Bernardston",2004,4.6,57,1180,1237,-0.9
"Bernardston","Franklin County","MA","Bernardston",2005,4.4,55,1191,1246,-0.2
"Bernardston","Franklin County","MA","Bernardston",2006,4.3,54,1196,1250,0.2
"Bernardston","Franklin County","MA","Bernardston",2007,3.6,44,1183,1227,-1.7
"Bernardston","Franklin County","MA","Bernardston",2008,4.4,54,1168,1222,-2.1
"Bernardston","Franklin County","MA","Bernardston",2009,7.3,90,1136,1226,-1.8
"Bernardston","Franklin County","MA","Bernardston",2010,8.2,99,1103,1202,-3.7
"Bernardston","Franklin County","MA","Bernardston",2011,7.1,85,1104,1189,-4.7
"Bernardston","Franklin County","MA","Bernardston",2012,5.9,69,1107,1176,-5.8
"Beverly","Essex County","MA","Beverly",2003,5,1096,20726,21822,0
"Beverly","Essex County","MA","Beverly",2004,4.9,1057,20629,21686,-0.6
"Beverly","Essex County","MA","Beverly",2005,4.3,931,20710,21641,-0.8
"Beverly","Essex County","MA","Beverly",2006,4.2,886,20412,21298,-2.4
"Beverly","Essex County","MA","Beverly",2007,3.9,836,20416,21252,-2.6
"Beverly","Essex County","MA","Beverly",2008,4.8,1019,20356,21375,-2
"Beverly","Essex County","MA","Beverly",2009,7.5,1584,19583,21167,-3
"Beverly","Essex County","MA","Beverly",2010,7.4,1590,19871,21461,-1.7
"Beverly","Essex County","MA","Beverly",2011,6.4,1380,20105,21485,-1.5
"Beverly","Essex County","MA","Beverly",2012,5.8,1255,20325,21580,-1.1
"Billerica","Middlesex County","MA","Billerica",2003,6.3,1406,20993,22399,0
"Billerica","Middlesex County","MA","Billerica",2004,5.4,1201,21142,22343,-0.3
"Billerica","Middlesex County","MA","Billerica",2005,4.6,1026,21299,22325,-0.3
"Billerica","Middlesex County","MA","Billerica",2006,4.3,1000,22039,23039,2.9
"Billerica","Middlesex County","MA","Billerica",2007,4.2,979,22373,23352,4.3
"Billerica","Middlesex County","MA","Billerica",2008,4.8,1129,22211,23340,4.2
"Billerica","Middlesex County","MA","Billerica",2009,8.2,1827,20546,22373,-0.1
"Billerica","Middlesex County","MA","Billerica",2010,8,1811,20893,22704,1.4
