"","Municipal","County","State","Region","C_year","Period","Unemployment Rate","Number of Unemployed","Number of Employed","Number in Labor Force"
"16272","Charlemont","Franklin","MA","N/A","1990","Annual Average",7,46,610,656
"16285","Charlemont","Franklin","MA","N/A","1991","Annual Average",9.5,62,594,656
"16298","Charlemont","Franklin","MA","N/A","1992","Annual Average",10.5,70,598,668
"16311","Charlemont","Franklin","MA","N/A","1993","Annual Average",9,59,597,656
"16324","Charlemont","Franklin","MA","N/A","1994","Annual Average",7.8,51,600,651
"16337","Charlemont","Franklin","MA","N/A","1995","Annual Average",5.2,34,618,652
"16350","Charlemont","Franklin","MA","N/A","1996","Annual Average",5.5,36,620,656
"16363","Charlemont","Franklin","MA","N/A","1997","Annual Average",6,40,632,672
"16376","Charlemont","Franklin","MA","N/A","1998","Annual Average",4.7,32,644,676
"16389","Charlemont","Franklin","MA","N/A","1999","Annual Average",4.7,32,655,687
"16402","Charlemont","Franklin","MA","N/A","2000","Annual Average",2.7,21,758,779
"16415","Charlemont","Franklin","MA","N/A","2001","Annual Average",3,24,767,791
"16428","Charlemont","Franklin","MA","N/A","2002","Annual Average",4.3,35,776,811
"16441","Charlemont","Franklin","MA","N/A","2003","Annual Average",5,41,776,817
"16454","Charlemont","Franklin","MA","N/A","2004","Annual Average",4.7,38,768,806
"16467","Charlemont","Franklin","MA","N/A","2005","Annual Average",3.9,31,762,793
"16480","Charlemont","Franklin","MA","N/A","2006","Annual Average",3.8,30,760,790
"16493","Charlemont","Franklin","MA","N/A","2007","Annual Average",4.7,37,751,788
"16506","Charlemont","Franklin","MA","N/A","2008","Annual Average",4.7,37,745,782
"16519","Charlemont","Franklin","MA","N/A","2009","Annual Average",7.1,56,728,784
"16532","Charlemont","Franklin","MA","N/A","2010","Annual Average",7.4,54,677,731
"16545","Charlemont","Franklin","MA","N/A","2011","Annual Average",6.6,48,678,726
"16558","Charlemont","Franklin","MA","N/A","2012","Annual Average",6.5,47,680,727
"16579","Charlton","Worcester","MA","N/A","1990","Annual Average",6.1,319,4887,5206
"16592","Charlton","Worcester","MA","N/A","1991","Annual Average",9.1,469,4664,5133
"16605","Charlton","Worcester","MA","N/A","1992","Annual Average",9.6,565,5317,5882
"16618","Charlton","Worcester","MA","N/A","1993","Annual Average",6.8,414,5672,6086
"16631","Charlton","Worcester","MA","N/A","1994","Annual Average",5,313,5910,6223
"16644","Charlton","Worcester","MA","N/A","1995","Annual Average",5.9,316,5062,5378
"16657","Charlton","Worcester","MA","N/A","1996","Annual Average",4.8,258,5172,5430
"16670","Charlton","Worcester","MA","N/A","1997","Annual Average",4,222,5339,5561
"16683","Charlton","Worcester","MA","N/A","1998","Annual Average",3.9,223,5483,5706
"16696","Charlton","Worcester","MA","N/A","1999","Annual Average",3.4,193,5542,5735
"16709","Charlton","Worcester","MA","N/A","2000","Annual Average",2.5,157,6076,6233
"16722","Charlton","Worcester","MA","N/A","2001","Annual Average",3.5,225,6169,6394
"16735","Charlton","Worcester","MA","N/A","2002","Annual Average",5.5,363,6225,6588
"16748","Charlton","Worcester","MA","N/A","2003","Annual Average",6,405,6318,6723
"16761","Charlton","Worcester","MA","N/A","2004","Annual Average",5.5,373,6373,6746
"16774","Charlton","Worcester","MA","N/A","2005","Annual Average",5.2,352,6446,6798
"16787","Charlton","Worcester","MA","N/A","2006","Annual Average",5,341,6517,6858
"16800","Charlton","Worcester","MA","N/A","2007","Annual Average",5,340,6526,6866
"16813","Charlton","Worcester","MA","N/A","2008","Annual Average",5.5,372,6387,6759
"16826","Charlton","Worcester","MA","N/A","2009","Annual Average",8.7,591,6230,6821
"16839","Charlton","Worcester","MA","N/A","2010","Annual Average",8.3,582,6421,7003
"16852","Charlton","Worcester","MA","N/A","2011","Annual Average",7.4,515,6478,6993
"16865","Charlton","Worcester","MA","N/A","2012","Annual Average",7.3,507,6476,6983
"16886","Chatham","Barnstable","MA","N/A","1990","Annual Average",4,114,2771,2885
"16899","Chatham","Barnstable","MA","N/A","1991","Annual Average",7.9,224,2616,2840
"16912","Chatham","Barnstable","MA","N/A","1992","Annual Average",8.3,227,2521,2748
"16925","Chatham","Barnstable","MA","N/A","1993","Annual Average",7.2,199,2565,2764
"16938","Chatham","Barnstable","MA","N/A","1994","Annual Average",7.1,194,2550,2744
"16951","Chatham","Barnstable","MA","N/A","1995","Annual Average",5.9,179,2848,3027
"16964","Chatham","Barnstable","MA","N/A","1996","Annual Average",5,152,2909,3061
"16977","Chatham","Barnstable","MA","N/A","1997","Annual Average",4.5,138,2940,3078
"16990","Chatham","Barnstable","MA","N/A","1998","Annual Average",3.8,119,2994,3113
"17003","Chatham","Barnstable","MA","N/A","1999","Annual Average",3.6,117,3108,3225
"17016","Chatham","Barnstable","MA","N/A","2000","Annual Average",3.1,99,3057,3156
"17029","Chatham","Barnstable","MA","N/A","2001","Annual Average",3.5,114,3098,3212
"17042","Chatham","Barnstable","MA","N/A","2002","Annual Average",4,133,3153,3286
"17055","Chatham","Barnstable","MA","N/A","2003","Annual Average",4.4,147,3225,3372
"17068","Chatham","Barnstable","MA","N/A","2004","Annual Average",4.4,152,3270,3422
"17081","Chatham","Barnstable","MA","N/A","2005","Annual Average",4.5,155,3276,3431
"17094","Chatham","Barnstable","MA","N/A","2006","Annual Average",4.5,155,3283,3438
"17107","Chatham","Barnstable","MA","N/A","2007","Annual Average",4.5,153,3275,3428
"17120","Chatham","Barnstable","MA","N/A","2008","Annual Average",5.4,187,3258,3445
"17133","Chatham","Barnstable","MA","N/A","2009","Annual Average",7.6,264,3191,3455
"17146","Chatham","Barnstable","MA","N/A","2010","Annual Average",7.9,251,2936,3187
"17159","Chatham","Barnstable","MA","N/A","2011","Annual Average",7.1,225,2932,3157
"17172","Chatham","Barnstable","MA","N/A","2012","Annual Average",6.8,217,2982,3199
"17193","Chelmsford","Middlesex","MA","N/A","1990","Annual Average",5.4,1084,19116,20200
"17206","Chelmsford","Middlesex","MA","N/A","1991","Annual Average",7.6,1521,18513,20034
"17219","Chelmsford","Middlesex","MA","N/A","1992","Annual Average",8,1606,18445,20051
"17232","Chelmsford","Middlesex","MA","N/A","1993","Annual Average",6.8,1363,18604,19967
"17245","Chelmsford","Middlesex","MA","N/A","1994","Annual Average",5.6,1110,18837,19947
"17258","Chelmsford","Middlesex","MA","N/A","1995","Annual Average",4.3,837,18766,19603
"17271","Chelmsford","Middlesex","MA","N/A","1996","Annual Average",3.1,613,19441,20054
"17284","Chelmsford","Middlesex","MA","N/A","1997","Annual Average",2.8,577,20183,20760
"17297","Chelmsford","Middlesex","MA","N/A","1998","Annual Average",2.5,529,20662,21191
"17310","Chelmsford","Middlesex","MA","N/A","1999","Annual Average",2.6,567,21292,21859
"17323","Chelmsford","Middlesex","MA","N/A","2000","Annual Average",2.1,410,18713,19123
"17336","Chelmsford","Middlesex","MA","N/A","2001","Annual Average",3.1,607,18740,19347
"17349","Chelmsford","Middlesex","MA","N/A","2002","Annual Average",5.4,1050,18346,19396
"17362","Chelmsford","Middlesex","MA","N/A","2003","Annual Average",5.7,1101,18180,19281
"17375","Chelmsford","Middlesex","MA","N/A","2004","Annual Average",4.6,868,18028,18896
"17388","Chelmsford","Middlesex","MA","N/A","2005","Annual Average",4,758,18152,18910
"17401","Chelmsford","Middlesex","MA","N/A","2006","Annual Average",3.9,742,18106,18848
"17414","Chelmsford","Middlesex","MA","N/A","2007","Annual Average",3.7,708,18325,19033
"17427","Chelmsford","Middlesex","MA","N/A","2008","Annual Average",4.4,843,18426,19269
"17440","Chelmsford","Middlesex","MA","N/A","2009","Annual Average",7,1345,17734,19079
"17453","Chelmsford","Middlesex","MA","N/A","2010","Annual Average",7,1325,17705,19030
"17466","Chelmsford","Middlesex","MA","N/A","2011","Annual Average",6,1143,17896,19039
"17479","Chelmsford","Middlesex","MA","N/A","2012","Annual Average",5.6,1076,18094,19170
"17500","Chelsea","Suffolk","MA","N/A","1990","Annual Average",8.7,1131,11886,13017
"17513","Chelsea","Suffolk","MA","N/A","1991","Annual Average",11.6,1451,11106,12557
"17526","Chelsea","Suffolk","MA","N/A","1992","Annual Average",12.2,1457,10506,11963
"17539","Chelsea","Suffolk","MA","N/A","1993","Annual Average",9.7,1113,10409,11522
"17552","Chelsea","Suffolk","MA","N/A","1994","Annual Average",8.2,930,10481,11411
"17565","Chelsea","Suffolk","MA","N/A","1995","Annual Average",7.7,948,11415,12363
"17578","Chelsea","Suffolk","MA","N/A","1996","Annual Average",6.7,835,11543,12378
"17591","Chelsea","Suffolk","MA","N/A","1997","Annual Average",5.9,737,11746,12483
"17604","Chelsea","Suffolk","MA","N/A","1998","Annual Average",5.4,673,11886,12559
"17617","Chelsea","Suffolk","MA","N/A","1999","Annual Average",5.6,708,11959,12667
"17630","Chelsea","Suffolk","MA","N/A","2000","Annual Average",3.7,515,13590,14105
"17643","Chelsea","Suffolk","MA","N/A","2001","Annual Average",5,713,13531,14244
"17656","Chelsea","Suffolk","MA","N/A","2002","Annual Average",7.4,1041,13071,14112
"17669","Chelsea","Suffolk","MA","N/A","2003","Annual Average",8.7,1207,12668,13875
"17682","Chelsea","Suffolk","MA","N/A","2004","Annual Average",7.6,1024,12387,13411
"17695","Chelsea","Suffolk","MA","N/A","2005","Annual Average",7,927,12267,13194
"17708","Chelsea","Suffolk","MA","N/A","2006","Annual Average",6.3,890,13218,14108
"17721","Chelsea","Suffolk","MA","N/A","2007","Annual Average",5.9,859,13675,14534
"17734","Chelsea","Suffolk","MA","N/A","2008","Annual Average",6.7,978,13601,14579
"17747","Chelsea","Suffolk","MA","N/A","2009","Annual Average",9.8,1473,13492,14965
"17760","Chelsea","Suffolk","MA","N/A","2010","Annual Average",10.7,1536,12852,14388
"17773","Chelsea","Suffolk","MA","N/A","2011","Annual Average",9.5,1367,13081,14448
"17786","Chelsea","Suffolk","MA","N/A","2012","Annual Average",8.7,1262,13225,14487
"17807","Cheshire","Berkshire","MA","N/A","1990","Annual Average",6.4,118,1739,1857
"17820","Cheshire","Berkshire","MA","N/A","1991","Annual Average",12,223,1632,1855
"17833","Cheshire","Berkshire","MA","N/A","1992","Annual Average",11.7,210,1592,1802
"17846","Cheshire","Berkshire","MA","N/A","1993","Annual Average",9.8,173,1593,1766
"17859","Cheshire","Berkshire","MA","N/A","1994","Annual Average",8.9,161,1639,1800
"17872","Cheshire","Berkshire","MA","N/A","1995","Annual Average",7.6,134,1624,1758
"17885","Cheshire","Berkshire","MA","N/A","1996","Annual Average",6,106,1652,1758
"17898","Cheshire","Berkshire","MA","N/A","1997","Annual Average",6,107,1670,1777
"17911","Cheshire","Berkshire","MA","N/A","1998","Annual Average",4.5,80,1680,1760
"17924","Cheshire","Berkshire","MA","N/A","1999","Annual Average",4.1,72,1691,1763
"17937","Cheshire","Berkshire","MA","N/A","2000","Annual Average",3,56,1799,1855
"17950","Cheshire","Berkshire","MA","N/A","2001","Annual Average",3.7,70,1801,1871
"17963","Cheshire","Berkshire","MA","N/A","2002","Annual Average",5.9,114,1825,1939
"17976","Cheshire","Berkshire","MA","N/A","2003","Annual Average",6.2,119,1811,1930
"17989","Cheshire","Berkshire","MA","N/A","2004","Annual Average",5.5,106,1812,1918
"18002","Cheshire","Berkshire","MA","N/A","2005","Annual Average",5.2,101,1845,1946
"18015","Cheshire","Berkshire","MA","N/A","2006","Annual Average",4.4,86,1877,1963
"18028","Cheshire","Berkshire","MA","N/A","2007","Annual Average",4.8,94,1857,1951
"18041","Cheshire","Berkshire","MA","N/A","2008","Annual Average",5.7,111,1853,1964
"18054","Cheshire","Berkshire","MA","N/A","2009","Annual Average",8.6,169,1796,1965
"18067","Cheshire","Berkshire","MA","N/A","2010","Annual Average",8.9,166,1696,1862
"18080","Cheshire","Berkshire","MA","N/A","2011","Annual Average",8.3,154,1711,1865
"18093","Cheshire","Berkshire","MA","N/A","2012","Annual Average",7.5,139,1704,1843
"18114","Chester","Hampden","MA","N/A","1990","Annual Average",5.7,38,633,671
"18127","Chester","Hampden","MA","N/A","1991","Annual Average",11.5,78,601,679
"18140","Chester","Hampden","MA","N/A","1992","Annual Average",13.2,103,678,781
"18153","Chester","Hampden","MA","N/A","1993","Annual Average",9.8,75,688,763
"18166","Chester","Hampden","MA","N/A","1994","Annual Average",12.1,102,738,840
"18179","Chester","Hampden","MA","N/A","1995","Annual Average",8.7,68,715,783
"18192","Chester","Hampden","MA","N/A","1996","Annual Average",7.9,59,691,750
"18205","Chester","Hampden","MA","N/A","1997","Annual Average",6.8,51,694,745
"18218","Chester","Hampden","MA","N/A","1998","Annual Average",6.3,49,725,774
"18231","Chester","Hampden","MA","N/A","1999","Annual Average",5.6,47,785,832
"18244","Chester","Hampden","MA","N/A","2000","Annual Average",4.6,34,698,732
"18257","Chester","Hampden","MA","N/A","2001","Annual Average",5.2,38,699,737
"18270","Chester","Hampden","MA","N/A","2002","Annual Average",7.6,58,701,759
"18283","Chester","Hampden","MA","N/A","2003","Annual Average",7.5,56,692,748
"18296","Chester","Hampden","MA","N/A","2004","Annual Average",5.5,40,691,731
"18309","Chester","Hampden","MA","N/A","2005","Annual Average",5.3,39,692,731
"18322","Chester","Hampden","MA","N/A","2006","Annual Average",4,29,692,721
"18335","Chester","Hampden","MA","N/A","2007","Annual Average",4.2,30,685,715
"18348","Chester","Hampden","MA","N/A","2008","Annual Average",5.2,37,674,711
"18361","Chester","Hampden","MA","N/A","2009","Annual Average",9.3,67,652,719
"18374","Chester","Hampden","MA","N/A","2010","Annual Average",9.3,69,670,739
"18387","Chester","Hampden","MA","N/A","2011","Annual Average",8.2,59,664,723
"18400","Chester","Hampden","MA","N/A","2012","Annual Average",5.9,42,664,706
"18421","Chesterfield","Hampshire","MA","N/A","1990","Annual Average",5.1,32,592,624
"18434","Chesterfield","Hampshire","MA","N/A","1991","Annual Average",11.8,77,577,654
"18447","Chesterfield","Hampshire","MA","N/A","1992","Annual Average",8.5,56,601,657
"18460","Chesterfield","Hampshire","MA","N/A","1993","Annual Average",7.8,51,600,651
"18473","Chesterfield","Hampshire","MA","N/A","1994","Annual Average",4.4,30,647,677
"18486","Chesterfield","Hampshire","MA","N/A","1995","Annual Average",3.5,26,721,747
"18499","Chesterfield","Hampshire","MA","N/A","1996","Annual Average",3.7,27,711,738
"18512","Chesterfield","Hampshire","MA","N/A","1997","Annual Average",3.4,25,720,745
"18525","Chesterfield","Hampshire","MA","N/A","1998","Annual Average",3.1,24,757,781
"18538","Chesterfield","Hampshire","MA","N/A","1999","Annual Average",2.4,20,827,847
"18551","Chesterfield","Hampshire","MA","N/A","2000","Annual Average",1.8,13,706,719
"18564","Chesterfield","Hampshire","MA","N/A","2001","Annual Average",2.6,19,717,736
"18577","Chesterfield","Hampshire","MA","N/A","2002","Annual Average",3.3,24,713,737
"18590","Chesterfield","Hampshire","MA","N/A","2003","Annual Average",4,30,716,746
"18603","Chesterfield","Hampshire","MA","N/A","2004","Annual Average",4,30,723,753
"18616","Chesterfield","Hampshire","MA","N/A","2005","Annual Average",2.9,22,732,754
"18629","Chesterfield","Hampshire","MA","N/A","2006","Annual Average",4.4,34,739,773
"18642","Chesterfield","Hampshire","MA","N/A","2007","Annual Average",3.3,25,740,765
"18655","Chesterfield","Hampshire","MA","N/A","2008","Annual Average",4.1,32,742,774
"18668","Chesterfield","Hampshire","MA","N/A","2009","Annual Average",6.6,50,710,760
"18681","Chesterfield","Hampshire","MA","N/A","2010","Annual Average",7.5,55,674,729
"18694","Chesterfield","Hampshire","MA","N/A","2011","Annual Average",5.5,39,665,704
"18707","Chesterfield","Hampshire","MA","N/A","2012","Annual Average",5.7,40,665,705
"18728","Chicopee","Hampden","MA","N/A","1990","Annual Average",7,2026,27039,29065
"18741","Chicopee","Hampden","MA","N/A","1991","Annual Average",9.9,2857,26073,28930
"18754","Chicopee","Hampden","MA","N/A","1992","Annual Average",9.4,2663,25802,28465
"18767","Chicopee","Hampden","MA","N/A","1993","Annual Average",9,2538,25692,28230
"18780","Chicopee","Hampden","MA","N/A","1994","Annual Average",7.2,1978,25417,27395
"18793","Chicopee","Hampden","MA","N/A","1995","Annual Average",6.6,1794,25469,27263
"18806","Chicopee","Hampden","MA","N/A","1996","Annual Average",5.3,1447,25673,27120
"18819","Chicopee","Hampden","MA","N/A","1997","Annual Average",4.7,1282,26197,27479
"18832","Chicopee","Hampden","MA","N/A","1998","Annual Average",4.2,1143,26221,27364
"18845","Chicopee","Hampden","MA","N/A","1999","Annual Average",3.9,1070,26214,27284
"18858","Chicopee","Hampden","MA","N/A","2000","Annual Average",3.3,899,26521,27420
"18871","Chicopee","Hampden","MA","N/A","2001","Annual Average",4.2,1168,26548,27716
"18884","Chicopee","Hampden","MA","N/A","2002","Annual Average",5.7,1609,26398,28007
"18897","Chicopee","Hampden","MA","N/A","2003","Annual Average",6.7,1880,26129,28009
"18910","Chicopee","Hampden","MA","N/A","2004","Annual Average",6.3,1750,26078,27828
"18923","Chicopee","Hampden","MA","N/A","2005","Annual Average",5.8,1605,26103,27708
"18936","Chicopee","Hampden","MA","N/A","2006","Annual Average",5.9,1642,26160,27802
"18949","Chicopee","Hampden","MA","N/A","2007","Annual Average",5.7,1571,25967,27538
"18962","Chicopee","Hampden","MA","N/A","2008","Annual Average",6.5,1818,26244,28062
"18975","Chicopee","Hampden","MA","N/A","2009","Annual Average",9.7,2740,25491,28231
"18988","Chicopee","Hampden","MA","N/A","2010","Annual Average",9.9,2774,25275,28049
"19001","Chicopee","Hampden","MA","N/A","2011","Annual Average",8.9,2454,25022,27476
"19014","Chicopee","Hampden","MA","N/A","2012","Annual Average",8.1,2214,25037,27251
"19035","Chilmark","Dukes","MA","N/A","1990","Annual Average",3.6,13,353,366
"19048","Chilmark","Dukes","MA","N/A","1991","Annual Average",3.5,14,386,400
"19061","Chilmark","Dukes","MA","N/A","1992","Annual Average",3.1,12,369,381
"19074","Chilmark","Dukes","MA","N/A","1993","Annual Average",4.8,19,379,398
"19087","Chilmark","Dukes","MA","N/A","1994","Annual Average",4.7,21,428,449
"19100","Chilmark","Dukes","MA","N/A","1995","Annual Average",2.6,11,416,427
"19113","Chilmark","Dukes","MA","N/A","1996","Annual Average",3.5,16,437,453
"19126","Chilmark","Dukes","MA","N/A","1997","Annual Average",2.6,12,451,463
"19139","Chilmark","Dukes","MA","N/A","1998","Annual Average",2.4,11,449,460
"19152","Chilmark","Dukes","MA","N/A","1999","Annual Average",4.4,21,457,478
"19165","Chilmark","Dukes","MA","N/A","2000","Annual Average",2.9,16,543,559
"19178","Chilmark","Dukes","MA","N/A","2001","Annual Average",2,11,551,562
"19191","Chilmark","Dukes","MA","N/A","2002","Annual Average",2.4,14,580,594
"19204","Chilmark","Dukes","MA","N/A","2003","Annual Average",2.7,17,612,629
"19217","Chilmark","Dukes","MA","N/A","2004","Annual Average",2.2,14,626,640
"19230","Chilmark","Dukes","MA","N/A","2005","Annual Average",2.6,17,628,645
"19243","Chilmark","Dukes","MA","N/A","2006","Annual Average",2.9,19,642,661
"19256","Chilmark","Dukes","MA","N/A","2007","Annual Average",2.7,18,656,674
"19269","Chilmark","Dukes","MA","N/A","2008","Annual Average",2.8,19,661,680
"19282","Chilmark","Dukes","MA","N/A","2009","Annual Average",3.6,22,585,607
"19295","Chilmark","Dukes","MA","N/A","2010","Annual Average",6.2,36,549,585
"19308","Chilmark","Dukes","MA","N/A","2011","Annual Average",5.5,32,554,586
"19321","Chilmark","Dukes","MA","N/A","2012","Annual Average",5.1,30,559,589
"19342","Clarksburg","Berkshire","MA","N/A","1990","Annual Average",5.4,50,879,929
"19355","Clarksburg","Berkshire","MA","N/A","1991","Annual Average",10.7,102,855,957
"19368","Clarksburg","Berkshire","MA","N/A","1992","Annual Average",10.2,96,844,940
"19381","Clarksburg","Berkshire","MA","N/A","1993","Annual Average",8.4,81,888,969
"19394","Clarksburg","Berkshire","MA","N/A","1994","Annual Average",7.5,72,884,956
"19407","Clarksburg","Berkshire","MA","N/A","1995","Annual Average",6.2,56,842,898
"19420","Clarksburg","Berkshire","MA","N/A","1996","Annual Average",6.4,58,852,910
"19433","Clarksburg","Berkshire","MA","N/A","1997","Annual Average",4.4,40,863,903
"19446","Clarksburg","Berkshire","MA","N/A","1998","Annual Average",4.7,39,798,837
"19459","Clarksburg","Berkshire","MA","N/A","1999","Annual Average",4.7,40,808,848
"19472","Clarksburg","Berkshire","MA","N/A","2000","Annual Average",2.8,26,888,914
"19485","Clarksburg","Berkshire","MA","N/A","2001","Annual Average",3.5,32,895,927
"19498","Clarksburg","Berkshire","MA","N/A","2002","Annual Average",4.5,42,894,936
"19511","Clarksburg","Berkshire","MA","N/A","2003","Annual Average",5,47,886,933
"19524","Clarksburg","Berkshire","MA","N/A","2004","Annual Average",5.6,52,880,932
"19537","Clarksburg","Berkshire","MA","N/A","2005","Annual Average",5.2,49,885,934
"19550","Clarksburg","Berkshire","MA","N/A","2006","Annual Average",4.6,43,893,936
"19563","Clarksburg","Berkshire","MA","N/A","2007","Annual Average",4.6,43,893,936
"19576","Clarksburg","Berkshire","MA","N/A","2008","Annual Average",5.8,55,888,943
"19589","Clarksburg","Berkshire","MA","N/A","2009","Annual Average",9.6,92,866,958
"19602","Clarksburg","Berkshire","MA","N/A","2010","Annual Average",8.4,82,898,980
"19615","Clarksburg","Berkshire","MA","N/A","2011","Annual Average",7.8,76,896,972
"19628","Clarksburg","Berkshire","MA","N/A","2012","Annual Average",6.6,63,885,948
"19649","Clinton","Worcester","MA","N/A","1990","Annual Average",7.1,523,6828,7351
"19662","Clinton","Worcester","MA","N/A","1991","Annual Average",10.1,722,6458,7180
"19675","Clinton","Worcester","MA","N/A","1992","Annual Average",10.1,724,6446,7170
"19688","Clinton","Worcester","MA","N/A","1993","Annual Average",8.4,600,6567,7167
"19701","Clinton","Worcester","MA","N/A","1994","Annual Average",7.1,504,6605,7109
"19714","Clinton","Worcester","MA","N/A","1995","Annual Average",6.6,474,6721,7195
"19727","Clinton","Worcester","MA","N/A","1996","Annual Average",5.3,377,6794,7171
"19740","Clinton","Worcester","MA","N/A","1997","Annual Average",3.7,268,6931,7199
"19753","Clinton","Worcester","MA","N/A","1998","Annual Average",3.3,241,7060,7301
"19766","Clinton","Worcester","MA","N/A","1999","Annual Average",3.8,276,7009,7285
"19779","Clinton","Worcester","MA","N/A","2000","Annual Average",2.7,194,7072,7266
"19792","Clinton","Worcester","MA","N/A","2001","Annual Average",4.1,302,7086,7388
"19805","Clinton","Worcester","MA","N/A","2002","Annual Average",5.9,443,7050,7493
"19818","Clinton","Worcester","MA","N/A","2003","Annual Average",6.6,494,7004,7498
"19831","Clinton","Worcester","MA","N/A","2004","Annual Average",6.2,464,7049,7513
"19844","Clinton","Worcester","MA","N/A","2005","Annual Average",5.7,425,7079,7504
"19857","Clinton","Worcester","MA","N/A","2006","Annual Average",5.5,418,7220,7638
"19870","Clinton","Worcester","MA","N/A","2007","Annual Average",5.2,396,7205,7601
"19883","Clinton","Worcester","MA","N/A","2008","Annual Average",6.2,469,7048,7517
"19896","Clinton","Worcester","MA","N/A","2009","Annual Average",9.5,715,6851,7566
"19909","Clinton","Worcester","MA","N/A","2010","Annual Average",10.2,748,6588,7336
"19922","Clinton","Worcester","MA","N/A","2011","Annual Average",9.1,666,6646,7312
"19935","Clinton","Worcester","MA","N/A","2012","Annual Average",8.5,616,6644,7260
"19956","Cohasset","Norfolk","MA","N/A","1990","Annual Average",6.3,255,3766,4021
"19969","Cohasset","Norfolk","MA","N/A","1991","Annual Average",6.7,264,3681,3945
"19982","Cohasset","Norfolk","MA","N/A","1992","Annual Average",6,235,3708,3943
"19995","Cohasset","Norfolk","MA","N/A","1993","Annual Average",4.2,167,3775,3942
"20008","Cohasset","Norfolk","MA","N/A","1994","Annual Average",3.4,137,3903,4040
"20021","Cohasset","Norfolk","MA","N/A","1995","Annual Average",3,114,3714,3828
"20034","Cohasset","Norfolk","MA","N/A","1996","Annual Average",3,117,3774,3891
"20047","Cohasset","Norfolk","MA","N/A","1997","Annual Average",2.2,86,3864,3950
"20060","Cohasset","Norfolk","MA","N/A","1998","Annual Average",2,82,3922,4004
"20073","Cohasset","Norfolk","MA","N/A","1999","Annual Average",1.5,60,3961,4021
"20086","Cohasset","Norfolk","MA","N/A","2000","Annual Average",2.1,77,3625,3702
"20099","Cohasset","Norfolk","MA","N/A","2001","Annual Average",2.8,105,3618,3723
"20112","Cohasset","Norfolk","MA","N/A","2002","Annual Average",4,148,3559,3707
"20125","Cohasset","Norfolk","MA","N/A","2003","Annual Average",4.5,164,3504,3668
"20138","Cohasset","Norfolk","MA","N/A","2004","Annual Average",4.2,152,3495,3647
"20151","Cohasset","Norfolk","MA","N/A","2005","Annual Average",3.5,127,3506,3633
"20164","Cohasset","Norfolk","MA","N/A","2006","Annual Average",3.2,115,3506,3621
"20177","Cohasset","Norfolk","MA","N/A","2007","Annual Average",3.3,120,3531,3651
"20190","Cohasset","Norfolk","MA","N/A","2008","Annual Average",4,146,3534,3680
"20203","Cohasset","Norfolk","MA","N/A","2009","Annual Average",6.3,232,3433,3665
"20216","Cohasset","Norfolk","MA","N/A","2010","Annual Average",5.6,210,3547,3757
"20229","Cohasset","Norfolk","MA","N/A","2011","Annual Average",5,189,3586,3775
"20242","Cohasset","Norfolk","MA","N/A","2012","Annual Average",4.8,182,3626,3808
"20263","Colrain","Franklin","MA","N/A","1990","Annual Average",5,43,822,865
"20276","Colrain","Franklin","MA","N/A","1991","Annual Average",7.7,67,805,872
"20289","Colrain","Franklin","MA","N/A","1992","Annual Average",7.4,64,804,868
"20302","Colrain","Franklin","MA","N/A","1993","Annual Average",7.2,63,811,874
"20315","Colrain","Franklin","MA","N/A","1994","Annual Average",5.3,47,837,884
"20328","Colrain","Franklin","MA","N/A","1995","Annual Average",5.2,47,861,908
"20341","Colrain","Franklin","MA","N/A","1996","Annual Average",4.5,41,863,904
"20354","Colrain","Franklin","MA","N/A","1997","Annual Average",6.1,57,882,939
"20367","Colrain","Franklin","MA","N/A","1998","Annual Average",5,48,907,955
"20380","Colrain","Franklin","MA","N/A","1999","Annual Average",3.1,30,927,957
"20393","Colrain","Franklin","MA","N/A","2000","Annual Average",2.6,25,944,969
"20406","Colrain","Franklin","MA","N/A","2001","Annual Average",3.1,30,946,976
"20419","Colrain","Franklin","MA","N/A","2002","Annual Average",3.8,38,966,1004
"20432","Colrain","Franklin","MA","N/A","2003","Annual Average",4.9,50,974,1024
"20445","Colrain","Franklin","MA","N/A","2004","Annual Average",5.4,55,956,1011
"20458","Colrain","Franklin","MA","N/A","2005","Annual Average",4.5,45,954,999
"20471","Colrain","Franklin","MA","N/A","2006","Annual Average",4.8,48,955,1003
"20484","Colrain","Franklin","MA","N/A","2007","Annual Average",3.9,38,943,981
"20497","Colrain","Franklin","MA","N/A","2008","Annual Average",5.1,51,948,999
"20510","Colrain","Franklin","MA","N/A","2009","Annual Average",7.6,76,929,1005
"20523","Colrain","Franklin","MA","N/A","2010","Annual Average",9.2,84,834,918
"20536","Colrain","Franklin","MA","N/A","2011","Annual Average",6.6,59,836,895
"20549","Colrain","Franklin","MA","N/A","2012","Annual Average",6.8,61,838,899
"20570","Concord","Middlesex","MA","N/A","1990","Annual Average",3.4,285,8211,8496
"20583","Concord","Middlesex","MA","N/A","1991","Annual Average",3.7,312,8063,8375
"20596","Concord","Middlesex","MA","N/A","1992","Annual Average",4,340,8072,8412
"20609","Concord","Middlesex","MA","N/A","1993","Annual Average",3.7,309,8101,8410
"20622","Concord","Middlesex","MA","N/A","1994","Annual Average",3.1,263,8263,8526
"20635","Concord","Middlesex","MA","N/A","1995","Annual Average",2.5,215,8426,8641
"20648","Concord","Middlesex","MA","N/A","1996","Annual Average",2,179,8590,8769
