"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"West Stockbridge","Berkshire County","MA","West Stockbridge",1997,3.1,26,823,849
"West Stockbridge","Berkshire County","MA","West Stockbridge",1998,2.7,23,820,843
"West Stockbridge","Berkshire County","MA","West Stockbridge",1999,2.3,19,817,836
"West Stockbridge","Berkshire County","MA","West Stockbridge",2000,2.1,17,778,795
"West Stockbridge","Berkshire County","MA","West Stockbridge",2001,2,17,814,831
"West Stockbridge","Berkshire County","MA","West Stockbridge",2002,2.9,25,842,867
"West Stockbridge","Berkshire County","MA","West Stockbridge",2003,2.9,25,848,873
"West Stockbridge","Berkshire County","MA","West Stockbridge",2004,2.8,24,846,870
"West Stockbridge","Berkshire County","MA","West Stockbridge",2005,3,27,863,890
"West Stockbridge","Berkshire County","MA","West Stockbridge",2006,2.6,23,873,896
"West Stockbridge","Berkshire County","MA","West Stockbridge",2007,2.7,24,855,879
"West Stockbridge","Berkshire County","MA","West Stockbridge",2008,3.4,30,848,878
"West Stockbridge","Berkshire County","MA","West Stockbridge",2009,6,53,824,877
"West Stockbridge","Berkshire County","MA","West Stockbridge",2010,6.8,55,758,813
"West Stockbridge","Berkshire County","MA","West Stockbridge",2011,6.4,52,763,815
"West Stockbridge","Berkshire County","MA","West Stockbridge",2012,4.9,39,756,795
"West Tisbury","Dukes County","MA","West Tisbury",1990,1.1,12,1106,1118
"West Tisbury","Dukes County","MA","West Tisbury",1991,1.7,19,1130,1149
"West Tisbury","Dukes County","MA","West Tisbury",1992,2.4,27,1080,1107
"West Tisbury","Dukes County","MA","West Tisbury",1993,2.3,26,1129,1155
"West Tisbury","Dukes County","MA","West Tisbury",1994,1.9,24,1226,1250
"West Tisbury","Dukes County","MA","West Tisbury",1995,2.3,33,1402,1435
"West Tisbury","Dukes County","MA","West Tisbury",1996,2.4,36,1483,1519
"West Tisbury","Dukes County","MA","West Tisbury",1997,1.9,30,1540,1570
"West Tisbury","Dukes County","MA","West Tisbury",1998,1.7,27,1579,1606
"West Tisbury","Dukes County","MA","West Tisbury",1999,1.7,28,1618,1646
"West Tisbury","Dukes County","MA","West Tisbury",2000,1.5,26,1751,1777
"West Tisbury","Dukes County","MA","West Tisbury",2001,1.4,26,1782,1808
"West Tisbury","Dukes County","MA","West Tisbury",2002,2.1,39,1858,1897
"West Tisbury","Dukes County","MA","West Tisbury",2003,2.5,49,1937,1986
"West Tisbury","Dukes County","MA","West Tisbury",2004,2.5,51,1970,2021
"West Tisbury","Dukes County","MA","West Tisbury",2005,2.3,46,1954,2000
"West Tisbury","Dukes County","MA","West Tisbury",2006,2.4,48,1961,2009
"West Tisbury","Dukes County","MA","West Tisbury",2007,2.1,42,1975,2017
"West Tisbury","Dukes County","MA","West Tisbury",2008,2.7,54,1978,2032
"West Tisbury","Dukes County","MA","West Tisbury",2009,4.4,88,1912,2000
"West Tisbury","Dukes County","MA","West Tisbury",2010,5.3,107,1915,2022
"West Tisbury","Dukes County","MA","West Tisbury",2011,4.6,93,1930,2023
"West Tisbury","Dukes County","MA","West Tisbury",2012,4.3,87,1949,2036
"Westborough","Worcester County","MA","Westborough",1990,4.2,342,7721,8063
"Westborough","Worcester County","MA","Westborough",1991,6.3,509,7564,8073
"Westborough","Worcester County","MA","Westborough",1992,6.4,524,7622,8146
"Westborough","Worcester County","MA","Westborough",1993,5,421,8017,8438
"Westborough","Worcester County","MA","Westborough",1994,4.1,357,8282,8639
"Westborough","Worcester County","MA","Westborough",1995,3.7,306,7947,8253
"Westborough","Worcester County","MA","Westborough",1996,2.6,223,8284,8507
"Westborough","Worcester County","MA","Westborough",1997,2.4,207,8594,8801
"Westborough","Worcester County","MA","Westborough",1998,2.1,185,8802,8987
"Westborough","Worcester County","MA","Westborough",1999,2.5,229,8848,9077
"Westborough","Worcester County","MA","Westborough",2000,2.1,189,8931,9120
"Westborough","Worcester County","MA","Westborough",2001,3.2,296,8982,9278
