"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Braintree","Norfolk County","MA","Braintree",2002,4.6,844,17350,18194
"Braintree","Norfolk County","MA","Braintree",2003,5.6,1004,17019,18023
"Braintree","Norfolk County","MA","Braintree",2004,5.1,919,17112,18031
"Braintree","Norfolk County","MA","Braintree",2005,4.5,815,17190,18005
"Braintree","Norfolk County","MA","Braintree",2006,4.6,817,17133,17950
"Braintree","Norfolk County","MA","Braintree",2007,4.3,783,17422,18205
"Braintree","Norfolk County","MA","Braintree",2008,5.1,958,17881,18839
"Braintree","Norfolk County","MA","Braintree",2009,7.6,1428,17284,18712
"Braintree","Norfolk County","MA","Braintree",2010,7.8,1494,17670,19164
"Braintree","Norfolk County","MA","Braintree",2011,6.5,1251,17868,19119
"Braintree","Norfolk County","MA","Braintree",2012,6,1160,18063,19223
"Brewster","Barnstable County","MA","Brewster",1990,5.9,261,4174,4435
"Brewster","Barnstable County","MA","Brewster",1991,7.7,340,4102,4442
"Brewster","Barnstable County","MA","Brewster",1992,7.7,341,4083,4424
"Brewster","Barnstable County","MA","Brewster",1993,6.5,297,4268,4565
"Brewster","Barnstable County","MA","Brewster",1994,5.7,262,4372,4634
"Brewster","Barnstable County","MA","Brewster",1995,4.6,210,4376,4586
"Brewster","Barnstable County","MA","Brewster",1996,4.1,193,4521,4714
"Brewster","Barnstable County","MA","Brewster",1997,3.8,181,4616,4797
"Brewster","Barnstable County","MA","Brewster",1998,3.5,170,4719,4889
"Brewster","Barnstable County","MA","Brewster",1999,2.5,128,4947,5075
"Brewster","Barnstable County","MA","Brewster",2000,2.8,148,5145,5293
"Brewster","Barnstable County","MA","Brewster",2001,3.1,166,5206,5372
"Brewster","Barnstable County","MA","Brewster",2002,3.6,199,5306,5505
"Brewster","Barnstable County","MA","Brewster",2003,4.2,235,5413,5648
"Brewster","Barnstable County","MA","Brewster",2004,4.1,235,5460,5695
"Brewster","Barnstable County","MA","Brewster",2005,4,225,5425,5650
"Brewster","Barnstable County","MA","Brewster",2006,4,227,5424,5651
"Brewster","Barnstable County","MA","Brewster",2007,4,223,5392,5615
"Brewster","Barnstable County","MA","Brewster",2008,5,280,5338,5618
"Brewster","Barnstable County","MA","Brewster",2009,7.4,419,5210,5629
"Brewster","Barnstable County","MA","Brewster",2010,8.1,457,5202,5659
"Brewster","Barnstable County","MA","Brewster",2011,7.4,412,5193,5605
"Brewster","Barnstable County","MA","Brewster",2012,6.4,361,5280,5641
"Bridgewater","Plymouth County","MA","Bridgewater",1990,6.4,693,10103,10796
"Bridgewater","Plymouth County","MA","Bridgewater",1991,9.3,997,9687,10684
"Bridgewater","Plymouth County","MA","Bridgewater",1992,9.5,1006,9533,10539
"Bridgewater","Plymouth County","MA","Bridgewater",1993,7.1,784,10251,11035
"Bridgewater","Plymouth County","MA","Bridgewater",1994,5.9,694,11061,11755
"Bridgewater","Plymouth County","MA","Bridgewater",1995,5.1,611,11264,11875
"Bridgewater","Plymouth County","MA","Bridgewater",1996,4.1,489,11467,11956
"Bridgewater","Plymouth County","MA","Bridgewater",1997,3.5,431,11945,12376
"Bridgewater","Plymouth County","MA","Bridgewater",1998,2.9,361,12077,12438
"Bridgewater","Plymouth County","MA","Bridgewater",1999,2.9,365,12391,12756
"Bridgewater","Plymouth County","MA","Bridgewater",2000,2.3,305,12846,13151
"Bridgewater","Plymouth County","MA","Bridgewater",2001,3,399,12726,13125
"Bridgewater","Plymouth County","MA","Bridgewater",2002,4.4,579,12607,13186
"Bridgewater","Plymouth County","MA","Bridgewater",2003,5.1,660,12354,13014
"Bridgewater","Plymouth County","MA","Bridgewater",2004,5,657,12380,13037
"Bridgewater","Plymouth County","MA","Bridgewater",2005,4.7,612,12415,13027
"Bridgewater","Plymouth County","MA","Bridgewater",2006,4.5,596,12564,13160
"Bridgewater","Plymouth County","MA","Bridgewater",2007,4.5,591,12647,13238
"Bridgewater","Plymouth County","MA","Bridgewater",2008,5.2,699,12686,13385
"Bridgewater","Plymouth County","MA","Bridgewater",2009,7.6,1064,12967,14031
"Bridgewater","Plymouth County","MA","Bridgewater",2010,8,1097,12619,13716
"Bridgewater","Plymouth County","MA","Bridgewater",2011,7.3,1006,12728,13734
"Bridgewater","Plymouth County","MA","Bridgewater",2012,6.7,923,12841,13764
"Brimfield","Hampden County","MA","Brimfield",1990,6,87,1374,1461
"Brimfield","Hampden County","MA","Brimfield",1991,9.1,136,1352,1488
"Brimfield","Hampden County","MA","Brimfield",1992,10.6,153,1296,1449
"Brimfield","Hampden County","MA","Brimfield",1993,9.1,130,1304,1434
"Brimfield","Hampden County","MA","Brimfield",1994,7.5,107,1318,1425
"Brimfield","Hampden County","MA","Brimfield",1995,6.1,100,1535,1635
"Brimfield","Hampden County","MA","Brimfield",1996,4.8,82,1620,1702
"Brimfield","Hampden County","MA","Brimfield",1997,4.9,83,1614,1697
"Brimfield","Hampden County","MA","Brimfield",1998,4.7,77,1565,1642
"Brimfield","Hampden County","MA","Brimfield",1999,4.4,71,1536,1607
"Brimfield","Hampden County","MA","Brimfield",2000,2.5,45,1786,1831
"Brimfield","Hampden County","MA","Brimfield",2001,3.5,66,1821,1887
"Brimfield","Hampden County","MA","Brimfield",2002,5,97,1842,1939
"Brimfield","Hampden County","MA","Brimfield",2003,5.7,113,1853,1966
"Brimfield","Hampden County","MA","Brimfield",2004,5.5,110,1878,1988
"Brimfield","Hampden County","MA","Brimfield",2005,4.9,99,1905,2004
"Brimfield","Hampden County","MA","Brimfield",2006,5.3,108,1947,2055
"Brimfield","Hampden County","MA","Brimfield",2007,5.1,106,1953,2059
"Brimfield","Hampden County","MA","Brimfield",2008,5.5,114,1942,2056
"Brimfield","Hampden County","MA","Brimfield",2009,8.3,173,1903,2076
"Brimfield","Hampden County","MA","Brimfield",2010,8.2,162,1809,1971
"Brimfield","Hampden County","MA","Brimfield",2011,8.4,164,1791,1955
"Brimfield","Hampden County","MA","Brimfield",2012,6.9,132,1792,1924
"Brockton","Plymouth County","MA","Brockton",1990,9.5,4385,41953,46338
"Brockton","Plymouth County","MA","Brockton",1991,13,5856,39354,45210
"Brockton","Plymouth County","MA","Brockton",1992,12.7,5567,38229,43796
"Brockton","Plymouth County","MA","Brockton",1993,10,4317,38668,42985
"Brockton","Plymouth County","MA","Brockton",1994,8.1,3557,40358,43915
"Brockton","Plymouth County","MA","Brockton",1995,7,3222,42855,46077
"Brockton","Plymouth County","MA","Brockton",1996,6.5,2994,42976,45970
"Brockton","Plymouth County","MA","Brockton",1997,5.5,2594,44258,46852
"Brockton","Plymouth County","MA","Brockton",1998,4.5,2120,44540,46660
"Brockton","Plymouth County","MA","Brockton",1999,4.3,2036,45028,47064
"Brockton","Plymouth County","MA","Brockton",2000,3.4,1540,43817,45357
"Brockton","Plymouth County","MA","Brockton",2001,4.7,2157,43526,45683
"Brockton","Plymouth County","MA","Brockton",2002,6.4,2935,43023,45958
"Brockton","Plymouth County","MA","Brockton",2003,7.3,3280,41894,45174
"Brockton","Plymouth County","MA","Brockton",2004,6.9,3072,41719,44791
"Brockton","Plymouth County","MA","Brockton",2005,6.1,2724,41684,44408
"Brockton","Plymouth County","MA","Brockton",2006,6.1,2721,42029,44750
"Brockton","Plymouth County","MA","Brockton",2007,5.9,2617,42109,44726
"Brockton","Plymouth County","MA","Brockton",2008,6.9,3097,41776,44873
"Brockton","Plymouth County","MA","Brockton",2009,10.4,4694,40593,45287
"Brockton","Plymouth County","MA","Brockton",2010,11.3,5166,40673,45839
"Brockton","Plymouth County","MA","Brockton",2011,10,4569,41052,45621
"Brockton","Plymouth County","MA","Brockton",2012,9,4115,41416,45531
"Brookfield","Worcester County","MA","Brookfield",1990,6.8,103,1404,1507
"Brookfield","Worcester County","MA","Brookfield",1991,11.1,177,1415,1592
"Brookfield","Worcester County","MA","Brookfield",1992,11.3,178,1391,1569
"Brookfield","Worcester County","MA","Brookfield",1993,7.9,123,1440,1563
"Brookfield","Worcester County","MA","Brookfield",1994,6.1,94,1451,1545
"Brookfield","Worcester County","MA","Brookfield",1995,4.8,68,1362,1430
"Brookfield","Worcester County","MA","Brookfield",1996,5.7,83,1381,1464
"Brookfield","Worcester County","MA","Brookfield",1997,5,74,1413,1487
"Brookfield","Worcester County","MA","Brookfield",1998,4.1,62,1436,1498
"Brookfield","Worcester County","MA","Brookfield",1999,3.6,54,1433,1487
"Brookfield","Worcester County","MA","Brookfield",2000,2.5,42,1642,1684
"Brookfield","Worcester County","MA","Brookfield",2001,3.2,54,1644,1698
"Brookfield","Worcester County","MA","Brookfield",2002,5.7,99,1631,1730
"Brookfield","Worcester County","MA","Brookfield",2003,6.3,109,1620,1729
"Brookfield","Worcester County","MA","Brookfield",2004,5.7,98,1610,1708
"Brookfield","Worcester County","MA","Brookfield",2005,5.8,98,1602,1700
"Brookfield","Worcester County","MA","Brookfield",2006,5.7,107,1759,1866
"Brookfield","Worcester County","MA","Brookfield",2007,5.9,110,1765,1875
"Brookfield","Worcester County","MA","Brookfield",2008,5.8,107,1735,1842
"Brookfield","Worcester County","MA","Brookfield",2009,9.1,169,1683,1852
"Brookfield","Worcester County","MA","Brookfield",2010,9.5,177,1679,1856
"Brookfield","Worcester County","MA","Brookfield",2011,8.4,156,1694,1850
"Brookfield","Worcester County","MA","Brookfield",2012,7.8,143,1693,1836
"Brookline","Norfolk County","MA","Brookline",1990,2.6,812,30784,31596
"Brookline","Norfolk County","MA","Brookline",1991,4.1,1240,29218,30458
"Brookline","Norfolk County","MA","Brookline",1992,4.8,1462,28683,30145
"Brookline","Norfolk County","MA","Brookline",1993,3.9,1172,28873,30045
"Brookline","Norfolk County","MA","Brookline",1994,3.6,1102,29189,30291
"Brookline","Norfolk County","MA","Brookline",1995,2.9,887,30233,31120
"Brookline","Norfolk County","MA","Brookline",1996,2.2,698,30763,31461
"Brookline","Norfolk County","MA","Brookline",1997,1.9,612,31428,32040
"Brookline","Norfolk County","MA","Brookline",1998,1.5,488,31717,32205
"Brookline","Norfolk County","MA","Brookline",1999,1.5,474,31770,32244
"Brookline","Norfolk County","MA","Brookline",2000,1.6,561,33760,34321
"Brookline","Norfolk County","MA","Brookline",2001,2.6,881,33571,34452
"Brookline","Norfolk County","MA","Brookline",2002,3.7,1266,32911,34177
"Brookline","Norfolk County","MA","Brookline",2003,3.6,1199,32253,33452
"Brookline","Norfolk County","MA","Brookline",2004,3.1,1021,32001,33022
"Brookline","Norfolk County","MA","Brookline",2005,2.8,924,31989,32913
"Brookline","Norfolk County","MA","Brookline",2006,2.7,872,31907,32779
"Brookline","Norfolk County","MA","Brookline",2007,2.5,841,32167,33008
"Brookline","Norfolk County","MA","Brookline",2008,3.2,1046,32100,33146
"Brookline","Norfolk County","MA","Brookline",2009,5.2,1686,30980,32666
"Brookline","Norfolk County","MA","Brookline",2010,4.5,1554,32735,34289
"Brookline","Norfolk County","MA","Brookline",2011,3.8,1310,33100,34410
"Brookline","Norfolk County","MA","Brookline",2012,3.4,1189,33462,34651
"Buckland","Franklin County","MA","Buckland",1990,1.4,15,1035,1050
"Buckland","Franklin County","MA","Buckland",1991,1.8,19,1047,1066
"Buckland","Franklin County","MA","Buckland",1992,1.9,20,1037,1057
"Buckland","Franklin County","MA","Buckland",1993,1.5,16,1065,1081
"Buckland","Franklin County","MA","Buckland",1994,1.4,16,1152,1168
"Buckland","Franklin County","MA","Buckland",1995,1.7,18,1046,1064
"Buckland","Franklin County","MA","Buckland",1996,1,11,1052,1063
"Buckland","Franklin County","MA","Buckland",1997,1.1,12,1074,1086
"Buckland","Franklin County","MA","Buckland",1998,1.1,12,1094,1106
"Buckland","Franklin County","MA","Buckland",1999,1.2,14,1114,1128
"Buckland","Franklin County","MA","Buckland",2000,1.3,15,1128,1143
"Buckland","Franklin County","MA","Buckland",2001,1.6,18,1120,1138
"Buckland","Franklin County","MA","Buckland",2002,1.7,19,1132,1151
"Buckland","Franklin County","MA","Buckland",2003,2.2,25,1136,1161
"Buckland","Franklin County","MA","Buckland",2004,2.5,29,1112,1141
"Buckland","Franklin County","MA","Buckland",2005,2.4,27,1115,1142
"Buckland","Franklin County","MA","Buckland",2006,2.5,29,1125,1154
"Buckland","Franklin County","MA","Buckland",2007,3,34,1111,1145
"Buckland","Franklin County","MA","Buckland",2008,2.8,32,1094,1126
"Buckland","Franklin County","MA","Buckland",2009,3.9,43,1063,1106
"Buckland","Franklin County","MA","Buckland",2010,4.1,44,1034,1078
"Buckland","Franklin County","MA","Buckland",2011,3.6,39,1037,1076
"Buckland","Franklin County","MA","Buckland",2012,3.7,40,1040,1080
"Burlington","Middlesex County","MA","Burlington",1990,5,732,13821,14553
"Burlington","Middlesex County","MA","Burlington",1991,7,1000,13337,14337
"Burlington","Middlesex County","MA","Burlington",1992,7.8,1120,13201,14321
"Burlington","Middlesex County","MA","Burlington",1993,5.6,793,13268,14061
"Burlington","Middlesex County","MA","Burlington",1994,4.9,689,13423,14112
"Burlington","Middlesex County","MA","Burlington",1995,4,569,13655,14224
"Burlington","Middlesex County","MA","Burlington",1996,3.1,444,13962,14406
"Burlington","Middlesex County","MA","Burlington",1997,2.9,429,14340,14769
"Burlington","Middlesex County","MA","Burlington",1998,2,300,14481,14781
"Burlington","Middlesex County","MA","Burlington",1999,2.2,332,14653,14985
"Burlington","Middlesex County","MA","Burlington",2000,2.2,290,12850,13140
"Burlington","Middlesex County","MA","Burlington",2001,3.3,431,12800,13231
"Burlington","Middlesex County","MA","Burlington",2002,5,654,12524,13178
"Burlington","Middlesex County","MA","Burlington",2003,5.2,680,12303,12983
"Burlington","Middlesex County","MA","Burlington",2004,4.3,564,12555,13119
"Burlington","Middlesex County","MA","Burlington",2005,3.9,512,12729,13241
"Burlington","Middlesex County","MA","Burlington",2006,3.6,503,13542,14045
"Burlington","Middlesex County","MA","Burlington",2007,3.4,477,13733,14210
"Burlington","Middlesex County","MA","Burlington",2008,4.1,584,13754,14338
"Burlington","Middlesex County","MA","Burlington",2009,6.6,945,13423,14368
"Burlington","Middlesex County","MA","Burlington",2010,6.4,880,12963,13843
"Burlington","Middlesex County","MA","Burlington",2011,5.4,746,13156,13902
"Burlington","Middlesex County","MA","Burlington",2012,5,707,13300,14007
"Cambridge","Middlesex County","MA","Cambridge",1990,4,2256,53753,56009
"Cambridge","Middlesex County","MA","Cambridge",1991,5.6,3098,52551,55649
"Cambridge","Middlesex County","MA","Cambridge",1992,5.6,3141,52660,55801
"Cambridge","Middlesex County","MA","Cambridge",1993,4.7,2660,53871,56531
"Cambridge","Middlesex County","MA","Cambridge",1994,3.9,2240,55065,57305
"Cambridge","Middlesex County","MA","Cambridge",1995,3.5,1917,52219,54136
"Cambridge","Middlesex County","MA","Cambridge",1996,2.8,1539,53013,54552
"Cambridge","Middlesex County","MA","Cambridge",1997,2.4,1354,54192,55546
"Cambridge","Middlesex County","MA","Cambridge",1998,1.9,1078,54649,55727
"Cambridge","Middlesex County","MA","Cambridge",1999,2,1105,54841,55946
"Cambridge","Middlesex County","MA","Cambridge",2000,1.9,1146,58159,59305
"Cambridge","Middlesex County","MA","Cambridge",2001,2.8,1658,58309,59967
"Cambridge","Middlesex County","MA","Cambridge",2002,4,2402,57199,59601
"Cambridge","Middlesex County","MA","Cambridge",2003,4.2,2484,56071,58555
"Cambridge","Middlesex County","MA","Cambridge",2004,3.6,2107,55675,57782
"Cambridge","Middlesex County","MA","Cambridge",2005,3.4,1954,55816,57770
"Cambridge","Middlesex County","MA","Cambridge",2006,3.2,1925,57683,59608
"Cambridge","Middlesex County","MA","Cambridge",2007,3,1803,58948,60751
"Cambridge","Middlesex County","MA","Cambridge",2008,3.5,2168,59561,61729
"Cambridge","Middlesex County","MA","Cambridge",2009,5.4,3293,57857,61150
"Cambridge","Middlesex County","MA","Cambridge",2010,5.3,3199,56777,59976
"Cambridge","Middlesex County","MA","Cambridge",2011,4.6,2778,57496,60274
"Cambridge","Middlesex County","MA","Cambridge",2012,4.2,2540,58126,60666
"Canton","Norfolk County","MA","Canton",1990,5.2,550,9987,10537
"Canton","Norfolk County","MA","Canton",1991,7.4,782,9832,10614
"Canton","Norfolk County","MA","Canton",1992,7.6,814,9897,10711
"Canton","Norfolk County","MA","Canton",1993,5.7,618,10183,10801
"Canton","Norfolk County","MA","Canton",1994,5.2,579,10557,11136
"Canton","Norfolk County","MA","Canton",1995,4.5,501,10665,11166
"Canton","Norfolk County","MA","Canton",1996,3.6,408,10984,11392
"Canton","Norfolk County","MA","Canton",1997,3.1,360,11344,11704
"Canton","Norfolk County","MA","Canton",1998,2.3,278,11625,11903
"Canton","Norfolk County","MA","Canton",1999,2.2,264,11779,12043
"Canton","Norfolk County","MA","Canton",2000,2.3,260,10941,11201
"Canton","Norfolk County","MA","Canton",2001,3,344,11013,11357
"Canton","Norfolk County","MA","Canton",2002,4.4,500,10936,11436
"Canton","Norfolk County","MA","Canton",2003,5,565,10828,11393
"Canton","Norfolk County","MA","Canton",2004,4.4,503,10877,11380
"Canton","Norfolk County","MA","Canton",2005,3.9,449,11023,11472
"Canton","Norfolk County","MA","Canton",2006,4.1,468,10959,11427
"Canton","Norfolk County","MA","Canton",2007,3.7,429,11151,11580
"Canton","Norfolk County","MA","Canton",2008,4.6,539,11162,11701
"Canton","Norfolk County","MA","Canton",2009,7.2,844,10908,11752
"Canton","Norfolk County","MA","Canton",2010,7,809,10672,11481
"Canton","Norfolk County","MA","Canton",2011,6.1,706,10792,11498
"Canton","Norfolk County","MA","Canton",2012,5.8,667,10910,11577
"Carlisle","Middlesex County","MA","Carlisle",1990,2.4,59,2404,2463
"Carlisle","Middlesex County","MA","Carlisle",1991,3.8,93,2334,2427
"Carlisle","Middlesex County","MA","Carlisle",1992,3.8,94,2361,2455
"Carlisle","Middlesex County","MA","Carlisle",1993,2.7,67,2444,2511
"Carlisle","Middlesex County","MA","Carlisle",1994,2.8,71,2503,2574
"Carlisle","Middlesex County","MA","Carlisle",1995,2.5,63,2489,2552
"Carlisle","Middlesex County","MA","Carlisle",1996,2,52,2560,2612
"Carlisle","Middlesex County","MA","Carlisle",1997,1.5,41,2656,2697
"Carlisle","Middlesex County","MA","Carlisle",1998,1.3,37,2734,2771
"Carlisle","Middlesex County","MA","Carlisle",1999,1.7,47,2791,2838
"Carlisle","Middlesex County","MA","Carlisle",2000,1.7,42,2454,2496
"Carlisle","Middlesex County","MA","Carlisle",2001,2.8,70,2472,2542
"Carlisle","Middlesex County","MA","Carlisle",2002,5,128,2449,2577
"Carlisle","Middlesex County","MA","Carlisle",2003,4.6,117,2420,2537
"Carlisle","Middlesex County","MA","Carlisle",2004,4,101,2412,2513
"Carlisle","Middlesex County","MA","Carlisle",2005,3.6,92,2436,2528
"Carlisle","Middlesex County","MA","Carlisle",2006,3.3,81,2394,2475
"Carlisle","Middlesex County","MA","Carlisle",2007,3.1,76,2413,2489
"Carlisle","Middlesex County","MA","Carlisle",2008,3.6,90,2410,2500
"Carlisle","Middlesex County","MA","Carlisle",2009,6.4,160,2348,2508
"Carlisle","Middlesex County","MA","Carlisle",2010,6,152,2371,2523
"Carlisle","Middlesex County","MA","Carlisle",2011,4.3,109,2406,2515
"Carlisle","Middlesex County","MA","Carlisle",2012,4.4,113,2432,2545
"Carver","Plymouth County","MA","Carver",1990,7.6,391,4744,5135
"Carver","Plymouth County","MA","Carver",1991,10.7,557,4652,5209
"Carver","Plymouth County","MA","Carver",1992,10.7,557,4668,5225
"Carver","Plymouth County","MA","Carver",1993,9.3,494,4810,5304
"Carver","Plymouth County","MA","Carver",1994,7.2,380,4887,5267
"Carver","Plymouth County","MA","Carver",1995,7,371,4917,5288
"Carver","Plymouth County","MA","Carver",1996,5.6,303,5063,5366
"Carver","Plymouth County","MA","Carver",1997,5.5,306,5248,5554
"Carver","Plymouth County","MA","Carver",1998,4,227,5409,5636
"Carver","Plymouth County","MA","Carver",1999,3.8,217,5557,5774
"Carver","Plymouth County","MA","Carver",2000,2.9,175,5856,6031
"Carver","Plymouth County","MA","Carver",2001,3.8,232,5875,6107
"Carver","Plymouth County","MA","Carver",2002,4.9,302,5824,6126
"Carver","Plymouth County","MA","Carver",2003,6.2,381,5769,6150
"Carver","Plymouth County","MA","Carver",2004,5.4,332,5791,6123
"Carver","Plymouth County","MA","Carver",2005,5.3,327,5888,6215
"Carver","Plymouth County","MA","Carver",2006,5.1,318,5874,6192
"Carver","Plymouth County","MA","Carver",2007,5.1,324,5986,6310
"Carver","Plymouth County","MA","Carver",2008,5.9,377,6019,6396
"Carver","Plymouth County","MA","Carver",2009,8.9,571,5851,6422
"Carver","Plymouth County","MA","Carver",2010,9.2,572,5676,6248
"Carver","Plymouth County","MA","Carver",2011,7.9,492,5733,6225
"Carver","Plymouth County","MA","Carver",2012,7,437,5796,6233
"Charlemont","Franklin County","MA","Charlemont",1990,7,46,610,656
"Charlemont","Franklin County","MA","Charlemont",1991,9.5,62,594,656
"Charlemont","Franklin County","MA","Charlemont",1992,10.5,70,598,668
"Charlemont","Franklin County","MA","Charlemont",1993,9,59,597,656
"Charlemont","Franklin County","MA","Charlemont",1994,7.8,51,600,651
"Charlemont","Franklin County","MA","Charlemont",1995,5.2,34,618,652
"Charlemont","Franklin County","MA","Charlemont",1996,5.5,36,620,656
"Charlemont","Franklin County","MA","Charlemont",1997,6,40,632,672
"Charlemont","Franklin County","MA","Charlemont",1998,4.7,32,644,676
"Charlemont","Franklin County","MA","Charlemont",1999,4.7,32,655,687
"Charlemont","Franklin County","MA","Charlemont",2000,2.7,21,758,779
"Charlemont","Franklin County","MA","Charlemont",2001,3,24,767,791
"Charlemont","Franklin County","MA","Charlemont",2002,4.3,35,776,811
"Charlemont","Franklin County","MA","Charlemont",2003,5,41,776,817
"Charlemont","Franklin County","MA","Charlemont",2004,4.7,38,768,806
"Charlemont","Franklin County","MA","Charlemont",2005,3.9,31,762,793
"Charlemont","Franklin County","MA","Charlemont",2006,3.8,30,760,790
"Charlemont","Franklin County","MA","Charlemont",2007,4.7,37,751,788
"Charlemont","Franklin County","MA","Charlemont",2008,4.7,37,745,782
"Charlemont","Franklin County","MA","Charlemont",2009,7.1,56,728,784
"Charlemont","Franklin County","MA","Charlemont",2010,7.4,54,677,731
"Charlemont","Franklin County","MA","Charlemont",2011,6.6,48,678,726
"Charlemont","Franklin County","MA","Charlemont",2012,6.5,47,680,727
"Charlton","Worcester County","MA","Charlton",1990,6.1,319,4887,5206
"Charlton","Worcester County","MA","Charlton",1991,9.1,469,4664,5133
"Charlton","Worcester County","MA","Charlton",1992,9.6,565,5317,5882
"Charlton","Worcester County","MA","Charlton",1993,6.8,414,5672,6086
"Charlton","Worcester County","MA","Charlton",1994,5,313,5910,6223
"Charlton","Worcester County","MA","Charlton",1995,5.9,316,5062,5378
"Charlton","Worcester County","MA","Charlton",1996,4.8,258,5172,5430
"Charlton","Worcester County","MA","Charlton",1997,4,222,5339,5561
"Charlton","Worcester County","MA","Charlton",1998,3.9,223,5483,5706
"Charlton","Worcester County","MA","Charlton",1999,3.4,193,5542,5735
"Charlton","Worcester County","MA","Charlton",2000,2.5,157,6076,6233
"Charlton","Worcester County","MA","Charlton",2001,3.5,225,6169,6394
"Charlton","Worcester County","MA","Charlton",2002,5.5,363,6225,6588
"Charlton","Worcester County","MA","Charlton",2003,6,405,6318,6723
"Charlton","Worcester County","MA","Charlton",2004,5.5,373,6373,6746
"Charlton","Worcester County","MA","Charlton",2005,5.2,352,6446,6798
"Charlton","Worcester County","MA","Charlton",2006,5,341,6517,6858
"Charlton","Worcester County","MA","Charlton",2007,5,340,6526,6866
"Charlton","Worcester County","MA","Charlton",2008,5.5,372,6387,6759
"Charlton","Worcester County","MA","Charlton",2009,8.7,591,6230,6821
"Charlton","Worcester County","MA","Charlton",2010,8.3,582,6421,7003
"Charlton","Worcester County","MA","Charlton",2011,7.4,515,6478,6993
"Charlton","Worcester County","MA","Charlton",2012,7.3,507,6476,6983
"Chatham","Barnstable County","MA","Chatham",1990,4,114,2771,2885
"Chatham","Barnstable County","MA","Chatham",1991,7.9,224,2616,2840
"Chatham","Barnstable County","MA","Chatham",1992,8.3,227,2521,2748
"Chatham","Barnstable County","MA","Chatham",1993,7.2,199,2565,2764
"Chatham","Barnstable County","MA","Chatham",1994,7.1,194,2550,2744
"Chatham","Barnstable County","MA","Chatham",1995,5.9,179,2848,3027
"Chatham","Barnstable County","MA","Chatham",1996,5,152,2909,3061
"Chatham","Barnstable County","MA","Chatham",1997,4.5,138,2940,3078
"Chatham","Barnstable County","MA","Chatham",1998,3.8,119,2994,3113
"Chatham","Barnstable County","MA","Chatham",1999,3.6,117,3108,3225
"Chatham","Barnstable County","MA","Chatham",2000,3.1,99,3057,3156
"Chatham","Barnstable County","MA","Chatham",2001,3.5,114,3098,3212
"Chatham","Barnstable County","MA","Chatham",2002,4,133,3153,3286
"Chatham","Barnstable County","MA","Chatham",2003,4.4,147,3225,3372
"Chatham","Barnstable County","MA","Chatham",2004,4.4,152,3270,3422
"Chatham","Barnstable County","MA","Chatham",2005,4.5,155,3276,3431
"Chatham","Barnstable County","MA","Chatham",2006,4.5,155,3283,3438
"Chatham","Barnstable County","MA","Chatham",2007,4.5,153,3275,3428
"Chatham","Barnstable County","MA","Chatham",2008,5.4,187,3258,3445
"Chatham","Barnstable County","MA","Chatham",2009,7.6,264,3191,3455
"Chatham","Barnstable County","MA","Chatham",2010,7.9,251,2936,3187
"Chatham","Barnstable County","MA","Chatham",2011,7.1,225,2932,3157
"Chatham","Barnstable County","MA","Chatham",2012,6.8,217,2982,3199
"Chelmsford","Middlesex County","MA","Chelmsford",1990,5.4,1084,19116,20200
"Chelmsford","Middlesex County","MA","Chelmsford",1991,7.6,1521,18513,20034
"Chelmsford","Middlesex County","MA","Chelmsford",1992,8,1606,18445,20051
"Chelmsford","Middlesex County","MA","Chelmsford",1993,6.8,1363,18604,19967
"Chelmsford","Middlesex County","MA","Chelmsford",1994,5.6,1110,18837,19947
"Chelmsford","Middlesex County","MA","Chelmsford",1995,4.3,837,18766,19603
"Chelmsford","Middlesex County","MA","Chelmsford",1996,3.1,613,19441,20054
"Chelmsford","Middlesex County","MA","Chelmsford",1997,2.8,577,20183,20760
"Chelmsford","Middlesex County","MA","Chelmsford",1998,2.5,529,20662,21191
"Chelmsford","Middlesex County","MA","Chelmsford",1999,2.6,567,21292,21859
"Chelmsford","Middlesex County","MA","Chelmsford",2000,2.1,410,18713,19123
"Chelmsford","Middlesex County","MA","Chelmsford",2001,3.1,607,18740,19347
"Chelmsford","Middlesex County","MA","Chelmsford",2002,5.4,1050,18346,19396
"Chelmsford","Middlesex County","MA","Chelmsford",2003,5.7,1101,18180,19281
"Chelmsford","Middlesex County","MA","Chelmsford",2004,4.6,868,18028,18896
"Chelmsford","Middlesex County","MA","Chelmsford",2005,4,758,18152,18910
"Chelmsford","Middlesex County","MA","Chelmsford",2006,3.9,742,18106,18848
"Chelmsford","Middlesex County","MA","Chelmsford",2007,3.7,708,18325,19033
"Chelmsford","Middlesex County","MA","Chelmsford",2008,4.4,843,18426,19269
"Chelmsford","Middlesex County","MA","Chelmsford",2009,7,1345,17734,19079
"Chelmsford","Middlesex County","MA","Chelmsford",2010,7,1325,17705,19030
"Chelmsford","Middlesex County","MA","Chelmsford",2011,6,1143,17896,19039
"Chelmsford","Middlesex County","MA","Chelmsford",2012,5.6,1076,18094,19170
"Chelsea","Suffolk County","MA","Chelsea",1990,8.7,1131,11886,13017
"Chelsea","Suffolk County","MA","Chelsea",1991,11.6,1451,11106,12557
"Chelsea","Suffolk County","MA","Chelsea",1992,12.2,1457,10506,11963
"Chelsea","Suffolk County","MA","Chelsea",1993,9.7,1113,10409,11522
