"Municipal","F_year","Total Budget","Residential","Open Space","Commercial","Industrial","Personal Property","Total Levy"
"Gloucester","2012",104345683.02,55640839,0,3884206,2083973,1418030,63027048
"Gloucester","2013",109062181.33,57385588,0,3978824,2152755,1505935,65023102
"Goshen","2003",1929064.77,1304610,0,31056,10967,22756,1369389
"Goshen","2004",2040069.2,1387573,0,31628,14677,26490,1460368
"Goshen","2005",2116588.68,1478460,0,33197,13248,26433,1551338
"Goshen","2006",2622262.85,1526666,0,34072,21669,23864,1606271
"Goshen","2007",2948616.38,1516512,0,35874,20758,23663,1596807
"Goshen","2008",2199029.25,1562817,0,38130,21000,21924,1643871
"Goshen","2009",2828363.66,1636226,0,40779,22222,35943,1735170
"Goshen","2010",2981567.2,1708137,0,35095,22910,48954,1815096
"Goshen","2011",3036513.21,1762773,0,34543,26798,45639,1869753
"Goshen","2012",2825079.35,1813897,0,34471,24810,44442,1917620
"Goshen","2013",2772857.44,1842504,0,34658,29304,46640,1953106
"Gosnold","2003",949215.79,306904,0,6321,786,1003,315014
"Gosnold","2004",951695.18,318190,0,6481,806,806,326283
"Gosnold","2005",997614.58,326075,0,6620,843,586,334124
"Gosnold","2006",1073114.42,382846,0,5202,952,429,389429
"Gosnold","2007",1246966.96,471380,0,6405,1172,528,479485
"Gosnold","2008",1483631.68,469621,0,5477,1233,1689,478020
"Gosnold","2009",1329086.81,493726,0,5689,1283,1767,502465
"Gosnold","2010",1224367.58,502750,0,5753,1297,1786,511586
"Gosnold","2011",1255063.32,526887,0,6091,1377,2016,536371
"Gosnold","2012",1387149.11,594094,0,6868,1553,2263,604778
"Gosnold","2013",1328987.5,604847,0,6993,1581,2304,615725
"Grafton","2003",29080127.72,14310117,0,757899,488136,469449,16025601
"Grafton","2004",32913154.46,16448407,0,655080,430520,381115,17915122
"Grafton","2005",35028394.08,17929144,0,619611,427123,376626,19352504
"Grafton","2006",39272069.82,18988208,0,702293,467809,394180,20552490
"Grafton","2007",41540248.01,20950262,0,829131,452613,386259,22618265
"Grafton","2008",43246209.68,21929509,0,824450,509055,396685,23659699
"Grafton","2009",44090720.86,22917593,0,1028328,606933,523614,25076468
"Grafton","2010",44278881.41,24263786,0,1175201,691951,651610,26782548
"Grafton","2011",47000525.88,25521722,0,1296481,732061,705725,28255989
"Grafton","2012",49112387.91,27113856,0,1360273,786143,763629,30023901
"Grafton","2013",54244616.65,28930786,0,1443442,843669,827083,32044980
"Granby","2003",12584886.09,5128625,0,223834,39476,112890,5504825
"Granby","2004",14784500.38,5342969,0,307992,40625,100563,5792149
"Granby","2005",13544692.52,6107758,0,297984,37667,113310,6556719
"Granby","2006",14328840.9,6472831,0,302029,40942,101834,6917636
"Granby","2007",18160150.08,6979919,0,321864,41404,113742,7456929
"Granby","2008",18144369.82,7287290,0,309618,42659,119780,7759347
"Granby","2009",23872679.36,7590607,0,329510,43727,132650,8096494
"Granby","2010",18555810.54,7845175,0,355024,52683,175812,8428694
"Granby","2011",18789525.64,8102482,0,374950,55383,212411,8745226
"Granby","2012",19838065.1,8344312,0,379577,68876,296452,9089217
"Granby","2013",19445669.17,8634492,0,398397,70916,303309,9407114
"Granville","2003",4023638.4,1506040,0,86931,26453,166933,1786357
"Granville","2004",4120306.06,1613117,0,77041,25006,143038,1858202
"Granville","2005",4182171.06,1657195,0,85780,24740,142112,1909827
"Granville","2006",4419181.46,1757538,0,90666,23461,129157,2000822
"Granville","2007",4445681.01,1596926,0,81925,19204,118431,1816486
"Granville","2008",4845673.87,1914429,0,89593,20413,136554,2160989
"Granville","2009",4794379.22,1862918,0,91627,21444,152104,2128093
"Granville","2010",4620421.14,2020108,0,109365,30689,161928,2322090
"Granville","2011",4626640.26,2096126,0,105918,29576,175923,2407543
"Granville","2012",4643528.53,2137252,0,107781,32104,185572,2462709
"Granville","2013",3211931.79,1958755,0,99799,32868,251015,2342437
"Great Barrington","2003",15504326.81,8363916,0,1945313,141961,374931,10826121
"Great Barrington","2004",16116458.08,9226657,0,2100302,162323,346446,11835728
"Great Barrington","2005",17754292.6,10023684,0,2303945,167448,367361,12862438
"Great Barrington","2006",19230094.09,10830731,0,2544452,183157,338148,13896488
"Great Barrington","2007",20362557.2,11302631,0,2399712,198371,307741,14208455
"Great Barrington","2008",21484145.53,12200590,0,2486184,209499,344651,15240924
"Great Barrington","2009",22483044.7,12962974,0,2637110,218015,396681,16214780
"Great Barrington","2010",22520583.49,13424039,0,2726760,144555,420921,16716275
"Great Barrington","2011",23306343.11,13499214,0,2853415,126385,447959,16926973
"Great Barrington","2012",24045234.11,14049897,0,3060848,131914,490620,17733279
"Great Barrington","2013",24385910.74,14173775,0,3091700,131174,485360,17882009
"Greenfield","2003",42850666.3,14407626,0,3620654,532610,672930,19233820
"Greenfield","2004",40616572.72,15148087,0,3707515,546941,682708,20085251
"Greenfield","2005",42450257.39,16029898,0,3676072,529319,584620,20819909
"Greenfield","2006",44217994.04,16509982,0,4010980,524562,564383,21609907
"Greenfield","2007",49181574.49,17417950,0,3983720,518813,572728,22493211
"Greenfield","2008",49461741.93,18140938,0,4120029,518831,603722,23383520
"Greenfield","2009",50231735.68,18458674,0,4335832,539488,702973,24036967
"Greenfield","2010",48473857.17,18659270,0,4297591,597928,708586,24263375
"Greenfield","2011",49863767.62,18655309,0,4423876,601339,759808,24440332
"Greenfield","2012",53500720.74,19499600,0,4560330,655452,914645,25630027
"Greenfield","2013",54170353.2,20238390,0,5031396,728638,1013768,27012192
"Groton","2003",24472683.87,16675575,0,441463,171839,196885,17485762
"Groton","2004",26220224.78,18653084,0,480595,184229,222370,19540278
"Groton","2005",27363844.4,19772939,0,570753,186871,212159,20742722
"Groton","2006",28793685.98,20373736,0,716518,196156,199357,21485767
"Groton","2007",30579608.77,20880637,0,893423,204887,219512,22198459
"Groton","2008",31900408.05,21689981,0,903059,196357,278692,23068089
"Groton","2009",31883038.59,21901014,0,918573,202807,370360,23392754
"Groton","2010",31860604.78,22542963,0,1023352,223484,425281,24215080
"Groton","2011",32793758.69,23015611,0,1004591,206687,432747,24659636
"Groton","2012",32518409.02,22853244,0,973729,204851,418423,24450247
"Groton","2013",34455956.61,23822296,0,988916,203049,425898,25440159
"Groveland","2003",9758059.55,6324622,0,202525,224001,134419,6885567
"Groveland","2004",10056071.39,6741317,0,232669,262070,119001,7355057
"Groveland","2005",11037320.6,7315876,0,229510,250804,114928,7911118
"Groveland","2006",12133125.08,7912032,0,237654,259316,157206,8566208
"Groveland","2007",13302368.54,8423063,0,258184,274120,168903,9124270
"Groveland","2008",13607827.39,8853454,0,271160,289120,198252,9611986
"Groveland","2009",14552844.13,8861286,0,291699,312528,244685,9710198
"Groveland","2010",14415177.61,9369093,0,295431,308277,258863,10231664
"Groveland","2011",14295633.53,9640763,0,293937,292301,299518,10526519
"Groveland","2012",14334419.85,9930557,0,297849,304718,276963,10810087
"Groveland","2013",15257200.02,10464190,0,333835,316537,408340,11522902
"Hadley","2003",11339629.16,4154601,0,2026966,188613,137399,6507579
"Hadley","2004",11754060.5,4286140,0,2084794,196636,146283,6713853
"Hadley","2005",12264522.36,4623646,0,2174894,209717,109309,7117566
"Hadley","2006",13215730.98,4847036,0,2142850,233670,106604,7330160
"Hadley","2007",13578814.55,5052826,0,2177389,232081,107677,7569973
"Hadley","2008",14109350.33,5245727,0,2371333,243319,113157,7973536
"Hadley","2009",15810414.42,5454369,0,2498390,250476,161526,8364761
"Hadley","2010",14881778.16,5576928,0,2621809,254025,167486,8620248
"Hadley","2011",15808189.66,6010661,0,2605208,245316,171626,9032811
"Hadley","2012",16384318.51,6144229,0,2716950,252734,183513,9297426
"Hadley","2013",16535906.86,6255282,0,2804155,258175,176769,9494381
"Halifax","2003",14737598.14,7187850,0,477313,175174,172175,8012512
"Halifax","2004",15488724.91,8002503,0,462596,133826,204317,8803242
"Halifax","2005",16730375.55,8429316,0,464014,123978,188368,9205676
"Halifax","2006",17389289.02,9530748,0,566073,125305,204580,10426706
"Halifax","2007",18609822.36,10412141,0,599639,144099,210505,11366384
"Halifax","2008",19370957.99,10822084,0,678728,165387,243448,11909647
"Halifax","2009",20177533.4,10957349,0,718946,172796,277854,12126945
"Halifax","2010",20326694.33,11304204,0,722144,187882,275567,12489797
"Halifax","2011",19651533.56,11180681,0,844069,232854,341324,12598928
"Halifax","2012",20286022.66,11793848,0,866033,242652,280510,13183043
"Halifax","2013",21804711.24,12090459,0,914962,235679,294743,13535843
"Hamilton","2003",18962973.93,13775712,0,538594,7253,123415,14444974
"Hamilton","2004",19495173.04,14428952,0,565458,7519,120366,15122295
"Hamilton","2005",20852532.97,15803604,0,639249,8497,124021,16575371
"Hamilton","2006",22551113.97,16853553,0,653448,8315,116398,17631714
"Hamilton","2007",23792846.1,17918220,0,693285,9566,114911,18735982
"Hamilton","2008",24613213.71,18860888,0,796595,11029,138938,19807450
"Hamilton","2009",26364995.72,20766126,0,879663,12543,230929,21889261
"Hamilton","2010",26748282.34,21250305,0,926657,13416,256881,22447259
"Hamilton","2011",27323137.71,21646205,0,984250,14158,265330,22909943
"Hamilton","2012",26815295.27,21140998,0,952087,12323,268553,22373961
"Hamilton","2013",26856080.92,20984360,0,911135,12216,275105,22182816
"Hampden","2003",7980195.93,5901812,0,293816,25494,198156,6419278
"Hampden","2004",8324906.11,6132410,0,292738,26154,214394,6665696
"Hampden","2005",8900473.18,6583662,0,259692,25467,174205,7043026
"Hampden","2006",8987097.15,6927735,0,244528,23944,164694,7360901
"Hampden","2007",10054668.48,7272432,0,267307,25236,162978,7727953
"Hampden","2008",9907848.54,7593417,0,273222,25811,159220,8051670
"Hampden","2009",10470784.63,7713833,0,277327,27026,199554,8217740
"Hampden","2010",10486613.86,8334595,0,302666,30956,234499,8902716
"Hampden","2011",10443420.65,8245466,0,294334,30565,231821,8802186
"Hampden","2012",11386512.79,8698375,0,338993,33096,242160,9312624
"Hampden","2013",11557683.34,8821891,0,350658,34664,297882,9505095
"Hancock","2003",1273555.5,477676,0,51897,2652,39513,571738
"Hancock","2004",1606568.85,547402,0,309936,4386,68479,930203
"Hancock","2005",1740558.28,676839,0,476308,4951,51538,1209636
"Hancock","2006",1687653.51,577493,0,413219,3793,47981,1042486
"Hancock","2007",1865104.82,603955,0,402964,3273,38947,1049139
"Hancock","2008",1759281.72,542778,0,353535,2881,33514,932708
"Hancock","2009",1832333.7,549280,0,364832,2900,33897,950909
"Hancock","2010",1843946.35,647954,0,445245,3798,40739,1137736
"Hancock","2011",1758767.82,581376,0,394738,3457,36515,1016086
"Hancock","2012",1772128.09,572264,0,364544,2580,38839,978227
"Hancock","2013",1777878.41,502661,0,303083,1840,31471,839055
"Hanover","2003",38250196.08,19546821,0,2880795,590988,320899,23339503
"Hanover","2004",38720076.25,19704970,0,2898611,591565,368086,23563232
"Hanover","2005",40479391.86,20137981,0,2939080,558209,318851,23954121
"Hanover","2006",42881230.49,21596075,0,3124337,587828,396528,25704768
"Hanover","2007",45598494.41,22387752,0,3372022,672260,441914,26873948
"Hanover","2008",47991279.08,22812572,0,3926360,794027,467247,28000206
