"","Municipal","County","State","Region","Geography","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Lowest Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Second Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Third Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Fourth Quintile (inflation-adjusted dollars)","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)","Estimate; Quintile Means: - Lowest Quintile","Estimate; Quintile Means: - Second Quintile","Estimate; Quintile Means: - Third Quintile","Estimate; Quintile Means: - Fourth Quintile","Estimate; Quintile Means: - Highest Quintile","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars).1"
"389","Dalton","Berkshire County","MA","Dalton","Dalton town, Berkshire County, Massachusetts",2010,57222,25807,45330,66552,94238,204188,16353,34593,57189,76525,168299,278790
"390","Egremont","Berkshire County","MA","Egremont","Egremont town, Berkshire County, Massachusetts",2010,51856,27889,42789,61174,101781,242792,16789,34049,52475,79648,194818,415230
"391","Florida","Berkshire County","MA","Florida","Florida town, Berkshire County, Massachusetts",2010,53333,26875,40714,64167,76875,120833,14671,33927,51265,71456,101083,135766
"392","Great Barrington","Berkshire County","MA","Great Barrington","Great Barrington town, Berkshire County, Massachusetts",2010,52843,21479,36952,65903,96268,193286,13432,28770,50987,77875,192484,362759
"393","Hancock","Berkshire County","MA","Hancock","Hancock town, Berkshire County, Massachusetts",2010,74205,39167,65000,81875,106250,173281,21246,53325,73753,94117,149606,209729
"394","Hinsdale","Berkshire County","MA","Hinsdale","Hinsdale town, Berkshire County, Massachusetts",2010,60766,30174,50100,67034,99214,153554,20048,38075,59538,79821,158851,272941
"395","Lanesborough","Berkshire County","MA","Lanesborough","Lanesborough town, Berkshire County, Massachusetts",2010,66458,31136,59815,78974,107134,202379,18897,44427,68354,90369,190410,314727
"396","Lee","Berkshire County","MA","Lee","Lee town, Berkshire County, Massachusetts",2010,50599,21524,41644,64759,97250,152631,15399,32689,50110,82458,135656,187921
"397","Lenox","Berkshire County","MA","Lenox","Lenox town, Berkshire County, Massachusetts",2010,60604,22740,51385,75084,110539,183294,13456,36716,60772,90438,169942,264210
"398","Monterey","Berkshire County","MA","Monterey","Monterey town, Berkshire County, Massachusetts",2010,41625,29136,36203,70929,98625,233911,16915,32885,44232,81282,206054,423209
"399",NA,"Berkshire County","MA","Berkshire County","Berkshire County, Massachusetts",2010,65833,36000,55250,72375,114500,221750,11173,28591,48898,75084,160984,286836
"400","New Marlborough","Berkshire County","MA","New Marlborough","New Marlborough town, Berkshire County, Massachusetts",2010,48907,19568,38198,60827,92177,163638,12720,39146,59510,80047,176540,310296
"401","North Adams","Berkshire County","MA","North Adams","North Adams city, Berkshire County, Massachusetts",2010,69583,26000,52400,74250,101000,250000,8400,20455,36009,59683,107917,154504
"402","Otis","Berkshire County","MA","Otis","Otis town, Berkshire County, Massachusetts",2010,57917,25313,51500,67134,97857,179183,14131,42479,61247,89253,267518,515556
"403","Peru","Berkshire County","MA","Peru","Peru town, Berkshire County, Massachusetts",2010,35401,14461,27231,45789,73448,116209,17240,38283,63160,88195,128393,157594
"404","Pittsfield","Berkshire County","MA","Pittsfield","Pittsfield city, Berkshire County, Massachusetts",2010,63750,27333,51238,71821,109075,250000,9072,24931,43624,67453,140918,241761
"405","Richmond","Berkshire County","MA","Richmond","Richmond town, Berkshire County, Massachusetts",2010,66250,30375,47214,73250,100964,145219,22078,53519,83960,120539,294480,553326
"406","Sandisfield","Berkshire County","MA","Sandisfield","Sandisfield town, Berkshire County, Massachusetts",2010,43188,15649,33790,54414,84634,143720,17237,40734,61745,82879,300977,781991
"407","Savoy","Berkshire County","MA","Savoy","Savoy town, Berkshire County, Massachusetts",2010,87682,38515,68700,93577,160778,250000,18215,34353,55347,80621,138382,197204
"408","Sheffield","Berkshire County","MA","Sheffield","Sheffield town, Berkshire County, Massachusetts",2010,62411,30250,52692,70000,96750,233802,12830,28765,47673,79959,174101,303472
"409","Stockbridge","Berkshire County","MA","Stockbridge","Stockbridge town, Berkshire County, Massachusetts",2010,55500,27100,44500,67571,96375,175846,13526,36045,54919,77759,171455,329055
"410","Tyringham","Berkshire County","MA","Tyringham","Tyringham town, Berkshire County, Massachusetts",2010,47145,20962,35798,62857,96923,182452,27392,54111,93044,129410,269341,412543
"411","Washington","Berkshire County","MA","Washington","Washington town, Berkshire County, Massachusetts",2010,55096,28136,44010,66225,96052,190731,20782,49906,69139,89072,150149,227762
"412","West Stockbridge","Berkshire County","MA","West Stockbridge","West Stockbridge town, Berkshire County, Massachusetts",2010,93750,39000,71929,112333,148500,250000,14944,44164,68469,98645,184294,313441
"413","Williamstown","Berkshire County","MA","Williamstown","Williamstown town, Berkshire County, Massachusetts",2010,68906,40500,57200,76700,107000,142063,12664,33896,63900,106347,268543,560956
"414","Windsor","Berkshire County","MA","Windsor","Windsor town, Berkshire County, Massachusetts",2010,68750,33400,56583,81553,120167,181313,27126,55945,77681,103788,163798,217582
"415","Acushnet","Bristol County","MA","Acushnet","Acushnet town, Bristol County, Massachusetts",2010,63045,22300,49313,80455,138150,246475,16539,38386,65382,97033,165793,247279
"416","Attleboro","Bristol County","MA","Attleboro","Attleboro city, Bristol County, Massachusetts",2010,74750,40444,69333,94929,118045,174594,17553,42787,65103,97179,166979,247176
"417","Berkley","Bristol County","MA","Berkley","Berkley town, Bristol County, Massachusetts",2010,62457,27415,53081,79663,113030,181401,22154,53018,82281,115416,181338,266010
"418","Dartmouth","Bristol County","MA","Dartmouth","Dartmouth town, Bristol County, Massachusetts",2010,64634,31192,53000,80077,116548,174936,14714,42169,69746,101143,190064,304392
"419","Dighton","Bristol County","MA","Dighton","Dighton town, Bristol County, Massachusetts",2010,81125,34615,69167,97583,130306,203490,18146,47455,82953,107888,195021,311525
"420","Easton","Bristol County","MA","Easton","Easton town, Bristol County, Massachusetts",2010,70007,27108,56683,82413,121379,196538,20529,55010,88075,130489,244333,411540
"421","Fairhaven","Bristol County","MA","Fairhaven","Fairhaven town, Bristol County, Massachusetts",2010,83621,30295,70015,96022,130071,195464,12283,32022,54649,82797,137617,193437
"422","Fall River","Bristol County","MA","Fall River","Fall River city, Bristol County, Massachusetts",2010,86050,39040,70758,107537,158563,228222,8086,19073,34328,56816,112426,172983
"423","Freetown","Bristol County","MA","Freetown","Freetown town, Bristol County, Massachusetts",2010,54144,20994,42334,68571,97467,148750,22801,54024,83405,110479,164755,214214
"424","Mansfield","Bristol County","MA","Mansfield","Mansfield town, Bristol County, Massachusetts",2010,34236,13518,25812,44007,72622,123500,22447,54191,92653,129729,237888,374267
"425",NA,"Bristol County","MA","Bristol County","Bristol County, Massachusetts",2010,82308,39586,69192,95840,123540,193655,11705,31401,55483,86865,164995,260366
"426","New Bedford","Bristol County","MA","New Bedford","New Bedford city, Bristol County, Massachusetts",2010,94529,40980,72829,108464,152406,250000,8053,18939,36559,59910,118274,192803
"427","North Attleborough","Bristol County","MA","North Attleborough","North Attleborough town, Bristol County, Massachusetts",2010,54955,20535,43009,69449,107517,174036,20610,47899,76781,107668,192201,299083
"428","Norton","Bristol County","MA","Norton","Norton town, Bristol County, Massachusetts",2010,36172,13365,25607,47853,75100,125909,19367,49761,77424,115776,193952,290376
"429","Raynham","Bristol County","MA","Raynham","Raynham town, Bristol County, Massachusetts",2010,77669,34979,61698,90481,130156,207685,24890,49614,75415,106313,187856,281096
"430","Rehoboth","Bristol County","MA","Rehoboth","Rehoboth town, Bristol County, Massachusetts",2010,77786,34903,63249,93389,137706,199968,24881,57467,88803,128931,227782,381721
"431","Seekonk","Bristol County","MA","Seekonk","Seekonk town, Bristol County, Massachusetts",2010,75872,40571,60143,89934,124875,194835,18434,44834,75723,112116,203425,331333
"432","Somerset","Bristol County","MA","Somerset","Somerset town, Bristol County, Massachusetts",2010,87597,43377,72034,108074,149058,232071,17165,40944,66519,92824,156831,241251
"433","Swansea","Bristol County","MA","Swansea","Swansea town, Bristol County, Massachusetts",2010,76283,31620,58694,93410,129717,211646,18915,45158,68589,98105,181835,321762
"434","Taunton","Bristol County","MA","Taunton","Taunton city, Bristol County, Massachusetts",2010,67077,28848,52966,80329,106808,160375,12649,33004,54487,83660,139522,191577
"435","Westport","Bristol County","MA","Westport","Westport town, Bristol County, Massachusetts",2010,68773,32269,57259,81940,113641,179737,16200,42418,68764,97459,195484,346304
"436","Chilmark","Dukes County","MA","Chilmark","Chilmark town, Dukes County, Massachusetts",2010,53600,22266,44056,67565,101218,155332,14925,39693,72805,119571,409346,887058
"437","Edgartown","Dukes County","MA","Edgartown","Edgartown town, Dukes County, Massachusetts",2010,68713,30461,56360,82877,113722,207849,19727,42348,66662,94532,245148,428190
"438",NA,"Dukes County","MA","Dukes County","Dukes County, Massachusetts",2010,57500,19667,44125,78857,142000,231500,15485,39326,64423,94800,216238,392918
"439","Oak Bluffs","Dukes County","MA","Oak Bluffs","Oak Bluffs town, Dukes County, Massachusetts",2010,72917,28542,58182,89167,144167,250000,14452,34837,59676,89056,179134,293323
"440","Tisbury","Dukes County","MA","Tisbury","Tisbury town, Dukes County, Massachusetts",2010,67625,32242,50676,79203,127591,250000,12662,36790,60912,95995,170487,283213
"441","West Tisbury","Dukes County","MA","West Tisbury","West Tisbury town, Dukes County, Massachusetts",2010,46250,20875,35444,54556,90100,189000,18011,50073,69712,99946,207207,339020
"442","Amesbury","Essex County","MA","Amesbury","Amesbury Town city, Essex County, Massachusetts",2010,62407,27119,50689,77572,118451,230924,17392,46152,75036,106753,205866,372649
"443","Andover","Essex County","MA","Andover","Andover town, Essex County, Massachusetts",2010,59156,23667,44463,76629,105750,211713,22708,65350,110638,164218,332268,595459
"444","Beverly","Essex County","MA","Beverly","Beverly city, Essex County, Massachusetts",2010,58551,25308,52735,75548,111648,173185,13368,40966,67782,107556,214982,361999
"445","Boxford","Essex County","MA","Boxford","Boxford town, Essex County, Massachusetts",2010,71667,37556,60103,76917,132781,250000,41241,95565,146728,216381,528563,1024507
"446","Danvers","Essex County","MA","Danvers","Danvers town, Essex County, Massachusetts",2010,74968,31592,61325,88254,126181,204563,18369,48524,75292,114512,227244,380377
"447","Essex","Essex County","MA","Essex","Essex town, Essex County, Massachusetts",2010,111002,44015,86203,138329,201611,250000,24290,50886,78402,116799,250622,497066
"448","Georgetown","Essex County","MA","Georgetown","Georgetown town, Essex County, Massachusetts",2010,66671,26389,54057,85584,134378,225084,27917,62885,101840,143375,241405,360564
"449","Gloucester","Essex County","MA","Gloucester","Gloucester city, Essex County, Massachusetts",2010,143045,77971,110727,183489,250000,250000,13948,34854,60306,91653,193094,339236
"450","Groveland","Essex County","MA","Groveland","Groveland town, Essex County, Massachusetts",2010,75310,33020,61843,92118,140813,233298,21309,59114,84726,115609,197714,280295
"451","Hamilton","Essex County","MA","Hamilton","Hamilton town, Essex County, Massachusetts",2010,76989,34080,65809,95633,135618,222607,15145,47207,94536,137079,227192,319337
"452","Haverhill","Essex County","MA","Haverhill","Haverhill city, Essex County, Massachusetts",2010,101875,48000,78891,125107,173987,250000,13873,36629,62396,92595,160728,235173
"453","Ipswich","Essex County","MA","Ipswich","Ipswich town, Essex County, Massachusetts",2010,60506,24059,46412,74712,111832,209585,20486,49054,79773,119275,216312,323125
"454","Lawrence","Essex County","MA","Lawrence","Lawrence city, Essex County, Massachusetts",2010,84232,43977,71961,96434,134167,227380,6846,17290,32858,55815,111825,177044
"455","Lynn","Essex County","MA","Lynn","Lynn city, Essex County, Massachusetts",2010,99732,29479,72475,117377,161292,247178,7458,23846,43085,69195,131394,199252
"456","Lynnfield","Essex County","MA","Lynnfield","Lynnfield town, Essex County, Massachusetts",2010,61956,24453,49579,76737,110641,176220,19997,53748,88935,141197,269515,400174
"457","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","Manchester-by-the-Sea town, Essex County, Massachusetts",2010,80816,35013,62956,98341,146292,225916,16886,49102,100093,148964,428068,781086
"458","Marblehead","Essex County","MA","Marblehead","Marblehead town, Essex County, Massachusetts",2010,31631,11399,24206,44073,70022,120813,20206,55542,96498,153965,362963,663456
"459","Merrimac","Essex County","MA","Merrimac","Merrimac town, Essex County, Massachusetts",2010,43200,14549,33170,53820,87307,139687,24687,50858,76460,107590,210163,368021
"460","Methuen","Essex County","MA","Methuen","Methuen Town city, Essex County, Massachusetts",2010,87590,36918,72672,114738,176643,250000,14020,36602,61782,96954,165652,234021
"461","Middleton","Essex County","MA","Middleton","Middleton town, Essex County, Massachusetts",2010,105000,31599,70672,120411,198867,250000,23426,52943,84683,120512,250410,377650
"462",NA,"Essex County","MA","Essex County","Essex County, Massachusetts",2010,97097,37178,75533,116172,196266,250000,12676,36586,64480,101616,214879,369100
"463","Nahant","Essex County","MA","Nahant","Nahant town, Essex County, Massachusetts",2010,75517,36856,61985,88837,124898,203017,18168,49566,83996,137937,283439,463667
"464","Newbury","Essex County","MA","Newbury","Newbury town, Essex County, Massachusetts",2010,61822,25040,48004,78075,117403,178595,20246,51564,90771,140718,262193,428530
"465","Newburyport","Essex County","MA","Newburyport","Newburyport city, Essex County, Massachusetts",2010,87728,36492,69549,93319,152320,250000,16137,44680,76938,124237,244869,384354
"466","North Andover","Essex County","MA","North Andover","North Andover town, Essex County, Massachusetts",2010,64153,23973,50068,80556,126992,226383,19687,56862,93511,144201,297336,493765
"467","Peabody","Essex County","MA","Peabody","Peabody city, Essex County, Massachusetts",2010,81831,32280,66162,104159,165260,250000,14163,38154,64767,94850,171245,261145
"468","Rockport","Essex County","MA","Rockport","Rockport town, Essex County, Massachusetts",2010,91052,38229,68472,117833,166923,250000,16099,41693,71819,116601,224413,382656
"469","Rowley","Essex County","MA","Rowley","Rowley town, Essex County, Massachusetts",2010,76300,31025,58980,97563,158302,250000,22615,54150,78395,117734,216581,316886
"470","Salem","Essex County","MA","Salem","Salem city, Essex County, Massachusetts",2010,91741,36626,75090,116125,182539,250000,12133,32233,57160,86584,164391,261062
"471","Salisbury","Essex County","MA","Salisbury","Salisbury town, Essex County, Massachusetts",2010,65515,26537,51344,77641,115606,182434,11989,38260,61522,90580,186351,321685
"472","Saugus","Essex County","MA","Saugus","Saugus town, Essex County, Massachusetts",2010,70625,29654,52904,95200,139196,207915,15067,41623,70851,104012,196884,335160
"473","Swampscott","Essex County","MA","Swampscott","Swampscott town, Essex County, Massachusetts",2010,74911,41223,65822,99269,138538,222726,16997,57060,92432,134182,292680,501035
"474","Topsfield","Essex County","MA","Topsfield","Topsfield town, Essex County, Massachusetts",2010,56979,21648,44643,70658,105997,173955,27906,70875,114698,167971,286867,420101
"475","Wenham","Essex County","MA","Wenham","Wenham town, Essex County, Massachusetts",2010,62917,22844,49757,73265,109389,181500,17543,62392,128056,185253,514661,932968
"476","West Newbury","Essex County","MA","West Newbury","West Newbury town, Essex County, Massachusetts",2010,71023,28267,55916,88003,126568,189980,28503,64033,114581,156832,340060,612314
"477","Ashfield","Franklin County","MA","Ashfield","Ashfield town, Franklin County, Massachusetts",2010,90763,34925,78048,110868,171655,250000,16302,42326,62321,88810,176765,272142
"478","Bernardston","Franklin County","MA","Bernardston","Bernardston town, Franklin County, Massachusetts",2010,115015,49600,94020,133486,210120,250000,15907,31239,51948,78257,149523,226616
"479","Buckland","Franklin County","MA","Buckland","Buckland town, Franklin County, Massachusetts",2010,132697,34940,98929,144500,250000,250000,13811,32059,50933,83364,137638,191378
"480","Charlemont","Franklin County","MA","Charlemont","Charlemont town, Franklin County, Massachusetts",2010,111739,45450,91152,138244,190477,250000,14179,35613,56670,80004,129057,188916
"481","Colrain","Franklin County","MA","Colrain","Colrain town, Franklin County, Massachusetts",2010,63438,30676,49833,73467,115333,190708,18294,37759,57120,77633,152912,274384
"482","Conway","Franklin County","MA","Conway","Conway town, Franklin County, Massachusetts",2010,52875,24915,38217,67250,98739,149938,16480,48235,77480,97943,188471,332810
"483","Deerfield","Franklin County","MA","Deerfield","Deerfield town, Franklin County, Massachusetts",2010,49485,23294,39438,64750,98867,157057,16370,42427,63652,93134,173442,287682
"484","Erving","Franklin County","MA","Erving","Erving town, Franklin County, Massachusetts",2010,59063,23333,45500,67500,96250,132708,14015,32633,50779,71757,116840,162500
"485","Gill","Franklin County","MA","Gill","Gill town, Franklin County, Massachusetts",2010,58611,30604,47521,65690,92350,155917,17715,42538,59145,85409,148638,212181
"486","Greenfield","Franklin County","MA","Greenfield","Greenfield Town city, Franklin County, Massachusetts",2010,78309,32250,66219,86000,110786,229292,11248,28008,45314,67582,116945,175473
"487","Hawley","Franklin County","MA","Hawley","Hawley town, Franklin County, Massachusetts",2010,61912,31786,51429,77880,113243,177885,15318,42535,65459,99653,165706,212682
"488","Heath","Franklin County","MA","Heath","Heath town, Franklin County, Massachusetts",2010,51458,23722,41917,58050,82354,127833,12557,31423,65957,85572,193663,418304
"489","Leverett","Franklin County","MA","Leverett","Leverett town, Franklin County, Massachusetts",2010,58487,29125,51859,68667,106813,171792,19105,45931,68267,103582,221106,390214
"490","Leyden","Franklin County","MA","Leyden","Leyden town, Franklin County, Massachusetts",2010,45261,18787,37058,55877,80404,129446,17834,43210,72166,89943,137517,185381
"491","Montague","Franklin County","MA","Montague","Montague town, Franklin County, Massachusetts",2010,65313,28750,52188,76250,133750,181563,9495,25681,42235,70048,126994,197861
"492",NA,"Franklin County","MA","Franklin County","Franklin County, Massachusetts",2010,68875,22000,44400,72219,94500,198042,12747,32322,52439,77766,142525,221062
"493","New Salem","Franklin County","MA","New Salem","New Salem town, Franklin County, Massachusetts",2010,69702,35538,53063,81143,122357,250000,22716,46180,63829,89188,166065,277418
"494","Northfield","Franklin County","MA","Northfield","Northfield town, Franklin County, Massachusetts",2010,74531,29700,56625,81500,98867,171573,21207,45410,69509,95518,148281,195861
"495","Orange","Franklin County","MA","Orange","Orange town, Franklin County, Massachusetts",2010,30833,14500,26389,36250,65000,68750,11552,24072,42901,63894,111839,156014
"496","Rowe","Franklin County","MA","Rowe","Rowe town, Franklin County, Massachusetts",2010,42140,15584,34149,52409,87008,132706,18454,30600,45744,67381,120246,146200
"497","Shelburne","Franklin County","MA","Shelburne","Shelburne town, Franklin County, Massachusetts",2010,52002,21671,41782,64594,93363,149741,15693,36904,62826,91094,148811,205186
"498","Shutesbury","Franklin County","MA","Shutesbury","Shutesbury town, Franklin County, Massachusetts",2010,61471,39250,54769,77750,105929,180750,21191,48385,70056,105222,189081,285883
"499","Sunderland","Franklin County","MA","Sunderland","Sunderland town, Franklin County, Massachusetts",2010,70606,34231,56716,82547,115543,149620,11771,32390,53738,83458,171375,282849
"500","Warwick","Franklin County","MA","Warwick","Warwick town, Franklin County, Massachusetts",2010,42809,17721,32232,54664,74478,140650,21143,41034,62248,78456,129616,183814
"501","Wendell","Franklin County","MA","Wendell","Wendell town, Franklin County, Massachusetts",2010,46250,28000,35563,57625,76917,134313,14512,32995,59141,90787,141901,188419
"502","Whately","Franklin County","MA","Whately","Whately town, Franklin County, Massachusetts",2010,63542,25537,49143,77375,112583,157221,23062,48432,72343,93874,146503,190111
"503","Agawam","Hampden County","MA","Agawam","Agawam Town city, Hampden County, Massachusetts",2010,67500,35658,58472,86053,126071,229167,14142,39303,62305,89172,156001,245944
"504","Blandford","Hampden County","MA","Blandford","Blandford town, Hampden County, Massachusetts",2010,53945,23929,41696,64729,108125,203730,23359,52048,71600,94521,195201,389531
"505","Brimfield","Hampden County","MA","Brimfield","Brimfield town, Hampden County, Massachusetts",2010,67554,31577,48893,70917,93000,146031,23279,43423,74827,106508,156558,203309
"506","Chester","Hampden County","MA","Chester","Chester town, Hampden County, Massachusetts",2010,59500,21711,46346,70227,110000,146719,14555,37747,56807,84529,131094,197382
"507","Chicopee","Hampden County","MA","Chicopee","Chicopee city, Hampden County, Massachusetts",2010,74018,37833,59625,81429,112656,164792,10315,25057,44349,68034,119154,169800
"508","East Longmeadow","Hampden County","MA","East Longmeadow","East Longmeadow town, Hampden County, Massachusetts",2010,62664,26738,50660,75131,103773,161076,19851,47733,77234,113765,217605,371886
"509","Granville","Hampden County","MA","Granville","Granville town, Hampden County, Massachusetts",2010,72188,39536,60850,80667,110750,164486,20105,50074,70215,93899,181095,324356
"510","Hampden","Hampden County","MA","Hampden","Hampden town, Hampden County, Massachusetts",2010,75625,34151,56825,88808,122818,170193,21586,49290,79921,114237,212435,362392
"511","Holland","Hampden County","MA","Holland","Holland town, Hampden County, Massachusetts",2010,55208,24950,47286,71000,98675,126938,18444,39542,68470,96229,150469,232315
"512","Holyoke","Hampden County","MA","Holyoke","Holyoke city, Hampden County, Massachusetts",2010,44226,17225,34702,54668,83280,124822,6749,14969,31963,55266,110598,163423
"513","Longmeadow","Hampden County","MA","Longmeadow","Longmeadow town, Hampden County, Massachusetts",2010,77956,33500,60400,93533,134662,227692,22967,58067,93466,135659,372340,775774
"514","Ludlow","Hampden County","MA","Ludlow","Ludlow town, Hampden County, Massachusetts",2010,69125,36625,59667,82200,115850,177625,17000,39175,61096,85130,149799,235351
"515","Monson","Hampden County","MA","Monson","Monson town, Hampden County, Massachusetts",2010,78869,37907,67258,94488,136636,250000,17606,44554,71700,101519,157673,215282
"516","Montgomery","Hampden County","MA","Montgomery","Montgomery town, Hampden County, Massachusetts",2010,67596,31270,52333,85026,107974,156804,28161,48104,74624,110411,234343,509741
"517",NA,"Hampden County","MA","Hampden County","Hampden County, Massachusetts",2010,31948,10146,21791,42741,73097,123738,9845,26186,47875,76313,151112,251761
"518","Palmer","Hampden County","MA","Palmer","Palmer Town city, Hampden County, Massachusetts",2010,92862,39765,73776,111304,171667,250000,12213,30208,50374,77928,150563,262950
"519","Russell","Hampden County","MA","Russell","Russell town, Hampden County, Massachusetts",2010,61008,28230,49707,73221,102674,155531,17723,40931,58927,87013,136095,169155
"520","Southwick","Hampden County","MA","Southwick","Southwick town, Hampden County, Massachusetts",2010,73004,31466,58137,86394,116436,167375,18194,43114,72420,97692,176814,256891
"521","Springfield","Hampden County","MA","Springfield","Springfield city, Hampden County, Massachusetts",2010,73438,38909,58923,89816,129316,169031,7657,19027,34999,59191,112823,174502
"522","Tolland","Hampden County","MA","Tolland","Tolland town, Hampden County, Massachusetts",2010,47724,17095,36245,60548,94192,156254,22465,48635,59291,84446,200321,321727
"523","Wales","Hampden County","MA","Wales","Wales town, Hampden County, Massachusetts",2010,50638,20386,40346,61511,92046,147547,19177,42913,65029,96895,169707,260716
"524","West Springfield","Hampden County","MA","West Springfield","West Springfield Town city, Hampden County, Massachusetts",2010,57750,31775,49594,71333,103250,151625,11747,29459,51441,77353,148638,241441
"525","Westfield","Hampden County","MA","Westfield","Westfield city, Hampden County, Massachusetts",2010,72331,30629,59732,83308,123960,204528,10756,28961,51860,83096,163148,267262
"526","Wilbraham","Hampden County","MA","Wilbraham","Wilbraham town, Hampden County, Massachusetts",2010,34628,13151,26117,45330,75017,117282,19347,55367,90222,127537,216836,313207
"527","Amherst","Hampshire County","MA","Amherst","Amherst town, Hampshire County, Massachusetts",2010,55714,39417,53609,71400,114625,197068,9040,23925,50315,95212,209446,375170
"528","Belchertown","Hampshire County","MA","Belchertown","Belchertown town, Hampshire County, Massachusetts",2010,63800,31684,53622,79574,113545,165917,18061,46609,76434,104662,182047,291239
"529","Chesterfield","Hampshire County","MA","Chesterfield","Chesterfield town, Hampshire County, Massachusetts",2010,51358,20953,38905,62853,92142,150344,21017,42520,58703,83261,168114,296820
"530","Cummington","Hampshire County","MA","Cummington","Cummington town, Hampshire County, Massachusetts",2010,51620,19175,40154,66142,102309,171406,15881,33251,57470,85253,168906,316629
"531","Easthampton","Hampshire County","MA","Easthampton","Easthampton Town city, Hampshire County, Massachusetts",2010,89336,34440,75868,104367,151954,232155,12923,33049,54443,83788,136814,196914
"532","Goshen","Hampshire County","MA","Goshen","Goshen town, Hampshire County, Massachusetts",2010,50063,15900,33417,70139,119591,221644,20563,48710,73685,93130,155663,233960
"533","Granby","Hampshire County","MA","Granby","Granby town, Hampshire County, Massachusetts",2010,77090,31740,58549,91227,121174,189504,17928,41987,68068,95626,140874,172765
"534","Hadley","Hampshire County","MA","Hadley","Hadley town, Hampshire County, Massachusetts",2010,58750,36179,50056,68725,102833,158175,14895,38627,67110,93146,156091,237813
"535","Hatfield","Hampshire County","MA","Hatfield","Hatfield town, Hampshire County, Massachusetts",2010,60000,23948,45500,69350,102167,173313,10768,31059,54896,87657,177772,294947
"536","Huntington","Hampshire County","MA","Huntington","Huntington town, Hampshire County, Massachusetts",2010,54657,22148,42681,71313,98403,151537,13673,35715,60050,87709,151841,241293
"537",NA,"Hampshire County","MA","Hampshire County","Hampshire County, Massachusetts",2010,70625,35933,60684,89944,98556,166556,12852,35346,59889,90702,173566,288305
"538","Northampton","Hampshire County","MA","Northampton","Northampton city, Hampshire County, Massachusetts",2010,66726,31447,55649,80677,116385,150517,11438,32462,53731,83979,191963,347449
"539","Pelham","Hampshire County","MA","Pelham","Pelham town, Hampshire County, Massachusetts",2010,69911,24603,52790,79750,110759,158365,27534,60525,82696,118572,247724,428571
"540","Plainfield","Hampshire County","MA","Plainfield","Plainfield town, Hampshire County, Massachusetts",2010,53939,20618,42633,70872,105200,182445,16079,37675,57986,79013,135541,194530
"541","South Hadley","Hampshire County","MA","South Hadley","South Hadley town, Hampshire County, Massachusetts",2010,61912,21875,45938,75000,103750,159531,17636,43834,63084,85818,150621,224264
"542","Southampton","Hampshire County","MA","Southampton","Southampton town, Hampshire County, Massachusetts",2010,66250,33000,51417,78778,114833,175056,19126,49954,80365,113660,209158,372917
"543","Ware","Hampshire County","MA","Ware","Ware town, Hampshire County, Massachusetts",2010,59505,23609,46509,74945,109835,181490,10850,29575,51864,78843,129702,172758
"544","Westhampton","Hampshire County","MA","Westhampton","Westhampton town, Hampshire County, Massachusetts",2010,52868,21596,43041,67013,106426,206347,25753,54324,80420,104297,160034,209443
"545","Williamsburg","Hampshire County","MA","Williamsburg","Williamsburg town, Hampshire County, Massachusetts",2010,81765,46231,73132,95130,154417,250000,15306,45652,67512,93627,179638,274048
"546","Worthington","Hampshire County","MA","Worthington","Worthington town, Hampshire County, Massachusetts",2010,57054,27000,47375,69000,87667,154208,15611,36342,59245,87256,165851,245849
"547","Acton","Middlesex County","MA","Acton","Acton town, Middlesex County, Massachusetts",2010,62236,33256,53611,75685,98991,170747,25702,62941,107634,159629,298024,463544
"548","Arlington","Middlesex County","MA","Arlington","Arlington town, Middlesex County, Massachusetts",2010,80738,32466,65535,97238,124888,212450,18532,53064,83120,121470,230352,366909
"549","Ashby","Middlesex County","MA","Ashby","Ashby town, Middlesex County, Massachusetts",2010,51094,18343,41924,65423,99542,143878,16705,53931,78716,107257,206753,363033
"550","Ashland","Middlesex County","MA","Ashland","Ashland town, Middlesex County, Massachusetts",2010,81419,40433,72720,88625,119850,174500,21044,56316,92571,139375,262605,436709
"551","Ayer","Middlesex County","MA","Ayer","Ayer town, Middlesex County, Massachusetts",2010,64545,32079,57867,80634,110813,197400,11672,36554,55446,88502,161238,228797
"552","Bedford","Middlesex County","MA","Bedford","Bedford town, Middlesex County, Massachusetts",2010,61100,26417,46864,70975,110333,188000,28641,64746,106352,156469,271385,399642
"553","Belmont","Middlesex County","MA","Belmont","Belmont town, Middlesex County, Massachusetts",2010,105523,43101,84051,130674,201830,250000,21599,60733,94479,140803,337538,649710
"554","Billerica","Middlesex County","MA","Billerica","Billerica town, Middlesex County, Massachusetts",2010,82771,36560,67210,98623,146611,250000,27919,59995,86978,113224,180459,263297
"555","Boxborough","Middlesex County","MA","Boxborough","Boxborough town, Middlesex County, Massachusetts",2010,80143,31238,67764,90016,130813,176672,20635,55710,101050,146787,275043,398718
