"","Municipal","County","Five.Year.Range","Median.Rent","Rent.Margin.of.Error"
"1057","Scituate"," Plymouth ","2007-2011",1010,170
"1432","Scituate"," Plymouth ","2008-2012",961,107
"1807","Scituate"," Plymouth ","2009-2013",973,263
"2182","Scituate"," Plymouth ","2010-2014",990,162
"308","Wareham"," Plymouth ","2005-2009",886,56
"683","Wareham"," Plymouth ","2006-2010",915,102
"1058","Wareham"," Plymouth ","2007-2011",1079,208
"1433","Wareham"," Plymouth ","2008-2012",981,141
"1808","Wareham"," Plymouth ","2009-2013",1049,154
"2183","Wareham"," Plymouth ","2010-2014",1000,127
"309","West Bridgewater"," Plymouth ","2005-2009",886,127
"684","West Bridgewater"," Plymouth ","2006-2010",903,160
"1059","West Bridgewater"," Plymouth ","2007-2011",893,71
"1434","West Bridgewater"," Plymouth ","2008-2012",869,330
"1809","West Bridgewater"," Plymouth ","2009-2013",867,220
"2184","West Bridgewater"," Plymouth ","2010-2014",1103,349
"310","Whitman"," Plymouth ","2005-2009",966,76
"685","Whitman"," Plymouth ","2006-2010",1047,102
"1060","Whitman"," Plymouth ","2007-2011",1025,115
"1435","Whitman"," Plymouth ","2008-2012",987,91
"1810","Whitman"," Plymouth ","2009-2013",979,70
"2185","Whitman"," Plymouth ","2010-2014",1021,93
"312","Boston"," Suffolk ","2005-2009",1250,18
"687","Boston"," Suffolk ","2006-2010",1261,14
"1062","Boston"," Suffolk ","2007-2011",1265,14
"1437","Boston"," Suffolk ","2008-2012",1254,12
"1812","Boston"," Suffolk ","2009-2013",1273,11
"2187","Boston"," Suffolk ","2010-2014",1272,10
"313","Chelsea"," Suffolk ","2005-2009",1016,68
"688","Chelsea"," Suffolk ","2006-2010",1043,43
"1063","Chelsea"," Suffolk ","2007-2011",1079,46
"1438","Chelsea"," Suffolk ","2008-2012",1085,41
"1813","Chelsea"," Suffolk ","2009-2013",1119,40
"2188","Chelsea"," Suffolk ","2010-2014",1137,29
"314","Revere"," Suffolk ","2005-2009",1127,42
"689","Revere"," Suffolk ","2006-2010",1172,40
"1064","Revere"," Suffolk ","2007-2011",1176,40
"1439","Revere"," Suffolk ","2008-2012",1155,40
"1814","Revere"," Suffolk ","2009-2013",1170,46
"2189","Revere"," Suffolk ","2010-2014",1181,30
"315","Winthrop"," Suffolk ","2005-2009",1289,56
"690","Winthrop"," Suffolk ","2006-2010",1279,74
"1065","Winthrop"," Suffolk ","2007-2011",1265,63
"1440","Winthrop"," Suffolk ","2008-2012",1255,61
"1815","Winthrop"," Suffolk ","2009-2013",1243,53
"2190","Winthrop"," Suffolk ","2010-2014",1239,51
"316","Ashburnham"," Worcester ","2005-2009",1015,411
"691","Ashburnham"," Worcester ","2006-2010",1035,421
"1066","Ashburnham"," Worcester ","2007-2011",1127,328
"1441","Ashburnham"," Worcester ","2008-2012",1206,308
"1816","Ashburnham"," Worcester ","2009-2013",1111,553
"2191","Ashburnham"," Worcester ","2010-2014",1023,149
"317","Athol"," Worcester ","2005-2009",800,78
"692","Athol"," Worcester ","2006-2010",749,87
"1067","Athol"," Worcester ","2007-2011",768,109
"1442","Athol"," Worcester ","2008-2012",631,56
"1817","Athol"," Worcester ","2009-2013",613,56
"2192","Athol"," Worcester ","2010-2014",623,62
"318","Auburn"," Worcester ","2005-2009",887,50
"693","Auburn"," Worcester ","2006-2010",869,71
"1068","Auburn"," Worcester ","2007-2011",858,83
"1443","Auburn"," Worcester ","2008-2012",840,106
"1818","Auburn"," Worcester ","2009-2013",910,39
"2193","Auburn"," Worcester ","2010-2014",911,27
"319","Barre"," Worcester ","2005-2009",910,141
"694","Barre"," Worcester ","2006-2010",868,208
"1069","Barre"," Worcester ","2007-2011",824,189
"1444","Barre"," Worcester ","2008-2012",703,109
"1819","Barre"," Worcester ","2009-2013",841,162
"2194","Barre"," Worcester ","2010-2014",839,100
"320","Berlin"," Worcester ","2005-2009",1038,76
"695","Berlin"," Worcester ","2006-2010",1013,76
"1070","Berlin"," Worcester ","2007-2011",994,75
"1445","Berlin"," Worcester ","2008-2012",1017,151
"1820","Berlin"," Worcester ","2009-2013",1119,310
"2195","Berlin"," Worcester ","2010-2014",1087,353
"321","Blackstone"," Worcester ","2005-2009",807,59
"696","Blackstone"," Worcester ","2006-2010",809,83
"1071","Blackstone"," Worcester ","2007-2011",861,122
"1446","Blackstone"," Worcester ","2008-2012",837,103
"1821","Blackstone"," Worcester ","2009-2013",836,76
"2196","Blackstone"," Worcester ","2010-2014",881,110
"322","Bolton"," Worcester ","2005-2009",1616,296
"697","Bolton"," Worcester ","2006-2010",1381,768
"1072","Bolton"," Worcester ","2007-2011",967,792
"1447","Bolton"," Worcester ","2008-2012",996,418
"1822","Bolton"," Worcester ","2009-2013",1062,1144
"2197","Bolton"," Worcester ","2010-2014",965,700
"323","Boylston"," Worcester ","2005-2009",591,142
"698","Boylston"," Worcester ","2006-2010",577,265
"1073","Boylston"," Worcester ","2007-2011",546,127
"1448","Boylston"," Worcester ","2008-2012",997,780
"1823","Boylston"," Worcester ","2009-2013",592,401
"2198","Boylston"," Worcester ","2010-2014",1028,216
"324","Brookfield"," Worcester ","2005-2009",620,91
"699","Brookfield"," Worcester ","2006-2010",607,61
"1074","Brookfield"," Worcester ","2007-2011",624,77
"1449","Brookfield"," Worcester ","2008-2012",631,94
"1824","Brookfield"," Worcester ","2009-2013",613,88
"2199","Brookfield"," Worcester ","2010-2014",756,193
"325","Charlton"," Worcester ","2005-2009",1010,78
"700","Charlton"," Worcester ","2006-2010",978,106
"1075","Charlton"," Worcester ","2007-2011",912,111
"1450","Charlton"," Worcester ","2008-2012",829,165
"1825","Charlton"," Worcester ","2009-2013",841,124
"2200","Charlton"," Worcester ","2010-2014",827,71
"326","Clinton"," Worcester ","2005-2009",909,79
"701","Clinton"," Worcester ","2006-2010",898,58
"1076","Clinton"," Worcester ","2007-2011",898,59
"1451","Clinton"," Worcester ","2008-2012",891,46
"1826","Clinton"," Worcester ","2009-2013",906,50
"2201","Clinton"," Worcester ","2010-2014",905,45
"327","Douglas"," Worcester ","2005-2009",891,160
"702","Douglas"," Worcester ","2006-2010",853,47
"1077","Douglas"," Worcester ","2007-2011",928,179
"1452","Douglas"," Worcester ","2008-2012",937,173
"1827","Douglas"," Worcester ","2009-2013",959,212
"2202","Douglas"," Worcester ","2010-2014",1063,98
"328","Dudley"," Worcester ","2005-2009",765,83
"703","Dudley"," Worcester ","2006-2010",727,78
"1078","Dudley"," Worcester ","2007-2011",782,123
"1453","Dudley"," Worcester ","2008-2012",776,90
"1828","Dudley"," Worcester ","2009-2013",814,49
"2203","Dudley"," Worcester ","2010-2014",816,57
"329","East Brookfield"," Worcester ","2005-2009",1050,92
"704","East Brookfield"," Worcester ","2006-2010",992,51
"1079","East Brookfield"," Worcester ","2007-2011",1130,97
"1454","East Brookfield"," Worcester ","2008-2012",1017,256
"1829","East Brookfield"," Worcester ","2009-2013",1034,239
"2204","East Brookfield"," Worcester ","2010-2014",915,209
"330","Fitchburg"," Worcester ","2005-2009",806,35
"705","Fitchburg"," Worcester ","2006-2010",795,32
"1080","Fitchburg"," Worcester ","2007-2011",789,32
"1455","Fitchburg"," Worcester ","2008-2012",754,29
"1830","Fitchburg"," Worcester ","2009-2013",757,23
"2205","Fitchburg"," Worcester ","2010-2014",760,26
"331","Gardner"," Worcester ","2005-2009",767,29
"706","Gardner"," Worcester ","2006-2010",754,28
"1081","Gardner"," Worcester ","2007-2011",748,33
"1456","Gardner"," Worcester ","2008-2012",721,25
"1831","Gardner"," Worcester ","2009-2013",725,24
"2206","Gardner"," Worcester ","2010-2014",715,36
"332","Grafton"," Worcester ","2005-2009",959,50
"707","Grafton"," Worcester ","2006-2010",931,59
"1082","Grafton"," Worcester ","2007-2011",936,55
"1457","Grafton"," Worcester ","2008-2012",922,40
"1832","Grafton"," Worcester ","2009-2013",954,45
"2207","Grafton"," Worcester ","2010-2014",977,58
"333","Hardwick"," Worcester ","2005-2009",500,275
"708","Hardwick"," Worcester ","2006-2010",369,249
"1083","Hardwick"," Worcester ","2007-2011",616,137
"1458","Hardwick"," Worcester ","2008-2012",609,181
"1833","Hardwick"," Worcester ","2009-2013",545,157
"2208","Hardwick"," Worcester ","2010-2014",610,132
"334","Harvard"," Worcester ","2005-2009",1397,149
"709","Harvard"," Worcester ","2006-2010",1425,273
"1084","Harvard"," Worcester ","2007-2011",1453,298
"1459","Harvard"," Worcester ","2008-2012",1403,387
"1834","Harvard"," Worcester ","2009-2013",1458,241
"2209","Harvard"," Worcester ","2010-2014",1437,284
"335","Holden"," Worcester ","2005-2009",966,97
"710","Holden"," Worcester ","2006-2010",960,100
"1085","Holden"," Worcester ","2007-2011",942,66
"1460","Holden"," Worcester ","2008-2012",799,146
"1835","Holden"," Worcester ","2009-2013",938,97
"2210","Holden"," Worcester ","2010-2014",993,62
"336","Hopedale"," Worcester ","2005-2009",1061,251
"711","Hopedale"," Worcester ","2006-2010",1161,393
"1086","Hopedale"," Worcester ","2007-2011",1126,176
"1461","Hopedale"," Worcester ","2008-2012",1049,134
"1836","Hopedale"," Worcester ","2009-2013",898,268
"2211","Hopedale"," Worcester ","2010-2014",1053,177
"337","Hubbardston"," Worcester ","2005-2009",858,846
"712","Hubbardston"," Worcester ","2006-2010",842,718
"1087","Hubbardston"," Worcester ","2007-2011",881,596
"1462","Hubbardston"," Worcester ","2008-2012",872,275
"1837","Hubbardston"," Worcester ","2009-2013",882,273
"2212","Hubbardston"," Worcester ","2010-2014",951,386
"338","Lancaster"," Worcester ","2005-2009",847,231
"713","Lancaster"," Worcester ","2006-2010",828,169
"1088","Lancaster"," Worcester ","2007-2011",865,155
"1463","Lancaster"," Worcester ","2008-2012",905,216
"1838","Lancaster"," Worcester ","2009-2013",919,123
"2213","Lancaster"," Worcester ","2010-2014",876,125
"339","Leicester"," Worcester ","2005-2009",777,120
"714","Leicester"," Worcester ","2006-2010",722,141
"1089","Leicester"," Worcester ","2007-2011",626,153
"1464","Leicester"," Worcester ","2008-2012",615,128
"1839","Leicester"," Worcester ","2009-2013",666,203
"2214","Leicester"," Worcester ","2010-2014",783,176
"340","Leominster"," Worcester ","2005-2009",870,50
"715","Leominster"," Worcester ","2006-2010",870,40
"1090","Leominster"," Worcester ","2007-2011",866,29
"1465","Leominster"," Worcester ","2008-2012",849,19
"1840","Leominster"," Worcester ","2009-2013",866,20
"2215","Leominster"," Worcester ","2010-2014",849,25
"341","Lunenburg"," Worcester ","2005-2009",779,333
"716","Lunenburg"," Worcester ","2006-2010",942,379
"1091","Lunenburg"," Worcester ","2007-2011",861,271
"1466","Lunenburg"," Worcester ","2008-2012",837,250
"1841","Lunenburg"," Worcester ","2009-2013",1017,267
"2216","Lunenburg"," Worcester ","2010-2014",986,271
"342","Mendon"," Worcester ","2005-2009",1021,210
"717","Mendon"," Worcester ","2006-2010",870,431
"1092","Mendon"," Worcester ","2007-2011",929,198
"1467","Mendon"," Worcester ","2008-2012",816,384
"1842","Mendon"," Worcester ","2009-2013",806,753
"2217","Mendon"," Worcester ","2010-2014",1206,178
"343","Milford"," Worcester ","2005-2009",1052,58
"718","Milford"," Worcester ","2006-2010",1053,58
"1093","Milford"," Worcester ","2007-2011",1071,70
"1468","Milford"," Worcester ","2008-2012",1061,64
"1843","Milford"," Worcester ","2009-2013",1067,59
"2218","Milford"," Worcester ","2010-2014",1078,54
"344","Millbury"," Worcester ","2005-2009",883,93
"719","Millbury"," Worcester ","2006-2010",888,107
"1094","Millbury"," Worcester ","2007-2011",902,83
"1469","Millbury"," Worcester ","2008-2012",885,74
"1844","Millbury"," Worcester ","2009-2013",909,38
"2219","Millbury"," Worcester ","2010-2014",902,32
"345","Millville"," Worcester ","2005-2009",982,113
"720","Millville"," Worcester ","2006-2010",979,38
"1095","Millville"," Worcester ","2007-2011",960,40
"1470","Millville"," Worcester ","2008-2012",958,52
"1845","Millville"," Worcester ","2009-2013",989,95
"2220","Millville"," Worcester ","2010-2014",1067,243
"346","New Braintree"," Worcester ","2005-2009",880,441
"721","New Braintree"," Worcester ","2006-2010",956,545
"1096","New Braintree"," Worcester ","2007-2011",934,536
"1471","New Braintree"," Worcester ","2008-2012",936,474
"1846","New Braintree"," Worcester ","2009-2013",847,358
"2221","New Braintree"," Worcester ","2010-2014",836,627
"349","North Brookfield"," Worcester ","2005-2009",785,78
"724","North Brookfield"," Worcester ","2006-2010",772,55
"1099","North Brookfield"," Worcester ","2007-2011",766,118
"1474","North Brookfield"," Worcester ","2008-2012",723,215
"1849","North Brookfield"," Worcester ","2009-2013",759,106
"2224","North Brookfield"," Worcester ","2010-2014",680,133
"347","Northborough"," Worcester ","2005-2009",966,110
"722","Northborough"," Worcester ","2006-2010",979,135
"1097","Northborough"," Worcester ","2007-2011",1045,137
"1472","Northborough"," Worcester ","2008-2012",1079,87
"1847","Northborough"," Worcester ","2009-2013",1199,91
"2222","Northborough"," Worcester ","2010-2014",1252,75
"348","Northbridge"," Worcester ","2005-2009",908,86
"723","Northbridge"," Worcester ","2006-2010",845,49
"1098","Northbridge"," Worcester ","2007-2011",818,41
"1473","Northbridge"," Worcester ","2008-2012",812,63
"1848","Northbridge"," Worcester ","2009-2013",845,87
"2223","Northbridge"," Worcester ","2010-2014",809,79
"350","Oakham"," Worcester ","2005-2009",783,533
"725","Oakham"," Worcester ","2006-2010",742,409
"1100","Oakham"," Worcester ","2007-2011",722,174
"1475","Oakham"," Worcester ","2008-2012",675,395
"1850","Oakham"," Worcester ","2009-2013",718,394
"2225","Oakham"," Worcester ","2010-2014",842,397
"351","Oxford"," Worcester ","2005-2009",788,39
"726","Oxford"," Worcester ","2006-2010",765,56
"1101","Oxford"," Worcester ","2007-2011",786,61
"1476","Oxford"," Worcester ","2008-2012",740,79
"1851","Oxford"," Worcester ","2009-2013",757,82
"2226","Oxford"," Worcester ","2010-2014",781,73
"352","Paxton"," Worcester ","2005-2009",647,165
"727","Paxton"," Worcester ","2006-2010",690,257
"1102","Paxton"," Worcester ","2007-2011",666,19
"1477","Paxton"," Worcester ","2008-2012",860,2696
"1852","Paxton"," Worcester ","2009-2013",NA,NA
"2227","Paxton"," Worcester ","2010-2014",901,655
"353","Petersham"," Worcester ","2005-2009",661,285
"728","Petersham"," Worcester ","2006-2010",689,176
"1103","Petersham"," Worcester ","2007-2011",791,198
"1478","Petersham"," Worcester ","2008-2012",688,201
"1853","Petersham"," Worcester ","2009-2013",755,279
"2228","Petersham"," Worcester ","2010-2014",903,179
"354","Phillipston"," Worcester ","2005-2009",835,481
"729","Phillipston"," Worcester ","2006-2010",838,407
"1104","Phillipston"," Worcester ","2007-2011",772,158
"1479","Phillipston"," Worcester ","2008-2012",743,122
"1854","Phillipston"," Worcester ","2009-2013",NA,NA
"2229","Phillipston"," Worcester ","2010-2014",894,53
"355","Princeton"," Worcester ","2005-2009",1048,49
"730","Princeton"," Worcester ","2006-2010",1143,663
"1105","Princeton"," Worcester ","2007-2011",1084,210
"1480","Princeton"," Worcester ","2008-2012",988,83
"1855","Princeton"," Worcester ","2009-2013",929,23
"2230","Princeton"," Worcester ","2010-2014",914,26
"356","Royalston"," Worcester ","2005-2009",902,39
"731","Royalston"," Worcester ","2006-2010",852,410
"1106","Royalston"," Worcester ","2007-2011",613,42
"1481","Royalston"," Worcester ","2008-2012",600,356
"1856","Royalston"," Worcester ","2009-2013",851,219
"2231","Royalston"," Worcester ","2010-2014",806,527
"357","Rutland"," Worcester ","2005-2009",927,235
"732","Rutland"," Worcester ","2006-2010",944,112
"1107","Rutland"," Worcester ","2007-2011",804,331
"1482","Rutland"," Worcester ","2008-2012",670,237
"1857","Rutland"," Worcester ","2009-2013",827,257
"2232","Rutland"," Worcester ","2010-2014",872,188
"358","Shrewsbury"," Worcester ","2005-2009",1234,72
"733","Shrewsbury"," Worcester ","2006-2010",1220,52
"1108","Shrewsbury"," Worcester ","2007-2011",1181,56
"1483","Shrewsbury"," Worcester ","2008-2012",1162,56
"1858","Shrewsbury"," Worcester ","2009-2013",1153,72
"2233","Shrewsbury"," Worcester ","2010-2014",1193,68
"359","Southborough"," Worcester ","2005-2009",886,240
"734","Southborough"," Worcester ","2006-2010",1223,404
"1109","Southborough"," Worcester ","2007-2011",1237,168
"1484","Southborough"," Worcester ","2008-2012",1249,124
"1859","Southborough"," Worcester ","2009-2013",1336,175
"2234","Southborough"," Worcester ","2010-2014",1209,315
"360","Southbridge"," Worcester ","2005-2009",782,29
"735","Southbridge"," Worcester ","2006-2010",802,53
"1110","Southbridge"," Worcester ","2007-2011",801,39
"1485","Southbridge"," Worcester ","2008-2012",776,29
"1860","Southbridge"," Worcester ","2009-2013",793,24
"2235","Southbridge"," Worcester ","2010-2014",778,29
"361","Spencer"," Worcester ","2005-2009",774,55
"736","Spencer"," Worcester ","2006-2010",797,34
"1111","Spencer"," Worcester ","2007-2011",782,34
"1486","Spencer"," Worcester ","2008-2012",751,42
"1861","Spencer"," Worcester ","2009-2013",768,83
"2236","Spencer"," Worcester ","2010-2014",767,79
"362","Sterling"," Worcester ","2005-2009",1030,47
"737","Sterling"," Worcester ","2006-2010",982,76
"1112","Sterling"," Worcester ","2007-2011",978,75
"1487","Sterling"," Worcester ","2008-2012",966,89
"1862","Sterling"," Worcester ","2009-2013",1152,240
"2237","Sterling"," Worcester ","2010-2014",1123,158
"363","Sturbridge"," Worcester ","2005-2009",701,541
"738","Sturbridge"," Worcester ","2006-2010",966,143
"1113","Sturbridge"," Worcester ","2007-2011",727,468
"1488","Sturbridge"," Worcester ","2008-2012",706,564
"1863","Sturbridge"," Worcester ","2009-2013",772,464
"2238","Sturbridge"," Worcester ","2010-2014",748,348
"364","Sutton"," Worcester ","2005-2009",829,129
"739","Sutton"," Worcester ","2006-2010",853,49
"1114","Sutton"," Worcester ","2007-2011",846,63
"1489","Sutton"," Worcester ","2008-2012",851,114
"1864","Sutton"," Worcester ","2009-2013",837,95
"2239","Sutton"," Worcester ","2010-2014",818,90
"365","Templeton"," Worcester ","2005-2009",723,285
"740","Templeton"," Worcester ","2006-2010",751,283
"1115","Templeton"," Worcester ","2007-2011",832,277
"1490","Templeton"," Worcester ","2008-2012",875,194
"1865","Templeton"," Worcester ","2009-2013",871,125
"2240","Templeton"," Worcester ","2010-2014",573,314
"366","Upton"," Worcester ","2005-2009",1108,1023
"741","Upton"," Worcester ","2006-2010",1093,256
"1116","Upton"," Worcester ","2007-2011",1022,143
"1491","Upton"," Worcester ","2008-2012",968,83
"1866","Upton"," Worcester ","2009-2013",961,59
"2241","Upton"," Worcester ","2010-2014",914,37
"367","Uxbridge"," Worcester ","2005-2009",936,72
"742","Uxbridge"," Worcester ","2006-2010",937,75
"1117","Uxbridge"," Worcester ","2007-2011",957,91
"1492","Uxbridge"," Worcester ","2008-2012",997,140
"1867","Uxbridge"," Worcester ","2009-2013",1031,78
"2242","Uxbridge"," Worcester ","2010-2014",1039,87
"368","Warren"," Worcester ","2005-2009",680,49
"743","Warren"," Worcester ","2006-2010",664,35
"1118","Warren"," Worcester ","2007-2011",668,69
"1493","Warren"," Worcester ","2008-2012",658,107
"1868","Warren"," Worcester ","2009-2013",685,182
"2243","Warren"," Worcester ","2010-2014",665,161
"369","Webster"," Worcester ","2005-2009",792,29
"744","Webster"," Worcester ","2006-2010",777,27
"1119","Webster"," Worcester ","2007-2011",762,21
"1494","Webster"," Worcester ","2008-2012",744,30
"1869","Webster"," Worcester ","2009-2013",792,27
"2244","Webster"," Worcester ","2010-2014",768,35
"371","West Boylston"," Worcester ","2005-2009",966,159
"746","West Boylston"," Worcester ","2006-2010",991,89
"1121","West Boylston"," Worcester ","2007-2011",981,61
"1496","West Boylston"," Worcester ","2008-2012",936,45
"1871","West Boylston"," Worcester ","2009-2013",927,49
"2246","West Boylston"," Worcester ","2010-2014",889,62
"372","West Brookfield"," Worcester ","2005-2009",715,441
"747","West Brookfield"," Worcester ","2006-2010",701,292
"1122","West Brookfield"," Worcester ","2007-2011",841,215
"1497","West Brookfield"," Worcester ","2008-2012",822,204
"1872","West Brookfield"," Worcester ","2009-2013",966,197
"2247","West Brookfield"," Worcester ","2010-2014",908,172
"370","Westborough"," Worcester ","2005-2009",1371,64
"745","Westborough"," Worcester ","2006-2010",1408,71
"1120","Westborough"," Worcester ","2007-2011",1444,131
"1495","Westborough"," Worcester ","2008-2012",1386,87
"1870","Westborough"," Worcester ","2009-2013",1374,87
"2245","Westborough"," Worcester ","2010-2014",1340,75
"373","Westminster"," Worcester ","2005-2009",906,587
"748","Westminster"," Worcester ","2006-2010",850,185
"1123","Westminster"," Worcester ","2007-2011",896,122
"1498","Westminster"," Worcester ","2008-2012",941,507
"1873","Westminster"," Worcester ","2009-2013",1108,275
"2248","Westminster"," Worcester ","2010-2014",961,260
"374","Winchendon"," Worcester ","2005-2009",737,116
"749","Winchendon"," Worcester ","2006-2010",643,158
"1124","Winchendon"," Worcester ","2007-2011",694,93
"1499","Winchendon"," Worcester ","2008-2012",676,67
"1874","Winchendon"," Worcester ","2009-2013",692,117
"2249","Winchendon"," Worcester ","2010-2014",722,57
"375","Worcester"," Worcester ","2005-2009",869,19
"750","Worcester"," Worcester ","2006-2010",869,15
"1125","Worcester"," Worcester ","2007-2011",872,13
"1500","Worcester"," Worcester ","2008-2012",852,19
"1875","Worcester"," Worcester ","2009-2013",878,15
"2250","Worcester"," Worcester ","2010-2014",881,11
"376","GEO.display-label",NA,"2006-2010",NA,NA
"751","GEO.display-label",NA,"2007-2011",NA,NA
"1126","GEO.display-label",NA,"2008-2012",NA,NA
"1501","GEO.display-label",NA,"2009-2013",NA,NA
"1876","GEO.display-label",NA,"2010-2014",NA,NA
"377","Geography",NA,"2006-2010",NA,NA
"752","Geography",NA,"2007-2011",NA,NA
"1127","Geography",NA,"2008-2012",NA,NA
"1502","Geography",NA,"2009-2013",NA,NA
"1877","Geography",NA,"2010-2014",NA,NA
"4","Massachusetts",NA,"2005-2009",1030,5
"379","Massachusetts",NA,"2006-2010",1026,5
"754","Massachusetts",NA,"2007-2011",1021,5
"1129","Massachusetts",NA,"2008-2012",1011,6
"1504","Massachusetts",NA,"2009-2013",1034,4
"1879","Massachusetts",NA,"2010-2014",1037,5
"3","United States",NA,"2005-2009",819,1
"378","United States",NA,"2006-2010",822,1
"753","United States",NA,"2007-2011",825,1
"1128","United States",NA,"2008-2012",807,1
"1503","United States",NA,"2009-2013",831,1
"1878","United States",NA,"2010-2014",834,2
